Programme music	Music
Bobby Lashley	1976 births, Living people, African-American movie actors, African-American wrestlers, American military people, American mixed martial artists, American professional wrestlers, Former WWE wrestlers, Sportspeople from Kansas, TNA wrestlers
Newry	Cities in Northern Ireland, County Armagh, County Down
Shizuka Arakawa	Japanese figure skaters, 1981 births, Living people, Japanese Olympic gold medalists, Sportspeople from Tokyo
Ellipsis	Punctuation, Typography
Mamoudzou	Capital cities in Africa, Communes in Mayotte, Departmental capitals in France, Regional capitals in France
Moroni, Comoros	Comoros, Capital cities in Africa
Porto-Novo	Capital cities in Africa, Settlements in Benin
Praia	Capital cities in Africa, Cape Verde, Municipalities of Cape Verde
Coptic Catholic Church	Eastern Catholicism, Religion in Egypt
Roberto Luongo	1979 births, Acadie–Bathurst Titan players, American Hockey League players, Canadian ice hockey goaltenders, Canadian Olympic gold medalists, Florida Panthers players, Ice hockey people from Quebec, Living people, New York Islanders players, People from Montreal, Val-d'Or Foreurs players, Vancouver Canucks players
Robert De Niro	1943 births, Living people, Academy Award winning actors, Actors from New York City, American movie actors, American movie directors, American movie producers, American Roman Catholics, American television actors, American voice actors, Kennedy Center honorees, Movie directors from New York City, Movie producers from New York City
Internet Archive	Internet-related organizations, Archives, Non-profit organizations of California, 1996 establishments in California
Archive	Documents
Confirmation (Christianity)	Sacraments
My-Otome	My-Otome
Difference	Basic English 850 words
Osprey	Accipitriformes
Thought	Thought, Physiology, Philosophy
Dauria (movie)	1971 drama movies, 1970s action movies, 1970s romantic drama movies, Movies based on books, Russian movies
Petr Shelokhonov	1929 births, 1999 deaths, Deaths from cardiac arrest, People from Saint Petersburg, Soviet actors, Russian movie actors, Russian television actors, Russian stage actors
Conakry	Settlements in Guinea, Capital cities in Africa
Cotonou	Capital cities in Africa, Settlements in Benin
Dodoma	Cities in Tanzania, Capital cities in Africa
N'Djamena	Capital cities in Africa, Cities in Chad, Regions of Chad
San Jose Sharks	San Jose Sharks, 1990 establishments in California
Bujumbura	Capital cities in Africa, Cities in Burundi
Stem (music)	Musical notation
Hope	Basic English 850 words
Corn flakes	Breakfast cereals
Frosted Flakes	Breakfast cereals
Aqua Teen Hunger Force	2000 television series debuts, 2000s American television series, 2010s American television series, American animated television series, American teen television series, Aqua Teen Hunger Force, English-language television programs
Cowley, Wyoming	Towns in Wyoming, Big Horn County, Wyoming, 1900 establishments in the United States, 20th-century establishments in Wyoming
Big Horn County, Wyoming	Big Horn County, Wyoming, 1897 establishments in the United States, 19th-century establishments in Wyoming
Byron, Wyoming	Towns in Wyoming, Big Horn County, Wyoming
Fort Bragg, California	Cities in California, Settlements in Mendocino County, California
Mendocino County, California	Mendocino County, California, 1850 establishments in California
Brigham Young University	Colleges and universities in Utah, Mormonism, West Coast Conference, Provo, Utah, 1875 establishments in the United States, 19th-century establishments in Utah
Provo, Utah	Provo, Utah, County seats in Utah, 1849 establishments in the United States
Lil' Kim	1970s births, Living people, American rap musicians from New York, Singers from New York
Lovell, Wyoming	Towns in Wyoming, Big Horn County, Wyoming
Basin, Wyoming	Towns in Wyoming, Big Horn County, Wyoming, County seats in Wyoming
Lehi	Mormonism
Otto, Wyoming	Unincorporated communities in Wyoming, Big Horn County, Wyoming
Saint-Denis, Réunion	Capital cities in Africa, Communes in Réunion, Cities in overseas regions belonging to France, Departmental capitals in France, Regional capitals in France
Chen Shui-bian	1950 births, Living people, Presidents of the Republic of China
The Suite Life of Zack & Cody	Television series by Disney, American sitcoms, 2005 television series debuts, English-language television programs
São Tomé	Capital cities in Africa, São Tomé and Príncipe
Everglades	Geography of Florida, Animals of North America, National parks in the United States, World Heritage Sites in the United States, Biosphere reserves, Wilderness Areas of the United States, Wetlands
Lost (TV series)	2004 American television series debuts, 2010 American television series endings, 2000s American television series, 2010s American television series, ABC network shows, American drama television series, American science fiction television series, American time travel television series, Emmy Award winning programs, Golden Globe Award winning programs, Saturn Award winners, Screen Actors Guild Award winners, English-language television programs
Western United States	Western United States, Census Regions of the United States
Monaco Grand Prix	Formula One Grands Prix
Bangui	Capital cities in Africa, Central African Republic
ITV	1955 establishments in Europe, 1950s establishments in the United Kingdom, ITV
Burlington, Wyoming	Towns in Wyoming, Big Horn County, Wyoming
Secularism	Religion
Jérémie Aliadière	1983 births, Living people, French footballers
Walgreens	1901 establishments in the United States, 1900s establishments in Illinois, Chicago, Illinois, Companies based in Illinois
Cascade Volcanic Arc	Volcanoes of Washington (U.S. state), Geography of Oregon, Geography of California, Volcanoes of British Columbia
Satoru Iwata	1959 births, 2015 deaths, Japanese businesspeople, Deaths from cholangiocarcinoma, Disease-related deaths in Japan, People from Sapporo, Nintendo people
Lint (material)	Fibers, Materials
Subtropical Storm Andrea (2007)	Subtropical cyclones, Hurricanes in the United States, 2007 Atlantic hurricane season, May events, 2000s in North Carolina, 2000s in South Carolina, 2007 in Georgia (U.S. state), 2007 in Florida
Force field	Physics, Science fiction technology
Shaman	Religious people
Plasma window	Physics
Bari	Bari, Regional capitals in Italy
Plautus	254 BC births, 184 BC deaths, Playwrights, Ancient Roman writers
Mount Edziza	Mountains of British Columbia, Volcanoes of British Columbia
Omar Khayyám	1048 births, 1131 deaths, Persian mathematicians, Persian poets, Muslims, Asian Sufis
Bobby Robson	1933 births, 2009 deaths, British autobiographers, Cancer deaths in England, Deaths from lung cancer, England national football team managers, English football managers, English footballers, Knights Bachelor, Sportspeople from County Durham, Eredivisie managers
Deomyinae	Rodents
Spiny mouse	Rodents
Anglicanism	Anglicanism
Khayyam	Surnames
The Cumshots	Norwegian heavy metal bands
Pocket gopher	Geomyoid rodents
Geomyoidea	Geomyoid rodents
Heteromyidae	Geomyoid rodents
Kangaroo mouse	Geomyoid rodents
Silky pocket mouse	Rodents
Chaetodipus	Geomyoid rodents
Zarbon	Dragon Ball characters, Fictional characters introduced in 1989
Dodoria	Dragon Ball characters, Fictional characters introduced in 1989
Perognathinae	Rodents
Frieza	Dragon Ball characters, Fictional characters introduced in 1989, Fictional extraterrestrial characters, Galactic emperors
Myrmecophile	Insects
Argemone	Ranunculales
Grist	Grains
Banjul	Cities in the Gambia, Capital cities in Africa, Local Government Areas of the Gambia
Medieval Latin	Latin language
Armen Grigoryan	1960 births, Living people, Russian singers, Armenian diaspora
Krematorij	Russian musical groups, Rock bands, Hard rock bands, Musical groups established in 1983, 1980s establishments in the Soviet Union
Kristopher Schau	1970 births, Living people, Norwegian comedians, Norwegian singers, Norwegian television presenters, Musicians from Oslo
Ole Petter Andreassen	Norwegian musical entertainers, Heavy metal guitarists, 1975 births, Living people
InterCityExpress	Rapid transit systems in Germany
Honeydew	Botany, Insects
Ecclesiastical Latin	Latin language
Mate (drink)	Drinks, Argentine food, Chilean food
Yerba mate	Asterids
Guarana	Sapindaceae, Fruits
Broken English	English language, Pidgins and creoles, English-based pidgins
Sacred cow	Figures of speech, Hinduism
Murti	Hinduism, Religious objects
Virtual memory	Computer science
Bolshoi Theatre	Opera houses, Buildings and structures in Moscow
Guild	Middle Ages
Delara Darabi	1986 births, 2009 deaths, Human rights, Iranian people, Murderers, People executed by hanging
Freestyle football	Football
Croydon	London Borough of Croydon, Towns in London
Addington	London Borough of Croydon, Villages in England
Flag of India	India, National flags
Coat of arms of India	India, National coats of arms, National symbols of India
Spanish Wikipedia	Wikipedias, Spanish language
Crystal Palace	Towns in London
Al-Askari mosque	Mosques in Iraq
Hathor	Egyptian gods and goddesses
Santorini	Wine regions, Calderas, Volcanoes of Europe, Islands of Greece
Samarra	Cities in Iraq
Holy See	Popes
Tigris	Rivers of Iraq, Rivers of Turkey, Rivers of Syria, Mesopotamia
Tawaret	Egyptian gods and goddesses
Seshat	Egyptian gods and goddesses
Apep	Egyptian gods and goddesses
Ville Valo	1976 births, Living people, Finnish singers, Songwriters, Baritones, People from Helsinki
Prefix notation	Mathematical notation
Nephthys	Egyptian gods and goddesses
Anuket	Egyptian gods and goddesses
Proto-Indo-European language	Indo-European languages
Ptah	Egyptian gods and goddesses
Kurt Waldheim	1918 births, 2007 deaths, Austrian people of World War II, Autobiographers, Deaths from heart failure, Government ministers of Austria, Military personnel of World War II, Writers from Vienna, Politicians from Vienna, Presidents of Austria, Recipients of the Decoration for Services to the Republic of Austria
Mop	Cleaning tools
Pan (mythology)	Greek gods and goddesses
Hypothesis	Philosophy of science, Words
Observation	Science, Philosophy of science, Basic English 850 words
East Sutton	Towns in Kent
City and town halls	Local government, Administrative buildings
Spectrometer	Physics, Laboratory equipment
Province of Carolina	1660s establishments in the Thirteen Colonies, History of North Carolina, 18th century in South Carolina, 1663 establishments, 18th-century disestablishments in the United States, History of Georgia (U.S. state), History of Florida, 1729 disestablishments, 1660s establishments in England, 18th century disestablishments in Europe
Adenosine diphosphate	Cellular respiration
Tefnut	Egyptian gods and goddesses
Sobek	Egyptian gods and goddesses
Lucky Town	1992 albums
Juli	German rock bands
Dar es Salaam	Cities in Tanzania
National Hurricane Center	Tropical cyclones, Miami, Florida
Gaborone	Cities in Botswana, Capital cities in Africa
Libreville	Capital cities in Africa, Gabon
Brahmaputra River	Rivers of Bangladesh, Rivers of China, Tibet, Rivers of Assam, Rivers of India
Lilongwe	Settlements in Malawi, Capital cities in Africa
Shu (god)	Egyptian gods and goddesses
Malabo	Capital cities in Africa, Equatorial Guinea
Multimedia	Communication
Shield volcano	Volcanoes
Caldera	Calderas
Addiscombe	London Borough of Croydon
South Norwood	London Borough of Croydon
Software bug	Software
Telephone tapping	Telephone, Criminal investigation
Sara Paxton	1988 births, Living people, Actors from Los Angeles, California, American movie actors, Jewish American actors, Jewish American musicians, Singers from Los Angeles, California
Lipstick	Cosmetics
Lip gloss	Cosmetics
Mbabane	Cities in Eswatini, Capital cities in Africa
Pentecostalism	Pentecostalism, Christian movements and denominational families
Pentecost	Christian holidays
Niamey	Capital cities in Africa, Cities in Niger
Basic Roman	English language, Pronunciation
Wadjet	Egyptian gods and goddesses
Buto	Ancient Egypt
Scribe	Ancient Egypt, Occupations, Writing systems
Ascension	Christian holidays
Need for Speed	Need for Speed games, Video game series
Jeanne Calment	1875 births, 1997 deaths, French centenarians, People from Provence-Alpes-Cote d'Azur, Supercentenarians
François Truffaut	Actors from Paris, Cancer deaths in France, Deaths from brain cancer, French movie actors, French screenwriters, French voice actors, French movie critics, Movie directors from Paris, Movie producers from Paris, Writers from Paris, 1932 births, 1984 deaths
Leif Erikson	970 births, 1020 deaths, Icelandic people, Explorers
Thomas More	1478 births, 1535 deaths, British lawyers, Christian saints, English Roman Catholics, English writers, Executed English people, Legislative speakers, Lord Chancellors, People executed by decapitation, Politicians from London
Juan Perón	1895 births, 1974 deaths, Argentine generals, Former dictators, Presidents of Argentina, Vice Presidents of Argentina
Kosher	Food and drink, Judaism
Cartagena, Colombia	Cities in Colombia, Geography of Colombia, 1533 establishments, 1530s establishments in the Spanish Empire
Greta Garbo	American child actors, American movie actors, Breast cancer survivors, Deaths from pneumonia, Deaths from renal failure, Infectious disease deaths in New York City, Naturalized citizens of the United States, Actors from Stockholm, Silent movie actors, Swedish movie actors, 1905 births, 1990 deaths
Anita Ekberg	Disease-related deaths in Italy, People from Malmo, Swedish models, Swedish movie actors, Swedish television actors, 1931 births, 2015 deaths
World Championship Wrestling	1988 establishments in the United States, 2001 disestablishments in the United States, Companies based in Atlanta, Georgia, Sports in Atlanta, Georgia, Time Warner subsidiaries, World Championship Wrestling
The Fresh Prince of Bel-Air	1990 American television series debuts, 1996 American television series endings, 1990s American comedy television series, American sitcoms, NBC network shows, Television series about families, Television series set in Los Angeles, California, English-language television programs
The Nation of Domination	WWE teams and stables
Potomac River	Rivers of Maryland, Rivers of West Virginia, Washington, D.C., Rivers of Virginia
Greenbrier County, West Virginia	West Virginia counties, 1782 establishments in North America, 1780s establishments in the United States
Emperor Go-Sanjō	Emperors of Japan
Emperor Jimmu	Emperors of Japan, Japanese mythology
585 BC	580s BC
Posthumous name	Names
You Can't Do That on Television	1979 television series debuts, 1990 television series endings, 1970s comedy television series, 1980s Nickelodeon shows, 1980s Canadian television series, 1980s comedy television series, 1990s Canadian television series, 1990s comedy television series, Canadian children's television series, Television sketch shows, 1979 establishments in Canada, 1990s disestablishments in Canada, English-language television programs
Medellín	Cities in Colombia, 1616 establishments, 17th-century establishments in the Spanish Empire
Nouakchott	Capital cities in Africa, Mauritania
Saint Nicholas	Christian saints, 270 births, 343 deaths
HBO	1972 establishments in New York (state), HBO
The Electric Company	PBS Kids shows, 1971 establishments in the United States, 1977 disestablishments in the United States, English-language television programs, 1971 television series debuts, 1977 television series endings
Model (person)	Art, Models
Jacques Rougeau	1960 births, Canadian professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from Quebec
Ezzard Charles	American boxers, Sportspeople from Georgia (U.S. state), 1921 births, 1975 deaths
Religion of Ancient Egypt	Egyptian mythology
Kyle Broflovski	Comedy movie characters, Fictional characters introduced in 1992, South Park characters
Eric Cartman	Comedy movie characters, Fictional characters introduced in 1997, South Park characters
...And Justice for All (album)	Metallica albums
Armenian Apostolic Church	Oriental Orthodoxy, 3rd-century establishments
National church	Church organization
List of football clubs in Armenia	Armenian football clubs, Lists of football teams
FC Zvartnots	Armenian football clubs
Armenian Premier League	Armenian football clubs
Football Federation of Armenia	UEFA, 1992 establishments, 20th century establishments in Armenia, Sport in Armenia
Orhan Pamuk	1952 births, Living people, Writers from Istanbul, Turkish Nobel Prize winners
Urartu	Urartu
Lake Van	Lakes of Asia, Geography of Turkey
Kurdish language	Iranian languages
Annual plant	Botany
Pea	Faboideae, Model organisms
Biennial	Types of plants
The WB	American television networks, 1995 establishments in the United States, 2006 disestablishments in the United States, The WB
Port Louis	Settlements in Mauritius, Capital cities in Africa
Freetown	Sierra Leone, Capital cities in Africa, 1792 establishments, Establishments in Africa
Michelle Obama	African-American people, African American lawyers, First Ladies of the United States, Barack Obama, American autobiographers, Writers from Chicago, Obama family, 1964 births, Living people
Fame (musical)	Musicals based on movies, West End musicals, 1980s musicals
Prime Minister of Japan	Prime Ministers of Japan
Emperor Suizei	Emperors of Japan
Emperor Annei	Emperors of Japan
Emperor Itoku	Emperors of Japan
Coptic Orthodox Church of Alexandria	Oriental Orthodoxy, Religion in Egypt
Pretoria	Pretoria, 1855 establishments, 19th-century establishments in South Africa, 1850s establishments in Africa
Reza Alinejad	1985 births, Living people, Human rights, Iranian people
Bigotry	Sociology
Bukkake	Human sexuality
Melleruds IF	Swedish football clubs, 1908 establishments in Sweden
Lisa Lampanelli	1961 births, Living people, Comedians from Connecticut
Detroit Tigers	Detroit Tigers
Oscilloscope	Laboratory equipment, Electronics, Measuring tools, Machines
Girl Scout cookie	Cookies
Nancy Drew	Characters in written fiction, Series of books, Fiction books
Arthur Abraham	Armenian boxers, People from Yerevan, Living people, 1980 births
International Boxing Federation	Sports organizations, Boxing
Vic Darchinyan	Armenian boxers, Living people, 1976 births, Australian boxers
Atenism	Egyptian mythology
Religion in ancient Armenia	Paganism, Armenian culture, Ancient Armenia
Steak	Meat dishes
Jet engine	Motors
Dawn Fraser	1937 births, Living people, Australian of the Year Award winners, Australian Olympic gold medalists, Australian Olympic silver medalists, Australian swimmers, Commonwealth Games medallists, Independent politicians in Australia, Medalists at the 1952 Summer Olympics, Medalists at the 1956 Summer Olympics, Medalists at the 1960 Summer Olympics, Members of the Order of the British Empire, Order of Australia, Politicians from Sydney, Sportspeople from Sydney
NBC News	NBC, NBC network shows
CBS News	Columbia Broadcasting System
The Masters Tournament	Golf tournaments, Sports in the United States, Augusta, Georgia
NFL Europa	National Football League
Ennead	Egyptian mythology
Heliopolis (ancient)	Ancient Egypt
Akhenaten	Pharaohs, Religious leaders
Bartonella rochalimae	Gram-negative bacteria
Tipi	Tipis, Native American
Karen Carpenter	1950 births, 1983 deaths, American pop musicians, Deaths from heart failure, Deaths from anorexia, American pop singers, Musicians from New Haven, Connecticut, Singers from Connecticut, People from Downey, California, Singers from California
Luke the Evangelist	New Testament people
Walid Eido	1942 births, 2007 deaths, Assassinated people, Lebanese Muslims, Lebanese politicians, People from Beirut
Toyama Prefecture	Toyama Prefecture, Prefectures of Japan
Fouad Siniora	1943 births, Living people, Lebanese Muslims, Government ministers, Presidents of Lebanon, Prime Ministers of Lebanon
Hassan Nasrallah	1960 births, Living people, Lebanese Muslims, Lebanese nationalists, Lebanese politicians, Lebanese terrorists, Muslim terrorists
Sidon	Cities in Lebanon, Phoenicia
Chisel	Cutting tools, Woodworking tools
Parallel	Basic English 850 words
Oak Park, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Ring Lardner	American columnists, Deaths from tuberculosis, Infectious disease deaths in the United States, Writers from Michigan, 1885 births, 1933 deaths
Björk	Björk, Brit Award winners, Icelandic movie actors, Rock musicians, Singers, Songwriters, 1965 births, Living people, People from Reykjavík, Trip hop musicians
List of years	Year lists
Volumetric flask	Laboratory equipment
Florence flask	Laboratory equipment
Motion Picture Association of America	Movie organizations, Non-profit organizations of the United States, 1922 establishments in the United States
Long Beach, California	Long Beach, California
São Carlos	Cities in São Paulo (state)
51st state	States of the United States
Mogadishu	Capital cities in Africa, Cities in Somalia
J1 League	Football leagues, Football in Japan, 1993 establishments in Asia, 1990s establishments in Japan
Philippine Revolution	History of the Philippines, Wars of independence, Rebellions in Asia, 19th century rebellions
Victoria, Seychelles	Seychelles, Capital cities in Africa
Roe	Seafood
Television licence	Television
Nicosia	Nicosia
Gob	Canadian punk bands, Musical groups established in 1994, 1994 establishments in Canada
Auckland Grammar School	Auckland, Schools in New Zealand, 1868 establishments, 1860s establishments in New Zealand
Virginia Beach, Virginia	Beaches of the United States, Virginia Beach, Virginia
Rose Tattoo	1970s Australian music groups, 1980s Australian music groups, 1990s Australian music groups, 2000s Australian music groups, 2010s Australian music groups, Australian hard rock bands, Musical groups established in 1976, Musical groups from Sydney
Patriots' Day	Holidays, Massachusetts
Woodside, London	London Borough of Croydon
Sofia	Sofia, Provinces of Bulgaria
Burette	Laboratory equipment
Maghen Abraham Synagogue	Synagogues, Beirut, Buildings and structures in Lebanon, 1925 establishments in Asia, 20th century establishments in Lebanon
Georg Danzer	Austrian musicians, Songwriters, 1946 births, 2007 deaths
Bentheuphausia amblyops	Krill
Grosse Ile Township, Michigan	Townships in Michigan
Malacostraca	Malacostraca
Decapod	Decapods
Rafik Hariri	1944 births, 2005 deaths, Assassinated people, Billionaires, Business people, Lebanese Muslims, Prime Ministers of Lebanon
Antenna (biology)	Crustaceans, Insects
Sepp Dietrich	1892 births, 1966 deaths, German prisoners, German war criminals, People from Bavaria, SS officers, Waffen-SS generals
Hue	Color
Freeview (New Zealand)	Television, New Zealand culture, 2007 establishments, 2000s establishments in New Zealand
Burqa	Islamic dress
Motion Picture Association of America film rating system	Movie ratings
The Satanic Verses	1988 books, English novels, English-language novels
Satanic verses	Islam, Quran
National Democrats (Sweden)	2001 establishments in Sweden, Nationalist organizations in Europe, Political parties in Sweden
Broad Green	London Borough of Croydon, Villages in England
Kanji	Writing systems, Japanese language
Chris Moyles	BBC radio presenters, British autobiographers, English radio personalities, English television presenters, People from Leeds, Television personalities from Yorkshire, 1974 births, Living people
Libretto	Opera terminology
Hmong people	Ethnic groups in Asia, Thai people, Laos, Vietnamese people
Toplessness	Nudity
Westminster Cathedral	Cathedrals in England, Roman Catholic Cathedrals, Buildings and structures in the City of Westminster, Westminster
Cachoeira do Sul	Cities in Rio Grande do Sul
Median	Statistics
Mode (statistics)	Statistics
S.S.C. Napoli	Italian football clubs, Naples, 1926 establishments in Italy
At War with Satan	Venom (band), 1983 albums, Heavy metal albums
Antichrist	New Testament, Christian eschatology
Baker	Baking
Statistical hypothesis test	Statistics
Luxembourg City	Luxembourg City, World Heritage Sites in Europe
Vacuum cleaner	Home appliances
TV Tokyo	Japanese television networks
Drawer	Furniture
Chest of drawers	Furniture
Puzzle	Puzzles
On-Line Encyclopedia of Integer Sequences	Mathematics, Science websites
Ramanujan prime	Number theory
Prime counting function	Number theory
Bertrand's postulate	Number theory
Paul Erdős	1913 births, 1996 deaths, Hungarian scientists, Mathematicians, Wolf Prize winners
Erdős number	Numbers
John Morrison (wrestler)	1979 births, Living people, American professional wrestlers, Former WWE wrestlers, Sportspeople from Los Angeles, California, American Roman Catholics
Candice Michelle	1978 births, Living people, American professional wrestlers, Former WWE wrestlers, Female professional wrestlers, American models, Actors from Milwaukee, Wisconsin, Sportspeople from Wisconsin
Star of David	Judaism, Religious symbols
Belz Beis HaMedrash HaGadol	Synagogues, Judaism in Israel, Buildings and structures in Jerusalem
Samson (band)	British heavy metal bands, 1977 establishments in the United Kingdom, Musical groups established in 1977, Musical groups disestablished in 2002, 2002 disestablishments in the United Kingdom
Thornton Heath	Towns in London, London Borough of Croydon
Stamford Bridge (stadium)	Football stadiums in London
Freeganism	Lifestyles, Recycling
British Board of Film Classification	1912 establishments in the United Kingdom, Movie organizations, Video game ratings, Organisations based in London
Electrology	Hair, Medical procedures
Film rating systems	Movie ratings
Eve Ensler	1953 births, Living people, American activists, American feminists, American playwrights, People with cancer, Writers from New York City
Roger Pearson	British writers, British anthropologists, 1927 births, Living people
Colorado Springs, Colorado	Colorado Springs, Colorado, County seats in Colorado, 1886 establishments in the United States, 1880s establishments in Colorado
Janice Raymond	1943 births, Living people, American academics, American LGBT people, American radical feminists, Lesbian feminists, LGBT scientists, Prostitution
Energy efficiency	Energy
Tulsa, Oklahoma	Tulsa, Oklahoma, County seats in Oklahoma
Anchorage, Alaska	Anchorage, Alaska, 1914 establishments in the United States, 20th-century establishments in Alaska
Boundary Peak	Geography of Nevada, Mountains of the United States
Skopje	Skopje
Norwegian Dawn	Cruise ships
Lea Fastow	1961 births, Living people, American Jews, American criminals, People from Houston, Texas
Lawrence Higby	Year of birth missing (living people), Living people, Businesspeople from Washington, D.C., American political activists
Endorsement test	Government, United States law, Religion in the United States
Terry Rakolta	American activists, 1943 births, Living people
Snake River	Rivers of Washington (U.S. state), Rivers of Oregon, Rivers of Wyoming, Rivers of Idaho
Mount Hood	Geography of Oregon, Mountains of the United States
Crater Lake	Geography of Oregon, Lakes of the United States, Volcanoes of the United States, Calderas
Driftwood	Wood
List of United States cities by population	Lists of cities in the United States
What Not to Wear	British reality television series, BBC Television programmes
Public figure	Law
Elm	Trees, Ulmaceae
Governor of Massachusetts	Governors of Massachusetts, Lists of politicians from the United States, Politicians from Massachusetts
Produce	Fruits, Vegetables
Highway	Roads
Beverly Cleary	1916 births, 2021 deaths, American centenarians, American children's writers, American autobiographers, Writers from Oregon
London, Ontario	Cities in Ontario
Amy Winehouse	1983 births, 2011 deaths, Brit Award winners, British jazz musicians, British R&B musicians, British soul musicians, Contraltos, Drug-related accidental deaths in the United Kingdom, Grammy Award winners, Singers from London
Canuck	Canada, Slang
Charles Kirk Clarke	1857 births, 1924 deaths, People from Ontario, Psychiatrists, Medical researchers
The Internationale	Songs, Communism, Socialism
Hartley, Kent	Villages in Kent
Stephanie McMahon	1976 births, Living people, WWE people, American screenwriters, Writers from Connecticut
Cienfuegos	Cities in Cuba, 1819 establishments in North America, 19th-century establishments in Cuba
Gribble	Isopods
Tuatara	Scaled reptiles, Living fossils, Animals of New Zealand
Dinosaur Jr	1984 establishments in the United States, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American rock bands, Musical groups established in 1984, Musical groups from Massachusetts
Band Aid (band)	1984 establishments in the United Kingdom, Musical groups established in 1984
Hüsker Dü	American punk bands, Musical groups from Minnesota, Musicians from Saint Paul, Minnesota, Musical groups established in 1979, 1979 establishments in the United States, 1970s establishments in Minnesota, Musical groups disestablished in 1988, 1988 disestablishments in the United States, 20th-century disestablishments in Minnesota
Deir el Qamar Synagogue	Synagogues, Buildings and structures in Lebanon, 17th century establishments in Asia, Establishments in Lebanon
Interstate 75	Interstate Highways
Kumho Tire Co. v. Carmichael	United States law, Politics
Deodorant	Hygiene
Silesia	Geography of the Czech Republic, Geography of Poland, Geography of Saxony, Regions of Germany
Josh Holloway	1969 births, Living people, American television actors, Actors from Santa Clara County, California, People from San Jose, California
Levon Mkrtchyan	1953 births, Living people, Armenian movie directors
Manuel Fraga Iribarne	Galician people, Spanish politicians, 1922 births, 2012 deaths
Galicia (Spain)	Galicia
Bilirubin	Biochemistry, Physiology
Nelly Furtado	1978 births, Living people, Canadian pop singers, Grammy Award winners, Musicians from British Columbia, Nelly Furtado, People from Victoria, British Columbia, Portuguese singers, R&B musicians, Latin Grammy Award winners
Anna Jurkiewicz	1984 births, Living people, Polish sportspeople, Figure skaters
Exmoor	Devon, Somerset, National parks in the United Kingdom
Barnstaple	Towns in Devon
Bideford	Towns in Devon
Tiverton	Mid Devon, Towns in Devon
Torbay	Unitary authorities in Devon
1215	1215
391	391
Beyond (album)	2007 albums
Mitt Romney	Businesspeople from Massachusetts, United States senators from Utah, American chief executives, Governors of Massachusetts, Politicians from Detroit, Michigan, Businesspeople from Detroit, Michigan, Businesspeople from Utah, 2008 United States presidential candidates, 2012 United States presidential candidates, US Republican Party politicians, 1947 births, Living people, 21st-century American politicians, Massachusetts Republicans
Laboratory glassware	Laboratory equipment
Volta (album)	2007 albums, Björk albums, Pop albums
Mulatto	Ethnic groups, Spanish language
Water polo	Water polo, Summer Olympic sports
Fishstick	Seafood, Fast food
Nelly	1974 births, Living people, American rap musicians from Texas, Grammy Award winners, Singers from Missouri, Singers from Austin, Texas, Nelly, Musicians from Austin, Texas
Boy band	Boy bands
Solo (music)	Music
Antarctic krill	Krill
Cubic metre	Units of volume
Food and Agriculture Organization	United Nations, Green politics
Colorimeter	Laboratory equipment
Valletta	National capitals in Europe, Cities in Malta
Basketball Bundesliga	Basketball leagues, Sport in Germany, 1939 establishments, 1930s establishments in Germany
Butterfield, Missouri	Cities in Missouri
Andorra la Vella	National capitals in Europe, Parishes of Andorra
Woodland	Forests
Limburg (Netherlands)	Limburg (Netherlands)
Mount Cayley	Volcanoes of British Columbia, Mountains of British Columbia
Limburg (Belgium)	Limburg (Belgium)
Limbourg	Municipalities of Liège
Illusion	Illusions
Charcoal	Fuel, Biofuels
Brose Baskets	Bamberg, Basketball teams, Sports clubs, Sport in Bavaria
Armenian Revolutionary Federation	Politics of Armenia, Socialist International, Political parties in Europe, Nationalist organizations in Europe, Tbilisi, 1890 establishments
Christapor Mikaelian	Armenian politicians, 1859 births, 1905 deaths
Varazdat	Monarchs of Armenia
Adana massacre	Adana massacre, Anti-Armenianism, Massacres in Turkey, Armenian Genocide, April events, 1909, 20th century in Turkey
Adana	Cities in Turkey
Parsley Massacre	20th century in the Dominican Republic, Massacres, 20th centuy in Haiti, 1937 in North America
Heat pump	Engineering
Second law of thermodynamics	Thermodynamics, Laws of physics
Air conditioner	Engineering
First law of thermodynamics	Thermodynamics, Laws of physics
Conservation of energy	Thermodynamics, Laws of physics
Differences between butterflies and moths	Lepidoptera
Monophyly	Cladistics
Lepidoptera	Lepidoptera
Diurnal	Zoology
Skipper (butterfly)	Hesperiidae
Energy conservation	Energy, Engineering, Environment
Cogeneration	Electricity
Dew point	Weather, Weather measurements
Podgorica	Cities in Montenegro, Municipalities of Montenegro, National capitals in Europe
Región Autónoma del Atlántico Sur	Geography of Nicaragua
Región Autónoma del Atlántico Norte	Geography of Nicaragua
Gas compressor	Engineering
Cash	Currency
Hemer	Märkischer Rural District
Heat engine	Basic physics ideas, Heat, Thermodynamics
Thermodynamic cycle	Thermodynamics
Christoph Metzelder	1980 births, Living people, German footballers, Sportspeople from North Rhine-Westphalia
Thermodynamic system	Thermodynamics, Systems, Systems theory
Piston	Auto parts
Pinyin	Chinese language
Susianna Kentikian	1987 births, Living people, Armenian boxers
Banknote	Currency
Common cold	Diseases caused by viruses
