Institution of Structural Engineers	Organisations based in London
Cosimo Rosselli	1439 births, 1500s deaths, People from Florence, 15th century Italian painters
Der Wanderer	19th century songs
Erzincan	Cities in Turkey
J.P. Manoux	1969 births, Living people, American television actors, American voice actors, People from Fresno, California
Life Before Life	Non-fiction books, 2005 books, Parapsychology
Ian Stevenson	Psychiatrists, People from Quebec, 2007 deaths, 1918 births, Parapsychologists
Jhelum	Cities in Pakistan
Parapsychology	Parapsychology
Handedness	Motor skills, Writing
Andromeda galaxy	Spiral galaxies, Local galaxies
Moses Mabhida Stadium	Football stadiums in South Africa, FIFA World Cup, Durban, 2009 establishments, 2000s establishments in South Africa
Endive	Asteraceae
Cape Town Stadium	Cape Town Stadium, Football stadiums in South Africa, FIFA World Cup, Cape Town, 1987 establishments in Africa, 1980s establishments in South Africa
Mechanical bull	Amusement rides
Naoki Hashimoto	1982 births, Living people, Footballers from Fukushima Prefecture
Kenichiro Uchida	1976 births, Living people, Footballers from Saitama Prefecture
Masato Chiba	1978 births, Living people, Footballers from Miyagi Prefecture
Hideki Kirita	1980 births, Living people, Footballers from Shimane Prefecture
Katsunobu Saga	1978 births, Living people, Footballers from Akita Prefecture
Kazutaka Takano	1979 births, Living people, Footballers from Yamagata Prefecture
Takeshi Yamaguchi	1979 births, Living people, Footballers from Kumamoto Prefecture
Kiyokazu Masuda	1987 births, Living people, Footballers from Hyōgo Prefecture
Shingo Kinoshita	1987 births, Living people, Blaublitz Akita players, Footballers from Hyōgo Prefecture
Keiichi Misawa	1988 births, Living people, Footballers from Nagano Prefecture
Ryota Doi	1987 births, Living people, Footballers from Hyōgo Prefecture
Kohei Doi	1988 births, Living people, Footballers from Hyōgo Prefecture
Tomohisa Nakata	1987 births, Living people, Footballers from Aichi Prefecture
Keita Sogabe	1988 births, Living people, Footballers from Hyōgo Prefecture
Masahiro Ito	1988 births, Living people, Footballers from Hyōgo Prefecture
Sho Okubo	1988 births, Living people, Footballers from Kanagawa Prefecture
Eiji Sato	1971 births, Living people, Footballers from Saitama Prefecture
Koki Kotegawa	1989 births, Living people, Footballers from Oita Prefecture
Mischa Maisky	1948 births, Living people, Cellists, Jewish Israeli musicians, Latvian Jews, Naturalized citizens of Israel, People from Riga, Soviet Jews, Soviet musicians
Hidenori Tabata	1970 births, Living people, Footballers from Aomori Prefecture
Masayuki Mita	1969 births, Living people, Footballers from Miyagi Prefecture
Fukutaro Shino	1982 births, Living people, Footballers from Tokyo Prefecture
List of Indo-European languages	Indo-European languages, Language-related lists
Shinya Hatta	1984 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Edinaldo Batista dos Santos	1987 births, Living people, Brazilian footballers
Kim Ki-Su	1982 births, Living people, North Korean footballers
Jun Shimanuki	1988 births, Living people, Footballers from Tokyo Prefecture
Celso Cardoso de Moraes	1979 births, Living people, Brazilian footballers
Wataru Yamazaki	1980 births, Living people, Footballers from Saitama Prefecture
Mário Brandão da Silveira	1987 births, Living people, Brazilian footballers
Daiki Sato	1988 births, Living people, Footballers from Chiba Prefecture
Jin Kanaoya	1988 births, Living people, Footballers from Saitama Prefecture
Shota Iwata	1988 births, Living people, Footballers from Chiba Prefecture
Émile Mpenza	1978 births, Living people, Belgian footballers
Anatoliy Tymoshchuk	1979 births, Living people, Ukrainian footballers
IOS	IOS
Ford Model A (1927–1931)	Ford automobiles, 1920s automobiles, 1930s automobiles
Ellis Park Stadium	Ellis Park Stadium, FIFA World Cup, Football stadiums in South Africa, Johannesburg, 1982 establishments in Africa, 1980s establishments in South Africa
Ferman Akgül	1979 births, Living people, Turkish singers, People from Ankara
Bruce Greyson	Psychiatry, 1946 births, Living people, Parapsychologists
Gail Kim	1977 births, Canadian professional wrestlers, Female professional wrestlers, Living people, Sportspeople from Toronto
Mission, British Columbia	Cities in British Columbia
Near death experience	Psychiatry, Death, Afterlife
Duracell	Electronics companies, Batteries
Loftus Versfeld Stadium	Loftus Versfeld, FIFA World Cup, Football stadiums in South Africa, Pretoria, 1906 establishments, 20th-century establishments in South Africa, 1900s establishments in Africa
Periodontitis	Diseases and disorders of the mouth
Nelson Mandela Bay Stadium	Nelson Mandela, FIFA World Cup, Football stadiums in South Africa
Mbombela Stadium	Mbombela Stadium, FIFA World Cup, Football stadiums in South Africa
Suda	Byzantine Empire, Encyclopedias, Literature
Toshitaka Tsurumi	1986 births, Living people, Footballers from Kanagawa Prefecture
Yohei Hamasaki	1987 births, Living people, Footballers from Kōchi Prefecture
Yosuke Kawamata	1985 births, Living people, Footballers from Tokyo Prefecture
Kyaw Din	1900 births, Living people, Burmese people, Coaches
Hideto Inoue	1982 births, Living people, Footballers from Ehime Prefecture
Joey Barton	1982 births, Living people, British people convicted of assault, English footballers, Sportspeople from Merseyside, Premier League players
Alexandre Luiz Fernandes	1986 births, Living people, Brazilian footballers
Misao Tamai	1903 births, 1978 deaths, Footballers from Hyōgo Prefecture, Japan international footballers
Gilberto Martínez	1979 births, Living people, Costa Rican footballers
Flag of Slovenia	Slovenia, National flags, 1991 establishments in Slovenia
Yegor Titov	1976 births, Living people, Russian footballers
Abdul Kader Keïta	1981 births, Living people, Ivorian footballers
Cockatoo Island (New South Wales)	Geography of New South Wales, Australian Convict Sites, Museums in Australia, Sydney, Prisons
Mikael Nilsson	1978 births, Living people, Swedish footballers
Warren Buffett	American billionaires, American chief executives, Businesspeople from Omaha, Nebraska, People with cancer, 1930 births, Living people, Writers from Omaha, Nebraska, American philanthropists
Christoph Spycher	1978 births, Living people, Swiss footballers
Pentatomoidea	Hemiptera
Port of Kaohsiung	Transport in Taiwan, Ports and harbours of Taiwan
Martti Ahtisaari	1937 births, Living people, Presidents of Finland, Finnish Nobel Prize winners, People with Alzheimer's disease
Guatemala City	1773 establishments, National capitals in North America, Cities in Central America, Guatemala City, Establishments in Guatemala, 1770s establishments in North America
National Park Service	National parks in the United States, United States government agencies, United States Department of the Interior
Babysitter	Children, Personal service occupations
Noboru Nakayama	1987 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Cleberson Luis Marques	1984 births, Living people, Brazilian footballers
Stephen Ireland	1986 births, Living people, Irish footballers, People from Cork (city)
Takashi Sasano	1983 births, Living people, Footballers from Kanagawa Prefecture
Yushi Ito	1984 births, Living people, Footballers from Saitama Prefecture
Kenji Takahashi (born in 1985)	1985 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Hiroyuki Nitao	1973 births, Living people, Footballers from Kagoshima Prefecture
Ivan Saenko	1983 births, Living people, Russian footballers
Pedro Zaballa	1938 births, 1997 deaths, Spanish footballers
Cha Du-ri	1980 births, Living people, South Korean footballers
Kim Tae-young (footballer, born 1970)	1970 births, Living people, South Korean footballers
Stipe Pletikosa	1979 births, Living people, Croatian footballers, People from Split
Hyun Young-min	1979 births, Living people, South Korean footballers
Lee Min-sung	1973 births, Living people, South Korean footballers
Choi Eun-sung	1971 births, Living people, South Korean association football goalkeepers
Koffi Ndri Romaric	1983 births, Living people, Ivorian footballers
Hasan Şaş	1976 births, Living people, Turkish footballers
Okan Buruk	1973 births, Living people, Turkish footballers
Out of body experience	Spirituality
American Arts Commemorative Series medallions	Money, Cultural history
Implication and inference	Grammar, Human communication
Nonverbal communication	Non-verbal communication
Triangular number	Integer sequences
Skeptical Inquirer	Skepticism, Science and technology magazines, Pseudoscience
Animal Collective	American rock bands, Indie rock bands, Musicians from Baltimore, Maryland, Musical groups from Maryland, 1999 establishments in the United States, Musical groups established in 1999, 1990s establishments in Maryland
Comox, British Columbia	Cities in British Columbia, 1953 establishments, 1950s establishments in Canada
Walled In	2009 horror movies, 2009 thriller movies, American horror movies, American thriller movies, Canadian horror movies, English-language movies, French horror movies, French thriller movies, Movies based on books, Movies directed by Gilles Paquet-Brenner
Pair production	Wave physics
Acupuncture	Alternative medicine, Chinese culture
Nishogakusha University	Colleges and universities in Tokyo, 1877 establishments, 1870s establishments in Japan
Order of Australia	Order of Australia, 1975 establishments, 1970s establishments in Australia
Pedro María Zabalza	1944 births, Living people, Spanish footballers, Spanish football managers, People from Pamplona
Ilsinho	1985 births, Living people, Brazilian footballers
Osamu Adachi	1972 births, Living people, Footballers from Shimane Prefecture
Akihiro Kameda	1966 births, Living people, Japanese footballers
Angelos Basinas	1976 births, Living people, Greek footballers
Claude Davis	1979 births, Living people, Caribbean footballers, Jamaican sportspeople, Crystal Palace F.C. players
Tommaso Rocchi	1977 births, Living people, Italian footballers, People from Venice
Futoshi Ikeda	1970 births, Living people, Footballers from Tokyo Prefecture
Denílson Pereira Neves	1988 births, Living people, Brazilian footballers
Maurizio Ganz	1968 births, Living people, Italian footballers
Rami Shaaban	1975 births, Living people, Swedish footballers
Nawaf Al-Temyat	1976 births, Living people, Saudi Arabian footballers
Clemente Rodríguez	1981 births, Living people, Argentine footballers, Sportspeople from Buenos Aires
Martín Palermo	1973 births, Living people, Argentine footballers
Sheamus	1978 births, Actors from Dublin, Irish professional wrestlers, Living people, Professional wrestlers, WWE wrestlers
Glenmore, Wisconsin	Towns in Wisconsin, Brown County, Wisconsin
Rover 600 Series	Rover automobiles, 1990s automobiles
Radymno	Cities in Poland
Volkswagen Golf Plus	Volkswagen Golf, 2000s automobiles, 2010s automobiles
Sexual selection	Evolutionary biology
Sabine Bergmann-Pohl	1946 births, Living people, Former members of the German Bundestag, German Lutherans, Government ministers of Germany, Members of the Volkskammer, Politicians from Thuringia, Presidents of East Germany
Google Sidewiki	Google
César Aparecido Rodrigues	1974 births, Living people, Brazilian footballers
Shoji Akimitsu	1977 births, Living people, Footballers from Oita Prefecture
Javier Navarro	1974 births, Living people, Spanish footballers, People from Valencia
Paul Telfer	1971 births, Living people, Scottish footballers
Minoru Ueda	1977 births, Living people, Footballers from Tokyo Prefecture
Kazutoshi Miura	1977 births, Living people, Footballers from Miyazaki Prefecture
José Marcelo Ferreira	1973 births, Living people, Brazilian footballers
Onagraceae	Myrtales
Yusuke Amano	1978 births, Living people, Footballers from Ehime Prefecture
Ryuzo Okamitsu	1940 births, Living people, Footballers from Hiroshima Prefecture
Shinya Tamaoki	1988 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Damiano Zenoni	1977 births, Living people, Italian footballers
Giampiero Pinzi	1981 births, Living people, Italian footballers, Sportspeople from Rome
Tamon Machida	1982 births, Living people, Footballers from Saitama Prefecture
Hideyuki Nakamura	1984 births, Living people, Footballers from Saitama Prefecture
Suguru Hashimoto	1982 births, Living people, Footballers from Hyōgo Prefecture
Yusuke Tasaka	1985 births, Living people, Footballers from Hiroshima Prefecture
Blood atonement	Mormonism
František Straka	1958 births, Living people, Czech footballers, Czech football managers
Luís Boa Morte	1977 births, Living people, Portuguese footballers, Sportspeople from Lisbon
John Michael Wright	1617 births, 1694 deaths, English painters, Scottish painters
Frank Leboeuf	1968 births, Living people, French footballers, Sportspeople from Marseille
Öland	Islands of Sweden, Provinces of Sweden
Gräsö	Islands of Sweden
Vicente del Bosque	1949 births, Living people, Spanish footballers, Spanish football managers, People from Salamanca
Xenophanes	Skepticism, Ancient Greek philosophers
Maihama Station	1988 establishments in Japan
Modus tollens	Rules of inference
Metta World Peace	1979 births, African-American basketball players, Living people, Chicago Bulls players, Houston Rockets players, Indiana Pacers players, Los Angeles Lakers players, Sacramento Kings players, Sportspeople from New York City
On the Origin of Species	Evolutionary biology, Biology books, 1859 books, Books by Charles Darwin
Armitage Shanks	1817 establishments, Ceramics, Companies of the United Kingdom, Waste, 1810s establishments in the United Kingdom
Uriah Fuller	Pen names
George Groth	Pen names
Standard of living	Economics, Human rights
Canaanite	Bible
U.S. Route 101 in California	U.S. Highways, Roads in California
Yelp, Inc.	2004 establishments in the United States, Internet culture, Companies based in San Francisco, Social networking, Web 2.0
John Stalberg, Jr.	Year of birth missing (living people), Living people, American movie directors, American screenwriters
Free State Stadium	Free State Stadium, FIFA World Cup, Football stadiums in South Africa, Bloemfontein, 1952 establishments, 20th-century establishments in South Africa
Peter Mokaba Stadium	Peter Mokaba Stadium, FIFA World Cup, Football stadiums in South Africa
Royal Bafokeng Stadium	Royal Bafokeng Stadium, FIFA World Cup, Football stadiums in South Africa
The Dirty Energy Dilemma	Non-fiction books, Energy, 2008 books
Narita Airport Station	1991 establishments in Japan
Nobuhiro Sadatomi	1979 births, Living people, Footballers from Tokyo Prefecture
Veljko Paunović	1977 births, Living people, Serbian footballers
Sebastián Battaglia	1980 births, Living people, Argentine footballers, People from Santa Fe, Argentina
Piotr Sowisz	1971 births, Living people, Polish footballers
Frédéric Kanouté	Malian footballers, 1977 births, Living people
Cosmin Contra	1975 births, Living people, Romanian footballers
Manu del Moral	1984 births, Living people, Spanish footballers
Miguel de las Cuevas	1986 births, Living people, Spanish footballers, People from Alicante
Fabiano Eller	1977 births, Living people, Brazilian footballers
Julien Escudé	1979 births, Living people, French footballers, People from Centre-Val de Loire
Antonio Puerta	1984 births, 2007 deaths, Spanish footballers
Nélson Marcos	1983 births, Living people, Portuguese footballers
Fumiaki Iwamoto	1968 births, Living people, Footballers from Nagasaki Prefecture
Leandro Somoza	1981 births, Living people, Argentine footballers, Sportspeople from Buenos Aires
Tadao Takayama	1904 births, 1980 deaths, Footballers from Tokyo Prefecture, Japan international footballers
Sylvain N'Diaye	1976 births, Living people, Senegalese footballers, Sportspeople from Paris
Ramesses II	Pharaohs
David Rozehnal	1980 births, Living people, Czech footballers
Ballonmuseum Gersthofen	Buildings and structures in Bavaria, Museums in Germany
Governor of New South Wales	Governors of New South Wales
Chūbu region	Geography of Japan, Honshu
Space bar	Computing
AZERTY	Computing
Parintins	Cities in Amazonas State, 1852 establishments, 19th-century establishments in Brazil, 1850s establishments in South America
Itacoatiara	Cities in Amazonas State, 1874 establishments, 1870s establishments in Brazil
East River	Geography of New York City
American Society of Civil Engineers	Civil engineering
Tarbosaurus	Theropods, Tyrannosaurids, Dinosaurs of Asia
Torosaurus	Ceratopsids
Dung beetle	Polyphaga
Bombardier beetle	Carabidae
Luigi Delneri	1950 births, Living people, Italian footballers
Toshikazu Kato	1981 births, Living people, Footballers from Hiroshima Prefecture
Hidekazu Tajiri	1975 births, Living people, Footballers from Kumamoto Prefecture
Wataru Tagami	1982 births, Living people, Footballers from Fukuoka Prefecture
Yoshihiro Saisho	1982 births, Living people, Footballers from Kagoshima Prefecture
Valentino Mazzola	1919 births, 1949 deaths, Italian footballers
Guillermo Barros Schelotto	1973 births, Living people, Argentine footballers
Ichiji Otani	1912 births, 2007 deaths, Footballers from Hyōgo Prefecture, Japan international footballers
Hidekazu Orita	1961 births, Living people, Footballers from Hiroshima Prefecture
Hiroshi Kagawa	1924 births, Living people, Footballers from Hyōgo Prefecture
Mauricio Salles	1978 births, Living people, Brazilian footballers, People from Salvador, Bahia
Stanislav Varga	1972 births, Living people, Slovak footballers
Albert Meyong	1980 births, Living people, Cameroonian footballers
Bonaventure Kalou	1978 births, Living people, Ivorian footballers
Matías Fernández	1986 births, Living people, Chilean footballers, Sportspeople from Buenos Aires
Jason Culina	1980 births, Living people, Australian footballers, Sportspeople from Melbourne
Martin Laursen	1977 births, Living people, Danish footballers
Libor Sionko	1977 births, Living people, Czech footballers
Lightning arrester	Electricity distribution
Alfred Macalik	Romanian composers, Austrian composers, Sculptors, Painters, 1888 births, 1979 deaths
StarHub TV	Singaporean companies, Cable television, Entertainment companies
Mediacorp	Singaporean companies, Media in Asia
Glomerular filtration rate	Medical tests
Sutton United F.C.	English football clubs, London Borough of Sutton
Freaky Friday (1976 movie)	1976 comedy movies, 1970s teen movies, American fantasy movies, American teen comedy movies, Body swapping in fiction, English-language movies, Movies based on books, Disney movies
Dairy Queen	1940 establishments in Illinois, American fast food restaurants
Fallout (video game)	Role-playing video games, Windows games, MacOS games, Fallout series
Hamilton, Bermuda	National capitals in North America, Bermuda
Brooklyn Museum	Museums in New York City, Art museums in the United States, Brooklyn, 1895 establishments in the United States, 1890s establishments in New York (state)
Centrosaurus	Ceratopsia
Tenontosaurus	Ornithopods, Cretaceous dinosaurs
Alicia Fox	1977 births, Living people, WWE wrestlers, Female professional wrestlers, Sportspeople from Florida
Stick insect	Phasmids
Extra time	Sports
Olivier Kapo	1980 births, Living people, French footballers
Frédéric Déhu	1972 births, Living people, French footballers
Félix Dja Ettien	1979 births, Living people, Ivorian footballers
Matthew Connolly	1987 births, Living people, English footballers, Sportspeople from London, Premier League players
Mark Randall	1989 births, Living people, Arsenal F.C. players, English footballers, Milton Keynes, Sportspeople from Buckinghamshire
Bernard Mendy	1981 births, Living people, French footballers
Mario Yepes	1976 births, Living people, Colombian footballers
Cristian Rodríguez	1985 births, Living people, Uruguayan footballers
Mikel Alonso	1980 births, Living people, Spanish footballers
Xabier Prieto	1983 births, Living people, Spanish footballers
Aitor López Rekarte	1975 births, Living people, Spanish footballers
Jurica Vranješ	1980 births, Living people, Croatian footballers
Javier Aguirre	1958 births, Living people, Sportspeople from Mexico City, Mexican footballers, Mexican football managers, Japan national football team managers
Erwin Koeman	1961 births, Living people, Dutch football managers, Dutch footballers, Eredivisie managers, People from Zaanstad, Sportspeople from North Holland
Ivica Osim	1941 births, Living people, People from Sarajevo, Bosnia and Herzegovina footballers, Bosnia and Herzegovina football managers, Japan national football team managers
Jewish cemetery of Besançon	Cemeteries, Judaism in France, Besançon
Alcides Ghiggia	1926 births, 2015 deaths, Deaths from myocardial infarction, Uruguayan footballers, Uruguayan football managers, Italian footballers, Italian football managers, Sportspeople from Montevideo
United States Army Center of Military History	United States Army
Marko Babić	1981 births, Living people, Croatian footballers
Hetepheres I	Ancient Egyptian queens, 3rd millennium BC
Binaural beats	Sound, Neurology, Hearing
Benjamin K. Sovacool	Year of birth missing (living people), Living people, American academics
Kate Cary	1967 births, Living people, English writers
David Pall	1914 births, 2004 deaths, Deaths from Alzheimer's disease, Canadian scientists
Barosaurus	Dinosaurs of North America, Dinosaurs of Africa, Jurassic dinosaurs, Diplodocids
NHL 11	2010 video games, Electronic Arts video games, PlayStation 3 games, Xbox 360 games, Sports video games
Yusuke Suzuki	1982 births, Living people, Footballers from Saitama Prefecture
Takaaki Hisadome	1982 births, Living people, Footballers from Kagoshima Prefecture
Iñigo Díaz de Cerio	1984 births, Living people, Spanish footballers
Gène Hanssen	1959 births, Living people, Dutch footballers, Sportspeople from Limburg (Netherlands)
Edwin Ifeanyi	1972 births, Living people, Cameroonian footballers
Uğur Yıldırım	1982 births, Living people, Dutch footballers, People from Apeldoorn, Sportspeople from Gelderland
Hisanori Yae	1980 births, Living people, Footballers from Nagasaki Prefecture
Takahiro Ishikawa	1983 births, Living people, Footballers from Tokyo Prefecture
Mark Burke	1969 births, Living people, English footballers, People from Solihull
Edson Araujo da Silva	1980 births, Living people, Brazilian footballers
Taro Kawano	1980 births, Living people, Footballers from Tokyo Prefecture
Koichi Higashi	1978 births, Living people, Footballers from Nara Prefecture
Hwang Hak-Sun	1976 births, Living people, North Korean footballers
Roberto Torres	1972 births, Living people, Paraguayan footballers
Krunoslav Lovrek	1979 births, Living people, Croatian footballers
Djefatnebti	Ancient Egyptian queens
Meresankh I	Ancient Egyptian queens, 3rd millennium BC
Huni	Pharaohs
Peace treaty	Treaties, Documents, Dispute resolution
Khaba	Pharaohs
Monoamine oxidase inhibitor	Drugs used in psychiatry
Isoform	Molecular biology, Biochemistry
Google Wave	Google
Cherith Baldry	1947 births, Living people
Annihilationism	Christian eschatology, Afterlife
Wenzhou	Cities in China, Zhejiang
Mejirodai	Settlements in Tokyo Prefecture, Neighborhoods
Swiss Family Robinson	Movies based on books, 1960 movies, English-language movies, Movies set in islands
Fabrosaurus	Ornithischia, Dinosaurs of Africa
Lesothosaurus	Ornithischia
Stygimoloch	Pachycephalosauria
Hypacrosaurus	Hadrosauridae
Kesha	1987 births, Living people, American LGBT rights activists, American pop musicians, Kesha, Musicians from Nashville, Tennessee, Singers from Nashville, Tennessee, Writers from Nashville, Tennessee, Singer-songwriters from California, Singers from Los Angeles, California, Bisexual people
Abbotsford, British Columbia	Cities in British Columbia, 1892 establishments in North America, 1890s establishments in Canada
Gus Bodnar	1923 births, 2005 deaths, Boston Bruins players, Canadian ice hockey centres, Chicago Blackhawks players, Ice hockey people from Ontario, People from Thunder Bay, Toronto Maple Leafs players, Stanley Cup champions, Calder Trophy winners
Danny Bois	1983 births, American Hockey League players, Canadian ice hockey right wingers, Ice hockey people from Ontario, Living people, Ontario Hockey League players, Ottawa Senators players, People from Thunder Bay
Vanua Levu	Islands of Fiji
HiT Entertainment	Companies of the United Kingdom, Entertainment companies, 1980 establishments in the United Kingdom, 1980s establishments in the United Kingdom
Apple A4	Microprocessor design, Apple hardware, 2010
IPhone 4	IPhone, Mobile phones released in 2010
Champlin, Minnesota	Cities in Minnesota
Fred Hollows	1929 births, 1993 deaths, Australian educators, Australian medical doctors, Australian of the Year Award winners, Cancer deaths in New South Wales, Deaths from kidney cancer, New Zealand scientists, People from Dunedin
Procompsognathus	Coelophysidae
Saltopus	Reptiles, Fossils
Baroness Sophie Buxhoeveden	1883 births, 1956 deaths
Grand Duchess Olga Alexandrovna of Russia	1882 births, 1960 deaths, Russian grand dukes and duchesses, House of Holstein-Gottorp-Romanov
Tori Amos	American singer-songwriters, Mezzo-sopranos, People from Salisbury, Maryland, Musicians from Baltimore, Maryland, Singers from Baltimore, Maryland, Writers from Baltimore, Maryland, Singers from North Carolina, 1963 births, Living people
Computer vision	Computers
Catal Huyuk	Ancient history, Archaeological sites in Asia, World Heritage Sites in Turkey
Tui Sutherland	1978 births, Living people, American writers
Blood and soil	Political philosophy, Nazism
Argentinosaurus	Titanosaurs, Cretaceous dinosaurs
National Public Radio	1970 establishments in the United States, Radio
Propithecus	Lemuriformes
Hornbill	Coraciiformes
Weaver ant	Ants
Bellbird	Passeriformes
Greater bulldog bat	Bats, Mammals of North America, Mammals of South America
Chelsea Grin (band)	2000s American music groups, 2010s American music groups, Deathcore bands, Musical groups from Utah, Salt Lake City, Musical groups established in 2007, 2007 establishments in the United States, 21st-century establishments in Utah
Ogden, Utah	Ogden, Utah, County seats in Utah, 1846 establishments in the United States, 19th-century establishments in Utah
Macleans College	Schools in New Zealand, Auckland, 1980 establishments in Oceania, 20th-century establishments in New Zealand
Hattusili III	Hittite Empire, Mesopotamian people
Garfield and Friends	Animated television series, 1988 television series debuts, CBS network shows, 1994 television series endings, English-language television programs
Heungseon Daewongun	1820 births, 1898 deaths, Korean politicians, Regents
Marc Ferrez	1843 births, 1923 deaths, Brazilian photographers
XSLT	Programming languages
Goo Ha-ra	1991 births, 2019 deaths, People who committed suicide, South Korean movie actors, South Korean television actors, South Korean singers, K-pop singers
Avimimus	Oviraptorosauria, Feathered dinosaurs
Merv Griffin	1925 births, 2007 deaths, Actors from San Mateo County, California, LGBT people from California, American movie actors, American radio actors, American radio personalities, American stage actors, American television actors, American television presenters, American voice actors, Bisexual people, Businesspeople from California, Cancer deaths in Los Angeles, Deaths from prostate cancer, Emmy Award winners, LGBT actors, LGBT broadcasters, LGBT businesspeople, Musicians from California, Television personalities from California, People from San Mateo, California
Thescelosaurus	Hypsilophodontidae
Segnosaurus	Cretaceous dinosaurs, Dinosaurs of Asia, Theropods
Riojasaurus	Prosauropods
Nicol David	1983 births, Living people, Malaysian sportspeople, Squash (sport)
Penang	States of Malaysia
Karnak	Ancient Egypt
Orochimaru (Naruto)	Science fiction, Naruto
Answerbag	Websites, 2003 establishments, 2015 disestablishments
Constitution of the United Kingdom	Government of the United Kingdom, Constitutions
German philosophy	Germany, Philosophy
Ghee	Dairy products, Indian food, Pakistani food
Library of Alexandria	Ancient Egypt, Libraries, Alexandria
International Auxiliary Language Association	Language
Ubaldo Jiménez	Colorado Rockies players, 1984 births, Living people, Baltimore Orioles players
JavaScript engine	JavaScript
Upper Volta	History of France
Oxford spelling	Vocabulary, English language
Chanelle Hayes	Big Brother contestants, English models, English pop musicians, English singers, Musicians from Cheshire, Musicians from West Yorkshire, Reality television participants, Television personalities from Cheshire, Television personalities from Yorkshire, 1987 births, Living people
East Riding of Yorkshire	East Riding of Yorkshire, Ceremonial counties of England
Daniel Inouye	1924 births, 2012 deaths, American military personnel of World War II, Deans of the United States Senate, Disease-related deaths in Maryland, Politicians from Honolulu, Presidents pro tempore of the United States Senate, Purple Heart recipients, United States Army Medal of Honor recipients, United States representatives from Hawaii, United States senators from Hawaii, US Democratic Party politicians
Martin Niemöller	1892 births, 1984 deaths, Christian ministers, Christian religious leaders, Christian theologians, German Lutherans, German military personnel of World War I, German people of World War II, German poets, German prisoners, German theologians, Holocaust survivors, Order of Merit of the Federal Republic of Germany, People from North Rhine-Westphalia
First they came...	Nazi Germany, Poems
ARP Spoofing	Computers, Internet, Internet protocols
History of slave trade	History
A36 steel	Alloys
Yorkshire County Cricket Club	Cricket clubs, Yorkshire
Headingley Stadium	Leeds, Sports buildings in the United Kingdom
Headingley	Leeds
Headingley railway station	Leeds, Railway stations in England, 1849 establishments in England
North Marine Road	Scarborough, North Yorkshire, Cricket
Burley Park railway station	Leeds, Railway stations in England
Burley, Leeds	Leeds
The Leeds Studios	ITV, Leeds
Hatshepsut	Ancient Egypt, Pharaohs
Slime mould	Microbiology, Protista
Mouse deer	Even-toed ungulates
Crab spider	Spiders
Julia Gillard	1961 births, Living people, Commonwealth Chairpersons-in-Office, Australian Labor Party politicians, Deputy Prime Ministers of Australia, People from Adelaide, Politicians from Glamorgan, Politicians from Melbourne, Politicians from South Australia, Prime Ministers of Australia, Republicans, Welsh politicians, University of Adelaide alumni
The Political Cesspool	Radio programs
Dino Bravo	1948 births, 1993 deaths, Canadian professional wrestlers, Former WWE wrestlers, Murder victims, Murders by firearm, Unsolved murders
Our Lady Peace	1990s music groups, 1992 establishments in Canada, 2000s music groups, 2010s music groups, Canadian rock bands, Post-grunge bands, Our Lady Peace
Katie Weatherston	1983 births, Canadian ice hockey forwards, Canadian Olympic gold medalists, Ice hockey people from Ontario, Living people, Medalists at the 2006 Winter Olympics, People from Thunder Bay
Council of Constance	Christianity in Germany, Councils, History of Germany, Konstanz, Roman Catholicism, 1410s, History of Switzerland
Pythagorean triple	Mathematics
Summer of 4 Ft. 2	The Simpsons (season 7) episodes, 1996 television episodes
Homerpalooza	The Simpsons (season 7) episodes, 1996 television episodes
Christian Wulff	1959 births, Living people, Ministers-President of Lower Saxony, Order of Merit of the Federal Republic of Germany, People from Osnabrück, Politicians from Lower Saxony, Presidents of Germany
United States presidential doctrines	History of the United States
Jens Böhrnsen	1949 births, Living people, German judges, German lawyers, Mayors of Bremen, Politicians from Bremen (state), Politicians of the Social Democratic Party of Germany, Presidents of Germany
Moncrabeau	Communes in Lot-et-Garonne
Claude Bernard	1813 births, 1878 deaths, Physiology, French scientists
Vivisection	Surgery
Lee Kuan Yew	Prime Ministers of Singapore, People's Action Party (Singapore) politicians, Members of the Cabinet of Singapore, 1923 births, 2015 deaths, Deaths from pneumonia, Companions of Honour, Knights Grand Cross of the Order of St Michael and St George, Singaporean politicians, Political office-holders in Singapore, Autobiographers
Wednesday Morning, 3 AM	1964 albums, Folk albums
Three 6 Mafia	Musical groups from Tennessee, American rap music groups, Hip hop bands, Best Original Song Academy Award-winning songwriters, Musical groups established in 1991, 1991 establishments in the United States, 1990s establishments in Tennessee
Hotspot (geology)	Geological formations
Beautiful Girls (movie)	1996 romance movies, 1996 comedy-drama movies, 1990s romantic comedy movies, 1990s romantic drama movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, English-language movies
Teimour Radjabov	1987 births, Living people, Azerbaijani chess players, People from Baku, Chess grandmasters
Rumble Fighter	Online games, Massively multiplayer online role-playing games
Peak oil	Energy
Corgi	Dog breeds
