Appomattox Court House	American Civil War
Marcelo Rosada Silva	1976 births, Living people, Brazilian footballers, People from Porto Alegre
Yasuhide Ihara	1973 births, Living people, Footballers from Saga Prefecture
Kosei Kitauchi	1974 births, Living people, Footballers from Kōchi Prefecture
Washington Luiz Pereira dos Santos	1975 births, Living people, Brazilian footballers
Scatman John	1982 births, 1999 deaths, Cancer deaths in the United States, Deaths from lung cancer, Singers from Los Angeles, California
Kiyohiro Hirabayashi	1984 births, Living people, Footballers from Aichi Prefecture
Akira Komatsu	1962 births, Living people, Footballers from Akita Prefecture
FC Gifu	Japanese football clubs, Gifu Prefecture
Kataller Toyama	Japanese football clubs, Toyama Prefecture
Roasso Kumamoto	Japanese football clubs, Kumamoto Prefecture
Tochigi SC	Japanese football clubs, Tochigi Prefecture
Fagiano Okayama	Japanese football clubs, Okayama Prefecture
Giravanz Kitakyushu	Japanese football clubs, Fukuoka Prefecture
Irvine, California	Irvine, California, 1971 establishments in California
Fault (geology)	Plate tectonics
Bible translations	Bible
Darts	Darts
Aerobics	Fitness, Healthy lifestyle
California Polytechnic State University	1901 establishments in the United States, 1900s establishments in California, Big Sky Conference, Big West Conference, California State University
Pennywise	American punk bands, Musical groups from Los Angeles, California, 1990s American music groups, 2000s American music groups, 2010s American music groups
About Time	1995 albums
Come Out and Play	The Offspring songs, 1994 songs
Compiled language	Programming languages
Self Esteem	The Offspring songs, 1994 songs
Gotta Get Away	The Offspring songs, 1994 songs
Memory address	Computer memory
Ignition (album)	1992 albums, The Offspring albums, Punk albums
Ixnay on the Hombre	1997 albums, The Offspring albums, Punk albums
Americana (The Offspring album)	1998 albums, The Offspring albums
Conspiracy of One	2000 albums, The Offspring albums, Pop punk albums
Splinter	2003 albums, The Offspring albums, Punk albums
Rise and Fall, Rage and Grace	2008 albums, The Offspring albums, Pop punk albums
Jumping	Human skills, Fitness, Athletics
Maia Chiburdanidze	1961 births, Living people, Chess grandmasters, People from Tbilisi
Taiping Rebellion	Civil wars, History of China
David Pizarro	1979 births, Living people, Chilean footballers, People from Valparaíso
Nilmar Honorato da Silva	1984 births, Living people, Brazilian footballers
Danilo Gomes	1981 births, Living people, Brazilian footballers
Nobuhiro Maeda	1973 births, Living people, Footballers from Kagawa Prefecture, Japanese association football goalkeepers
Minoru Kushibiki	1967 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Kota Ueda	1986 births, Living people, Footballers from Tokyo Prefecture
Keisuke Funatani	1986 births, Living people, Footballers from Mie Prefecture
Shun Morishita	1986 births, Living people, Footballers from Mie Prefecture
Steven Reid	1981 births, Living people, Irish footballers, Sportspeople from London
Li Tie	1977 births, Living people, Chinese footballers
Kota Mizunuma	1990 births, Living people, Footballers from Kanagawa Prefecture
Vujadin Boškov	1931 births, 2014 deaths, Serbian footballers, Serbian football managers, Eredivisie managers
Genki Nakayama	1981 births, Living people, Footballers from Yamaguchi Prefecture
Hiroshi Nakano	1983 births, Living people, Footballers from Saga Prefecture, Albirex Niigata players
Edmar Bernardes dos Santos	1960 births, Living people, Brazilian footballers
Kazumasa Kume	1955 births, Living people, Footballers from Shizuoka Prefecture
Takahiro Yodogawa	1951 births, Living people, Japanese association football goalkeepers
Susan Polgar	1969 births, Living people, American chess players, Hungarian chess players, Hungarian Jews, Jewish American sportspeople, Sportspeople from Budapest, Chess grandmasters
Christian Pander	1983 births, Living people, German footballers, Sportspeople from North Rhine-Westphalia
Dado Pršo	1974 births, Living people, Croatian footballers
Mart Poom	1972 births, Living people, Estonian sportspeople, Association football goalkeepers, European footballers, People from Tallinn
Antonios Nikopolidis	1971 births, Living people, Greek footballers, Association football goalkeepers
Sean Waltman	1972 births, Living people, American professional wrestlers, Former WWE wrestlers, Sportspeople from Minneapolis, Minnesota, Total Nonstop Action Wrestling alumni
Raven (wrestler)	Living people, 1964 births, American professional wrestlers
Mommy's Little Monster	1983 albums, Punk albums
Beachwood, Ohio	Cities in Ohio
Against the Grain	1990 albums, Bad Religion albums, Punk albums
Recipe for Hate	1993 albums, Bad Religion albums, Punk albums
Greg Hetson	1961 births, American folk musicians, American guitarists, American punk musicians, Bad Religion, Living people, Musicians from Los Angeles, California, Musicians from New York City
Flower Street	Curitiba, Roads
You're My Heart, You're My Soul	Modern Talking, 1984 songs
Francisco Yeste	1979 births, Living people, Spanish footballers
Philip Ifil	1986 births, Living people, English footballers, Sportspeople from London, Premier League players
Manuel Almunia	1977 births, Living people, Spanish association football goalkeepers, People from Pamplona
Pierre Womé	1979 births, Living people, Cameroonian footballers
Raúl Albiol	1985 births, Living people, Spanish footballers
Ivan Klasnić	1980 births, Living people, Croatian footballers
Willesden	Areas of London
Antonín Panenka	1948 births, Living people, Czech footballers, Sportspeople from Prague
David Healy	1979 births, Living people, Northern Irish footballers
Hiroyuki Nishijima	1982 births, Living people, Footballers from Nara Prefecture
Public nudity	Nudity
Vincent Candela	1973 births, Living people, French footballers
Emiliano Moretti	1981 births, Living people, Italian footballers, Sportspeople from Rome
Paolo Cannavaro	1981 births, Living people, Italian footballers
Ranko Popović	1967 births, Living people, Serbian footballers, Serbian football managers
Diego Ribas da Cunha	1985 births, Living people, Brazilian footballers
Kazumi Tsubota	1956 births, Living people, Footballers from Nagasaki Prefecture, Japan international footballers, Japan Soccer League players, Cerezo Osaka players
Thomas Sørensen	1976 births, Living people, Danish footballers, Association football goalkeepers
Zanesville, Ohio	Cities in Ohio, Former United States state capitals, County seats in Ohio, 1790s establishments in the Northwest Territory, 1797 establishments in the United States
Entomophagy	Insects, Food and drink
Kazumasa Takagi	1984 births, Living people, Footballers from Kagawa Prefecture
Yasuhito Morishima	1987 births, Living people, Footballers from Hyōgo Prefecture
Takuya Miyamoto	1983 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima
Kohei Miyazaki	1981 births, Living people, Footballers from Kumamoto Prefecture
Circle Jerks	1979 establishments in California, 1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American punk bands, Musical groups established in 1979, Musical groups from California
Naoki Ishikawa	1985 births, Living people, Footballers from Chiba Prefecture
Ryota Miki	1985 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Saeed Al-Owairan	1967 births, Living people, Saudi Arabian footballers, People from Riyadh
Shinya Kawashima	1978 births, Living people, Footballers from Shizuoka Prefecture
Shunsuke Oyama	1986 births, Living people, Footballers from Saitama Prefecture
Boeing X-37	Spaceflight, Boeing aircraft
Puerto Natales	Cities in Chile
Aftershock	Earthquakes
Barcode	Data input, Barcodes
Nathalia Dill	1986 births, Living people, Brazilian actors, People from Rio de Janeiro
Optical mark recognition	Computer hardware, Data input
Optical character recognition	Data input
Nhundiaquara River	Paraná State
Istrian Italians	Italian-speaking countries, Italian people, History of Italy, Croatia, Slovenia
Valentina Tolkunova	1946 births, 2010 deaths
Toshikazu Kato (born in 1969)	1969 births, Living people, Footballers from Shizuoka Prefecture
Luke Moore	1986 births, Living people, Black British sportspeople, English footballers, Sportspeople from Birmingham, Premier League players
Atsuyoshi Furuta	1952 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
Anthony Le Tallec	1984 births, Living people, French footballers
Lee Bowyer	1977 births, Living people, English footballers, Sportspeople from London, Premier League players
Justin Hoyte	1984 births, Living people, English footballers, Sportspeople from London, Premier League players
Armand Traoré	1989 births, Living people, French footballers, Sportspeople from Paris
Steven Taylor	1986 births, Living people, English footballers, Sportspeople from London
Makoto Okubo	1975 births, Living people, Footballers from Nagasaki Prefecture
Mitsuaki Kojima	1968 births, Living people, Footballers from Nagasaki Prefecture
Katsuhiro Minamoto	1972 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima
Yasuyuki Sato	1966 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima
Francisco Javier García	1987 births, Living people, Spanish footballers
Design management	Management, Innovation
Middlegame	Chess
Truro Cathedral	Cathedrals in England, Cornwall
VHS	Entertainment, Electronics
Telemetry	Measurement, Technology
Agustín Ross	1844 births, 1926 deaths, Chilean politicians, People from Pichilemu, Diplomats
Blueprint	Engineering
José Arraño	1921 births, 2009 deaths, Chilean writers, People from Pichilemu, Historians
Boeing 367-80	Boeing 707
Harvey Birdman, Attorney at Law	Adult Swim, English-language television programs
Bosque Capão da Imbuia	Curitiba, Forests, Geography of Brazil
Ben Folds Five	American rock bands, Musical groups from North Carolina
Woolmer Green	Villages in Hertfordshire, Civil parishes in Hertfordshire
Rubén de la Red	1985 births, Living people, Spanish footballers
Ryuji Kato	1969 births, Living people, Footballers from Tokyo Prefecture, Japanese association football goalkeepers
Hideaki Mori	1972 births, Living people, Footballers from Nagasaki Prefecture
Sho Ito	1988 births, Living people, Footballers from Aichi Prefecture
Maxwell Cabelino Andrade	1981 births, Living people, Brazilian footballers
Mary of Modena	1658 births, 1718 deaths, Deaths from breast cancer, House of Este, Kings and Queens of Ireland, Kings and Queens consort of Scotland, People from Modena
Juan Pablo Ángel	1975 births, Living people, Colombian footballers
Ciprian Marica	1985 births, Living people, Romanian footballers, Sportspeople from Bucharest
Hideki Nishimura	1983 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Morten Gamst Pedersen	1981 births, Living people, Norwegian footballers
Manabu Kubota	1981 births, Living people, Footballers from Shimane Prefecture
Naoyuki Okimoto	1984 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima
Ryota Terauchi	1982 births, Living people, Footballers from Ishikawa Prefecture
Dani Alves	1983 births, Association football defenders, Association football full-backs, Living people, Brazilian footballers
Daniel Carvalho	1983 births, Living people, Brazilian footballers
Keita Kanemoto	1977 births, Living people, Footballers from Hiroshima Prefecture
Yutaka Azuma	1967 births, Living people, Footballers from Tokushima Prefecture, Japanese football managers
Yasutaka Yoshida	1966 births, Living people, Footballers from Hiroshima Prefecture
Hossam Ghaly	1981 births, Living people, Egyptian footballers, Egypt international footballers
Eric Gerets	1954 births, Living people, Belgian footballers, Belgian football managers, Eredivisie managers
Darius Vassell	1980 births, Living people, Black British sportspeople, English footballers, Sportspeople from Birmingham, Premier League players
Hisashi Jogo	1986 births, Living people, Footballers from Fukuoka Prefecture, Avispa Fukuoka players
Masato Morishige	1987 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, J1 League players, J2 League players, Oita Trinita players, FC Tokyo players, 2014 FIFA World Cup players, Footballers at the 2008 Summer Olympics
Wuyi Mountains	Mountains of China, Biosphere reserves
Norwegian Labour Party	1887 establishments in Europe, Socialist International, Social democratic parties, Political parties in Norway, 19th century establishments in Norway
Socialist Left Party	Political parties in Norway, Socialism, Green politics
Red Party (Norway)	Political parties in Norway
Mektig og avmektig	2003 books, Non-fiction books
Dofus	Online games, Massively multiplayer online role-playing games
Sinn Féin	Politics of Ireland, Political parties in Northern Ireland, Nationalist organizations in Europe, 1905 establishments in Europe, 20th century establishments in the Republic of Ireland, 1905 establishments in the United Kingdom
Diana Wynne Jones	1934 births, 2011 deaths, Deaths from lung cancer, English writers, Writers from London
Sherman, Texas	Cities in Texas, County seats in Texas, 1846 establishments in the United States, 1840s establishments in Texas
Kıbrıs Türk Hava Yolları	Airlines of the Middle East, Nicosia
Iberia (airline)	Airlines of Spain
Orthodontist	Orthodontics, Healthcare occupations
Chicoutimi	Cities and towns in Quebec, Former cities in Canada
Vágner Love	1984 births, Living people, Brazilian footballers
Lucas Leiva	1987 births, Living people, Brazilian footballers, Mato Grosso do Sul
Takaya Oishi	1972 births, Living people, Footballers from Shizuoka Prefecture, Japanese association football goalkeepers
Yasuhiro Yoshida	1969 births, Living people, Footballers from Hiroshima Prefecture
Naoki Naito	1968 births, Living people, Footballers from Shizuoka Prefecture
Francisco Pavón	1980 births, Living people, Spanish footballers, Sportspeople from Madrid
Kenji Wakai	1974 births, Living people, Footballers from Hiroshima Prefecture
Elano	1981 births, Living people, Brazilian footballers
Collins John	1985 births, Living people, Dutch footballers, Liberian people, Naturalised citizens of the Netherlands
Jelle Van Damme	1983 births, Living people, Belgian footballers, People from East Flanders
Satoshi Koga	1970 births, Living people, Footballers from Kanagawa Prefecture
Takashi Kageyama	1977 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Motoki Ueda	1979 births, Living people, Footballers from Kanagawa Prefecture
Nobuyasu Ikeda	1970 births, Living people, Footballers from Saitama Prefecture
Koichi Kawazoe	1961 births, Living people, Footballers from Kagoshima Prefecture
Tsubasa Oya	1986 births, Living people, Footballers from Shimane Prefecture
Tenerife South Airport	Airports in Spain, Canary Islands
Daisuke Nakamaki	1986 births, Living people, Footballers from Tokyo Prefecture, Japanese association football goalkeepers
John Aldridge	1958 births, Living people, 1990 FIFA World Cup players, 1994 FIFA World Cup players, Irish football managers, Irish footballers, Sportspeople from Liverpool
Gary Breen	1973 births, Living people, Irish footballers, Sportspeople from London
Faisal Al-Dakhil	1957 births, Living people, Kuwaiti people, Asian footballers
Junki Koike	1987 births, Living people, Footballers from Saitama Prefecture
Kenji Haneda	1981 births, Living people, Footballers from Chiba Prefecture
Hunza-Nagar District	Districts of Gilgit-Baltistan
Speech recognition	Data input
Smile (band)	Queen (band)
Vinyl cutter	Computer hardware, Output devices
Oddanchatram	Cities in Tamil Nadu
Total Drama Action	Total Drama
Total Drama World Tour	Animated television series
Santa Felicidade neighborhood	Curitiba, Neighborhoods, 1878 establishments, 1870s establishments in Brazil
Joakim Soria	Kansas City Royals players, Mexican sportspeople, 1984 births, Living people
Slate	Metamorphic rocks
Sachio Yoshida	1980 births, Living people, Footballers from Yamaguchi Prefecture
Daishi Kato	1983 births, Living people, Footballers from Saitama Prefecture
Manuel Fernandes	1986 births, Living people, Portuguese footballers, Sportspeople from Lisbon
Andrea Bocelli	1958 births, Living people, Blind people, Brit Award winners, Italian singers, Multi-instrumentalists, Musicians from Tuscany, Italian opera singers, Songwriters, Tenors
Kikuo Konagaya	1950 births, Living people, Footballers from Shizuoka Prefecture
Toshiya Tanaka	1984 births, Living people, Footballers from Ishikawa Prefecture
Eiji Hirata	1966 births, Living people, Footballers from Yamaguchi Prefecture
Takashi Onishi	1971 births, Living people, Footballers from Ehime Prefecture
Shola Ameobi	1981 births, Living people, English footballers, People from Newcastle upon Tyne, Nigerian footballers, Sportspeople from Tyne and Wear, Premier League players
Aiden McGeady	1986 births, Living people, Irish footballers, Sportspeople from Glasgow
Pavel Černý	1962 births, Living people, Czech footballers
Yushi Ozaki	1969 births, Living people, Footballers from Mie Prefecture
Hiroshi Sato	1972 births, Living people, Footballers from Kanagawa Prefecture
Takenori Ikeda	1981 births, Living people, Footballers from Shimane Prefecture
Quinton Fortune	1977 births, Living people, South African footballers, People from Cape Town
Bantu languages	Niger-Congo languages
Terukazu Tanaka	1985 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Niger–Congo languages	Niger-Congo languages
Ivar Hippe	1953 births, Living people, Norwegian journalists, Writers from Oslo
Ken Tokura	1986 births, Living people, Footballers from Tokyo Prefecture
Kenya Matsui	1985 births, Living people, Footballers from Shizuoka Prefecture
Ryoji Yukutomo	1979 births, Living people, Footballers from Hiroshima Prefecture
Mirko Vučinić	1983 births, Living people, Montenegrin footballers
Mista	1978 births, Living people, Spanish footballers
Pascal Cygan	1974 births, Living people, French footballers
Carlo Cudicini	1973 births, Living people, Chelsea F.C. players, Italian association football goalkeepers, Tottenham Hotspur F.C. players, Sportspeople from Milan
Andrey Gustavo dos Santos	Brazilian footballers, 1974 births, Living people
Neško Milovanović	1974 births, Living people, Bulgarian footballers
Jonathan Spector	1986 births, Living people, American footballers
Masahiro Akimoto	1979 births, Living people, Footballers from Oita Prefecture
Junya Ohata	1979 births, Living people, Footballers from Tokyo Prefecture
Yuya Matsuoka	1978 births, Living people, Footballers from Ehime Prefecture
Hisashi Hiroike	1978 births, Living people, Footballers from Miyazaki Prefecture
Masato Tamada	1976 births, Living people, Footballers from Saitama Prefecture, Japanese association football goalkeepers
American Samoa national football team	National football teams, American Samoa
Ian Crook	1963 births, Living people, English footballers, English football managers, Sportspeople from London, Premier League players
Antônio Carlos Santos	1964 births, Living people, Footballers from Rio de Janeiro
Ryuichi Hirashige	1988 births, Living people, Footballers from Hiroshima Prefecture, Kataller Toyama players
Tomokazu Nagira	1985 births, Living people, Footballers from Shimane Prefecture, Avispa Fukuoka players
Wawel Dragon	Folklore, Kraków
Renal cell carcinoma	Renal cancer
Self-portrait	Art
3D printing	Technology stubs, Innovation, Printing
Air travel	Air travel
GABA	Amino acids
Stroke (engine)	Mechanics
Italian car number plates	Italy, Law, Road transport
Abraham (name)	Given names
Yuta Abe	1974 births, Living people, Footballers from Yamaguchi Prefecture, Renofa Yamaguchi FC players
Lomana LuaLua	1980 births, Living people, African footballers, People from Kinshasa
Toru Yasutake	1978 births, Living people, Footballers from Fukuoka Prefecture
Takeshi Ikoma	1971 births, Living people, Footballers from Hyōgo Prefecture
Tatsuya Makiuchi	1964 births, Living people, Footballers from Kagoshima Prefecture
Jean-Paul Vonderburg	1964 births, Living people, Swedish footballers
Katsuyuki Kawachi	1955 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
Chris Kirkland	1981 births, Living people, English association football goalkeepers, Sportspeople from Leicestershire, Premier League players
Wes Brown	1979 births, Living people, Black British sportspeople, English footballers, Sportspeople from Manchester, Premier League players
Kunihiko Akabane	1972 births, Living people, Footballers from Nagano Prefecture
Kenji Wakamatsu	1972 births, Living people, Footballers from Kagoshima Prefecture
Tetsuya Tanaka	1971 births, Living people, Footballers from Nagasaki Prefecture
Mark Bresciano	1980 births, Living people, Australian footballers, Sportspeople from Melbourne
Samir Nasri	1987 births, Living people, Arsenal F.C. players, French footballers, Manchester City F.C. players, West Ham United F.C. players, Sportspeople from Marseille
Yasumasa Makino	1973 births, Living people, Footballers from Shizuoka Prefecture
Koji Yoshikawa	1973 births, Living people, Footballers from Shimane Prefecture
Tsukimitsu Mizuta	1976 births, Living people, Footballers from Nagasaki Prefecture
Tomasz Kuszczak	1982 births, Living people, Polish footballers
Pyrite	Minerals, Iron compounds
John Lewis (pianist)	1920 births, 2001 deaths, American pianists, American composers
Kazuhiko Chiba	1985 births, Living people, Footballers from Hokkaidō Prefecture, Japan international footballers, J1 League players, J2 League players, Albirex Niigata players, Sanfrecce Hiroshima players, Nagoya Grampus players
Kazuhisa Kawahara	1987 births, Living people, Footballers from Saitama Prefecture, Albirex Niigata players
Masaki Chugo	1982 births, Living people, Footballers from Chiba Prefecture
Naoki Hatta	1986 births, Living people, Footballers from Mie Prefecture
Mario J. Molina	1943 births, 2020 deaths, Deaths from myocardial infarction, Chemists, Mexican Nobel Prize winners, Mexican scientists
Andriy Voronin	1979 births, Living people, Ukrainian footballers
Kazuki Ganaha	1980 births, Living people, Footballers from Okinawa Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Kawasaki Frontale players, Vissel Kobe players, FC Ryukyu players, Kamatamare Sanuki players
Jorge Vargas	1967 births, Living people, Chilean politicians, People from Pichilemu
Dye-sublimation printer	Printers
Rockhopper penguin	Penguins
Kidney cancer	Renal cancer
Crunchy Black	Singers from Memphis, Tennessee, American rap musicians, American dancers, Singers from Indiana, 1974 births, Living people
Hellhound	Mythology, Demons
Wilms tumor	Renal cancer
Pancreatic cancer	Cancer, Diseases and disorders of the digestive system
Abdominal pain	Pain, Digestive system
Renal medullary carcinoma	Renal cancer
Clear cell sarcoma of the kidney	Renal cancer
Glioblastoma multiforme	Brain tumors
Jordan Schroeder	1990 births, American Hockey League players, American ice hockey players, Living people, Sportspeople from Minnesota, Minnesota Wild players, Vancouver Canucks players, Ice hockey centres
Sania Mirza	Living people, Female tennis players, Indian sportspeople, 1986 births, BBC 100 Women
Akira Kawaguchi	1967 births, Living people, Footballers from Chiba Prefecture
Shiro Hashimitsu	1972 births, Living people, Footballers from Kyoto
Ken Michiki	1972 births, Living people, Footballers from Nagasaki Prefecture
Kenji Tomita	1967 births, Living people, Footballers from Kagoshima Prefecture
Hirobumi Zaima	1964 births, Living people, Footballers from Kumamoto Prefecture
Ryoji Araki	1978 births, Living people, Footballers from Nagasaki Prefecture
Takahisa Iwamura	1978 births, Living people, Japanese footballers
Taro Goto	1969 births, Living people, Footballers from Hiroshima Prefecture
Hideaki Hagino	1973 births, Living people, Footballers from Hokkaidō Prefecture
Kazuo Sumata	1973 births, Living people, Footballers from Oita Prefecture
Nitroglycerin	Explosives, Nitrogen compounds
Marcus Bent	1978 births, Living people, English footballers, Sportspeople from London, Premier League players, Crystal Palace F.C. players
Patrice Evra	1981 births, Living people, French footballers, Manchester United F.C. players, Senegalese footballers, People from Dakar
Kazuyoshi Hamaguchi	1960 births, Living people, Footballers from Mie Prefecture
Shabani Nonda	1977 births, Living people, African footballers, People from the Democratic Republic of the Congo
Kosuke Harada	1977 births, Living people, Footballers from Hiroshima Prefecture
Ryuji Nagata	1972 births, Living people, Footballers from Nagasaki Prefecture
Norihiro Kawakami	1987 births, Living people, Footballers from Shimane Prefecture
Seol Ki-hyeon	1979 births, Living people, South Korean footballers
Agustín Delgado	1974 births, Living people, Ecuadorian footballers
Shuichi Gonda	1989 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, J1 League players, J2 League players, FC Tokyo players, Sagan Tosu players, Shimizu S-Pulse players, 2014 FIFA World Cup players, 2013 FIFA Confederations Cup players, Footballers at the 2012 Summer Olympics
Bronisław Komorowski	1952 births, Living people, Presidents of Poland, Marshals of the Sejm
Toru Miyamoto	1982 births, Living people, Footballers from Yamaguchi Prefecture
Yūsuke Tanaka (born in February 1986)	1986 births, Living people, Footballers from Fukuoka Prefecture
Temozolomide	Drugs, Cancer treatment
Kazuki Hara	1985 births, Living people, Footballers from Chiba Prefecture
Keisuke Iwashita	1986 births, Living people, Footballers from Kagoshima Prefecture
Astrocytoma	Brain tumors
2009–10 Chicago Blackhawks season	2009 in ice hockey, 2010 in ice hockey, National Hockey League team seasons
2009–10 Montreal Canadiens season	2009 in ice hockey, 2010 in ice hockey, National Hockey League team seasons, 2009 in Canada, 2010 in Canada
2009–10 Boston Bruins season	2009 in ice hockey, 2010 in ice hockey, National Hockey League team seasons, 2009 in the United States, 2010 in the United States, 21st century in Boston, Massachusetts
2009–10 Nashville Predators season	2009 in ice hockey, 2010 in ice hockey, National Hockey League team seasons, Nashville Predators, 2009 in the United States, 2010 in the United States, 2000s in Nashville, Tennessee, 2010s in Nashville, Tennessee
Philmont Scout Ranch	New Mexico
2010 Stanley Cup playoffs	2010 in Canada, 2010 in ice hockey, 2010 in the United States, Stanley Cup playoffs
Flash flood	Floods
Finger Lakes	Geography of New York, Lakes of the United States
Cape Fear (headland)	Geography of North Carolina, Capes of the United States
Craven County, North Carolina	North Carolina counties, 18th-century establishments in North Carolina, 1712 establishments in the Thirteen Colonies
Absecon, New Jersey	Cities in New Jersey
Fanconi anemia	Genetic disorders
Stack machine	Computer science
Captain Hook	Fictional characters
O'Hare International Airport	Airports in Chicago, 1944 establishments in the United States, 1940s establishments in Illinois
Stiliyan Petrov	1979 births, Living people, Bulgarian footballers
Tom Sermanni	1954 births, Living people, Scottish footballers
Toshiaki Tsukioka	1971 births, Living people, Footballers from Miyazaki Prefecture
Daisuke Matsuyama	1972 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Nolberto Solano	1974 births, Living people, Peruvian footballers
Yuichi Yoshimoto	1972 births, Living people, Footballers from Ehime Prefecture
Kimio Hata	1965 births, Living people, Footballers from Hiroshima Prefecture, Japanese football managers
Álvaro Mejía Pérez	1982 births, Living people, Spanish footballers, Sportspeople from Madrid
Evair	1965 births, Living people, Brazilian footballers
Katsuhiro Suzuki	1977 births, Living people, Footballers from Kanagawa Prefecture
Benni McCarthy	1977 births, Living people, South African footballers, People from Cape Town
André Ooijer	1974 births, Living people, Dutch footballers, Sportspeople from Amsterdam
John Heitinga	1983 births, Living people, Dutch footballers, Sportspeople from South Holland
Luis Fernández	1959 births, Living people, French footballers, French football managers
Khalid Boulahrouz	1981 births, Living people, Dutch footballers, Sportspeople from South Holland
Jumpei Takaki	1982 births, Living people, Footballers from Kumamoto Prefecture
Kota Sugiyama	1985 births, Living people, Footballers from Shizuoka Prefecture
Rikihiro Sugiyama	1987 births, Living people, Footballers from Shizuoka Prefecture
Ryuta Sasaki	1988 births, Living people, Footballers from Ibaraki Prefecture
Satoshi Kukino	1987 births, Living people, Footballers from Miyazaki Prefecture
Shingo Akamine	1983 births, Living people, Footballers from Okinawa Prefecture
Shinji Okazaki	1986 births, Living people, Footballers from Hyōgo Prefecture, Japan international footballers, J1 League players, Shimizu S-Pulse players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, 2018 FIFA World Cup players, 2013 FIFA Confederations Cup players, Footballers at the 2008 Summer Olympics
Shinzo Koroki	1986 births, Living people, Footballers from Miyazaki Prefecture, Japan international footballers, J1 League players, Kashima Antlers players, Urawa Red Diamonds players, Footballers at the 2016 Summer Olympics
Shunsuke Tsutsumi	1987 births, Living people, Footballers from Saitama Prefecture
Tadashi Takeda	1986 births, Living people, Japanese footballers
Samanda	1988 births, 2007 establishments in the United Kingdom, 2000s British music groups, 2010s British music groups, Living people, Big Brother contestants, British girl groups, British pop music groups, British television personalities, English models, English pop music groups, Musical duos, Musical groups disestablished in 2010, Musical groups established in 2007, People from Staffordshire, Twin people from England
Young Concert Artists Trust	Music competitions, 1984 establishments
Belcea Quartet	String quartets
Satyagraha	India, Philosophy, Peace, Violence
Spanair	Airlines of Spain
Vueling	2004 establishments in Europe, 2000s establishments in Spain, Low-cost airlines, Airlines of Spain, Barcelona
Binter Canarias	Airlines of Spain, Canary Islands
Air Europa	Airlines of Spain
Air Nostrum	Airlines of Spain
Cycad	Gymnosperms
Melodic hardcore	Hardcore punk
Daisuke Yoneyama	1982 births, Living people, Footballers from Mie Prefecture
Manuel Pasqual	1982 births, Living people, Italian footballers
Teruyuki Tahara	1968 births, Living people, Footballers from Kagoshima Prefecture
Enzo Maresca	1980 births, Living people, Italian footballers
Lee Cheong-Gyeong	1958 births, Living people, North Korean footballers
Calum Davenport	1983 births, Living people, British crime victims, English footballers, Sportspeople from Bedfordshire, Premier League players
Seiichi Ogawa	1970 births, Living people, Footballers from Chiba Prefecture
Gary O'Neil	1983 births, Living people, English footballers, People from Bromley (London borough), Sportspeople from London, Premier League players
Fuat Usta	1972 births, Living people, Turkish football managers, Turkish footballers
Ryu Saito	1979 births, Living people, Footballers from Hokkaidō Prefecture
Yuki Fukaya	1982 births, Living people, Footballers from Aichi Prefecture
Kaito Yamamoto	1985 births, Living people, Footballers from Shizuoka Prefecture, J1 League players, J2 League players, J3 League players, Shimizu S-Pulse players, Vissel Kobe players, JEF United Chiba players, Yokohama FC players, Roasso Kumamoto players, Fukushima United FC players, Footballers at the 2008 Summer Olympics
Keiji Watanabe	1985 births, Living people, Footballers from Shizuoka Prefecture
Takahiro Shibasaki	1982 births, Living people, Footballers from Kanagawa Prefecture
Takashi Amano	1986 births, Living people, Footballers from Kanagawa Prefecture
Pluto	Pluto
Yuya Yoshizawa	1986 births, Living people, Footballers from Tochigi Prefecture
Shota Arai	1985 births, Living people, Footballers from Saitama Prefecture
Yuya Nakamura	1986 births, Living people, Footballers from Saitama Prefecture
Alessandro Scarlatti	1660 births, 1725 deaths, Baroque composers, Italian composers, People from Palermo
Atsushi Yoshimoto	1982 births, Living people, Footballers from Shizuoka Prefecture
Takeshi Terada	1980 births, Living people, Footballers from Ibaraki Prefecture
Fernando Navarro	1982 births, Living people, Spanish footballers, Sportspeople from Barcelona
Akira Ishigame	1985 births, Living people, Footballers from Saitama Prefecture
Haruki Nishimura	1987 births, Living people, Footballers from Saitama Prefecture
Alison Barros Moraes	1982 births, Living people, Brazilian footballers
