Book of Enoch	Books of the Bible
1. FC Kaiserslautern	German football clubs, Kaiserslautern, Sport in Rhineland-Palatinate, 1900 establishments in Germany
VfL Wolfsburg	German football clubs, Sport in Lower Saxony, Wolfsburg, 1945 establishments in Germany
Choi Sung-yong	1975 births, Living people, South Korean footballers
Yoo Sang-chul	1971 births, 2021 deaths, Deaths from pancreatic cancer, South Korean footballers, South Korean football managers, People from Seoul
Choi Yong-soo	1973 births, Living people, South Korean footballers, South Korean football managers, People from Busan
Takeshi Aoki	1982 births, Living people, Footballers from Gunma Prefecture, Japan international footballers, J1 League players, J2 League players, Kashima Antlers players, Sagan Tosu players, Roasso Kumamoto players
Sylvain Wiltord	1974 births, Living people, French footballers
Automatic train operation	Rail technologies
Upper Austria	Upper Austria
Lambach	Cities and towns in Upper Austria
Tracheotomy	Medical emergencies
Leonding	Cities and towns in Upper Austria
Gefreiter	Military, 16th century establishments in Europe
Plasma display	Display technology, Television technology
Southern Ontario	Regions of Ontario
Surrender (military)	Military
David Toms	Living people, 1967 births, American golfers, Sportspeople from Louisiana
Keisuke Tsuboi	1979 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, J1 League players, J2 League players, Urawa Red Diamonds players, Shonan Bellmare players, Renofa Yamaguchi FC players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players
Hiromitsu Isogai	1969 births, Living people, Footballers from Kumamoto Prefecture, Japan international footballers, J1 League players, Gamba Osaka players, Urawa Red Diamonds players, 1995 King Fahd Cup players
Christophe Dugarry	1972 births, Living people, French footballers
Teruyoshi Ito	1974 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Shimizu S-Pulse players, Ventforet Kofu players, AC Nagano Parceiro players, Blaublitz Akita players, Azul Claro Numazu players, 1998 FIFA World Cup players, 2001 FIFA Confederations Cup players, Footballers at the 1996 Summer Olympics
Daisuke Ichikawa	1980 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Shimizu S-Pulse players, Ventforet Kofu players, Mito HollyHock players, Fujieda MYFC players, FC Imabari players, Vanraure Hachinohe players, 2002 FIFA World Cup players
Jorge Dely Valdés	1967 births, Living people, Central American footballers, Panamanian sportspeople
Ko Jong-soo	1978 births, Living people, South Korean footballers, South Korean football managers
Choi Tae-uk	1981 births, Living people, South Korean footballers, People from Incheon
Cho Jae-jin	1981 births, Living people, South Korean footballers
Kim Do-hoon	1970 births, Living people, South Korean footballers, South Korean football managers
Kim Yong-dae	1979 births, Living people, South Korean association football goalkeepers
One World Trade Center	2013 establishments in New York (state), Buildings and structures completed in the 21st century, September 11 attacks, Skyscrapers in New York City, Buildings and structures in Manhattan
Song Chong-gug	1979 births, Living people, South Korean footballers, People from Busan
Yuichiro Nagai	1979 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, J1 League players, J2 League players, Urawa Red Diamonds players, Shimizu S-Pulse players, Yokohama FC players, Thespakusatsu Gunma players, 2003 FIFA Confederations Cup players
Boudewijn Zenden	1976 births, Living people, Dutch footballers, People from Maastricht, Sportspeople from Limburg (Netherlands)
Alpay Özalan	1973 births, Living people, Turkish footballers, People from İzmir
Oleg Salenko	1969 births, Living people, Ukrainian footballers, Russian footballers, People from Saint Petersburg
Fábio Nunes Fernandes	1980 births, Living people, Brazilian footballers, People from Porto Alegre
Masahiro Ando	1972 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, J1 League players, J2 League players, Shimizu S-Pulse players, Júbilo Iwata players, Yokohama F. Marinos players, Omiya Ardija players, Gamba Osaka players, Vegalta Sendai players, Kyoto Sanga FC players
Fashion design	Fashion, Design
Bombardier Transportation	Companies of Germany, Rail vehicles manufacturers, Companies listed on the Toronto Stock Exchange
Waldorf-Astoria Hotel	Hotels, Skyscrapers in New York City, Art Deco buildings, 1890s establishments in New York (state), Buildings and structures in Manhattan, New York City Designated Landmarks
Farrah Fawcett	Actors from Corpus Christi, Texas, American crime victims, American movie actors, American stage actors, American television actors, Cancer deaths in California, 1947 births, 2009 deaths, Deaths from anal cancer
Illyrian language	Languages of Europe
Beverly Hills, California	Beverly Hills, California
Pyrrhus	4th century BC births, 3rd century BC deaths, Ancient Greek military people, Generals, Battles of the Ancient World
Ali Pasha	1741 births, 1822 deaths, Albanian politicians
Service mark	Business, Marketing, Intellectual property law
Kurt Eisner	1867 births, 1919 deaths, Assassinated people, German journalists, German murder victims, Jewish German politicians, Jewish German writers, Ministers-President of Bavaria, Murders by firearm in Germany, Politicians from Berlin, Weimar Republic politicians, Writers from Berlin
Santa Ana, California	County seats in California, 1869 establishments in California, Santa Ana, California
Riverside, California	Riverside, California, County seats in California, Cities in California
Columbiformes	Columbiformes
Word search	Puzzles
The Secret Life of the American Teenager	2008 American television series debuts, 2013 American television series endings, 2000s American drama television series, 2000s teen television series, 2010s American drama television series, 2010s teen television series, ABC Family series, American teen drama television series, Television series about families, Works about divorce, English-language television programs
Ástor Piazzolla	Composers, 1992 deaths, 1921 births
Volksschule	Education
Ares V	NASA, Rockets
ScienceWorld	Science websites
Cuba Gooding, Sr.	1944 births, 2017 deaths, Actors from New York City, African American actors, African American musicians, American R&B singers, American soul musicians, Singers from New York City, American movie actors
Alexander Pope	1688 births, 1744 deaths, English poets, English writers
Alfred, Lord Tennyson	1809 births, 1892 deaths, English poets, United Kingdom Barons, People from Lincolnshire, People buried in Westminster Abbey, British poets laureate
Rheumatic fever	Diseases caused by bacteria
The Main Ingredient	1964 establishments in the United States, 1960s American music groups, 1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, African-American musical groups, American R&B bands, Musical groups established in 1964, Musical groups from New York City, Soul bands
Secondhand Serenade	American rock bands, Emo bands, Indie rock bands, Musical groups from California, Menlo Park, California
Edward Downes	1924 births, 2009 deaths, British conductors, Deaths by euthanasia, Drug-related suicides, Musicians from Birmingham, Musicians who committed suicide
Assisted suicide	Suicide, Euthanasia
Dignitas (euthanasia group)	Euthanasia, Switzerland
Euthanasia	Euthanasia
Terminal illness	Diseases, Death
Now (magazine)	Magazines of Canada, Newspapers published in Canada
Ralph Downes	1904 births, 1993 deaths, English organists, People from Derby
Symmetry (biology)	Animal anatomy, Developmental biology
William Morris	1834 births, 1896 deaths, English architects, English writers, English poets, Designers, Socialists, Textile artists
Cliveden	Buckinghamshire, Hotels
Sears Tower	1973 establishments in Illinois, 2009 disestablishments in the United States, 2000s disestablishments in Illinois
Josef Krips	1902 births, 1974 deaths, Austrian conductors, Musicians from Vienna
Répétiteur	Opera terminology, Ballet terminology
Hamilton Harty	1879 births, 1941 deaths, Irish composers, Romantic composers, 20th century composers, Knights Bachelor
Albert Coates	1882 births, 1953 deaths, English composers
Creed (band)	1994 establishments in the United States, 1990s American music groups, 1990s establishments in Florida, 2000s American music groups, 2010s American music groups, 2012 disestablishments in the United States, American rock bands, Musical groups established in 1994, Musical groups disestablished in 2012, Musical groups from Florida, People from Tallahassee, Florida, Post-grunge bands, American Music Awards
.pf	French Polynesia
.sg	Top-level domains, Singapore
.va	1995 establishments, Top-level domains, Vatican City
.ws	Samoa
Zango	Advertising, Malware
Tropical Storm Alma	2008 Pacific hurricane season, East Pacific tropical storms, Retired tropical cyclone names, Hurricanes, History of Costa Rica, 2000s in Nicaragua, 2008 in North America
Herne Hill railway station	Railway stations in London
Sparkling wine	Wine
Crémant d'Alsace	French wines, Alsace, 1900 establishments in France
Clairette de Die	French wines
Shinkichi Kikuchi	1967 births, Living people, Footballers from Iwate Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Tokyo Verdy players, Kawasaki Frontale players, 1995 King Fahd Cup players
Blanquette de Limoux	French wines
List of Premier League clubs	Premier League, Lists of football teams, Lists about England
Debby Ryan	1993 births, Living people, American movie actors, American television actors, American voice actors, American child actors, Singers from Huntsville, Alabama, American guitarists, Disney actors, Disney singers, Writers from Huntsville, Alabama, Musicians from Huntsville, Alabama, Actors from Huntsville, Alabama
Albert Goldfield	Geography of New South Wales, 19th century in Australia
Edward Bawden	1903 births, 1989 deaths
Cross-City Line	Rail transport in England, West Midlands (region)
Book cover	Books
Lawn mower	Cutting tools, Gardening tools, Agricultural machinery
Golf course	Golf
Tom Eckersley	1914 births, 1997 deaths, English artists, People from Lancashire
Leaf blower	Gardening tools
Hose	Gardening tools
Watering can	containers, Gardening tools
Irrigation sprinkler	Gardening tools
Skagit River	Rivers of Washington (U.S. state)
North Cascades National Park	National parks in the United States, Washington (U.S. state), 1968 establishments in the United States, 1960s establishments in Washington (state)
Green River	Rivers of Utah
Mono Lake	Lakes of the United States, Bodies of water of California, Mono County, California
Thelyphonida	Arachnids
Mount Shasta	Volcanoes of the United States, Mountains of California, Siskiyou County, California
List of rivers of Washington	Rivers of Washington (U.S. state), Lists of rivers of the United States
Zhu Xi	Chinese scholars, Chinese philosophers, 1130 births, 1200 deaths
Plym Valley Railway	Heritage railways in England
Swanage Railway	Heritage railways in England
Mangapps Railway Museum	Heritage railways in England
West Somerset Railway	Heritage railways in England
Vale of Glamorgan Railway	Rail transport in Wales
Northampton & Lamport Railway	Heritage railways in England
Epping Ongar Railway	Heritage railways in England, Transport in Epping Forest, Epping Ongar Railway
Ecclesbourne Valley Railway	Train operating companies, Derbyshire, Heritage railways in England, 1867 establishments in England
Crossrail 2	Rail transport in London
River Lee	Rivers of England
Naval mine	Explosives
Alan Fletcher (graphic designer)	1931 births, 2006 deaths
The Edge Chronicles	Fantasy books
Rake	Gardening tools
Scythe	Cutting tools, Gardening tools, Farming tools
Neil Finn	Rock musicians, 1958 births, New Zealand singers, Living people
Francisco Correa de Arauxo	1584 births, 1654 deaths, Spanish organists, Renaissance composers, Spanish composers, Baroque composers
Collaboration	Social sciences, Human communication
Apollo 14	Apollo program
Yoshio Kikugawa	1944 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Urawa Red Diamonds players
Libyan Premier League	Football leagues, 1963 establishments in Africa, 20th-century establishments in Libya
Giuseppe Meazza	1910 births, 1979 deaths, Italian footballers, Italian football managers
Sérgio Conceição	1974 births, Living people, Portuguese footballers, Portuguese football managers
Yutaka Akita	1970 births, Living people, Footballers from Aichi Prefecture, Japan international footballers, Japanese football managers, J1 League players, J2 League players, Kashima Antlers players, Nagoya Grampus players, Kyoto Sanga FC players, 1998 FIFA World Cup players, 2002 FIFA World Cup players, 2003 FIFA Confederations Cup players, 1996 AFC Asian Cup players
Takahiro Futagawa	1980 births, Living people, Footballers from Kagoshima Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Gamba Osaka players, Gamba Osaka U-23 players, Tokyo Verdy players, Tochigi SC players
Éldis Fernando Damasio	1981 births, Living people, Brazilian footballers
Clemerson de Araújo Soares	1977 births, Living people, Brazilian footballers
Sidiclei de Souza	1972 births, Living people, Brazilian footballers
Naoshi Nakamura	1979 births, Living people, Footballers from Chiba Prefecture, Japan international footballers, J1 League players, Nagoya Grampus players
Ryoichi Maeda	1981 births, Living people, Footballers from Hyōgo Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Júbilo Iwata players, FC Tokyo players, FC Tokyo U-23 players, FC Gifu players, 2013 FIFA Confederations Cup players
Akira Narahashi	1971 births, Living people, Footballers from Chiba Prefecture, Japan international footballers, J1 League players, J2 League players, Japan Soccer League players, Shonan Bellmare players, Kashima Antlers players, 1998 FIFA World Cup players, 2003 FIFA Confederations Cup players
Joubert Araújo Martins	1975 births, Living people, Brazilian footballers, Mato Grosso
Kozo Tashima	1957 births, Living people, Footballers from Kumamoto Prefecture, Japan international footballers, Japan Soccer League players, JEF United Chiba players
Daisuke Sakata	1983 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, J2 League players, Yokohama F. Marinos players, FC Tokyo players, Avispa Fukuoka players
Plantain	Fruits, Musaceae
Staple food	Foods
Zhengzhou	Cities in China, Capital cities in Asia
Braidwood, New South Wales	Towns in New South Wales
Hunan	Provinces of China
Guangxi	Autonomous regions of China
Season structure of the NHL	National Hockey League seasons
2009 Formula One World Championship	Formula One seasons, 2009 in sports
Bucegi Mountains	Mountain ranges of the Carpathians, Mountains of Romania
Private First Class	Military ranks
Lance Corporal	Military ranks
Ned Kelly (1970 movie)	1970 movies, Australian biographical movies, Australian crime movies, 1970s western movies, Movies set in Australia, Movies directed by Tony Richardson
Spring Offensive	1918 in Europe, 1910s in France, Battles of the Western Front (World War I)
Tang Enbo	1898 births, 1959 deaths, Chinese generals
Xue Yue	1896 births, 1998 deaths
Shunroku Hata	1879 births, 1962 deaths, Criminals, Japanese military people, Military personnel of World War II, People from Fukushima Prefecture
Bai Chongxi	1893 births, 1966 deaths
Letter of Jeremiah	Old Testament books, Septuagint
AllMovie	Entertainment websites, 2011 establishments
Revelation	Theology
Sebastián Aguilera de Heredia	Renaissance composers, Spanish composers, Baroque composers, Spanish organists, 1561 births, 1627 deaths
Shahnameh	Persian literature
Papal conclave	Popes
Seminary	Types of educational institutions, Seminaries
Hunger	Hunger
Chanakya	Indian people, Jainism
Trowel	Gardening tools, Tools
Juniper	Cupressaceae
Juniper berry	Cupressaceae, Spices
Henry Kissinger	1923 births, Living people, American autobiographers, American military personnel of World War II, American Nobel Prize winners, American political scientists, Chancellors of the College of William & Mary, German Jews, Harvard University alumni, Jewish American politicians, Jewish American writers, Jewish Nobel Prize winners, Naturalized citizens of the United States, Nobel Peace Prize winners, People of the Vietnam War, Politicians from Bavaria, Time People of the Year, United States Secretaries of State, German Nobel Prize winners
Akihiro Endō	1975 births, Living people, Footballers from Kagoshima Prefecture, J1 League players, J2 League players, Yokohama F. Marinos players, Vissel Kobe players, Footballers at the 1996 Summer Olympics
Fernando Moner	1967 births, Living people, Argentine footballers, Sportspeople from Buenos Aires
Toshiaki Imai	1954 births, Living people, Footballers from Saitama Prefecture
Vanderlei Luxemburgo	1952 births, Living people, Brazilian footballers, Brazilian football managers
Shinya Aikawa	1983 births, Living people, Footballers from Saitama Prefecture
Takuto Hayashi	1982 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Norihiro Yamagishi	1978 births, Living people, Footballers from Saitama Prefecture
Ryota Tsuzuki	1978 births, Living people, Footballers from Nara Prefecture, Japan international footballers, J1 League players, Gamba Osaka players, Urawa Red Diamonds players, Shonan Bellmare players, 2001 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics
Robson Ponte	1976 births, Living people, Brazilian footballers
Tomislav Marić	1973 births, Living people, Croatian footballers
Ichiei Muroi	1974 births, Living people, Footballers from Saitama Prefecture
Boeremusiek	Folk music
Military Merit Cross (Austria–Hungary)	Military honors, Orders, decorations, and medals, Austria-Hungary
Ray Gordy	1979 births, American professional wrestlers, Living people, Sportspeople from Tennessee, People from Chattanooga, Tennessee, Former WWE wrestlers
Bing	2009 establishments in the United States, Microsoft websites, Websites, Search engines
Boy Scouts of America	Scouting
Counterfeit	Organized crime
Limoux	Communes in Aude, Subprefectures in France
Tamaddun Majlish	Organisations based in Bangladesh, Islamic organizations
Sindh Valley	Mountain passes of Pakistan, Valleys
Paktia Province	Provinces of Afghanistan
Sun Microsystems	Computers, 1982 establishments in California, Sun Microsystems, Santa Clara, California, Companies based in the San Francisco Bay Area, American technology companies
Water strider	Hemiptera
Bowler	Cricket
Wicket	Cricket
Dynamic and formal equivalence	Linguistics
The Undertones	1975 establishments in the United Kingdom, 1970s British music groups, 1980s British music groups, 1990s British music groups, 2000s British music groups, 2010s British music groups, British pop rock bands, British punk bands, Entertainers from Northern Ireland, Irish rock bands, Musical groups established in 1975
Luftfahrtgesellschaft Walter	Aviation
3G	Telecommunications, Mobile phones
Kin selection	Evolutionary biology, Genetics
Sterile	Words
Foraging	Zoology, Hunting
Pacific Northwest	Regions of Canada, Regions of the United States
Adaptation	Evolutionary biology, Ecology
Cobra Starship	2000s American music groups, 2010s American music groups, American punk bands, Musical groups from New York City, 2005 establishments in New York (state), Musical groups established in 2005, Musical groups disestablished in 2015, 2015 disestablishments in the United States, 2010s disestablishments in New York (state)
San Felipe de Puerto Plata	Settlements in Dominican Republic, 1500s establishments in the Spanish Empire
North Cascades	Mountains of Canada
The Point!	1971 movies, American animated movies, English-language movies
Darwinius	Fossils, Primates
Redmond Barry	Australian judges, Ned Kelly, People from County Cork, 1813 births, 1880 deaths
Transport network	Networks, Transport infrastructure
Buxton	Spa towns in the United Kingdom, Towns in Derbyshire
Alice's Adventures in Wonderland	English novels, Books by Lewis Carroll, Fantasy books, Children's books, English-language novels, 1860s books
Penny sterling	British currency
Montreal Wanderers	1900s establishments in Canada, 1903 establishments in North America, 1918 disestablishments, 20th century disestablishments in Canada, Defunct National Hockey League teams, National Hockey Association
£sd	British currency
Quebec Bulldogs	1888 establishments in Canada, Ice hockey teams in Quebec, Sport in Quebec City
Three-body problem	Physics, Astronomy
Yossi Benayoun	1980 births, Living people, Israeli footballers, Jewish Israeli sportspeople
Plum Warner	English cricketers
Douglas Jardine	1900 births, 1958 deaths, British Army officers, British military personnel of World War II, English cricketers, Majors, People of British India
The Oval	Cricket
Trophallaxis	Ecology
Oval tube station	Northern Line stations, Transport in Lambeth, London Travelcard zone 2
Nikolaus Harnoncourt	1929 births, 2016 deaths, Austrian conductors, Grammy Award winners, Musicians from Berlin, People from Graz, Performers of early music
Roger Norrington	British conductors, Performers of early music, 1934 births, Living people, Grammy Award winners, Officers of the Order of the British Empire, Knights Bachelor
Surrey County Cricket Club	Cricket clubs
Gustav Leonhardt	1928 births, 2012 deaths, Dutch Calvinists, Dutch conductors, Dutch educators, Harpsichordists, Organists, People from North Holland, Performers of early music
Vienna Symphony	Orchestras, Vienna
Liber Linteus	Etruscan civilization, Zagreb
Eel River	Rivers of California, Mendocino County, California, Humboldt County, California, Lake County, California, Trinity County, California
Cultivar	Botany
Plant propagation	Plant physiology
Cardamom	Zingiberales, Spices, Middle Eastern foods
Hayden Foxe	1977 births, Living people, Australian footballers, Sportspeople from Sydney
Sergio Escudero (footballer, born 1988)	1988 births, Living people, Spanish footballers, People from Granada
Sergio Escudero (footballer, born 1964)	1964 births, Living people, Argentine footballers
Osvaldo Escudero	1960 births, Living people, Argentine footballers
Giorgio Chiellini	1984 births, Living people, 2010 FIFA World Cup players, 2014 FIFA World Cup players, Italian footballers, People from Pisa, Sportspeople from Tuscany
Jonathan Zebina	1978 births, Living people, French footballers, Sportspeople from Paris
Alessio Tacchinardi	1975 births, Living people, Italian footballers
Dininho	1975 births, Living people, Brazilian footballers
Júlio Baptista	1981 births, Living people, Brazilian footballers
Dido Havenaar	1957 births, Living people, Association football goalkeepers, Dutch footballers, Sportspeople from South Holland
Miguel Ángel Angulo	1977 births, Living people, Spanish footballers, People from Oviedo
Manuele Blasi	1980 births, Living people, Italian footballers
Stephen Appiah	1980 births, Living people, Ghanaian footballers, People from Accra
Ancyloxypha	Hesperiidae
Developed country	Countries, Country classifications, Development, Economic geography
Market town	Law, Towns, Retail markets
Moped	Land vehicles
Hagerstown, Maryland	Cities in Maryland, County seats in Maryland, 1762 establishments in the Thirteen Colonies, 18th-century establishments in Maryland
Matteo Brighi	1981 births, Living people, Italian footballers
Tomokazu Myojin	1978 births, Living people, Footballers from Hyōgo Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Kashiwa Reysol players, Gamba Osaka players, Nagoya Grampus players, AC Nagano Parceiro players, 2002 FIFA World Cup players, 2001 FIFA Confederations Cup players, 2003 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Seiichiro Maki	1980 births, Living people, Footballers from Kumamoto Prefecture, Japan international footballers, J1 League players, J2 League players, JEF United Chiba players, Tokyo Verdy players, Roasso Kumamoto players, 2006 FIFA World Cup players
Eiji Kawashima	1983 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, J1 League players, J2 League players, Omiya Ardija players, Nagoya Grampus players, Kawasaki Frontale players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, 2018 FIFA World Cup players, 2013 FIFA Confederations Cup players
Tomoyuki Sakai	1979 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, J1 League players, JEF United Chiba players, Nagoya Grampus players, Urawa Red Diamonds players, Vissel Kobe players, Fujieda MYFC players, Footballers at the 2000 Summer Olympics
Vladimir Jugović	1969 births, Living people, Serbian footballers
Algorithmic information theory	Mathematics
Tawhīd	Islam
Nobuhisa Yamada	1975 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, Urawa Red Diamonds players, 2003 FIFA Confederations Cup players
Keita Suzuki	1981 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, Urawa Red Diamonds players
Sidmar Antônio Martins	1962 births, Living people, Brazilian footballers
Tadaaki Hirakawa	1979 births, Living people, Footballers from Shizuoka Prefecture
Toru Chishima	1981 births, Living people, Footballers from Saitama Prefecture
Satoshi Horinouchi	1979 births, Living people, Footballers from Saitama Prefecture
Fábio Camilo de Brito	1975 births, Living people, Brazilian footballers
Apennine Mountains	Mountains of Italy
Supercheap Auto	Automobile companies, Companies of Australia
Takuya Yokoyama	1985 births, Living people, Footballers from Shizuoka Prefecture, Fujieda MYFC players
Cristiano Lucarelli	1975 births, Living people, Italian footballers, People from Livorno
Yuriy Nikiforov	1970 births, Living people, Ukrainian footballers, Russian footballers
Lake Iseo	Lakes of Italy
International Year of Natural Fibres	Fibers, United Nations, 2009
Constanța	County capitals of Romania, Municipalities of Romania
Mureş River	Rivers of Hungary, Rivers of Romania
Olt River	Rivers of Romania
Siret River	Rivers of Ukraine, Rivers of Romania, Tributaries of the Danube
Prut	Rivers of Ukraine, Rivers of Moldova, Tributaries of the Danube
Asperger syndrome	Autism, Pervasive developmental disorders
Dig Dug	Arcade games, Namco video games
Virtual Kasparov	Chess, Game Boy Advance games, PlayStation games, 2001 video games
Portland Sea Dogs	Portland, Maine, Baseball teams
Moby	American DJs, Musicians from Connecticut, American rock musicians, Electronic musicians, Punk musicians, American songwriters, 1965 births, Living people
Röyksopp	Tromsø, Musical groups from Bergen, Musical groups established in 1998, 1998 establishments in Europe, 1990s establishments in Norway
Deportivo Alavés	Spanish football clubs
Hércules C.F.	Spanish football clubs, Alicante
RC Celta de Vigo	1920s establishments in Spain, 1923 establishments in Europe, Spanish football clubs
Real Murcia	Spanish football clubs, Murcia
Granada C.F.	Spanish football clubs, Granada, 1931 establishments in Europe, 1930s establishments in Spain
CE Sabadell F.C.	Spanish football clubs
C.D. Alcoyano	Spanish football clubs
Real Valladolid C.F.	Spanish football clubs, Valladolid
Maghreb Athletic Tétouan	Football clubs, 1922 establishments in Africa, 20th-century establishments in Morocco
Málaga C.F.	Spanish football clubs, Malaga
C.A. Osasuna	Spanish football clubs, Pamplona
Real Jaén C.F.	Spanish football clubs
Cultural Leonesa	Spanish football clubs
Elche C.F.	Spanish football clubs
R.C.D. Mallorca	Spanish football clubs
CD Tenerife	Spanish football clubs, Santa Cruz de Tenerife
Córdoba CF	Spanish football clubs
Pontevedra C.F.	Spanish football clubs, Galicia, 1941 establishments in Europe, 1940s establishments in Spain
Mini	Automobiles
Burgos C.F.	Spanish football clubs, Castile and León, 1994 establishments in Europe, 1990s establishments in Spain
A.D. Almería	Spanish football clubs, 1971 establishments in Europe, 1970s establishments in Spain
C.D. Castellón	Spanish football clubs
Albacete Balompié	Spanish football clubs, 1940 establishments in Europe, 1940s establishments in Spain
U.E. Lleida	Spanish football clubs
Toshiba	Computers, Electronics companies, 1939 establishments
R.C.D. Espanyol	Spanish football clubs
Mérida U.D.	Spanish football clubs, Extremadura
Levante U.D.	Spanish football clubs, Valencia
Cádiz CF	Spanish football clubs, Cadiz
C.D. Numancia de Soria	Spanish football clubs, Castile and León, 1945 establishments in Europe, 1940s establishments in Spain
Xerez C.D.	Spanish football clubs, Jerez de la Frontera, 1947 establishments in Europe, 1940s establishments in Spain
Edgar Adrian, 1st Baron Adrian	1889 births, 1977 deaths, Alumni of the University of Cambridge, English physicians, Order of Merit, British Nobel Prize winners, Neuroscientists
Hydrogen deuteride	Hydrogen compounds
Bond albedo	Astrophysics
Geographical pole	Physical geography
Spheroid	Three-dimensional shapes, Geodesy
Invariable plane	Celestial mechanics
G-Force	Physics
Sidereal time	Celestial mechanics, Measurement
Scale height	Atmosphere, Meteorology
Jupiter impact	Jupiter
Ja zuster, nee zuster	Dutch television programmes
Tom Gordon	1967 births, Living people, Boston Red Sox players, New York Yankees players, National League All-Stars
Paul Kalas	1967 births, Living people, American astronomers
Stewart Cink	1973 births, Living people, American golfers, Sportspeople from Huntsville, Alabama, People from Florence, Alabama
Crocs	2002 establishments in the United States, Colorado, Footwear
Buxton, Maine	Towns in Maine, 1772 establishments in the Thirteen Colonies, 18th-century establishments in Maine
Searsport, Maine	Towns in Maine
Brock Lesnar	1977 births, Living people, WWE wrestlers, Sportspeople from South Dakota, American professional wrestlers, American mixed martial artists
Dover-Foxcroft, Maine	Towns in Maine, County seats in Maine
The Border	1982 drama movies, 1980s crime drama movies, American crime drama movies, English-language movies, Movies set in Texas, Movies directed by Tony Richardson
Hide and Seek (2005 movie)	2005 movies, 20th Century Fox movies, English-language movies
ATP synthase	Biochemistry, Enzymes
Bayreuth Festival	Music festivals, Festivals in Europe, Bayreuth, 1876 establishments, Classical music festivals
Repertoire	Music, Theater
Working class	Socialism, Social groups
Ludwig II of Bavaria	1845 births, 1886 deaths, Kings and Queens in Germany
Real Burgos C.F.	Spanish football clubs, Castile and León
Folio	Literature
Ivan Regen	1868 births, 1947 deaths, Biologists, Slovenian scientists
Mole cricket	Orthoptera
Hisashi Tsuchida	1967 births, Living people, Footballers from Okayama Prefecture, J1 League players, J2 League players, Japan Soccer League players, Urawa Red Diamonds players, 1988 AFC Asian Cup players
Yuki Takita	1967 births, Living people, Footballers from Saitama Prefecture
Diego Forlán	1979 births, Living people, Uruguayan footballers, Sportspeople from Montevideo
Augusto Pedro de Souza	1968 births, Living people, Brazilian footballers, People from Brasília
Ned Zelić	1971 births, Living people, Australian footballers, Sportspeople from Sydney
Baccarat, Meurthe-et-Moselle	Communes in Meurthe-et-Moselle
Gun dog	Working dogs
Alaskan Klee Kai	Dog breeds
Alaskan Malamute	Dog breeds
Aidi	Dog breeds, Working dogs
Airedale Terrier	Terriers
Xinjiang	Xinjiang
Caspian Airlines Flight 7908	2009 aviation disasters, 2009 in Asia, 21st century in Iran, Aviation disasters in Asia, July events
Ancyloxypha numitor	Hesperiidae
Timothy Geithner	1961 births, United States Secretaries of the Treasury, Living people, American Christians, American economists, Politicians from New York City
Janet Napolitano	1957 births, Living people, Governors of Arizona, People with cancer, Politicians from New York City, United States Secretaries of Homeland Security
Wakhan	Geography of Afghanistan
Factor VIII	Genetic disorders, Blood disorders
X chromosome	Biological reproduction, Chromosomes
Edmonton tornado	Alberta, Tornadoes in Canada, 1987, 1980s in Canada
Vale of White Horse	Oxfordshire
Slipper	Footwear
Masaki Tsuchihashi	1972 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, J2 League players, Urawa Red Diamonds players
Osamu Hirose	1965 births, Living people, Footballers from Saitama Prefecture
Alen Bokšić	1970 births, Living people, Croatian footballers
Harison da Silva Nery	1980 births, Living people, Brazilian footballers, People from Belém
Tomohiro Katanosaka	1971 births, Living people, Footballers from Kagoshima Prefecture
Tomohiro Hasumi	1972 births, Living people, Footballers from Tokyo Prefecture
Celso Vieira	1974 births, Living people, Brazilian footballers
Kazuaki Tasaka	1971 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japanese football managers, J1 League players, J2 League players, Shonan Bellmare players, Shimizu S-Pulse players, Cerezo Osaka players
