Taman Negara	Geography of Malaysia, National parks in Asia
Bremen Township, Cook County, Illinois	Townships in Illinois, Settlements in Cook County, Illinois
Ossi Runne	1927 births, 2020 deaths, Finnish musicians, Finnish composers, Finnish writers, Record producers
Jim Ramstad	1946 births, 2020 deaths, Deaths from Parkinson's disease, United States representatives from Minnesota, American lawyers, Businesspeople from North Dakota, Politicians from North Dakota, Businesspeople from Minnesota, US Republican Party politicians
Wayzata, Minnesota	Cities in Minnesota
Jim Neilson	1941 births, 2020 deaths, California Golden Seals players, Cleveland Barons (NHL) players, New York Rangers players, Ice hockey people from Saskatchewan, Canadian ice hockey defencemen
Pooh (band)	1960s establishments in Italy, 1966 establishments in Europe, Italian musical groups, Pop music groups, Bologna, Musical groups established in 1966
King Von	1994 births, 2020 deaths, American rap musicians from Illinois, Singer-songwriters from Chicago, Murders by firearm in the United States, Musicians from Chicago, Musicians from Atlanta, Georgia, Singers from Atlanta, Georgia
Barbara McAulay	1929 births, 2020 deaths, Australian Olympians, Divers, Sportspeople from Victoria (Australia)
Minnesota's 3rd congressional district	Minnesota
Chaska, Minnesota	Cities in Minnesota, County seats in Minnesota
Deephaven, Minnesota	Cities in Minnesota
Jesse McCartney	1987 births, Living people, American pop singers, American rock singers, American R&B singers, American movie actors, American television actors, American voice actors, Singer-songwriters from New York City, Actors from New York City
Ardsley, New York	Villages in New York
Belle Starr (movie)	1941 movies, 1940s western movies, American western movies, 20th Century Fox movies, Movies directed by Irving Cummings
Song O' My Heart	1930 movies, 1930s romance movies, American romance movies, 20th Century Fox movies, Movies directed by Frank Borzage
Renato Carosone	1920 births, 2001 deaths, Italian singers
Are You There?	1930 movies, 1930s comedy movies, American comedy movies, 20th Century Fox movies
Andrzej Owczarek	1950 births, 2020 deaths, Deaths from the COVID-19 pandemic in Poland, Polish politicians, Political activists, Polish educators, Mayors
Maurizio Micheli	1947 births, Italian movie actors, Italian television actors, Italian screenwriters, Italian television presenters, Italian radio personalities, Comedians, People from Livorno, Living people
Fernando Solanas	1936 births, 2020 deaths, Deaths from the COVID-19 pandemic in France, Argentine movie directors, Argentine screenwriters, Argentine politicians, People from Buenos Aires
Ana Lilian de la Macorra	1957 births, Living people, Mexican actors
Seun Osewa	Living people
Treasury Island tree frog	Animals of Oceania, Frogs, Animals of Asia
Budu Zivzivadze	Association football forwards, Living people, 1994 births
Prophecy Girl	1997 television episodes, Buffy the Vampire Slayer episodes
PLOS ONE	Science and technology magazines, Journals
Rayman (character)	Fictional characters introduced in 1995, Fictional characters with immortality, Rayman, Video game characters, Video game protagonists
Daredevil (TV series)	2015 American television series debuts, Netflix original shows, Superhero television shows, English-language television programs
The Punisher (2004 movie)	2004 drama movies, 2000s action movies, 2000s crime drama movies, American action movies, American crime drama movies, Lionsgate movies, Marvel Comics movies, Movies about revenge, Movies produced by Avi Arad, Movies set in Florida, Reboot movies
Military and Overseas Voter Empowerment Act	United States federal legislation, Voting
The Incredibles (video game)	2004 video games, Game Boy Advance games, The Incredibles, Nintendo GameCube games, PlayStation 2 games, Superhero video games, THQ games, Xbox games
Daredevil (video game)	2003 video games, Daredevil (movie series), Game Boy Advance games, Game Boy Advance-only games, THQ games, Video games based on works by Stan Lee
Bender (Futurama)	Fictional characters introduced in 1999, Fictional robots, Fictional war veterans, Futurama characters
12-Bar Original	1996 songs, The Beatles songs
Doctor Neo Cortex	Fictional characters introduced in 1996, Fictional war veterans, Crash Bandicoot games, Video game antagonists, Video game bosses
Nemesis (Resident Evil)	Fictional characters introduced in 1999, Resident Evil characters, Video game antagonists, Video game bosses, Video game characters in movies
Leonid Osipov	1943 births, 2020 deaths, Soviet Olympic gold medalists, Soviet Olympic silver medalists, Olympic bronze medalists
Giuseppe Amadei	1919 births, 2020 deaths, Former MEPs, MEPs for Italy, Italian centenarians
Cándido Camero	1921 births, 2020 deaths, Cuban musicians, People from Havana
Jeanne Little	1938 births, 2020 deaths, Deaths from Alzheimer's disease, Australian television presenters, Australian singers
Jonathan Sacks	1948 births, 2020 deaths, Cancer deaths in the United Kingdom, British philanthropists, British philosophers, Theologians, Writers from London, Politicians from London
Anicetus Bongsu Antonius Sinaga	1941 births, 2020 deaths, Deaths from the COVID-19 pandemic in Indonesia, Indonesian writers, Roman Catholic bishops
Inauguration of Joe Biden	Joe Biden, United States presidential inaugurations, 21st century in the United States, January 2021 events, 2021 in the United States
Carmen Sevilla	1930 births, Living people, Spanish movie actors, Spanish television actors, Spanish stage actors, Spanish singers, People with Alzheimer's disease, People from Seville
Paull Shin	1935 births, 2021 deaths, Deaths from Alzheimer's disease, State legislators of the United States, Politicians from Washington, US Democratic Party politicians
Paju	Cities in South Korea
Man Trouble (1930 movie)	1930 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, 20th Century Fox movies, Movies directed by Berthold Viertel
Bad Girl	1931 movies, 1930s drama movies, American drama movies, 20th Century Fox movies, Movies based on plays, Movies based on books, Movies directed by Frank Borzage, English-language movies, Black-and-white movies
Donkey Kong Country Returns 3D	Nintendo 3DS games, Donkey Kong, Platform games, 2013 video games
Paris (Paris Hilton album)	2006 albums, Pop albums, Hip hop albums, R&B albums
Shoot-Out at Medicine Bend	1957 movies, 1950s western movies, American western movies, Warner Bros. movies
Donkey Kong Land III	1997 video games, 2000 video games, Game Boy games, Game Boy Color games, Virtual Console games, Donkey Kong, Platform games
DK Jungle Climber	2007 video games, Nintendo video games, Donkey Kong, Nintendo DS games, Virtual Console games, Puzzle video games
NBA 2K14	2013 video games, PlayStation 3 games, PlayStation 4 games, Xbox 360 games, Xbox One games, IOS games, Windows games, Sports video games
Scare Force One	Lordi albums, 2014 albums
Monstereophonic (Theaterror Vs. Demonarchy)	Lordi albums, 2016 albums
Sexorcism	Lordi albums, 2018 albums
Killection	Lordi albums, 2020 albums
Lloyds Banking Group	1765 establishments, Banks of the United Kingdom, Companies listed on the London Stock Exchange, Companies listed on the New York Stock Exchange
Menemsorae tree frog	Animals of Oceania, Frogs
Nekenčiu reklamos	2000s comedy television series
Brothers in Arms (album)	1985 albums, Pop rock albums, Grammy Award-winning albums
Manda, Jammu	Archaeological sites in Asia, History of India, Cities in Jammu and Kashmir
Liliom (1930 movie)	1930 movies, 1930s drama movies, American drama movies, Movies based on plays, 20th Century Fox movies, Movies directed by Frank Borzage
The Good Companions (1957 movie)	1957 movies, 1950s musical movies, British musical movies, Movies based on books, Movies directed by J. Lee Thompson
Taxman	1966 songs, The Beatles songs
Bristol Bulldog	British military aircraft
Sensō-ji	645 establishments, Buddhist temples in Japan, Buildings and structures in Tokyo
New Movietone Follies of 1930	1930 movies, 1930s musical movies, American musical movies, American sequel movies, 20th Century Fox movies, Movies directed by Benjamin Stoloff
Seymour Topping	1921 births, 2020 deaths, American educators, Deaths from stroke, Journalists from New York City, American war correspondents
Bishop Dominic Mary Hồ Ngọc Cẩn	1876 births, 1948 deaths, Vietnamese people
Anna Christie	1930 movies, 1930s romance movies, 1930s drama movies, American romantic drama movies, Movies based on plays, Movies directed by Clarence Brown
Hawker Hart	Aircraft
Jose Manuel Romualdez	1947 births, Filipino politicians, Filipino journalists, Ambassadors to the United States, People from Manila, Living people
Robert Sam Anson	1945 births, 2020 deaths, Deaths from dementia, Disease-related deaths in New York, Journalists from Ohio, Journalists from New York City, Writers from Cleveland, Ohio
Rexford, New York	Hamlets in New York
June Foulds	1934 births, 2020 deaths, British Olympic silver medalists, British Olympic bronze medalists
Algebraic number	Numbers
John Fraser (actor)	1931 births, 2020 deaths, Scottish movie actors, Scottish television actors, Scottish writers, Scottish stage actors, Actors from Glasgow
Howie Meeker	1923 births, 2020 deaths, Toronto Maple Leafs players, Ice hockey people from Ontario, Canadian television presenters, Politicians from Ontario, Sports commentators
Sanchaman Limboo	1947 births, 2020 deaths, Indian politicians
Miro Steržaj	1933 births, 2020 deaths, Slovenian people, European politicians, Business people
Vasile Gherasim	1950 births, 2020 deaths, Deaths from the COVID-19 pandemic in Romania, Romanian politicians, People from Bucharest
Bones Hillman	1958 births, 2020 deaths, Musicians, Cancer deaths in the United States, People from Auckland
Leslie Carter	1986 births, 2012 deaths, American child singers, American pop singers, Drug-related deaths in the United States, Singers from Tampa, Florida
Hou Feng	1928 births, 2020 deaths, Chinese scientists, Chinese engineers
Mike Phiromphon	1966 births, Living people, Thai singers
Song Jae-ho	1937 births, 2020 deaths, South Korean actors
Yang Zhenduo	Chinese educators, People from Beijing, 1926 births, 2020 deaths, Martial artists
Vera Zima	1953 births, 2020 deaths, Croatian actors
Violeta Vidaurre	1928 births, 2021 deaths, Deaths from Alzheimer's disease, Chilean movie actors, Chilean television actors, Chilean stage actors
Tony Parkes	1949 births, Living people, English footballers, People with Alzheimer's disease, Sportspeople from Sheffield
Dennis Moore (politician)	1945 births, Living people, United States representatives from Kansas, American politicians, Businesspeople from Kansas, People with Alzheimer's disease, Kansas Democrats
Peter Max	1937 births, Living people, German artists, American artists, People with Alzheimer's disease, Naturalized citizens of the United States
100-ball cricket	Cricket
Pasqual Maragall	1941 births, Living people, People with Alzheimer's disease, Presidents of the Government of Catalonia, Mayors of Barcelona
Wout Holverda	1958 births, Living people, Dutch footballers, People from Leiden, Sportspeople from South Holland
Mark Gastineau	1956 births, Living people, American football defensive ends, New York Jets players, People with Alzheimer's disease, People with Parkinson's disease, People with cancer, American boxers, Sportspeople from Oklahoma, Sportspeople from Arizona
Joyce Fairbairn	1939 births, Living people, Politicians from Alberta, People with Alzheimer's disease
Stan Bowles	English footballers, 1948 births, Living people, People with Alzheimer's disease, Sportspeople from Manchester
Margarita Terekhova	1942 births, Living people, People with Alzheimer's disease, Russian movie actors, Russian television actors, Russian stage actors, Soviet movie actors, Soviet television actors
Greg "Fingers" Taylor	1951 births, Living people, American blues singers, American blues musicians, American singer-songwriters, American rock singers, American rock musicians, American country singers, American country musicians, Musicians from Wichita, Kansas, Singers from Kansas, Writers from Wichita, Kansas, People with Alzheimer's disease
Jimmy Buffett	1946 births, Living people, American singer-songwriters, American country singers, American pop singers, American rock singers, American folk singers, American country guitarists, American rock guitarists, Businesspeople from Mississippi, Musicians from Mississippi, Singers from Mississippi, Actors from Mississippi, Writers from Mississippi
Ernie Sigley	1938 births, 2021 deaths, Actors from Melbourne, Australian television presenters, Australian comedians, Deaths from Alzheimer's disease, Australian singers, Actors from Victoria (Australia)
Dan Byrd	1985 births, Living people, American movie actors, American television actors, American voice actors, American child actors, Actors from Chicago
Cam Gigandet	1982 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Washington, People from Tacoma, Washington
Angels Fall First	1997 albums
Oceanborn	1998 albums
Tandoori chicken	Indian food, Pakistani food, Baked foods, Chicken as food
Henet	Egyptian gods and goddesses, Mythology
Petrograd Soviet	1917 establishments, 1917 in Russia, 1924 disestablishments, 20th century in Russia, Politics of the Soviet Union, Russian Revolution
2024 United States presidential election	21st century in the United States
BioNTech	2000s establishments in Germany, 2008 establishments in Europe, Companies of Germany, Mainz
Anatoly Mikhailovich Stepin	1940 births, 2020 deaths, Russian mathematicians
Raphael Hadane	1920s births, 2020 deaths, Ethiopian people, Israeli Jews, Israeli rabbis
Víctor Valencia de los Santos	1959 births, 2020 deaths, Deaths from the COVID-19 pandemic in Mexico, Mexican politicians
Shkëlqim Troplini	1966 births, 2020 deaths, Albanian people, Olympians, Wrestlers, Deaths from the COVID-19 pandemic
Carlos G. Vallés	1925 births, 2020 deaths, Indian writers, Jesuits, Spanish writers, Priests
Juliette Goglia	1995 births, Actors from Los Angeles, California, Singers from Los Angeles, California, Musicians from Los Angeles, California, American guitarists, American voice actors, American child actors, American movie actors, American television actors, Living people
Enron scandal	2001 crimes, 2001 in the United States, Economic history
Resident Evil 2 (2019 video game)	2019 video games, PlayStation 4 games, Resident Evil, Video game remakes, Xbox One games
Secretary of State for Scotland	Members of the Cabinet of the United Kingdom, Politics of Scotland, 1707 establishments
Jimmy Garoppolo	1991 births, American football quarterbacks, New England Patriots players, San Francisco 49ers players, Sportspeople from Illinois, People from Arlington Heights, Illinois, Living people
Archie Mafeje	1936 births, 2007 deaths, South African political writers
Mass Effect 3	2012 video games, PlayStation 3 games, Wii U games, Xbox 360 games, Electronic Arts video games, Video game sequels
Ultimate Spider-Man (video game)	2005 video games, Game Boy Advance games, Nintendo DS games, Nintendo GameCube games, PlayStation 2 games, Spider-Man video games, Xbox games
Nine Lives (2016 movie)	2016 comedy movies, English-language movies, French comedy movies, Chinese movies
Richard Neely	1941 births, 2020 deaths, Deaths from liver cancer, American judges, Politicians from West Virginia, Politicians from Los Angeles, California, US Republican Party politicians
Celebrity Jeopardy! (Saturday Night Live)	Mass media franchises introduced in 1996
Gordon Joseloff	Politicians from Connecticut, 1945 births, 2020 deaths, American journalists, Journalists from New York City, Politicians from New York City, Democrats (United States), Emmy Award winners
Casper Meets Wendy	1998 comedy movies, 1990s ghost movies, American comedy movies, American ghost movies, 20th Century Fox movies
Cavapoo	Dog breeds
Willem II Tilburg	19th century establishments in the Netherlands, 1896 establishments in Europe, Dutch football clubs, Tilburg
Metroid Prime Pinball	2005 video games, Nintendo DS games, Nintendo DS-only games, Metroid Prime
Lee Toong Leon	Living people, Malaysian businesspeople
Manuel Merino	1961 births, Living people, Presidents of Peru, Current national leaders
Amendment process	Amendments to the United States Constitution
Fulton, Oswego County, New York	Cities in New York
Fulton, Schoharie County, New York	Towns in New York
Santa's workshop	Buildings and structures
Caprino Alendy	1952 births, 2020 deaths, Educators, Surinamese politicians
National Assembly (Suriname)	Suriname, Paramaribo, National legislatures
Luis Alberto Ammann	1942 births, 2020 deaths, Deaths from the COVID-19 pandemic in Argentina, Argentine politicians
Ray Daviault	1934 births, 2020 deaths, New York Mets players, Sportspeople from Montreal
Sinan Tuzcu	1977 births, Turkish movie actors, Turkish television actors, Turkish stage actors, Living people
Ken Spears	1938 births, 2020 deaths, Deaths from dementia with Lewy bodies, American television writers, American television producers, Writers from California
Oscar Benton	1949 births, 2020 deaths, Dutch singers
Heidar Shonjani	1945 births, 2020 deaths, Iranian sportspeople, Olympians, Swimmers
Domènec Fita i Molat	1927 births, 2020 deaths, Spanish artists
The Front Page (1931 movie)	1931 movies, 1930s comedy movies, American comedy movies, Movies based on plays, Movies directed by Lewis Milestone
Liliana Cavani	1933 births, Living people, Italian movie directors, Italian screenwriters
Pierre Simonet	1921 births, 2020 deaths, French military people
Andrzej Wawrzyniak	Ambassadors of Poland, 1931 births, Polish politicians, 2020 deaths
Mila del Sol	1923 births, 2020 deaths, Filipino actors, Filipino philanthropists, Filipino businesspeople
Rahayu Supanggah	1949 births, 2020 deaths, Indonesian writers, Composers
Beltsville, Maryland	Census-designated places in Maryland
Malcolm & Marie	English-language movies, Upcoming movies, 2020s drama movies, American drama movies, Netflix movies, Black-and-white movies
Doctors' Wives (1931 movie)	1931 movies, 1930s drama movies, American drama movies, 20th Century Fox movies, Movies based on books, Movies directed by Frank Borzage, Black-and-white movies
Toutiao	News media, Journalism
Umar tree frog	Animals of Asia, Frogs
Adrien Quatennens	Adrien Quatennens, 1990 births, French politicians, People from Lille, Living people
Axiom Space	Companies based in Texas, Private spaceflight
UEFA Nations League	UEFA, 2018 in association football, 2018 establishments in Europe
Scooby-Doo Spooky Coaster	2000s establishments in Australia, 2002 establishments, Roller coasters introduced in 2002, Steel roller coasters, Scooby-Doo characters
Skippy (1931 movie)	1931 movies, 1930s comedy movies, 1930s drama movies, American comedy-drama movies, Movies directed by Norman Taurog
Zdravko Krivokapić	1958 births, Living people, Prime Ministers of Montenegro
Kibosh (Casper the Friendly Ghost)	Fictional characters introduced in 1997
Battle cruiser	Ships
Westward Expansion Trails	United States, Migration, Roads
Cruiser	Ship types
Warhead	Weapons, Explosives
AIM-120 AMRAAM	Missiles
GBU-43/B MOAB	Explosives
Delicious (1931 movie)	1931 movies, 1930s romance movies, 1930s comedy movies, 1930s musical movies, American romantic comedy movies, American musical movies, 20th Century Fox movies, Movies directed by David Butler
Chief of the Defence Staff (United Kingdom)	Military of the United Kingdom
Hakodate	Cities in Hokkaido
A Connecticut Yankee (1931 movie)	1931 movies, 1930s comedy movies, 1930s fantasy movies, American fantasy movies, American comedy movies, 20th Century Fox movies, Movies based on books, Movies directed by David Butler
Dismissal (cricket)	Cricket, Sports words
List of programs broadcast by Nickelodeon	Television channels, Lists of television series by network
Andrey Lobkov	Living people, 1989 births, People from Moscow, World record holders
Arrowsmith (movie)	1931 movies, 1930s drama movies, American drama movies, Movies based on books, Movies directed by John Ford
Wakefield, Massachusetts	Towns in Massachusetts
Romanichthys	Perciformes, Animals of Europe
Chiaroscuro	art, movies, photography
2020 Nagorno-Karabakh ceasefire agreement	2020 in Asia, 2020 in Europe, 21st century in Armenia, 21st century in Azerbaijan, 21st century in Russia, Treaties, November 2020 events
Duckworth–Lewis–Stern method	Cricket
StarDog and TurboCat	2019 animated movies, 2019 comedy movies, 2019 science fiction movies, English-language movies, British animated movies, British comedy movies, British science fiction movies, Movies about dogs, Movies about cats
Fielding (cricket)	Cricket, Sports words
Khumba	2013 movies, 2013 animated movies, 2010s adventure movies, South African movies, Movies about animals, Movies set in Africa
Constantine XI	1405 births, 1453 deaths, Byzantine Emperors
Brockhampton-by-Ross	Civil parishes in Herefordshire, Villages in Herefordshire
Kelly Hu	1968 births, Actors from Honolulu, American movie actors, American television actors, American video game actors, American voice actors, Native Hawaiians, Living people
Vera's tree frog	Animals of Asia, Frogs
Resident Evil 3 (2020 video game)	PlayStation 4 games, Resident Evil, Video game remakes, Xbox One games
Yalçın Granit	1932 births, 2020 deaths, Turkish basketball players, Turkish journalists, Olympians
Maria Tsien	1925 births, 2020 deaths, Naturalized citizens of the United States, American movie actors, American television actors, American philanthropists, Filipino actors, Filipino philanthropists, People from Manila
Henry Brind	1927 births, 2020 deaths, British politicians
Matti Laakso	1939 births, 2020 deaths, Finnish Olympians, Wrestlers
White Aryan Resistance	Neo-Nazis
Tom Metzger	1938 births, 2020 deaths, Neo-Nazis, American radio personalities, American political activists, Politicians from Indiana, Politicians from California, US Democratic Party politicians
John Meyer (American football)	1942 births, 2020 deaths, Sportspeople from Chicago, American football linebackers, American football coaches, Deaths from the COVID-19 pandemic in the United States, Tennessee Titans players
Carlos Campos	1937 births, 2020 deaths, Chilean footballers, 1962 FIFA World Cup players, 1966 FIFA World Cup players, Association football forwards, People from Santiago
Mahmoud Yavari	1939 births, 2020 deaths, Iranian footballers, Iranian football managers, Pas players, Association football defenders
Jean-Michel Boris	1933 births, 2020 deaths, French artists
Patrick Chokala	1948 births, 2020 deaths, Deaths from myocardial infarction, Tanzanian people, African politicians, Ambassadors to Russia
Cyril Colbeau-Justin	1970 births, 2020 deaths, Cancer deaths in France, Movie producers from Paris
Assassination of Yitzhak Rabin	1995, 20th century in Israel, Assassinations
Florence Foresti	1973 births, Living people, French comedians, French movie actors, French television actors, French stage actors
Pierre Lataillade	1933 births, 2020 deaths, Former MEPs, MEPs for France
Rally for the Republic	Political parties in France
Philip Lavallin Wroughton	1933 births, Living people, British businesspeople, British politicians, People from Berkshire
Jean-Yves Nau	1952 births, 2020 deaths, French physicians, French journalists
One Hour with You	1932 movies, 1930s musical movies, 1930s comedy movies, American romantic comedy movies, American musical movies, Movies directed by Ernst Lubitsch, Paramount movies
Ron Klain	1961 births, Living people, American lawyers, White House Chiefs of Staff, Politicians from Indianapolis, Indiana, US Democratic Party politicians
Removal of Martín Vizcarra	October 2020 events, November 2020 events, Peru
Luis Valdez Farías	1979 births, Living people, Peruvian politicians
Walter Martos	1957 births, Living people, Prime Ministers of Peru
Ántero Flores Aráoz	1942 births, Living people, Prime Ministers of Peru
2020 Peruvian protests	2020, 2020s in South America, 21st century in Peru, November 2020 events, Protests in the 2020s
Luciana Borio	Living people, Naturalized citizens of the United States, American physicians, Brazilian physicians
COVID-19 Advisory Board	Joe Biden, COVID-19 pandemic
Marcella Nunez-Smith	Living people, American physicians, American educators
Hoop-La	1933 movies, 1930s drama movies, American drama movies, Movies based on plays, 20th Century Fox movies, Movies directed by Frank Lloyd
Fernando Atzori	1942 births, 2020 deaths, Italian Olympians, Olympic gold medalists, Boxers
Virginia Bonci	1949 births, 2020 deaths, Romanian sportspeople, High jumpers, Olympians
Shu-bi-dua	Danish musical entertainers, Pop musicians
Harry R. Jackson Jr.	1953 births, 2020 deaths, American Christians, American conservatives, American political activists, Writers from Cincinnati, Ohio
Italy at the Youth Olympics	Youth Olympic Games, Italy at the Youth Olympics, Nations at the Youth Olympic Games
Multi-sport event	Multi-sport events, Sports terminology, Sports competitions, Sports events
John Kinsela	1950 births, 2020 deaths, Australian Olympians, Wrestlers, Sportspeople from Sydney
Edward McClain	1940 births, 2020 deaths, State legislators of the United States, American chemists, American fraudsters, Scientists from Alabama, Politicians from Alabama, US Democratic Party politicians, People from Bessemer, Alabama
Score voting	Elections, Voting systems
Nelson Mandela Bay Metropolitan Municipality	Cities in South Africa, Nelson Mandela
STAR voting	Voting systems
Shegufta Bakht Chaudhuri	1931 births, 2020 deaths, Bangladeshi politicians, Bangladeshi Muslims, Bangladeshi businesspeople, Economists
Sequential proportional approval voting	Voting systems
Highest averages method	Voting systems
Francesc Xavier Ciuraneta Aymí	1940 births, 2020 deaths, Deaths from Parkinson's disease, Roman Catholic bishops, Spanish Roman Catholics
Thembekile Kimi Makwetu	South African businesspeople, 2020 deaths, Deaths from lung cancer, South African politicians, People from Cape Town, 1966 births
Five Star Final	1931 movies, 1930s crime movies, 1930s drama movies, American crime drama movies, Movies based on plays, Movies directed by Mervyn LeRoy
Shanghai Express (movie)	1932 movies, 1930s romance movies, 1930s drama movies, American romantic drama movies, Movies based on short stories, Paramount movies
Volodymyr the Great	Eastern Orthodox Christians, Saints, Kiev, Princes and princesses
List of current champions in the National Wrestling Alliance	Professional wrestling, National Wrestling Alliance, National Wrestling Alliance championships, Professional wrestling champion lists
Jorge Llopart	1952 births, 2020 deaths, Deaths from myocardial infarction, Spanish Olympic medalists, Olympic silver medalists, Spanish athletes
Badalona	Cities in Catalonia, Municipalities in Catalonia
Giuliana Minuzzo	1931 births, 2020 deaths, Italian Olympians, Olympic bronze medalists, Skiers
Abdulkadir Balarabe Musa	2020 deaths, 1936 births, Nigerian politicians
Gonçalo Ribeiro Telles	1922 births, 2020 deaths, People from Lisbon, Portuguese politicians, Portuguese businesspeople, Architects
Charles Corver	1936 births, 2020 deaths, Dutch football referees, People from Leiden, Sportspeople from South Holland
Graham Cowdrey	1964 births, 2020 deaths, Sportspeople from Kent, English cricketers
Dino da Costa	1931 births, 2020 deaths, Brazilian footballers, Italian footballers, People from Rio de Janeiro, People from Brasília
Amir Yavari	1931 births, 2020 deaths, Olympians, Boxers, Sportspeople from Tehran, People from Tehran
Sven Wollter	1934 births, 2020 deaths, Deaths from the COVID-19 pandemic in Sweden, Swedish movie actors, Swedish stage actors, Swedish television actors, Swedish writers, Political activists, People from Gothenburg
Renzo Gattegna	1938 births, 2020 deaths, Italian lawyers, Deaths from the COVID-19 pandemic in Italy, People from Rome
Oleksiy Shevchuk	Living people, 1985 births, Ukrainian lawyers, Journalists
Vladimir Găitan	1947 births, 2020 deaths, Deaths from stomach cancer, Romanian movie actors, Romanian television actors, Romanian stage actors, People from Rome
Zizur Mayor/Zizur Nagusia	Municipalities in Navarre
Orthodox Church of Ukraine	Ukraine, Eastern Christian denominations
Luis Ibero	1949 births, 2020 deaths, Deaths from the COVID-19 pandemic in Spain, Spanish politicians, Mayors
Juan Sol	1947 births, 2020 deaths, Spanish footballers, Association football defenders
Igor Moskvin	1929 births, 2020 deaths, Russian figure skaters
Maya Belenkaya	1931 births, Living people, Soviet figure skaters, People from Saint Petersburg
Isidro Pedraza Chávez	1959 births, 2020 deaths, Mexican politicians, Deaths from the COVID-19 pandemic in Mexico
Mahadeepak Singh Shakya	1922 births, 2020 deaths, Indian politicians
Bone marrow failure	Blood disorders
Jacques Glowinski	1936 births, 2020 deaths, French biologists, French educators, Researchers, Pharmacists
Mohammed Bakar	1945 births, 2020 deaths, Deaths from blood disease, Malaysian sportspeople, Footballers, Football managers
La Mosca Tsé - Tsé	Argentine musicians
Theresa Stewart	1930 births, 2020 deaths, Mayors, Politicians from Birmingham
Irvin Baxter Jr.	1945 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, American television presenters, American educators, Writers from Indiana, Writers from Texas
Asif Basra	1967 births, 2020 deaths, Suicides by hanging, Indian movie actors, Indian television actors, Indian stage actors, Indian voice actors
Surendra Singh Jeena	1969 births, 2020 deaths, Deaths from the COVID-19 pandemic in India, Indian politicians
Leonid Potapov	1935 births, 2020 deaths, Russian politicians, Deaths from the COVID-19 pandemic in Russia
Krasnodar Rora	1945 births, 2020 deaths, Yugoslavian sportspeople, Croatian footballers, Croatian football managers
Edward Flak	1948 births, 2020 deaths, Polish lawyers, Polish politicians, Mayors
Iggy Koopa	Video game characters
Nelly Kaplan	1931 births, 2020 deaths, Deaths from the COVID-19 pandemic in Switzerland, Argentine movie directors, Argentine screenwriters, French movie directors, French screenwriters, People from Buenos Aires, Writers from Paris, Essayists, Critics
Olesno	Towns in Poland
Puerto Rican poetry	Puerto Rico, Poetry
Epiphanius I of Ukraine	Christianity, Ukraine
Ali Fazal	1986 births, Living people, Indian movie actors, Indian stage actors, Indian models, Actors from Uttar Pradesh
Victor Hernández Cruz	Puerto Rico, Poetry, American poets, Caribbean people
Julia de Burgos	Puerto Rican people, Caribbean people, American poets, Poets by nationality, Literature by nationality, 1914 births, 1953 deaths
Spanglish (language)	Languages, Spanish-language songs, Literature, Linguistics
Quan Chi	Fictional characters introduced in 1996, Fictional mass murderers, Fictional murderers, Mortal Kombat characters, Video game antagonists, Video game bosses
Spider-Man (2000 video game)	2000 video games, Dreamcast games, Game Boy Color games, Nintendo 64 games, PlayStation games, Spider-Man video games
Gernot Roll	1939 births, 2020 deaths, Cinematographers, German movie directors, People from Dresden
Edgar Reitz	1932 births, Living people, German movie directors, German movie producers, German screenwriters, German educators
Alan Glazier	1939 births, 2020 deaths, Sportspeople from London
Waqar Ahmed Seth	1961 births, 2020 deaths, Deaths from the COVID-19 pandemic in Pakistan, Pakistani politicians, Pakistani judges, Pakistani lawyers
The F Word (South Park)	2009 television episodes, South Park episodes, Television episodes about profanity
Łask	Towns in Poland
Three-Fifths Compromise	History of the United States, United States Constitution
911 (Lady Gaga song)	Lady Gaga songs, 2020 songs, Dance-pop songs
Masatoshi Koshiba	1926 births, 2020 deaths, Japanese physicists, University of Tokyo alumni, University of Tokyo faculty
Justin Cronin (politician)	1980 births, 2020 deaths, State legislators of the United States, Politicians from South Dakota, US Republican Party politicians, People from Sioux Falls, South Dakota
Gettysburg, South Dakota	Cities in South Dakota, County seats in South Dakota
Lucille Soong	1938 births, Living people, Naturalized citizens of the United States, Chinese movie actors, Chinese television actors, Chinese stage actors, Chinese voice actors, American movie actors, American television actors, American stage actors, American voice actors, People from Beijing
Freaky Friday (2003 movie)	2000s fantasy movies, 2003 comedy movies, Disney movies, American fantasy movies, American comedy movies, Movies based on books
Mary Rodgers	1931 births, 2014 deaths, Deaths from heart failure, American composers, American children's writers, Screenwriters from New York City
Colombia at the Youth Olympics	Youth Olympic Games, Colombia at the Youth Olympics, Nations at the Youth Olympic Games
Egoism	Ethics, Philosophical movements and positions
National sports team	Training, Sports teams by sport
Raman Bandarenka	People from Minsk, 1989 births, 2020 deaths, Belarusian people, Victims during protests in Belarus in 2020, Deaths by beating
Black Palestinians	Palestinian people, Ethnic groups in Asia
Mohand Chérif Hannachi	1950 births, 2020 deaths, Algerian footballers
The Smiling Lieutenant	1931 movies, 1930s musical movies, 1930s comedy movies, American musical comedy movies, Movies based on books, Movies directed by Ernst Lubitsch
Tatiana Melnik	Living people, 1985 births, Designers
