Hammered dulcimer	Early musical instruments
Terramesnil	Communes in Somme
Almond milk	Almonds, Plant milks
Katas Raj Temples	World Heritage Sites in Pakistan, Religion in Pakistan, Punjab (Pakistan), History of Pakistan, Hinduism in South Asia
Pac-Mania	1987 video games
Brewarrina	Towns in Australia
After the Battle (movie)	2012 drama movies, Egyptian movies, French drama movies, Movies directed by Yousry Nasrallah
Sally and Freedom	1981 drama movies, Swedish movies
Butoh	Japanese culture
Moghbazar explosion	2021 disasters in Asia, 2020s explosions in Asia, 21st century in Bangladesh, Dhaka, June 2021 events
Savdhaan India	Indian television series, 2012 television series debuts
Samsung Galaxy A22	Samsung Galaxy A-series, Mobile phones released in 2021, Mobile phones with multiple rear cameras
Brooks, Meadows and Lovely Faces	2016 comedy movies, Egyptian movies, Movies directed by Yousry Nasrallah
Lee Boo-jin	1970 births, Living people, South Korean businesspeople, Billionaires
Kim Hye-soo	1970 births, Living people, Korean actors, People from Busan
Happy Madison Productions	Movie studios
Coconut flour	Flour, Coconuts
Funny People	2009 comedy-drama movies, 2000s black comedy movies, American black comedy movies, American comedy-drama movies, Movies directed by Judd Apatow
Manual therapy	Health care
G. W. Pabst	Austrian filmmakers, 1885 births, 1967 deaths
Canton, Mississippi	Cities in Mississippi, County seats in Mississippi
Madison, Mississippi	Cities in Mississippi
Ridgeland, Mississippi	Cities in Mississippi
Bindi	Indian culture, Body art
Hadiza Sabuwa Balarabe	Nigerian politicians
Yusuf Barnabas Bala	Nigerian politicians
Kaura	Settlements in Nigeria
Boana jimenezi	Frogs, Animals of South America
Seth Abramson	1976 births, Living people, American political writers
Coach to Vienna	1960s war movies, 1966 thriller movies, Czech movies, World War II movies, Movies directed by Karel Kachyňa
Close to Heaven	2005 comedy movies, Czech movies, Movies directed by Dan Svátek
Dragon (programming language)	Programming languages
High Line	New York City, Parks in the United States, Trails
Treehouse of Horror V	The Simpsons (season 6) episodes, Treehouse of Horror, 1994 television episodes, Television episodes written by David X. Cohen
Grey Dawn (movie)	2015 drama movies, Ghanaian movies, Nigerian movies, Movies directed by Shirley Frimpong-Manso
Lacoste	1930s establishments in France, 1933 establishments, Companies of France
Yes, Norman Productions	American television producers
Mr. L	Video game characters
Flap steak	Cuts of beef
De humani corporis fabrica	1543 books, Anatomy, Biology books, Surgery
Valentin Paniagua	1936 births, 2006 deaths, Presidents of Peru
Duck eggs	Egg
Rebecca Sealfon	American writers, Living people, 1983 births
28 Days Later	2002 movies, Movies about diseases
Tana	Disambiguation pages
Tana, Norway	Municipalities of Norway
Halima Dangote	Nigerian businesspeople, Living people
Prince Luxury Group	2015 establishments in Africa
Polka-dot tree frog	Frogs, Animals of South America
Dangote Group	1980s establishments in Africa
Chicken Rice War	2000 romance movies, 2000 comedy movies, 2000s romantic comedy movies, Movies based on plays, Singaporean movies
Rashomon effect	Epistemology, Perception
Res judicata	Legal terms
The Message (1976 movie)	1976 drama movies, Lebanese movies, Libyan movies, Kuwaiti movies, British drama movies, Moroccan movies, Egyptian movies, Saudi Arabian movies, Syrian movies
Wadjda	2012 comedy-drama movies, Saudi Arabian movies, Dutch comedy movies, Dutch drama movies, German comedy movies, German drama movies, Jordanian movies, United Arab Emirates movies, American comedy-drama movies, Movies directed by Haifaa al-Mansour
Calendar (tool)	Software
VINCI	1890s establishments in France, 1899 establishments in Europe, Companies of France
Westpac Health	Singaporean companies
David Reich	1974 births, Living people, American geneticists, Harvard University alumni
The Perfect Candidate	2019 drama movies, Saudi Arabian movies, German drama movies, Movies directed by Haifaa al-Mansour
Ahmad Sani Yerima	1960 births, Living people, Nigerian politicians
Farooq Kperogi	1973 births, Living people, Nigerian people
Mary Shelley (movie)	2017 drama movies, 2010s biographical movies, British biographical movies, British drama movies, Luxembourgian movies, American biographical movies, American drama movies, Irish movies, Australian drama movies, Movies directed by Haifaa al-Mansour
Ammonium hydrosulfide	Chemical compounds
Moment of inertia factor	Physics
Patson Daka	1998 births, Living people, FC Red Bull Salzburg players, Zambian sportspeople, African footballers
Brown hyaena	Hyaenas, Mammals of Africa
Adoptionscentrum	Sweden
Gazpacho	Spanish food, Portugal, Soups, Garlic dishes
Karol Bagh	Delhi, Neighborhoods
Impetigore	2019 horror movies, 2010s horror thriller movies, Indonesian movies, South Korean movies, American horror movies, American thriller movies, Movies directed by Joko Anwar
Red Dead Revolver	Video games
Chaco tree frog	Frogs, Animals of South America
Angel (1982 Irish movie)	1982 drama movies, Irish movies, British drama movies, Movies directed by Neil Jordan
Público	1989 establishments in Europe, Newspapers in Europe
Deutsches Museum	Museums in Germany
William Howe	British Army people, 1729 births, 1814 deaths
Heilsbronn	Ansbach (district)
Herrieden	Ansbach (district)
Austenasia	2008 establishments in the United Kingdom
Jalaun district	Districts of Uttar Pradesh
David Beasley	1957 births, Living people, Governors of South Carolina, South Carolina Republicans
Maharaja Suraj Mal	Kings and queens, History of India
Windows Live Essentials	Microsoft Windows software
Pac-Man 99	2020s video games
Sireethorn Leearamwat	Living people, 1993 births
Kevin Liliana	1996 births, Living people, Indonesian people
Child theft	Theft, Children, Legislation, Family law
Viktoriya Faynblat	1982 births, Living people, Ukrainian people
Sir Henry Clinton	British Army people, 1730 births, 1795 deaths
Maren Morris	American country singers, Singers from Texas
Boana pugnax	Frogs, Animals of South America
Letters from Prague	2016 drama movies, 2010s musical movies, Indonesian movies, Movies directed by Angga Dwimas Sasongko
List of Chinese writers	Chinese writers
Hot Shots Golf (1997 video game)	1997 video games, Golf video games, Hot Shots Golf, PlayStation games, PlayStation-only games, Sports video games, Video games developed in Japan
Hot Shots Golf (2017 video game)	2017 video games, Hot Shots Golf, PlayStation 4 games, PlayStation 4-only games, Sports video games, Video games developed in Japan
Hot Shots Golf Fore!	2003 video games, Hot Shots Golf, PlayStation 2 games, PlayStation 2-only games, Sony Interactive Entertainment games, Video game sequels, Video games developed in Japan
Yang Jisheng	Chinese writers, 1940 births, Living people
Bill Jones	British academics, 1946 births
Chepstow Castle	Monmouthshire
Rudolf Steiner	Esotericists, 1861 births, 1925 deaths, Austrian people
Army Radio	Radio stations, Israel, 1950 establishments in Asia
Treehouse of Horror XV	Treehouse of Horror, The Simpsons episodes, 2000s television episodes
Anna (1970 movie)	1970 movies, Finnish movies, Swedish movies, Movies directed by Jörn Donner
Athaulf	Kings and queens, 4th century births, 410s deaths
Federal Way, Washington	Cities in Washington (U.S. state)
Lakewood, Washington	Cities in Washington (U.S. state)
Spokane Valley, Washington	Cities in Washington (U.S. state), Spokane County, Washington
Fantastic Planet	1973 science fiction movies, French animated movies, French science fiction movies, Czech movies, Movies based on books, Movies set on fictional planets
Ailsa (movie)	1994 drama movies, Irish movies, Movies directed by Paddy Breathnach
Vasca Votiva	Archaeological sites in Europe
Dublin, Pennsylvania	Boroughs in Pennsylvania
Dublin, Indiana	Towns in Indiana
Marsanne, Drôme	Communes in Drôme
Montélimar	Communes in Drôme
Adetokunbo Kayode	Living people, Nigerian politicians
Dublin, New Hampshire	Towns in New Hampshire
Saint-Aubin-Rivière	Communes in Somme
Saint-Blimont	Communes in Somme
Saint-Christ-Briost	Communes in Somme
San Luis, Arizona	Cities in Arizona
Wow! Wow! Wubbzy!	Children's television series, Nickelodeon television series, 2006 television series debuts
Uba Sani	Living people, 1970 births, Nigerian politicians
List of doping cases in sport	Doping in sport
Stearic acid	Saturated fatty acids
Palmitic acid	Saturated fatty acids
List of doping cases in athletics	Doping in sport
Myristic acid	Saturated fatty acids
Yokel Hero	The Simpsons (season 32) episodes
Peggy Shippen	1760 births, 1804 deaths, Socialites, People from Philadelphia, Pennsylvania
2003 London blackout	2000s in England, 2003 in Europe
Leutershausen	Ansbach (district)
Sainte-Segrée	Communes in Somme
Le Vésinet	Communes in Yvelines
Ermont	Communes in Val-d'Oise
Saint-Fuscien	Communes in Somme
List of Hong Kong people	 Lists of people,  Hong Kong
Saint-Germain-sur-Bresle	Communes in Somme
Issoudun	Communes in Indre, Subprefectures in France
La Châtre	Communes in Indre, Subprefectures in France
Saint-Gratien, Somme	Communes in Somme
International Exhibition of Nothing	Art movements
Pierogi	Polish food, Ukrainian food
The Forbidden Door	2009 horror movies, Indonesian movies, Movies based on books, Movies directed by Joko Anwar
Kerry cattle	Cattle breeds
Usina tree frog	Frogs, Animals of South America
Xu Xu	Chinese writers
Alexander Kristoff	1987 births, Cyclists, Living people, Sportspeople from Oslo, Tour de France cyclists
Det brenner i natt!	1955 drama movies, Norwegian movies, Movies directed by Arne Skouen
Saint-Léger-lès-Authie	Communes in Somme
Saint-Léger-lès-Domart	Communes in Somme
Saint-Léger-sur-Bresle	Communes in Somme
Saint-Mard, Somme	Communes in Somme
Little Charley Bear	British children's television series, 2010s animated television series, CBeebies
The Aka-Champion	PlayStation 2 games, PlayStation 2-only games, Party video games, 2005 video games, 2006 video games, Japan exclusive video games
Wentzville, Missouri	Cities in Missouri, 1855 establishments in Missouri
Atheism in Poland	Religion, Polish culture
Island of Death	1976 horror movies, 1970s LGBT movies, Greek movies, Movies set in islands, Movies directed by Nico Mastorakis
Protective hairstyle	Hairstyles
I Am (Garau)	Sculptures, Conceptual art
Angela Raiola	1960 births, 2016 deaths, People from Brooklyn, Businesspeople from New York City, American people convicted of drug offenses, Deaths from lung cancer, Deaths from throat cancer, Participants in American reality television series, Television personalities from New York City, American television personalities
Righeira	1983 establishments in Europe, 1980s establishments in Italy
The Sheltering Desert	1992 drama movies, 1990s adventure movies, South African movies, British adventure movies, British drama movies, Irish movies, Movies set in South Africa, Movies set in deserts, Movies directed by Regardt van den Bergh
Leonid Topchiev	Soviet actors, 1930 births, 2021 deaths
Basin tree frog	Frogs, Animals of South America
Carnitine	Amino acids, Organic compounds, Alcohols
Pittsboro, Mississippi	Villages in Mississippi, County seats in Mississippi
Booneville, Mississippi	Cities in Mississippi, County seats in Mississippi
Lakeshore Entertainment	Movie studios
Lauric acid	Saturated fatty acids
Capric acid	Saturated fatty acids
Saint-Maulvis	Communes in Somme
Composers Union of Azerbaijan	Music, Buildings and structures in Baku, Azerbaijani culture, 1934 establishments
Saint-Maxent	Communes in Somme
Saint-Ouen, Somme	Communes in Somme
La Vicogne	Communes in Somme
Telšiai	Cities in Lithuania
Chadron, Nebraska	Cities in Nebraska, County seats in Nebraska
Central City, Nebraska	Cities in Nebraska, County seats in Nebraska
Chappell, Nebraska	Cities in Nebraska, County seats in Nebraska
Aéropostale	Clothing companies, 1987 establishments in the United States, Companies based in New York City
Rosie (2018 movie)	2018 drama movies, Irish movies, Movies directed by Paddy Breathnach
Grand Isle, Louisiana	Towns in Louisiana
Jean Lafitte, Louisiana	Towns in Louisiana
Dizzy (song)	1968 songs, 1969 songs, 1991 songs
Athens, Louisiana	Villages in Louisiana
Epps, Louisiana	Villages in Louisiana
Forest, Louisiana	Villages in Louisiana
Kilbourne, Louisiana	Villages in Louisiana
Pioneer, Louisiana	Villages in Louisiana
Norwood, Louisiana	Villages in Louisiana
Wilson, Louisiana	Villages in Louisiana
Brusly, Louisiana	Towns in Louisiana
Angie, Louisiana	Villages in Louisiana
Varnado, Louisiana	Villages in Louisiana
Choudrant, Louisiana	Villages in Louisiana
Simsboro, Louisiana	Villages in Louisiana
Sicily Island, Louisiana	Villages in Louisiana
Golden Meadow, Louisiana	Towns in Louisiana
Lockport, Louisiana	Towns in Louisiana
Elton, Louisiana	Towns in Louisiana
Lake Arthur, Louisiana	Towns in Louisiana
Welsh, Louisiana	Towns in Louisiana
Fenton, Louisiana	Villages in Louisiana
Afrikrea	2016 establishments in Africa
Ann Inc	American clothing companies, Companies based in New York City
Auf der Kehr	Mountains of Europe
Gutenstein Alps	Mountain ranges of the Alps
Hohenschwangau	Villages in Bavaria
Plymouth Hoe	Plymouth, Devon, Parks in the United Kingdom
Mary Jackson	1921 births, 2005 deaths, Engineers from Virginia
The Hour of the Furnaces	1968 movies, Documentary movies, Argentine movies, Movies directed by Fernando Solanas
MGMT	American musical groups, Musical groups established in 2002, 2002 establishments in the United States
The Promised Land (1973 movie)	1973 drama movies, Chilean movies, Cuban movies, Movies directed by Miguel Littín
Bye Bye Blackbird (movie)	2005 drama movies, Luxembourgian movies, Austrian movies, German drama movies, British drama movies
Chronophilia	Sociology, Paraphilias
Sól (sun)	Norse mythology
Varun Gandhi	1980 births, Living people, Indian politicians
Three Percenters	Politics of the United States
Iowa, Louisiana	Towns in Louisiana
Vinton, Louisiana	Towns in Louisiana
Breath of Fire series	Video game series
Baldwin, Louisiana	Towns in Louisiana
Berwick, Louisiana	Towns in Louisiana
Maringouin, Louisiana	Towns in Louisiana
White Castle, Louisiana	Towns in Louisiana
Grosse Tête, Louisiana	Villages in Louisiana
Rosedale, Louisiana	Villages in Louisiana
Junction City, Louisiana	Villages in Louisiana
Downsville, Louisiana	Villages in Louisiana
Lillie, Louisiana	Villages in Louisiana
Spearsville, Louisiana	Villages in Louisiana
Loreauville, Louisiana	Villages in Louisiana
Mangham, Louisiana	Villages in Louisiana
Henderson, Louisiana	Towns in Louisiana
Parks, Louisiana	Villages in Louisiana
Pearl River, Louisiana	Towns in Louisiana
Sun, Louisiana	Villages in Louisiana
Tangipahoa, Louisiana	Villages in Louisiana
Tickfaw, Louisiana	Villages in Louisiana
Newellton, Louisiana	Towns in Louisiana
Waterproof, Louisiana	Villages in Louisiana
Gueydan, Louisiana	Towns in Louisiana
Maurice, Louisiana	Villages in Louisiana
Arc the Lad	1995 video games, 1996 video games, 1998 video games, 2002 video games, 1997 manga, 1998 manga, Android (operating system) games, Arc the Lad series, IOS games, Japan exclusive video games, PlayStation games, Sony Interactive Entertainment games, Video game series, Video games developed in Japan
Bogdan Stevanovic	Living people, 1988 births, Croatian people
Ys (franchise)	Ys franchises, Video game series
Ponca, Nebraska	Cities in Nebraska, County seats in Nebraska
Benkelman, Nebraska	Cities in Nebraska, County seats in Nebraska
Franklin, Nebraska	Cities in Nebraska, County seats in Nebraska
Mullen, Nebraska	Villages in Nebraska, County seats in Nebraska
Cloverdale, Mississippi	Census-designated places in Mississippi
Morgantown, Adams County, Mississippi	Census-designated places in Mississippi
Glendale, Mississippi	Census-designated places in Mississippi
Quaid-i-Azam University	Federal Capital Territory of Islamabad, Coordinates on Wikidata, Colleges and universities in Pakistan
Kati Kati	2016 drama movies, Kenyan movies, German drama movies
In My Genes	2009 movies, Documentary movies, Kenyan movies
Stockville, Nebraska	Villages in Nebraska, County seats in Nebraska
Trenton, Nebraska	Villages in Nebraska, County seats in Nebraska
Alma, Nebraska	Cities in Nebraska, County seats in Nebraska
Cope's eastern Paraguay tree frog	Frogs, Animals of South America
Boana latistriata	Frogs, Animals of South America
Battle of Paoli	Battles of the American Revolutionary War, 1770s in the United States, 18th century in Pennsylvania, September events
Fanny Hill	Romance novels, Obscenity controversies, British novels, 1748 books
Mahmud Shinkafi	Nigerian politicians, Living people
Jablonné nad Orlicí	Towns in the Czech Republic
Chomutov	Cities in the Czech Republic
Thor (Marvel Comics)	Comic books, Marvel Comics superheroes, Fictional characters
Přerov	Cities in the Czech Republic
Lucian	Syrian people, Ancient Greek writers
Bédarieux	Communes in Hérault
Merkendorf, Bavaria	Ansbach (district)
Ornbau	Ansbach (district)
Rothenburg ob der Tauber	Landmarks in Germany, Ansbach (district)
Saint-Quentin-en-Tourmont	Communes in Somme
Saint-Sauflieu	Communes in Somme
Saint-Vaast-en-Chaussée	Communes in Somme
Saleux	Communes in Somme
Carinthia	Carinthia (state)
Ohlstadt	Garmisch-Partenkirchen (district)
Louis VIII of France	Kings and Queens of France, 1226 deaths, 1180s births
Eschenlohe	Garmisch-Partenkirchen (district)
Bad Kohlgrub	Spa towns in Germany, Garmisch-Partenkirchen (district)
Oberammergau	Garmisch-Partenkirchen (district)
Vlad Nov	1990 births, Living people
Charles Grey, 1st Earl Grey	British Army people, 1729 births, 1807 deaths, People from Northumberland, United Kingdom Earls, Order of the Bath
Archduke Franz Karl of Austria	1802 births, 1878 deaths, House of Habsburg-Lorraine
Kathryn Garcia	US Democratic Party politicians, Politicians from Brooklyn, 1970 births, Living people
Man About Dog	2004 comedy movies, Irish movies, British comedy movies, Movies directed by Paddy Breathnach
The Secret Scripture (movie)	2016 romance movies, 2016 drama movies, 2010s romantic drama movies, Irish movies, Movies based on books, Movies directed by Jim Sheridan
Curtis Mayfield	1942 births, 1999 deaths, African American musicians, American guitarists, Singer-songwriters from Chicago, Grammy Award winners, Deaths from diabetes
Emma Raducanu	2002 births, Living people, British tennis players, Female tennis players, People from Bromley (London borough), Sportspeople from London, Sportspeople from Toronto, US Open (tennis) champions
Shelley Berkley	1951 births, Living people, American lawyers, US Democratic Party politicians, Politicians from New York City, United States representatives from Nevada
Fidenza	Cities in Emilia-Romagna
Sassuolo	Cities in Emilia-Romagna
Lois Frankel	1948 births, Living people, American mayors, American lawyers, US Democratic Party politicians, Politicians from New York City, United States representatives from Florida
Irina Palm	2007 comedy-drama movies, British comedy-drama movies, French comedy movies, French drama movies, Belgian movies, Luxembourgian movies, German comedy movies, German drama movies
Salouël	Communes in Somme
Sancourt, Somme	Communes in Somme
Saulchoy-sous-Poix	Communes in Somme
Sauvillers-Mongival	Communes in Somme
Mundo Novo tree frog	Frogs, Animals of South America
Vigo	Municipalities in Galicia, Cities in Galicia
List of Nutri Ventures – The Quest for the 7 Kingdoms episodes	Lists of animated television series episodes
Marion O'brien Donovan	1917 births, 1998 deaths, American inventors
Alex Kinter	1989 births, Living people, Movie directors
List of chemicals in doping cases in sport	Doping in sport, Chemicals
Anchorman	English-language movies, DreamWorks Pictures movies
East Dunbartonshire	Scottish Council Areas
East Renfrewshire	Scottish Council Areas
Inverclyde	Scottish Council Areas
West Dunbartonshire	Scottish Council Areas
Balloch, West Dunbartonshire	Towns in Scotland
Hallein	Cities and towns in Salzburg (state)
Saveuse	Communes in Somme
Senarpont	Communes in Somme
Jacron	Paper
Senlis-le-Sec	Communes in Somme
Sentelie	Communes in Somme
Sorel, Somme	Communes in Somme
Sorel-en-Vimeu	Communes in Somme
Saint-Aubin-de-Luigné	Former communes in France, Communes in Maine-et-Loire
Schillingsfürst	Ansbach (district)
Ettal	Garmisch-Partenkirchen (district)
Cookware and bakeware	Cooking, Tools
Hamza ibn ‘Abd al-Muttalib	570s births, 620s deaths, Family of Muhammad, Sahaba, Arab people
Embassy of Israel, London	International relations, Government of Israel
Wassertrüdingen	Ansbach (district)
Palmero cheese	Spanish cheeses
Manchego	Spanish cheeses
Kathryn Parsons	1982 births, Living people, British businesspeople
Martha Lane Fox	1973 births, Living people, British businesspeople
Guayanés cheese	Venezuelan cheeses
Palmita cheese	Venezuelan cheeses
Queso de mano	Venezuelan cheeses
Hurricane Elsa	Hurricanes in Jamaica, Hurricanes in Haiti, Hurricanes in the Dominican Republic, Hurricanes in Florida, July 2021 events, 2021 disasters, Hurricanes
Arepa	Venezuelan food, Colombian food, Bolivian culture
Cachapa	Venezuelan food, Colombian food
Windsbach	Ansbach (district)
Wolframs-Eschenbach	Ansbach (district)
Monica Evans	1940 births, 2021 deaths, English voice actors, English stage actors, English television actors, Alumni of the Royal Academy of Dramatic Art, Deaths from Alzheimer's disease
Nandrolone	Doping in sport, Chemical compounds
Apatow Productions	Movie studios
Forgotten (2013 movie)	2013 drama movies, Bolivian movies, Movies directed by Carlos Bolado
Sneha Tharwani	Living people, People from Mumbai, Choreographers
Hariharan (singer)	Indian singers
Osculating orbit	Celestial mechanics
Kugelblitz	Black holes
Marriott International	Hotel chains, Companies of the United States, 1927 establishments in the United States
Ruby Ridge	History of Idaho, August events, 1992 in the United States
Hyatt Hotels Corporation	Hotel chains, Companies based in Chicago, Illinois, 1957 establishments in the United States
Sheraton	1937 establishments in the United States, Companies of the United States, Hotel chains
Four Seasons Hotels and Resorts	1960s establishments in Canada, Hotel chains
Lifestyle Holidays Vacation Club	2002 establishments in South America
Hell River	1974 movies, 1970s war movies, Serbian movies, Liechtenstein movies, American war movies, World War II movies, Movies directed by Stole Jankovic
I Want Love (Jessie J song)	2021 songs
Kiwix	Free software, Web browsers
XOWA	Free software, Microsoft Windows software, Linux software
Khanh D. Pham	Living people, Vietnamese people, American engineers
Ginger Lynn	1962 births, Living people, American pornographic actors, American movie actors, Actors from Illinois, People from Rockford, Illinois
Alfaro's tree frog	Frogs, Animals of South America
Eminent domain	United States law, United Kingdom law, Social sciences, Legal terms, International law, Controversies
Namadi Sambo	1954 births, Living people, Nigerian politicians
Bran	Nutrition, Plant anatomy
Dubliner cheese	Cheeses, Irish food
Fiona Reynolds	1958 births, Living people, People from Cumbria
Chloe Kim	Living people, American sportspeople
Jordyn Woods	Living people, American models, American singers, American businesspeople
Maddie Ziegler	American dancers, American television actors, American models
Simon Jenkins	Living people, 1943 births, Alumni of the University of Oxford, Bloggers, British journalists, British writers, Editors
Exile (2020 movie)	2020 drama movies, Kosovan movies, German drama movies, Belgian movies
Rommel N. Angara	1980 births, Living people, Filipino writers, Poets
Far-left politics	Political movements
A State of Madness	2020 drama movies, Dominican Republic movies, Movies directed by Leticia Tonos
Pomosexuality	Sexuality
Canis Major Dwarf Galaxy	Dwarf galaxies, Milky Way
Sasha Banks	1992 births, Living people, Professional wrestlers, Female professional wrestlers
Arctic rabies virus	Viruses
Perfect (1985 movie)	1985 romance movies, 1985 drama movies, 1980s romantic drama movies, American romantic drama movies, Columbia Pictures movies
Code Unknown	2000 drama movies, French drama movies, Austrian movies, German drama movies, Romanian movies, Movies directed by Michael Haneke
Sylvia (1985 movie)	1985 movies, 1980s biographical movies, New Zealand movies
Control key	Computers
Battle of Svolder	Battles, 10th century in Europe, 999, 1000
Sandino (movie)	1990 movies, 1990s biographical movies, Spanish movies, Nicaraguan movies, Chilean movies, Italian movies, Cuban movies, Mexican movies, Movies directed by Miguel Littín
Islamic University, Bangladesh	Colleges and universities in Bangladesh
Claude Joseph	Presidents of Haiti, Living people, Prime Ministers of Haiti
WikiWikiWeb	Wikis, 1995 establishments
Whale vocalization	Animal communication, Cetaceans
Phenylpiracetam	Doping in sport, Chemical compounds
Languages of the Philippines	Languages of the Philippines
Großweil	Garmisch-Partenkirchen (district)
Oberau	Garmisch-Partenkirchen (district)
Riegsee	Garmisch-Partenkirchen (district)
Saulgrub	Garmisch-Partenkirchen (district)
Villingen-Schwenningen	Towns in Baden-Württemberg
Guido Cantelli	1920 births, 1956 deaths, Italian conductors, People from Novara
Soues, Somme	Communes in Somme
Manderlay	2005 drama movies, Danish movies, Swedish movies, Dutch drama movies, French drama movies, German drama movies, British drama movies, Italian drama movies, American drama movies, Movies directed by Lars von Trier
Sourdon	Communes in Somme
Soyécourt	Communes in Somme
Surcamps	Communes in Somme
Suzanne, Somme	Communes in Somme
Pontboset	Settlements in Valle d'Aosta
Tailly, Somme	Communes in Somme
Schwaigen	Garmisch-Partenkirchen (district)
Gunther's Brazilian tree frog	Frogs, Animals of South America
Christmas Kisses (EP)	2013 albums, Ariana Grande albums, Christmas albums, R&B albums
Seehausen am Staffelsee	Garmisch-Partenkirchen (district)
Adelshofen, Middle Franconia	Ansbach (district)
Saysomphone Phomvihane	Living people, 1954 births, Presidents of the National Assembly (Laos)
Bounthong Chitmany	Living people, 1949 births, Vice Presidents of Laos
Onsen	Japanese culture, Hygiene
Bouasone Bouphavanh	1954 births, Living people, Prime Ministers of Laos
Assassination of Jovenel Moïse	2021 in North America, 2020s crimes in North America, 21st century in Haiti, Assassinations, July 2021 events, Murder in 2021, Port-au-Prince
Martine Moïse	1974 births, Living people, First Ladies, Haitian people
Mary Simon	1947 births, Living people, Ambassadors of Canada, Governors General of Canada, Politicians from Quebec
Kaduna	Cities in Nigeria
2021 Western North America heat wave	July 2021 events
2021 Philippine Air Force C-130 crash	2021 disasters in Asia, 21st century in the Philippines, Aviation disasters in the 2020s, July 2021 events
Contempt of court	Law
Prime Minister of Dominica	Prime Ministers of Dominica
List of presidents of Dominica	Presidents of Dominica
Patrick John	1938 births, 2021 deaths, Prime Ministers of Dominica
The Remix (Ariana Grande album)	2015 albums, Remix albums, Ariana Grande albums, Pop albums, Dance albums, R&B albums
The Best (Ariana Grande album)	2017 albums, Greatest hits albums, Ariana Grande albums, Pop albums, R&B albums
Tulle massacre	1940s in France, 1944 in Europe, Massacres in Europe, Massacres during Word War II, June 1944 events
Vladimir Menshov	1939 births, 2021 deaths, Russian movie actors, Russian stage actors, Russian movie directors, Russian movie producers, Russian screenwriters, Deaths from the COVID-19 pandemic in Russia
Raffaella Carrà	1943 births, 2021 deaths, Italian singers, Italian television presenters, Italian movie actors, Italian television actors, Italian models, Italian writers, Dancers, People from Bologna, Deaths from lung cancer
Affair in Trinidad	1952 drama movies, 1950s crime movies, American crime drama movies, Movies directed by Vincent Sherman, Columbia Pictures movies
Richard Lewontin	1929 births, 2021 deaths, American academics, American biologists, American mathematicians, American geneticists, Writers from New York City, Scientists from New York City
Rick Laird	1941 births, 2021 deaths, Irish writers, Teachers, Musicians from Dublin
Luminița Gheorghiu	1949 births, 2021 deaths, Romanian movie actors, Romanian stage actors, Romanian television actors, People from Bucharest
Maidarjavyn Ganzorig	1949 births, 2021 deaths, Cosmonauts, Mongolian people
Structural analog	Chemical nomenclature
Nikolai Slichenko	1934 births, 2021 deaths, Russian movie actors, Russian stage actors, Russian television actors, Russian singers, Russian theatre directors, Deaths from respiratory failure
Thieves and Liars	2006 drama movies, Puerto Rican movies
Yury Dokhoian	1964 births, 2021 deaths, Deaths from the COVID-19 pandemic in Russia, Russian chess players
Josh Culbreath	1932 births, 2021 deaths, African-American track and field athletes, American Olympic bronze medalists, American television actors, Sportspeople from Pennsylvania, Actors from Pennsylvania
Louis Andriessen	1939 births, 2021 deaths, Deaths from dementia, Dutch academics, Dutch composers, Dutch pianists, People from Utrecht (city)
Philece Sampler	1953 births, 2021 deaths, Deaths from myocardial infarction, American television actors, American voice actors, American video game actors, American movie actors, Actors from Texas
Jeannette Altwegg	1930 births, 2021 deaths, Indian Olympic bronze medalists, British Olympic bronze medalists, British Olympic gold medalists, Figure skaters, People from Bombay
Steven Horwitz	1964 births, 2021 deaths, Deaths from multiple myeloma, American economists, American academics, Scientists from Detroit, Michigan, Writers from Detroit, Michigan
Burton Greene	1937 births, 2021 deaths, American jazz musicians, American pianists, Musicians from Chicago
Janet Moreau	1927 births, 2021 deaths, American track and field athletes, American Olympic gold medalists, Sportspeople from Rhode Island, People from Pawtucket, Rhode Island
John Lawton (musician)	1946 births, 2021 deaths, British rock singers, British singer-songwriters, British television presenters, British movie actors, British television actors
Bonfoh Abass	1948 births, 2021 deaths, Presidents of Togo
Victoire Tomegah Dogbé	1959 births, Living people, Prime Ministers of Togo
Delia Fiallo	1924 births, 2021 deaths, Cuban screenwriters, People from Havana
Ursula Happe	1926 births, 2021 deaths, German Olympic gold medalists, German swimmers
John Polkinghorne	1930 births, 2021 deaths, English physicists, English theologians, Writers from Somerset
Cliff Simon	1962 births, 2021 deaths, South African actors, Deaths in sport
Petr Kellner	1964 births, 2021 deaths, Czech businesspeople, Aviation deaths in the United States
Bisociality	Sociology
Sapiosexuality	Sexuality
Homoflexibility	Sexuality
Massacre of Oradour	History of France, Massacres during Word War II
Injera	Flatbreads, Ethiopia, Eritrea, Djibouti, Somalia
Tower Prada	Milan, Museums in Italy
X-gender	Gender
IOS 15	IOS
Girlfag and guydyke	Gender, Sexuality
Normani	American singers, Living people
Booboo Stewart	Living people, American actors, American singers
Brandenburgers	Military of Germany, Special Forces
H-Net	Websites, 1992 establishments
Nothing But Thieves	2010s establishments in the United Kingdom, English rock bands
Herzeleid	1995 albums, Debut albums
Sikandrabad	Cities and towns in Uttar Pradesh
Abwehr	Military of Germany, Intelligence agencies
Abubakar Atiku Bagudu	1961 births, Living people, Nigerian politicians
Clicking games	Types of video games
