List of regions of Canada	Canada-related lists, Regions of Canada
2013–14 UEFA Champions League	UEFA Champions League seasons, 2014 in association football, 2013 in association football
Oribe	Given names
Hans V. Engström	1949 births, 2014 deaths, Deaths from liver failure, Actors from Stockholm, Swedish movie actors, Swedish stage actors, Swedish television actors
One Night in Istanbul	2014 comedy-drama movies, British comedy-drama movies, English-language movies, Movies set in England
Mike Smith	1955 births, 2014 deaths, BBC radio presenters, BBC television presenters, British DJs, Deaths from surgical complications, English businesspeople, English racecar drivers, English radio personalities, English television presenters, Television personalities from Essex
Ascendancy (album)	Heavy metal albums, 2005 albums
Wolfgang Leonhard	1921 births, 2014 deaths, German activists, Disease-related deaths in Germany, German historians, German writers, Writers from Vienna
Blue Point, New York	Census-designated places in New York (state)
Factory (band)	1970s Swedish music groups, 1980s Swedish music groups, Musical groups disestablished in 1982, Musical groups established in 1978, Stockholm, 1978 establishments in Sweden, 1982 disestablishments in Europe, 1980s disestablishments in Sweden
Peter Sculthorpe	1929 births, 2014 deaths, Australian composers, Classical musicians, Disease-related deaths in Sydney, Officers of the Order of the British Empire, Order of Australia, People from Tasmania, People from Launceston, Tasmania
Snowstorm (band)	1976 establishments in Sweden, Musical groups from Gothenburg, Swedish rock music groups
Marianne Flynner	1954 births, Singers from Stockholm, Living people
Twilight Dementia	Heavy metal albums
ZP Theart	1975 births, Living people, Heavy metal singers
The Road to Serfdom	Non-fiction books
Attack (band)	Musical groups established in 1980, 1985 disestablishments in Europe, Swedish pop music groups, 1980 establishments in Sweden, Musical groups disestablished in 1985, 1980s disestablishments in Sweden
Angel (Swedish band)	Swedish pop music groups
Imerio Massignan	1937 births, Italian cyclists, Living people, Sportspeople from Veneto, Tour de France cyclists
Stand Up and Scream	Heavy metal albums, 2009 albums
Magnum Bonum	Swedish pop music groups
Børre Knudsen	1937 births, 2014 deaths, Norwegian writers, Civil servants, Activists
Australian Mist	Cat breeds
Sophie Masloff	1917 births, 2014 deaths, Jewish American politicians, Jewish women politicians, Mayors of Pittsburgh, US Democratic Party politicians
Windowing system	Operating systems, Computers
Henrik Åberg	1976 births, Living people, Swedish singers
Northern pike	Teleosts, Freshwater fish
Mount Washington (New Hampshire)	Mountains of the United States, Geography of New Hampshire
Ray Walston	1914 births, 2001 deaths, American movie actors, American television actors
City upon a Hill	Speeches by Ronald Reagan
English Cocker Spaniel	Spaniels
Wolf Point, Chicago	History of Chicago
Chicago flood	Disasters in the United States, Disasters in the 1990s, Floods, 1992 in the United States, 20th century in Chicago, 1990s in Illinois
Aaron Montgomery Ward	1844 births, 1913 deaths, Burials at Rosehill Cemetery, Businesspeople from Chicago, Businesspeople from New Jersey
Richard Warren Sears	1863 births, 1914 deaths, Burials at Rosehill Cemetery, Businesspeople from Chicago, Businesspeople from Minnesota
Alvah Curtis Roebuck	1864 births, 1948 deaths, Businesspeople from Chicago, Businesspeople from Indiana
George Streeter	1837 births, 1921 deaths, American fraudsters, American people convicted of manslaughter, Businesspeople from Michigan, Businesspeople from Chicago, Criminals from Michigan, Deaths from pneumonia, Infectious disease deaths in Chicago, People from Flint, Michigan
Gurdon Saltonstall Hubbard	1802 births, 1886 deaths, Businesspeople from Chicago, Writers from Chicago, Writers from Vermont, Burials at Graceland Cemetery
191 North Wacker	Skyscrapers in Chicago, 2002 establishments in the United States, 2000s establishments in Illinois
Wolf Point South Tower	Skyscrapers in Chicago, Proposed skyscrapers in the United States
InterContinental Chicago Magnificent Mile	Skyscrapers in Chicago, 1929 establishments in Illinois
Allerton Hotel	Skyscrapers in Chicago, 1924 establishments in the United States, 1920s establishments in Illinois
Robert R. McCormick	1880 births, 1955 deaths, Deaths from pneumonia, Businesspeople from Chicago
William Le Baron Jenney	1832 births, 1907 deaths, Burials at Graceland Cemetery, American architects, Businesspeople from Massachusetts
Henry Hobson Richardson	1838 births, 1886 deaths, Deaths from nephritis, American architects, Businesspeople from Louisiana
Handkerchief	Accessories
Johnson City, Texas	Cities in Texas, County seats in Texas
Jay Pritzker Pavilion	Buildings and structures in Chicago, Illinois
Chicago Picasso	Sculptors, Landmarks in Chicago, 1967 establishments in the United States, 1960s establishments in Illinois
Goodman Theatre	Theatres in Chicago, Landmarks in Chicago
Chicago (That Toddlin' Town)	Songs about Chicago, Illinois, Pop songs, Frank Sinatra songs
Jay Pritzker	1922 births, 1999 deaths, American economists, Businesspeople from Chicago
Ann Rowan	1929 births, 2014 deaths, Disease-related deaths in the Republic of Ireland, Irish movie actors, Irish stage actors, Irish television actors
Ulysses (1967 movie)	1967 drama movies, British drama movies, American drama movies, Irish movies, Movies based on books
Barbara Jefford	1930 births, 2020 deaths, British movie actors, British television actors, British stage actors, Actors from Devon
Janne Persson	1947 births, Living people, Swedish singers
Mona Wessman	1948 births, Living people, Swedish singers
Hasse Andersson	1948 births, Living people, Swedish singers
Legibility	Typography
Cairn Terrier	Terriers
Boleskine House	Buildings and structures in Scotland, Listed buildings, British culture, Folklore, 1760s establishments, Establishments in Scotland
Erasmus Bridge	Bridges, Buildings and structures in the Netherlands, Rotterdam
Meuse	Rivers of Belgium, Rivers of France, Rivers of the Netherlands, Grand Est, Flanders, Wallonia, Limburg (Belgium), Liège (province), Namur (province), Gelderland, Limburg (Netherlands), North Brabant
Arad Productions Inc.	Canadian animation studios
Bad Channels	1992 albums
Baker Street (song)	1978 songs, Rock ballads, Songs about London
Westfield, Massachusetts	Cities in Massachusetts, 1660 establishments, 1660s establishments in Massachusetts
Get Smart (movie)	2008 action movies, 2000s spy movies, American action movies, American spy movies, Movies set in Los Angeles, California, Movies directed by Peter Segal
Fernand St. Germain	1928 births, 2014 deaths, American lawyers, Boston University alumni, Politicians from Massachusetts, United States representatives from Rhode Island, US Democratic Party politicians
Newport, Rhode Island	Cities in Rhode Island, County seats in Rhode Island, 1780s establishments in the United States, 1784 establishments in the United States
The Breakfast Club	1985 comedy-drama movies, 1980s coming-of-age movies, 1980s high school movies, 1980s teen comedy movies, 1980s teen drama movies, American comedy-drama movies, American coming-of-age movies, American high school movies, Coming-of-age comedy movies, Coming-of-age drama movies, Movies directed by John Hughes, Movies produced by John Hughes, Movies set in Chicago, Illinois, Screenplays by John Hughes, Universal Pictures movies
Judd Nelson	1959 births, Living people, Actors from Maine, American movie actors, American movie producers, American screenwriters, American television actors, American voice actors, People from Portland, Maine, Writers from Maine
Uncle Buck	1989 comedy movies, 1980s family movies, American comedy movies, American family movies, Movies about families, Movies directed by John Hughes, Movies produced by John Hughes, Movies set in Chicago, Illinois, Movies shot in Chicago, Illinois, Screenplays by John Hughes, Universal Pictures movies
Pierre Vassiliu	1937 births, 2014 deaths, French singers, French songwriters, People from Geneva
Josh Meyers	1976 births, Living people, American movie actors, American television actors, Actors from New Hampshire
Danny Masterson	1976 births, Living people, American movie actors, American television actors, American voice actors, Actors from New York
Wilmer Valderrama	1980 births, Living people, Actors from Miami, Florida, American movie actors, American television actors, American television producers, American voice actors
Simin Behbahani	1927 births, 2014 deaths, Iranian writers, Poets, People from Tehran
Euromast	1960 establishments in Europe, Skyscrapers, Towers in Europe, Buildings and structures in the Netherlands, Rotterdam, 1960s establishments in the Netherlands, Buildings and structures completed in the 20th century
The Crusher (album)	2001 albums, Amon Amarth albums
Mehdi Tolouti	Living people, Boxers, Olympic Games, Year of birth missing (living people)
Multiple fruit	Fruits
Oriental Longhair	Cat breeds
Tiburones Rojos de Veracruz	Mexican football clubs, Veracruz, 1943 establishments in North America, 1940s establishments in Mexico
Querétaro F.C.	Mexican football clubs, Querétaro, 1950 establishments in North America, 1950s establishments in Mexico
Estudiantes de Altamira	Mexican football clubs, 2001 establishments, 2000s establishments in Mexico
Club Atlas	Mexican football clubs, Guadalajara, 1916 establishments in Mexico
Club Puebla	Mexican football clubs, Puebla (state), 1944 establishments in North America, 1940s establishments in Mexico
Komondor	Dog breeds
Club Tijuana	Mexican football clubs, Baja California (state), 2007 establishments, 2000s establishments in Mexico
Deportivo Toluca F.C.	Mexican football clubs, 1917 establishments in North America, 1910s establishments in Mexico
Cyprus cat	Cat breeds
Eskrima	Martial arts, Sport in the Philippines
Tim Blake Nelson	1964 births, Living people, American movie directors, American movie producers, American movie actors, American television actors, American voice actors, American stage actors, Jewish American actors, Actors from Tulsa, Oklahoma, Singers from Tulsa, Oklahoma
Robert Bruce Smith, IV	1945 births, 2014 deaths, American historians, Road accident deaths in Mississippi, Writers from Mississippi, People from Tupelo, Mississippi
Larry Craig	1945 births, Living people, American Methodists, Ranchers, United States representatives from Idaho, United States senators from Idaho, US Republican Party politicians
Trent Lott	1941 births, Living people, American Baptists, Minority leaders of the United States Senate, Majority leaders of the United States Senate, United States representatives from Mississippi, United States senators from Mississippi, US Republican Party politicians
James Abourezk	1931 births, Living people, American Eastern Orthodox Christians, American lawyers, United States representatives from South Dakota, United States senators from South Dakota, US Democratic Party politicians
Bernie Sanders	1941 births, Living people, Bernie Sanders, 2016 United States presidential candidates, 2020 United States presidential candidates, 20th-century American politicians, 21st-century American politicians, American civil rights activists, American environmentalists, American feminists, American human rights activists, American LGBT rights activists, American mayors, American political activists, American political writers, American progressives, American television presenters, Democratic socialists, HuffPost writers and columnists, Independent politicians in the United States, Jewish activists, Jewish American politicians, Jewish American writers, People from Burlington, Vermont, Politicians from Brooklyn, Researchers, Socialist politicians, United States representatives from Vermont, United States senators from Vermont, University of Chicago alumni, US Democratic Party politicians, Writers from Brooklyn, Writers from Vermont
René Casados	1961 births, Living people, Mexican movie actors, Mexican television actors, People from Veracruz
Rafael Inclán	1941 births, Living people, Mexican movie actors, Mexican television actors, Mexican stage actors
Mount Airy, North Carolina	Cities in North Carolina
B. K. S. Iyengar	1918 births, 2014 deaths, Deaths from myocardial infarction, Deaths from renal failure, Disease-related deaths in India, Indian educators, Indian writers
Cassandra Peterson	American television actors, American movie actors, Actors from Kansas, 1951 births, Living people
Catsuit	Clothing
Chiffon	Cloth
Latex clothing	Clothing
Leotard	Clothing
Chattanooga (band)	Swedish pop music groups
Port of Rio de Janeiro	Ports and harbours, Rio de Janeiro
List of flags of the Nguyen dynasty's administrative units	History of Vietnam, Provinces of Vietnam, Symbols of Vietnam
2014 Ferguson unrest	2014 crimes, 2014 in Missouri, 2010s crimes in the United States, Riots in the United States, August 2014 events, Black Lives Matter
American Curl	Cat breeds
Boris Dubin	1946 births, 2014 deaths, Russian writers, Sociologists, People from Moscow
James Foley (journalist)	1973 births, 2014 deaths, American war correspondents, American people murdered abroad, American photojournalists, Kidnapped American people, Murders by blade weapons, Writers from Illinois, Writers from New Hampshire, Filmed executions
Daniel Pearl	1963 births, 2002 deaths, American people murdered abroad, Israeli journalists, Jewish American writers, Jewish Israeli writers, Journalists from California, Journalists from New Jersey, Kidnapped American people, Murders by blade weapons, Naturalized citizens of Israel, People from Princeton, New Jersey, People murdered in Pakistan
Rochester, New Hampshire	Cities in New Hampshire
Odessa Sathyan	1957 births, 2014 deaths, Deaths from pancreatic cancer, Indian movie directors, Activists
Candida Lycett Green	1942 births, 2014 deaths, British novelists, Deaths from pancreatic cancer, People from Berkshire, Writers from Dublin
Mercator projection	Map projections
List of flags of Vietnam	Symbols of Vietnam, Lists of flags, Flags of Asia
James Cama	1957 births, 2014 deaths, American martial artists, American educators, Writers from New York, Sportspeople from New York
Ger van Elk	1941 births, 2014 deaths, Dutch artists, People from Amsterdam
Levente Lengyel	1933 births, 2014 deaths, Hungarian chess players
Brian G. Hutton	1935 births, 2014 deaths, Movie directors from New York City
Samih al-Qasim	1939 births, 2014 deaths, Communists, Deaths from cancer, Druze, Israeli activists, Israeli journalists, Israeli writers, Israeli-Palestinian people, Jordanian people, Poets, Political activists
Anton Buslov	1983 births, 2014 deaths, Deaths from cancer, Russian writers, Bloggers
Rajesultanpur	Cities and towns in Uttar Pradesh
Irbid	Cities in Jordan
Ain Shams University	1950 establishments, 20th-century establishments in Egypt, Buildings and structures in Cairo, 1950s establishments in Africa
God Help the Girl (movie)	2010s musical movies, 2014 drama movies, British musical movies, British drama movies, Movies directed by Stuart Murdoch
Kelly's Heroes	1970 comedy movies, 1970s war movies, American comedy movies, American war movies, Movies set in the 1940s
Albert Reynolds	1932 births, 2014 deaths, Deaths from Alzheimer's disease, Taoisigh of Ireland, Roman Catholics
Matt Heafy	1986 births, Living people, Heavy metal musicians
Ann-Christine Bärnsten	1957 births, Living people, Swedish singers, Swedish writers
Mats Rådberg	1948 births, 2020 deaths, Singers from Stockholm, Musicians from Stockholm, Guitarists
Blockbuster	Movie industry, 1985 establishments in the United States, 2014 disestablishments in the United States
Imelda May	Irish musicians, Singer-songwriters, 1974 births, Living people
Scagliola	Building materials
Telmo Vargas	1912 births, 2013 deaths, Centenarians, Generals, Presidents of Ecuador, South American military people
Gerry Anderson (broadcaster)	1944 births, 2014 deaths, Disease-related deaths in the United Kingdom, Northern Ireland people, British radio personalities, British television presenters
Puli	Dog breeds
Robert Hansen	1939 births, 2014 deaths, American fraudsters, American kidnappers, American prisoners sentenced to life imprisonment, American rapists, American serial killers, American thieves, Arsonists, Disease-related deaths in the United States, People from Iowa, People who died in prison custody in the United States, People with bipolar disorder, People with personality disorders
Kaufman Astoria Studios	American entertainment companies
Sava Stojkov	1925 births, 2014 deaths, Serbian people, Painters
American Cocker Spaniel	Spaniels
Casimir Pulaski	1745 births, 1779 deaths, Naturalized citizens of the United States, Polish people, American military people, People from Warsaw
Raed al Atar	1974 births, 2014 deaths, Asian military people, Muslim terrorists, Palestinian Muslims, Palestinian nationalists, Palestinian terrorists
Amanda Palmer	1976 births, Living people, American pianists, American composers, Singers from New York City, Singers from Massachusetts, Musicians from New York City, Musicians from Massachusetts, American bloggers
Knock Shrine	Buildings and structures in the Republic of Ireland, County Mayo, Marian shrines
Raphael (archangel)	Angels, Biblical people, Christian saints, Islam
Jean Redpath	1937 births, 2014 deaths, British folk musicians, Cancer deaths in the United States, Entertainers from Edinburgh, Scottish singer-songwriters
Steven Sotloff	1983 births, American journalists, Murders by blade weapons, American people murdered abroad, Kidnapped American people, 2014 deaths, Writers from Miami, Florida, Filmed executions
Prime number theorem	Number theory
Azerbaijani rock	Rock music, Azerbaijani culture
2014–15 Premier League	Premier League, 2014 in association football, 2015 in association football
Liz Holzman	1953 births, 2014 deaths, American animators, American movie directors, American television directors, American television producers, Cancer deaths in the United States, Deaths from breast cancer, Emmy Award winners, Movie producers from California, Screenwriters from California, Writers from San Francisco
Cat o' nine tails	BDSM, Tools
Maria Altmann	1916 births, 2011 deaths, American Jews, Austrian Jews, Naturalized citizens of the United States, People from Vienna
Contour line	Statistics, Cartography
Loleatta Holloway	Musicians from Chicago, American singer-songwriters, 1946 births, 2011 deaths
War on Drugs	1970s in the United States, Presidency of Ronald Reagan, 1990s in the United States, 2000s in the United States, Drugs, History of the United States
Level set	Functions and mappings
Cecil D. Andrus	1931 births, 2017 deaths, Deaths from lung cancer, United States Secretaries of the Interior, Governors of Idaho, Politicians from Oregon, US Democratic Party politicians
Sésamo	Children's television series, Sesame Street
U. R. Ananthamurthy	1932 births, 2014 deaths, Deaths from cardiac arrest, Deaths from renal failure, Disease-related deaths in India, Indian educators, Indian writers
Commode	Furniture
Big Bag	Muppets, Children's television series, English-language television programs
Trading Spouses	2004 American television series debuts, 2007 American television series endings, 2000s American television series, American reality television series, Fox television series, English-language television programs
Shake It Off (Taylor Swift song)	2014 songs, Pop songs, Taylor Swift songs
Pedicure	Cosmetics, Body art
Bruce Boxleitner	1950 births, Living people, American movie actors, American television actors, American voice actors, People from Elgin, Illinois, Actors from Illinois, Writers from Illinois
Deborah Sussman	1931 births, 2014 deaths, American artists, Cancer deaths in the United States, Deaths from breast cancer, Designers, People from Los Angeles, California, People from New York City
Roscoe Arbuckle	1887 births, 1933 deaths, Deaths from myocardial infarction, American silent movie actors, American movie directors, American screenwriters, American comedians, Actors from Kansas
Tom Snyder	1936 births, 2007 deaths, American radio personalities, American television presenters, Cancer deaths in San Francisco, Deaths from chronic lymphocytic leukemia, People from Milwaukee, Wisconsin, Television personalities from Wisconsin
James Freeman Gilbert	1931 births, 2014 deaths, American physicists, Road accident deaths in the United States, Scientists from Indiana
Harry Fielding Reid	1859 births, 1944 deaths, American physicists, Scientists from Baltimore, Maryland
Jason Momoa	Pages created with the Article Wizard from 2014, Wikipedia workpages, 1979 births, Actors from Hawaii, Living people
Hillsboro, Texas	Cities in Texas, County seats in Texas
Gordon Faber	1931 births, 2014 deaths, American mayors, Businesspeople from Oregon, Businesspeople from Pennsylvania, Deaths from COPD, Disease-related deaths in Oregon, Politicians from Oregon, Politicians from Pennsylvania
Neil Goldschmidt	1940 births, Living people, Governors of Oregon, United States Secretaries of Transportation, Mayors of Portland, Oregon, People from Eugene, Oregon, US Democratic Party politicians
James H. Burnley IV	1948 births, Living people, United States Secretaries of Transportation, Politicians from North Carolina, US Republican Party politicians
Rodney E. Slater	1955 births, Living people, United States Secretaries of Transportation, Politicians from Arkansas, US Democratic Party politicians
Ray LaHood	1945 births, Living people, Maronites, United States representatives from Illinois, United States Secretaries of Transportation, US Republican Party politicians
The Game	Heavy metal
John Sherman Cooper	1901 births, 1991 deaths, Ambassadors of the United States, American Baptists, American judges, American lawyers, American military personnel of World War II, Deaths from heart failure, Harvard University alumni, United States senators from Kentucky, US Republican Party politicians, Yale University alumni
Tom Poston	Emmy Award winning actors, 1921 births, 2007 deaths, Deaths from respiratory failure, American movie actors, American television actors, American stage actors, American voice actors, American television personalities, Actors from Columbus, Ohio
Hillsborough, North Carolina	Towns in North Carolina, County seats in North Carolina
Birgitta Stenberg	1932 births, 2014 deaths, Cancer deaths in Sweden, Deaths from liver cancer, Writers from Stockholm
Golam Mostofa (poet)	1897 births, 1964 deaths, Pakistani writers, Poets
John S. Waugh	1929 births, 2014 deaths, American academics, American chemists, Disease-related deaths in the United States, Scientists from Connecticut, Wolf Prize winners
Victor Chang	1936 births, 1991 deaths, Australian educators, Australian medical doctors, Murders by firearm, Order of Australia, People from Hong Kong, People from Shanghai, People from Sydney
Square One TV	Children's television series, PBS Kids shows, 1987 television series debuts, 1992 television series endings
Ganesh Chaturthi	Hindu festivals
Cat righting reflex	Cats, Reflexes, Physics
Lauren Nelson	People from Lawton, Oklahoma, Miss America winners, 1986 births, Living people
Buttered cat paradox	Cats, Humor
Annefleur Kalvenhaar	1994 births, 2014 deaths, Accidental deaths in France, Deaths in sport, Dutch cyclists, Road accident deaths, Sportspeople from Overijssel
Wierden	Settlements in Overijssel, Municipalities of Overijssel
Treadmill	Sports equipment, Punishments
Chapelle royale de Dreux	Churches in France, Centre-Val de Loire
Colombiana	2011 drama movies, 2010s action movies, 2010s crime drama movies, Bogotá, English-language movies, French action movies, French crime movies, French drama movies, Movies about murderers, Movies about revenge, Movies set in Chicago, Illinois, Multilingual movies, Spanish-language movies
Louis Philippe I	1773 births, 1850 deaths, People from Paris, House of Orléans, Dukes and Duchesses of Valois, Dukes and Duchesses of Chartres, Dukes and Duchesses of Orléans, Dukes and Duchesses of Nemours, Dukes and Duchesses of Montpensier, Kings and Queens of France
Mineral Point, Wisconsin	Cities in Wisconsin, Iowa County, Wisconsin, 1827 establishments in the United States, 1820s establishments in Michigan Territory
Stanley Motor Carriage Company	1902 establishments in the United States, 1900s establishments in Massachusetts, 1924 disestablishments in the United States, 20th-century disestablishments in Massachusetts, American automobile companies, Companies based in Massachusetts
Arthur Penn	Movie producers from Pennsylvania, Movie directors from Pennsylvania, American television directors, American television producers, Deaths from congestive heart failure, 1922 births, 2010 deaths
Paweł Huelle	1957 births, Living people, Critics, Polish journalists, People from Gdańsk, Polish writers
Revere, Massachusetts	Cities in Massachusetts
Buster Posey	Living people, San Francisco Giants players, 1987 births, Sportspeople from Georgia (U.S. state), National League All-Stars
Steven R. Nagel	1946 births, 2014 deaths, Deaths from cancer, American astronauts, Engineers from Illinois, Military people from Illinois
Dara Singh	1928 births, 2012 deaths, Deaths from cardiac arrest, Indian movie actors, Indian television actors, Indian movie directors, Wrestlers, Indian movie producers, Indian sportspeople, Indian writers, Punjabi people
Deaths in January 2014	2014 deaths
Deaths in February 2014	2014 deaths
Deaths in August 2014	2014 deaths, August 2014 events
Sydney Roosters	Rugby, Sport in Australia, Sports in Sydney, 1908 establishments in Australia
Deaths in March 2014	2014 deaths
Deaths in April 2014	2014 deaths
Deaths in May 2014	2014 deaths, May 2014 events
Deaths in June 2014	2014 deaths, June 2014 events
Penrith Panthers	Rugby, Sport in Australia, Sports in Sydney, 1966 establishments in Oceania, 1960s establishments in Australia
Deaths in July 2014	2014 deaths, July 2014 events
Canberra Raiders	Rugby, Sport in Australia, Canberra, 1981 establishments in Australia
South Sydney Rabbitohs	Rugby, Sport in Australia, Sports in Sydney, 1908 establishments in Australia
Albert Ebossé Bodjongo	1989 births, 2014 deaths, Cameroonian footballers
Hajo Meyer	1924 births, 2014 deaths, Dutch activists, Dutch Jews, Dutch physicists, German Jews, German political activists, Holocaust survivors, Jewish activists, Jewish scientists, Naturalised citizens of the Netherlands, People from North Rhine-Westphalia, Refugees from Nazism, Theoretical physicists
United Party of Canada	Political parties in Canada
Western Block Party	Political parties in Canada, 2005 establishments in Canada
Northwestern Ontario	Regions of Ontario
Northeastern Ontario	Regions of Ontario
Dove Cameron	American television actors, American movie actors, Actors from Washington, 1996 births, Living people
Voice-tracking	Radio
James Hinchcliffe	People from Ontario, 1986 births, Living people, IndyCar Series drivers
Liv and Maddie	2010s American television series, 2013 American television series debuts, 2017 American television series endings, American sitcoms, Disney Channel shows, English-language television programs, Television series about families
1941 Florida hurricane	1941 in the United States, Hurricanes in the United States, 20th century in the Bahamas, 1940s in Florida, October events
Time Warner Cable	American technology companies, 1989 establishments in the United States, Time Warner
Golden Spikes Award	Sports trophies and awards
Jindřich Pokorný	1927 births, 2014 deaths, Czech writers
Jaume Vallcorba Plana	1949 births, 2014 deaths, Spanish writers, Spanish educators
Dan Magill	1921 births, 2014 deaths, American military people, American male tennis players, Coaches, Deaths from natural causes, Sportspeople from Georgia (U.S. state)
Glam metal	Heavy metal subgenres, Rock music
Magi (manga)	Manga, Anime
Marcel Rigout	1928 births, 2014 deaths, Communist politicians, Disease-related deaths in France, Government ministers of France
Ahti Pekkala	1924 births, 2014 deaths, Finnish politicians, Government ministers, Legislative speakers
Philippine de Rothschild	1933 births, 2014 deaths, Disease-related deaths in France, French businesspeople, French royalty, People from Paris
Gold Coast Titans	Rugby, Sport in Australia, Queensland, 2007 establishments, 2000s establishments in Australia
North Queensland Cowboys	Rugby, Sport in Australia, Queensland
Canterbury-Bankstown Bulldogs	Rugby, Sport in Australia, Sports in Sydney, 1934 establishments, 1930s establishments in Australia
Cronulla-Sutherland Sharks	Rugby, Sport in Australia, Sports in Sydney, 1963 establishments, 1960s establishments in Australia
Black box	Engineering, Systems
Newcastle Knights	Rugby, Sport in Australia, New South Wales, 1988 establishments in Australia
Parramatta Eels	Rugby, Sport in Australia, Sydney, 1946 establishments in Australia
St. George Illawarra Dragons	Rugby, Sport in Australia, Sports in Sydney, 1998 establishments in Australia
Melbourne Storm	Rugby, Sport in Australia, Melbourne, 1997 establishments, 1990s establishments in Australia
Manly Warringah Sea Eagles	Rugby, Sport in Australia, Sports in Sydney, 1946 establishments in Australia
Wests Tigers	Rugby, Sport in Australia, Sports in Sydney, 1999 establishments in Australia
New Zealand Warriors	Rugby, Sport in New Zealand, Auckland, 1995 establishments, 1990s establishments in New Zealand
Ferdinand Philippe, Duke of Orléans	1810 births, 1842 deaths, Heirs apparent who never acceded, House of Orléans, Dukes and Duchesses of Chartres, Dukes and Duchesses of Orléans, People from Palermo
Superposition principle	Physics
Ángel Di Maria	1988 births, Living people, Argentine footballers, Manchester United F.C. players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, Medalists at the 2008 Summer Olympics
Interdisciplinarity	Academic disciplines
Watertown, Massachusetts	Cities in Massachusetts, 1630 establishments in Massachusetts
Czechoslovak Television	Czechoslovakia, Television networks, 1992 disestablishments in Europe, 1953 establishments in Europe
Keiji Mutoh	1962 births, Japanese professional wrestlers, Living people, People from Yamanashi Prefecture
Antônio Ermírio de Moraes	1928 births, 2014 deaths, Deaths from heart failure, Brazilian politicians, Brazilian businesspeople, People from São Paulo
Larry Kramer	1935 births, 2020 deaths, Deaths from pneumonia, Disease-related deaths in New York City, American LGBT rights activists, American playwrights, American screenwriters, Gay men, LGBT novelists, LGBT people from Connecticut, LGBT playwrights, LGBT screenwriters, Organ transplant recipients, People from Bridgeport, Connecticut, People with HIV/AIDS, Writers from Connecticut, Yale University alumni
Gandhi (movie)	Academy Award winning movies, Golden Globe Award winning movies, BAFTA Award winning movies, 1982 drama movies, 1980s biographical movies, British biographical movies, British drama movies, Indian movies, Movies directed by Richard Attenborough, Movies set in India, Movies set in South Africa, Movies set in the United Kingdom, Movies set in the 1890s, Movies set in the 1910s, Movies set in the 1920s, Movies set in the 1930s, Movies set in the 1940s
Sheila Sim	1922 births, 2016 deaths, Deaths from dementia, English movie actors, English stage actors, Actors from Liverpool
Columbus, Wisconsin	Cities in Wisconsin, Columbia County, Wisconsin, Dodge County, Wisconsin
Leonid Stadnyk	1970 births, 2014 deaths, Deaths from cerebral hemorrhage, Ukrainian people, World record holders
Battering ram	Weapons
Barry Dickins	1949 births, Living people, Writers from Victoria (Australia), Australian playwrights, People from Melbourne, Australian painters, Australian children's writers, Artists from Victoria (Australia)
Hashim Khan	1910s births, 2014 deaths, Cardiovascular disease deaths in the United States, Centenarians, Deaths from congestive heart failure, Pakistani people, Pashtun people, People from Peshawar, World champions, Squash (sport)
Zugzwang	Chess
Zwischenzug	Chess
Alfredo Martini	1921 births, 2014 deaths, Coaches, Deaths from natural causes, Italian cyclists, People from Florence, Sportspeople from Tuscany
Inga Juuso	1945 births, 2014 deaths, Disease-related deaths in Norway, Jazz musicians, Jazz singers, Norwegian singers, Norwegian movie actors
Tom Pevsner	1926 births, 2014 deaths, British Jews, Disease-related deaths in England, German Jews, Jewish businesspeople, Movie directors from London, Movie producers from London, Naturalised citizens of the United Kingdom, People from Dresden, Refugees from Nazism
Tumbleweed (band)	Musical groups from New South Wales, 1990 establishments in Australia
Ramón Echarren Istúriz	1929 births, 2014 deaths, Spanish Roman Catholics, Canary Islands
Quentin Crisp	1908 births, 1999 deaths, Actors from Surrey, British sex industry people, Cardiovascular disease deaths in England, Deaths from myocardial infarction, English autobiographers, English LGBT people, English movie actors, Gay men, LGBT actors, LGBT sex industry people, LGBT writers, Prostitutes, Socialites, Writers from Surrey
Tak Province	Provinces of Thailand
Ukraine Today	Ukrainian culture, Television channels
Christian Bourquin	1954 births, 2014 deaths, French mayors, Socialist Party (France) politicians
Jason Wingreen	1920 births, 2015 deaths, American movie actors, American television actors, American voice actors, Actors from New York City
Carl Vinson	1883 births, 1981 deaths, Deans of the United States House of Representatives, United States representatives from Georgia, US Democratic Party politicians, 20th-century American politicians
Roman Catholic Archdiocese of Quebec	Religion in Canada, 1819 establishments in North America, 19th-century establishments in Canada
SouthWest Cyclops	Canadian Lacrosse League, Sport in Ontario
Dean of the United States House of Representatives	Deans of the United States House of Representatives
Jamie L. Whitten	1910 births, 1995 deaths, Deans of the United States House of Representatives, Deaths from heart failure, United States representatives from Mississippi, US Democratic Party politicians, 20th-century American politicians
Roman Catholic Diocese of Calgary	Calgary, Religion in Canada, Roman Catholicism
Calgary Region	Alberta
Regina Cyclone	Tornadoes in Canada, Saskatchewan
Linear system	Systems theory
Orchard	Agriculture
Grow light	Light
John Ehrlichman	1925 births, 1999 deaths, American criminals, American lawyers, American military personnel of World War II, American prisoners, Civil servants, Christian Scientists, Deaths from diabetes, Disease-related deaths in Atlanta, Politicians from Washington, Stanford University alumni, US Republican Party politicians
