Magan (civilization)	Ancient history, Middle East
Across the Pacific	1942 movies, 1940s war movies, 1940s romance movies, 1940s adventure movies, American war movies, American romance movies, American adventure movies, World War II movies, Movies based on short stories, Warner Bros. movies, Movies directed by John Huston, Movies directed by Vincent Sherman
Shafali Verma	Indian people, 2004 births, Cricketers
Brewarrina Aboriginal Fish Traps	Geography of New South Wales, Buildings and structures in New South Wales
Aidan Sowa	Living people, 1999 births, American businesspeople
Pithecopus rusticus	Frogs, Animals of South America
Darlington Probation Station	Geography of Tasmania, Australian Convict Sites
Snake oil	Health, Pseudoscience
Echo (acoustics)	Acoustics, Sound
Panacea (medicine)	Medicine, Alchemy
Humptulips, Washington	Census-designated places in Washington (state)
Callimedusa	Frogs, Animals of South America
The Adventures of Martin Eden	1942 movies, 1940s adventure movies, American adventure movies, Movies based on books, Movies directed by Sidney Salkow
The start	Technology
COVIran Barekat	COVID-19 pandemic
The Stranger (1946 movie)	1946 movies, 1940s mystery movies, 1940s thriller movies, American mystery movies, American thriller movies, Movies directed by Orson Welles
Keegan Kolesar	1997 births, American Hockey League players, Canadian ice hockey right wingers, ECHL players, Ice hockey people from Manitoba, Living people, Seattle Thunderbirds players, People from Manitoba, Vegas Golden Knights players
Hyde Park Barracks	Buildings and structures in Sydney, Australian Convict Sites
Fremantle Prison	Australian Convict Sites
Rajapur, Uttar Pradesh	Cities and towns in Uttar Pradesh
Old Government House, Parramatta	Buildings and structures in Sydney, Australian Convict Sites
Mimoza Thaqi	Albanian people, Slovenian people, Living people, Fashion designers
Franklin-Gordon Wild Rivers National Park	National parks in Australia, Tasmanian Wilderness
Pithecopus nordestinus	Frogs, Animals of South America
Vatnajökull National Park	World Heritage Sites in Europe, National parks in Europe
MLB (2005 video game)	PlayStation 2 games, Sports video games, PlayStation Portable games, 2005 video games
Church of the Brethren	Anabaptism, Church of the Brethren, Members of the National Council of Churches, Members of the World Council of Churches, Peace churches
Natalie Meyer	1930 births, 2021 deaths, Politicians from North Carolina, Politicians from Denver, Colorado, US Republican Party politicians
Diva (magazine)	Magazines of the United Kingdom
Dylan Vanas	Living people, Businesspeople from Las Vegas, Nevada
Hylomantis	Frogs, Animals of South America
Patrick Gajda	Living people, 1991 births, Polish businesspeople
Harper's Bazaar	Fashion magazines
BBC Bridge Companion	Video game consoles, BBC, Contract bridge
Hiruzen Sarutobi	Fictional Japanese people
Second inauguration of Harry S. Truman	1949, 1940s in the United States, Harry S. Truman, United States presidential inaugurations
The Bandit (1946 movie)	1946 movies, 1940s war movies, 1940s crime movies, 1940s drama movies, Italian drama movies, World War II movies, Movies directed by Alberto Lattuada
Dennnis McCoy (disambiguation)	Human name disambiguation pages
Friz Freleng	1906 births, 1995 deaths, People from Kansas City, Missouri, American film producers, Jewish American writers, Screenwriters from Missouri
Città di Castello	Cities in Umbria
Datchet	Villages in Berkshire, Civil parishes in Berkshire, Windsor and Maidenhead
Moissac-Bellevue	Communes in Var
La Môle	Communes in Var
SF Weekly	Newspapers in the United States, English-language newspapers
I Ring Doorbells	1946 movies, 1940s comedy movies, 1940s drama movies, American comedy-drama movies, Movies based on books, Movies directed by Frank R. Strayer
Tortona	Cities in Piedmont
Alice Bel Colle	Settlements in Piedmont
Men Without Wings	1946 movies, 1940s war movies, 1940s drama movies, Czech movies, World War II movies, Movies directed by František Čáp
Mons, Var	Communes in Var
Montauroux	Communes in Var
History of Austria	History of Austria
The Big Heat	1953 movies, 1950s crime movies, 1950s thriller movies, American crime thriller movies, Movies based on books, Movies directed by Fritz Lang
Plunder of the Sun	1953 drama movies, 1950s adventure movies, American adventure movies, American drama movies, Mexican movies, Movies based on books, Movies directed by John Farrow
Margie (1946 movie)	1946 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, 20th Century Fox movies, Movies directed by Henry King
Callimedusa tomopterna	Frogs, Animals of South America
Villa Nueva, Guatemala	Cities in Central America, Settlements in Guatemala, Establishments in Guatemala, 18th-century establishments in North America, 1763 establishments
Yastika Bhatia	Indian people, 2000 births, Cricketers
Foster City, California	Cities in California, Settlements in San Mateo County, California, Cities in the San Francisco Bay Area
Odile Karadec	1925 births, 2021 deaths, French poets, People from Brest, France
Ablis	Communes in Yvelines
Stockerau	Cities and towns in Lower Austria
Belmont, California	Cities in California, Settlements in San Mateo County, California, Cities in the San Francisco Bay Area
Montfort-sur-Argens	Communes in Var
Montmeyan	Communes in Var
Coole, Marne	Communes in Marne
Aigny	Communes in Marne
Allemanche-Launay-et-Soyer	Communes in Marne
Hungerford	Towns in Berkshire, Market towns in England, Civil parishes in Berkshire
Eastwood, Nottinghamshire	Towns in Nottinghamshire, Market towns in England
Foligno	Cities in Umbria
Heanor	Towns in Derbyshire
La Motte, Var	Communes in Var
Le Muy	Communes in Var
Nans-les-Pins	Communes in Var
Borough of Broxtowe	Nottinghamshire
Beeston, Nottinghamshire	Towns in Nottinghamshire
Ziyara	Travel, Companies of India, 2018 establishments in India
DaBaby	1991 births, Living people, African American musicians, Interscope Records artists, Singers from North Carolina, American rap musicians from North Carolina, African-American rappers, 21st-century African American people
Government of National Salvation	History of Serbia
Algona, Washington	Cities in Washington (U.S. state)
Black Diamond, Washington	Cities in Washington (U.S. state)
Burien, Washington	Cities in Washington (U.S. state)
Carnation, Washington	Cities in Washington (U.S. state)
Covington, Washington	Cities in Washington (U.S. state)
Des Moines, Washington	Cities in Washington (U.S. state)
Duvall, Washington	Cities in Washington (U.S. state)
Enumclaw, Washington	Cities in Washington (U.S. state)
Kenmore, Washington	Cities in Washington (U.S. state)
Lake Forest Park, Washington	Cities in Washington (U.S. state)
Newcastle, Washington	Cities in Washington (U.S. state)
Normandy Park, Washington	Cities in Washington (U.S. state)
Sammamish, Washington	Cities in Washington (U.S. state)
Snoqualmie, Washington	Cities in Washington (U.S. state)
Woodinville, Washington	Cities in Washington (U.S. state)
Edith Rigby	1872 births, 1950 deaths, British feminists, People with Parkinson's disease
Revolutionary Association of the Women of Afghanistan	Afghanistan
History of Catalonia	Catalonia
Gorgan	Cities in Golestan Province, Hyrcania, Iranian provincial capitals
Gomishan	Cities in Iran
Archibald Bulloch	1730 births, 1777 deaths, 18th-century American politicians, American people, Governors of Georgia (U.S. state), Lawyers
Kya Kehna	Indian movies
Alba, Missouri	Cities in Missouri, Jasper County, Missouri
Asbury, Missouri	Cities in Missouri, Jasper County, Missouri
Carl Junction, Missouri	Cities in Missouri, Jasper County, Missouri
Carterville, Missouri	Cities in Missouri, Jasper County, Missouri
Distributed ledger	Databases
Duenweg, Missouri	Cities in Missouri, Jasper County, Missouri
Jasper, Missouri	Cities in Missouri, Jasper County, Missouri
La Russell, Missouri	Cities in Missouri, Jasper County, Missouri
Neck City, Missouri	Cities in Missouri, Jasper County, Missouri
Oronogo, Missouri	Cities in Missouri, Jasper County, Missouri
Purcell, Missouri	Cities in Missouri, Jasper County, Missouri
Reeds, Missouri	Cities in Missouri, Jasper County, Missouri
Sarcoxie, Missouri	Cities in Missouri, Jasper County, Missouri
Waco, Missouri	Cities in Missouri, Jasper County, Missouri
Webb City, Missouri	Cities in Missouri, Jasper County, Missouri
Ash Grove, Missouri	Cities in Missouri
Fair Grove, Missouri	Cities in Missouri
Walnut Grove, Missouri	Cities in Missouri
Wiggins, Mississippi	Cities in Mississippi, County seats in Mississippi
Drew, Mississippi	Cities in Mississippi
Ruleville, Mississippi	Cities in Mississippi
Senatobia, Mississippi	Cities in Mississippi, County seats in Mississippi
Ripley, Mississippi	Cities in Mississippi, County seats in Mississippi
Iuka, Mississippi	Cities in Mississippi, County seats in Mississippi
Tunica, Mississippi	Towns in Mississippi, County seats in Mississippi
New Albany, Mississippi	Cities in Mississippi, County seats in Mississippi
Image .jpg	Graphics
The Snows of Kilimanjaro (movie)	1952 drama movies, 1950s adventure movies, 1950s romantic drama movies, American adventure movies, American romantic drama movies, Movies based on short stories, 20th Century Fox movies, Movies directed by Henry King, Movies directed by Roy Ward Baker
Department for Business, Innovation & Skills	Government agencies of the United Kingdom, Ministries, 2009 establishments in the United Kingdom, 2010s disestablishments in the United Kingdom
Northwest Arkansas	Metropolitan areas of the United States, Arkansas
Bedelia (movie)	1946 movies, 1940s drama movies, British drama movies, Movies based on books, Movies directed by Lance Comfort
Women for Afghan Women	Afghanistan
Callimedusa atelopoides	Frogs, Animals of South America
Ali Landi	2006 births, 2021 deaths, People from Tehran, Altruism, Iranian humanitarians, Humanitarian aid
Something So Strong	1987 songs
List of Universal Television programs	Lists of television series, Universal Pictures
DigitaOS	Operating systems
Stanley and Martin	2008 American television series debuts, American animated television series
Wait Till the Sun Shines, Nellie (movie)	1952 drama movies, American drama movies, 20th Century Fox movies, Movies directed by Henry King
Unicode Consortium	Computing
Personality Kid	1946 movies, 1940s romance movies, 1940s adventure movies, 1940s drama movies, American adventure movies, American romantic drama movies, Movies directed by George Sherman
The Mitchells vs. the Machines	2021 movies
Tōgō Heihachirō	1848 births, 1934 deaths, Recipients of the Order of the Rising Sun
The Harvey Girls (movie)	1946 movies, 1940s musical movies, 1940s romance movies, American romance movies, American musical movies, Movies based on books, MGM movies, Movies directed by George Sidney
The Loves of Carmen (1948 movie)	1948 movies, 1940s adventure movies, 1940s drama movies, 1940s romance movies, American adventure movies, American romantic drama movies, Movies based on books, Movies directed by Charles Vidor
Happy Tree Friends (TV series)	2006 American television series debuts, 2006 American television series endings, 2006 Canadian television series debuts, 2006 Canadian television series endings, Happy Tree Friends
List of Happy Tree Friends episodes	Happy Tree Friends, Lists of web series episodes, Lists of American music television series episodes, NBCUniversal
I Choose You	2013 songs
Paris, Texas (movie)	1984 drama movies, 1980s road movies, German drama movies, French drama movies, American drama movies, British drama movies, 20th Century Fox movies, Movies directed by Wim Wenders
Jumper (2008 movie)	2008 movies, 20th Century Fox movies, American movies, English-language movies, Movies based on American novels
DreamWorks Classics	DreamWorks Classics, 2000 establishments in New York City, American companies established in 2000, DreamWorks Animation, Entertainment companies based in New York City, Mass media companies based in New York City, Mass media companies established in 2000, 2007 mergers and acquisitions, 2009 mergers and acquisitions, 2012 mergers and acquisitions
The Three Daring Daughters	1948 movies, 1940s musical movies, American musical movies, MGM movies
Sid and Nancy	1986 movies
Deadfall (1968 movie)	1968 movies, 1960s crime movies, British crime movies, Movies based on books, 20th Century Fox movies
The Moses Code	Documentary movies, American movies, 2008 movies
Shivani Kataria	Indian people, 1997 births, Swimmers, Swimming
Ningombam Prem	Meitei people
Consulting firm	Business
Veronica (search engine)	Search engines
Callimedusa perinesos	Frogs, Animals of South America
Deepti Sati	Living people, Indian beauty pageant winners, Female models from Mumbai, Indian film actresses, Actresses in Malayalam cinema, 21st-century Indian actresses, Actresses from Mumbai, St. Xavier's College, Mumbai alumni, Actresses in Telugu cinema, Actresses in Kannada cinema, Actresses in Tamil cinema, Year of birth missing (living people)
Fournet-Blancheroche	Communes in Doubs
Schwechat	Cities and towns in Lower Austria
Traun	Cities and towns in Upper Austria
Nossa Senhora do Socorro	Cities in Sergipe
Behaviour-changing parasite	Parasitism
Ahorn, Bavaria	Coburg Rural District
5K resolution	Display technology
Varna, Bulgaria	Cities in Bulgaria
Scheveningen	Districts, The Hague
Plovdiv	Cities in Bulgaria
Beoncy Laishram	Meitei people, Transgender and transsexual people, Indian activists
Burgas	Cities in Bulgaria
Stara Zagora	Cities in Bulgaria
Bitcoin Global Media	Publishing companies of the United States
Penske Media Corporation	Publishing companies of the United States
Ruse, Bulgaria	Cities in Bulgaria
Ministry of Justice (United Kingdom)	Ministries, 2007 establishments in the United Kingdom, Government agencies of the United Kingdom
Sigurður Ingi Jóhannsson	1962 births, Living people, Prime Ministers of Iceland
White Sands National Park	National parks in the United States, Geography of New Mexico
Rhonda Dent	Living people, 1978 births, Canadian television actors, Canadian actors, Actors from British Columbia
The Little Giant (1933 movie)	1933 movies, 1930s crime movies, 1930s comedy movies, American criminal comedy movies, Warner Bros. movies, Movies directed by Roy Del Ruth
Singac, New Jersey	Census-designated places in New Jersey
Yashaswini Singh Deswal	Indian people, Sport shooters, 1997 births
Tomorrow It Will Be Better	1939 movies, 1930s drama movies, Dutch drama movies, Movies based on books, Movies directed by Frederic Zelnik
The Mating of Millie	1948 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, Movies directed by Henry Levin
.kkrieger	2004 video games, Windows games
Mr. Soft Touch	1949 movies, 1940s crime movies, 1940s drama movies, American crime drama movies, Movies directed by Henry Levin, Movies directed by Gordon Douglas
Joshua Martins	Internet celebrities, Actors, Comedy, Bloggers
Tosin Ajibade	Bloggers, Internet celebrities
Callimedusa baltea	Frogs, Animals of South America
Tony Rome	1967 movies, 1960s mystery movies, American mystery movies, Movies based on books, 20th Century Fox movies, Movies directed by Gordon Douglas
Samsung Galaxy Z Fold3	Mobile phones released in 2021, Samsung mobile phones, Mobile phones with 4K video recording, Mobile phones with multiple rear cameras
Air Belgium (2016)	Airlines of Belgium, Airlines
Common mudpuppy	Carnivores
Office of the Leader of the House of Lords	18th century establishments in Great Britain, Government agencies of the United Kingdom
Scotland Office	Politics of Scotland, Government agencies of the United Kingdom, Organisations based in London
Wales Office	Politics of Wales, Government agencies of the United Kingdom, Organisations based in London, 1999 establishments in the United Kingdom
Department of Energy and Climate Change	2008 establishments in the United Kingdom, Climate change, 2010s disestablishments in the United Kingdom, Government agencies of the United Kingdom
Genshin Impact	Video games
Evelyn Sharp (aviator)	1919 births, 1944 deaths, Accidental deaths in Pennsylvania, American aviators, People from Montana
Monsieur Beaucaire (1946 movie)	1946 movies, 1940s comedy movies, American comedy movies, Movies based on books, Movies directed by George Marshall
Cry for Happy	1961 comedy movies, 1960s war movies, American war movies, American comedy movies, Japanese movies, Movies based on books, Movies directed by George Marshall
Notre Dame, Indiana	Census-designated places in Indiana
Before I Hang	1940 movies, 1940s science fiction movies, 1940s horror movies, American science fiction horror movies, Movies directed by Nick Grinde
Drums Across the River	1954 movies, 1950s western movies, American western movies, Movies directed by Nathan Juran
Fathom (movie)	1967 comedy movies, 1960s action movies, 1960s spy movies, British action movies, American action comedy movies, American spy movies, Movies based on books, 20th Century Fox movies, Movies directed by Leslie H. Martinson
Women's Indian Association (WIA)	Women's rights, Feminists by nationality, Feminists, Women's organisations based in India
Allmyapps	Software distribution platforms
Madhav Mahajan	Indian musicians
Working Women's Forum	Women's organisations based in India, Organisations based in Chennai
It Started with a Kiss (movie)	1959 comedy movies, 1950s romance movies, American romantic comedy movies, MGM movies, Movies directed by George Marshall
Ariyan Mehedi (Singer)	Living people, male musicians, male singers, Playback singers
Callimedusa ecuatoriana	Frogs, Animals of South America
Shakir Subhan	1991 births, People from Kerala, Indian people, Indian YouTubers, Living people
Joilson Junior de Melo	Brazilian people, Mato Grosso, Living people, 1988 births
Joilson Melo	Brazilian people, Mato Grosso, Living people, 1988 births
BanX	American movie actors, American television actors, Television talk show hosts, American television personalities, Participants in American reality television series, Models from Los Angeles, California, Actors from Inglewood, California, 1973 births, Living people
Englos	Communes in Nord
Ohain	Communes in Nord
Amfroipret	Communes in Nord
Allennes-les-Marais	Communes in Nord
Anor	Communes in Nord
SheSays India	Women's organisations based in India, Non-profit organizations
Blécourt, Nord	Communes in Nord
Half Moon Bay, California	Cities in California, Settlements in San Mateo County, California, Cities in the San Francisco Bay Area
Evelyn Sharp (suffragist)	1869 births, 1955 deaths, British feminists, British writers
Volcanic bomb	Volcanology
Prospect, Louisiana	Census-designated places in Louisiana
Rock Hill, Louisiana	Census-designated places in Louisiana
Minna Aaltonen	1966 births, 2021 deaths, Finnish movie actors, Finnish television actors, Finnish stage actors
Gunnar Utterberg	1942 births, 2021 deaths, Swedish Olympians, Olympic gold medalists
Orlando Martínez	1944 births, 2021 deaths, Cuban sportspeople, Olympic gold medalists, Boxers
Roger Michell	1956 births, 2021 deaths, British television directors, British movie directors, British theatre directors, South African people
Arden Hills, Minnesota	Cities in Minnesota
Falcon Heights, Minnesota	Cities in Minnesota
Gem Lake, Minnesota	Cities in Minnesota
Lauderdale, Minnesota	Cities in Minnesota
Jüri Tamm	1957 births, 2021 deaths, Estonian sportspeople, Olympic bronze medalists, Estonian politicians
Kjell Askildsen	1929 births, 2021 deaths, Norwegian politicians
Jorge Liberato Urosa Savino	1942 births, 2021 deaths, Deaths from the COVID-19 pandemic in Venezuela, Cardinals of the Roman Catholic Church, People from Caracas
Nino Vaccarella	1933 births, 2021 deaths, Italian racecar drivers, People from Palermo
Pee Wee Ellis	1941 births, 2021 deaths, American funk musicians, American funk singers, American soul musicians, American soul singers, American jazz musicians, American jazz singers, American saxophonists, American composers, American keyboard players, Musicians from Florida, Singers from Florida, Writers from Florida
Takao Saito	1936 births, 2021 deaths, Deaths from pancreatic cancer, Japanese manga artists
Paul Quilès	1942 births, 2021 deaths, French mayors
Slippery dick	Fish
Patricio Manns	1937 births, 2021 deaths, Chilean singers, Chilean writers, Activists, Playwrights, Journalists, Essayists, Composers, Deaths from heart failure
Nacimiento, Chile	Cities in Chile
Concón	Cities in Chile
Mehdi Yaghoubi	1930 births, 2021 deaths, Iranian sportspeople, Wrestlers, Olympic silver medalists
Alan Lancaster	1949 births, 2021 deaths, Deaths from multiple sclerosis, English rock guitarists, English rock drummers, English rock singers, Singer-songwriters from London, Musicians from London
Eberhard Jüngel	1934 births, 2021 deaths, German theologians, German academics
Barry Ryan	1948 births, 2021 deaths, British rock singers, British rock musicians, British pop singers, British pop musicians, British photographers, Musicians from Yorkshire, People from Leeds
Lonnie Smith (jazz musician)	1942 births, 2021 deaths, American jazz musicians, American soul musicians, American funk musicians, Musicians from Buffalo, New York
Lackawanna, New York	Cities in New York
Hayko	1973 births, 2021 deaths, Deaths from the COVID-19 pandemic in Armenia, Singers, Armenian people
Bronius Kutavičius	1932 births, 2021 deaths, Lithuanian writers, Composers
The Vibrators	1976 establishments in the United Kingdom, British rock bands, Musical groups from London, Musical groups established in 1976, 1970s British music groups, 1980s British music groups, 1990s British music groups, 2000s British music groups, 2010s British music groups
Cecilia Lindqvist	1932 births, 2021 deaths, Swedish historians, Swedish academics
Alp, Catalonia	Municipalities in Catalonia
Anhiers	Communes in Nord
Bergues	Communes in Nord
Aniche	Communes in Nord
Cartignies	Communes in Nord
List of Satellaview broadcasts	Video games, Video games developed in Japan
Marilyn Waring	1952 births, Living people, New Zealand politicians, New Zealand writers, LGBT writers, LGBT politicians, Lesbian feminists, Environmentalists
Martin Lee	1938 births, Living people, Hong Kong, Asian politicians
Diablo Cody	1978 births, Living people, Screenwriters from Illinois, Movie producers from Illinois, Academy Award winning writers, BAFTA Award winning writers, Tony Award winners
Halldór Laxness	1902 births, 1998 deaths, Icelandic writers, People from Reykjavík
Eeva Ahtisaari	1936 births, Living people, Finnish writers, First Ladies, Historians
Bells, Texas	Cities in Texas
Dorchester, Texas	Cities in Texas
List of prime ministers of Finland	Prime Ministers of Finland
Knollwood, Texas	Cities in Texas
Sadler, Texas	Cities in Texas
Southmayd, Texas	Cities in Texas
Whitesboro, Texas	Cities in Texas
Juha Sipilä	1961 births, Living people, Prime Ministers of Finland, Speakers of the Parliament of Finland
Mari Kiviniemi	1968 births, Living people, Prime Ministers of Finland
Esko Aho	1954 births, Living people, Prime Ministers of Finland, Speakers of the Parliament of Finland
Anu Vehviläinen	1963 births, Living people, Speakers of the Parliament of Finland
Olli Rehn	1962 births, Living people, European Union politicians, Finnish politicians
Greater Austin	Austin, Texas, Metropolitan areas of the United States
Pekka Haavisto	1958 births, Living people, LGBT politicians, Finnish politicians, Gay men
Hacienda Heights, California	Unincorporated communities in California, Settlements in Los Angeles County, California
Paul Warfield	1942 births, Living people, Cleveland Browns players, Miami Dolphins players, Sportspeople from Ohio, American football wide receivers
James McDivitt	1929 births, Living people, American aviators, American engineers, American astronauts, Scientists from Chicago
Heidemarie Wieczorek-Zeul	1942 births, Living people, MEPs for Germany, People from Frankfurt
List of presidents of Finland	Presidents of Finland
Risto Ryti	1889 births, 1956 deaths, Presidents of Finland, Prime Ministers of Finland
Titanium dioxide	Oxides
Najla Bouden Romdhane	1958 births, Living people, Prime Ministers of Tunisia, Academics, Geologists
Catherine Tresa	Living people, 1989 births, People from Dubai
Men's League for Women's Suffrage (United Kingdom)	1907 establishments in England, Feminism, Organisations based in London
Shintaro Abe	1924 births, 1991 deaths, Japanese politicians, Deaths from heart failure
The Million Dollar Hotel	2000 drama movies, German drama movies, American drama movies, British drama movies, Movies directed by Wim Wenders
Red Rickshaw Revolution	Women's organisations based in India
Zishan Alam	1997 births, Businesspeople
Dilemma of Two Angels	1948 movies, 1940s crime movies, 1940s comedy movies, French crime movies, French comedy movies, Movies directed by Maurice Tourneur
Jami' al-tawarikh	14th-century history books, Persian literature, Persian art
Pranati Nayak	1995 births, Living people
Ivan Zak	Veterinarians
I've Always Loved You	1946 movies, 1940s romance movies, 1940s drama movies, American romantic drama movies, Movies directed by Frank Borzage
My Dog Shep	1946 movies, 1940s drama movies, American drama movies, Movies directed by Ford Beebe
Callimedusa duellmani	Frogs, Animals of South America
Captain Marvel (movie)	2019 movies, American movies, English-language movies
Nari Shakti Puraskar	India, Women's rights
Cprime, Inc	Companies
Arundhati Reddy	Indian people, 1997 births, Cricketers
Sturgeon Bay, Wisconsin	Cities in Wisconsin, County seats in Wisconsin, Door County, Wisconsin
Bordighera	Settlements in Liguria
Albenga	Settlements in Liguria
Avegno, Liguria	Settlements in Liguria
Campo Ligure	Settlements in Liguria
Bargagli	Settlements in Liguria
Stanisław Szozda	1950 births, 2013 deaths, Polish Olympic medalists, Olympic silver medalists, Polish sportspeople, Cyclists, Deaths from stomach cancer
Neckarsulm	Neckarsulm, Cities in Baden-Württemberg
Dörfles-Esbach	Coburg Rural District
Ebersdorf bei Coburg	Coburg Rural District
Großheirath	Coburg Rural District
Grub am Forst	Coburg Rural District
European green toad	Toads
Milton, Washington	Cities in Washington (U.S. state)
Pacific, Washington	Cities in Washington (U.S. state)
Anneux	Communes in Nord
Annœullin	Communes in Nord
Biała Prudnicka	Towns in Poland
Anstaing	Communes in Nord
Głogówek	Towns in Poland
Armentières	Communes in Nord
Aubers	Communes in Nord
Comines, Nord	Communes in Nord
Warneton	Communes in Nord
Monchecourt	Communes in Nord
Anzin	Communes in Nord
Hemlata Kala	Indian people, 1975 births, Cricketers
Islamic feminism	Feminism, Islam, Pages with unreviewed translations
São Cristóvão	Cities in Sergipe
Itzgrund	Coburg Rural District
Lautertal, Bavaria	Coburg Rural District
Meeder	Coburg Rural District
Sonnefeld	Coburg Rural District
Untersiemau	Coburg Rural District
Weidhausen bei Coburg	Coburg Rural District
Hylomantis aspera	Frogs, Animals of South America
Weitramsdorf	Coburg Rural District
Niederfüllbach	Coburg Rural District
Phrynomedusa	Frogs, Animals of South America
Heinrichsthal	Aschaffenburg (district)
Hösbach	Aschaffenburg (district)
Johannesberg, Bavaria	Aschaffenburg (district)
J-Pimp (rapper)	Living people, 1984 births, People from Florida
Carlisle Floyd	1926 births, 2021 deaths, American composers, Writers from South Carolina
Nobuo Kishi	1959 births, Living people, Politicians from Tokyo
Bart After Dark	The Simpsons episodes, 1996 television episodes
Ambush (1950 movie)	1950 movies, 1950s western movies, American western movies, MGM movies, Movies directed by Sam Wood

