Step Up All In	2010s romantic drama movies, American romantic drama movies, 2014 movies
Wolfgang Suschitzky	1912 births, 2016 deaths, Centenarians, Cinematographers, People from Vienna, Photographers
Connie Sawyer	1912 births, 2018 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Los Angeles, Actors from Oakland, California, Actors from Colorado, American centenarians, American movie actors, American television actors, Jewish American actors, Jewish centenarians, People from Pueblo, Colorado
Olaf Pooley	1914 births, 2015 deaths, English centenarians, English movie actors, English screenwriters, English television actors, People from Poole, Writers from Dorset
Don Lusk	1913 births, 2018 deaths, American animators, American centenarians, American movie directors, American television directors
Pueblo, Colorado	Cities in Colorado, County seats in Colorado
Division of Adelaide	Electoral divisions of Australia, South Australia, 1903 establishments in Australia
Norwegian Forest cat	Cat breeds
Diss railway station	Railway stations in England, Norfolk
Elimination Chamber (2013)	2013 in American television, 2013 in professional wrestling, Elimination Chamber, Sports in New Orleans, Louisiana, 2010s in New Orleans, Louisiana
Hurricane Edna	Hurricanes in New England, 1954 in the United States, 20th century in New Hampshire, 20th century in Maine
Michael Rosen	1946 births, Living people, English children's writers, English poets, Writers from London
Charlie Hall (politician)	1930 births, 2014 deaths, American academics, Firefighters, Politicians from Miami, Florida, Trade unionists, US Democratic Party politicians
Bojihwayangdong buralsongseonsaeng	History of Korea, Figures of speech
The world's 100 most threatened species	Lists of animals, Lists of plants, Conservation
Whist	Card games
Pierre Bérégovoy	1925 births, 1993 deaths, Prime Ministers of France, People from Normandy, Socialist Party (France) politicians, Suicides by firearm, Suicides in France, French Ministers of Finance
Silky sifaka	Lemuriformes, Mammals of Africa
Gang of Four	Chinese communists
Puja (Hinduism)	Hinduism
World Bridge Federation	Bridge federations, 1958 establishments
Edward Williams	1747 births, 1826 deaths, Welsh poets, Unitarians, Welsh Christians
Antiquarian	Books
Shah Jalal	Yemen, History of Bangladesh, Islam
Typhoon Matmo (2014)	2014 disasters, 2014 in weather, Tropical cyclones in Asia, July 2014 events, 2010s in Taiwan, 2014 in China
Lucidio Sentimenti	1920 births, 2014 deaths, 1950 FIFA World Cup players, Italian footballers, Sportspeople from Emilia-Romagna
Mark Strand	1934 births, 2014 deaths, American educators, American poets, Canadian poets, Cancer deaths in New York City, Deaths from liposarcoma, Naturalized citizens of the United States, Writers from New York City
Diane Middlebrook	1939 births, 2007 deaths, American educators, American poets, Cancer deaths in San Francisco, Deaths from liposarcoma, Writers from Idaho
Liposarcoma	Cancer
Chris Meffert	1943 births, 2014 deaths, Deaths from motor neurone disease, American mayors, Politicians from Florida, People from Ocala, Florida, US Democratic Party politicians
Whoopee cushion	Pranks
Eurasian teal	Ducks
John T. Chisholm	1963 births, Living people, People from Wisconsin
My Everything	2014 albums, Ariana Grande albums, Pop albums, Dance pop albums, R&B albums
Chinese Rail GKD1	Bo-Bo locomotives, Rail transport in China, Locomotives of China
Chinese Rail SS3B	Co-Co locomotives, Locomotives of China
Dayananda Saraswati	1824 births, 1883 deaths, Hindu gurus
Snake case	Programming languages, Typography
Grumpy Cat's Worst Christmas Ever	Television movies, Movies about cats, Christmas movies
Deaths in December 2014	2014 deaths
Freaks and Geeks	1999 American television series debuts, 2000 American television series endings, 1990s American comedy television series, 1990s American drama television series, 1990s comedy-drama television series, 1990s teen television series, 2000s American comedy television series, 2000s American drama television series, 2000s comedy-drama television series, 2000s teen television series, American comedy-drama television series, American teen comedy television series, American teen drama television series, Detroit, Michigan, Michigan in fiction, NBC network shows, Period television series, Works set in the 1980s, English-language television programs
You're So Vain	1970s songs, Narcissism in fiction, Pop songs, Pop ballads
More, More, More	1976 songs, Pop songs
Sisters (TV series)	1991 American television series debuts, 1996 American television series endings, 1990s American television series, American drama television series, Illinois in fiction, NBC network shows, Television series about families, English-language television programs
World Almanac	Reference works
Gunnar Hultgren	1902 births, 1991 deaths, Archbishops of Uppsala
Ruben Josefson	1907 births, 1972 deaths, Swedish clergy, Archbishops of Uppsala
Olof Sundby	1917 births, 1996 deaths, Swedish clergy, Archbishops of Uppsala
Hans Olof Holmström	1784 births, 1855 deaths, Swedish clergy, Archbishops of Uppsala
Anja Pärson	Living people, Swedish skiers, 1981 births, LGBT rights activists, LGBT sportspeople, Lesbians, Medalists at the 2006 Winter Olympics, Medalists at the 2010 Winter Olympics, Olympic bronze medalists, Olympic gold medalists, Olympic silver medalists, Swedish Olympians, Swedish sportspeople
Magdalena Forsberg	1967 births, Living people, Swedish skiers
Charlotte Kalla	1987 births, Living people, Swedish skiers
Antje Jackelén	1955 births, Living people, Archbishops of Uppsala, German Lutherans, People from North Rhine-Westphalia, Swedish clergy
Ingemar Stenmark	1956 births, Living people, 1988 Winter Olympics, Olympic bronze medalists, Olympic gold medalists, Swedish Olympians, Swedish skiers
Duke of Bedford	English Dukes
Gunde Svan	1962 births, Living people, Swedish skiers
Christine McVie	1943 births, Living people, British singer-songwriters, Keyboardists, People from Cumbria
We Were Gentlemen	2005 establishments in the United States, 2010 disestablishments in the United States, 2000s American music groups, 2010s American music groups, Metalcore bands, Musical groups disestablished in 2010, Musical groups established in 2005, Musical groups from Virginia, Virginia Beach, Virginia
Lorimar-Telepictures	Time Warner, Companies based in Los Angeles
Qayyum Chowdhury	1932 births, 2014 deaths, Bangladeshi painters
Dwayne Alons	1946 births, 2014 deaths, Deaths from kidney cancer, Politicians from Iowa, State legislators of the United States, US Republican Party politicians
Joan Feynman	1927 births, 2020 deaths, Deaths from heart failure, American astronomers, Scientists from Queens
El Chavo del Ocho	Mexican television series, Sitcoms, 1970s television series debuts, 1971 establishments, 1970s establishments in Mexico, 1980 disestablishments, 20th century disestablishments in Mexico, 1980s disestablishments in North America
El Chapulín Colorado	Mexican television series, Sitcoms, 1973 television series debuts, 1973 establishments in Mexico, 1979 disestablishments, 1979 disestablishments in North America, 20th century disestablishments in Mexico, 1979 television series endings
Chespirito (TV series)	Mexican television series, Sitcoms, 1968 television series debuts, 1960s establishments in Mexico, 1973 television series endings, 1970s disestablishments in North America, 20th century disestablishments in Mexico, 1980 television series debuts, 1980 establishments, 1980s establishments in Mexico, 1995 television series endings, 1990s disestablishments in North America
Florinda Meza	1949 births, Living people, Mexican movie actors, Mexican television actors, Mexican screenwriters, Television producers, People from Zacatecas
María Antonieta de las Nieves	1950 births, Living people, Mexican movie actors, Mexican television actors, Mexican comedians, Mexican singers, Actors from Mexico City
Carlos Villagrán	1944 births, Living people, Mexican movie actors, Mexican television actors, Mexican comedians, Mexican journalists, Actors from Mexico City
Ramón Valdés	1923 births, 1988 deaths, Actors from Mexico City, Cancer deaths in Mexico, Deaths from stomach cancer, Mexican movie actors, Mexican television actors
Rubén Aguirre	1934 births, 2016 deaths, Deaths from pneumonia, Mexican movie actors, Mexican television actors, Coahuila, People from Monterrey
Édgar Vivar	1944 births, Living people, Mexican movie actors, Mexican television actors, Actors from Mexico City
Raúl Padilla	1917 births, 1994 deaths, Deaths from myocardial infarction, Disease-related deaths in Mexico, Mexican movie actors, Mexican television actors, People from Monterrey
Pecan pie	Pies, Desserts
Horacio Gómez Bolaños	1930 births, 1999 deaths, Actors from Mexico City, Cardiovascular disease deaths in Mexico, Deaths from myocardial infarction, Mexican comedians, Mexican movie actors, Mexican movie directors, Mexican screenwriters, Mexican television actors
Angelines Fernández	1922 births, 1994 deaths, Actors from Madrid, Cancer deaths in Mexico, Deaths from throat cancer, Mexican movie actors, Mexican television actors, Spanish movie actors, Spanish television actors
Gustavo Díaz Ordaz	1911 births, 1979 deaths, Cancer deaths in Mexico, Deaths from colorectal cancer, Presidents of Mexico
Jean-Jacques Perrey	1929 births, 2016 deaths, Deaths from lung cancer, French composers, Musicians from Paris
Go Seigen	1914 births, 2014 deaths, Deaths from natural causes, Chinese sportspeople, Japanese Go players, Japanese centenarians
Óscar Humberto Mejía Victores	1930 births, 2016 deaths, Deaths from Parkinson's disease, Presidents of Guatemala, People from Guatemala City
Álvaro Arzú	1946 births, 2018 deaths, Deaths from myocardial infarction, Presidents of Guatemala, Mayors, People from Guatemala City
Óscar Berger	1946 births, Living people, Presidents of Guatemala, People from Guatemala City
Monosodium glutamate	Sodium compounds
Sergio Corona	1928 births, Living people, Mexican movie actors, Mexican television actors, Mexican voice actors, Mexican comedians, Hidalgo (state)
Aqueous solution	Chemistry
Luc De Vos	1962 births, 2014 deaths, Belgian musicians, Belgian singers, Belgian voice actors, Belgian writers, Deaths from multiple organ failure, Disease-related deaths in Belgium, People from East Flanders, Rock guitarists, Rock singers
2014 India-Pakistan floods	2014 disasters, 2014 in India, 2010s disasters in Asia, 2010s floods, 2010s in Pakistan, Floods in India, Floods in Pakistan, Jammu and Kashmir, September 2014 events
Mother (Gorky Novel)	Russian novels
Demaratus	5th century BC deaths, Ancient Greeks, Kings of Sparta
These Boots Are Made for Walkin'	1966 songs
Analog television	Television
Simon Says	Games
Digital television	Television
Fred Catherwood	1925 births, 2014 deaths, Alumni of the University of Cambridge, British writers, Former MEPs, MEPs for the United Kingdom, Northern Ireland politicians
Martin Litton	1917 births, 2014 deaths, American environmentalists, Sportspeople from California
Jarbom Gamlin	1961 births, 2014 deaths, Deaths from thrombosis, Indian politicians, Civil servants
Sita Murt	1946 births, 2014 deaths, Deaths from cancer, Spanish fashion designers, People from Barcelona
Mary Beth Hughes	American television actors, American stage actors, American movie actors, Actors from Illinois, 1919 births, 1995 deaths
Stellinha Egg	1914 births, 1991 deaths, Brazilian singers, Composers, People from Curitiba
Adriana Caselotti	American television actors, American voice actors, American movie actors, Actors from Bridgeport, Connecticut, 1916 births, 1997 deaths
Dorothy Morris	American television actors, American movie actors, Actors from Hollywood, 1922 births, 2011 deaths
Denise Darcel	French television actors, French stage actors, French movie actors, 1924 births, 2011 deaths, Actors from Paris
Romford railway station	London Borough of Havering, Railway stations in London
Tay Bridge disaster	1879, 1870s in the United Kingdom, Bridges in the United Kingdom, 19th century in Scotland, Transport disasters in Europe
Clacton-on-sea railway station	Railway stations in England, Tendring, 1860 establishments in England
Yonne (river)	Rivers of France, Bourgogne-Franche-Comté, Île-de-France
Barbara Kent	Actors from Alberta, American centenarians, American movie actors, 1907 births, 2011 deaths
Chiltern Hills	Geography of England
Horacio Cartes	1956 births, Living people, People from Asunción, Presidents of Paraguay
Hammond organ	Keyboard instruments
Mario Abramovich	1926 births, 2014 deaths, Argentine Jews, Argentine musicians, Composers, Jewish musicians, Violinists
Bobby Keys	1943 births, 2014 deaths, American saxophonists, Cancer deaths in Tennessee, Deaths from liver failure, Musicians from Texas
Twist Bread	Breads
CamelCase	Typography
Ibrahim Lodi	Sultans, Indian people
St Nicholas Day	Christian holidays
Julio Velasco	1952 births, Living people, Argentine sportspeople, Volleyball coaches
Marina Oswald Porter	1941 births, Living people
Alisohbat Sumbatzade	Azerbaijani historians, Azerbaijani writers, People from Baku, 1907 births, 1992 deaths
Aydin Balayev	Azerbaijani historians, Azerbaijani writers, 1956 births, Living people, People from Baku
Don Laws	1929 births, 2014 deaths, Deaths from heart failure, American figure skaters, Sportspeople from Washington, D.C.
Jean Béliveau	1931 births, 2014 deaths, Canadian ice hockey centres, Conn Smythe Trophy winners, Hart Memorial Trophy winners, Hockey Hall of Fame inductees, Ice hockey people from Quebec, Montreal Canadiens players, Sportspeople from Quebec, Stanley Cup champions
Luc Oursel	1959 births, 2014 deaths, French businesspeople
Lynne Kosky	1958 births, 2014 deaths, Deaths from breast cancer, Civil servants, Politicians from Melbourne
Jacques Barrot	1937 births, 2014 deaths, European Commissioners, French mayors, Government ministers of France, People from Auvergne-Rhône-Alpes
Ian McLagan	1945 births, 2014 deaths, Cardiovascular disease deaths in Texas, Deaths from stroke, English songwriters, Musicians from Middlesex
Herman Badillo	1929 births, 2014 deaths, Deaths from congestive heart failure, Puerto Rican people, United States representatives from New York, Bronx borough presidents, US Democratic Party politicians
Walter Reyno	1935 births, 2014 deaths, Deaths from respiratory failure, Uruguayan people, Actors, People from Montevideo
Ed Wynn	1886 births, 1966 deaths, Deaths from throat cancer, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, Actors from Philadelphia, Pennsylvania, Comedians from Pennsylvania
Red Skelton	1913 births, 1997 deaths, Deaths from pneumonia, American television personalities, American radio personalities, American movie actors, American television actors, American voice actors, American stage actors, American radio actors, Actors from Indiana, Comedians from Indiana
The Mechanic (1972 movie)	1972 thriller movies, American thriller movies, Movies directed by Michael Winner
Keenan Wynn	1916 births, 1986 deaths, Deaths from pancreatic cancer, American movie actors, American television actors, American stage actors, Actors from New York City
Frank de Kova	1910 births, 1981 deaths, Deaths from heart failure, American movie actors, American television actors, American stage actors, Actors from New York City
Realpolitik	Politics
Linda Christian	1923 births, 2011 deaths, Actresses who played Bond girls, Mexican movie actors, Mexican television actors
Regression toward the mean	Statistics
Promised Land (movie)	2012 drama movies, American drama movies, Movies directed by Gus Van Sant
Comrade	Politics
Giulio Questi	1924 births, 2014 deaths, Italian movie directors, Italian screenwriters, People from Lombardy
Sjefke Janssen	1919 births, 2014 deaths, Dutch cyclists, Sportspeople from Limburg (Netherlands)
V. R. Krishna Iyer	1914 births, 2014 deaths, Autobiographers, Cardiovascular disease deaths in India, Centenarians, Civil servants, Deaths from heart failure, Deaths from renal failure, Indian politicians, Indian writers, Indian judges
Claudia Emerson	1957 births, 2014 deaths, Deaths from colorectal cancer, American poets, Writers from Virginia
Gershon Kingsley	1922 births, 2019 deaths, 20th century composers, 21st century composers, American composers, Naturalized citizens of the United States, People from Bochum
Death Wish (1974 movie)	1970s action movies, 1974 crime movies, 1974 thriller movies, American crime movies, American action movies, American thriller movies, Movies directed by Michael Winner
Death Wish II	1980s crime thriller movies, 1982 action movies, American crime thriller movies, American action movies, Movies directed by Michael Winner
Death Wish 3	1985 movies, American crime movies, American thriller movies, American action movies, Movies set in New York City, Movies directed by Michael Winner
The Barry Sisters	Musical groups from New York, American jazz singers, People from the Bronx
Pleurisy	Infectious diseases, Pulmonology
Rita Reys	1924 births, 2013 deaths, Dutch musicians, Jazz musicians, Jazz singers, People from Rotterdam
Infinity (album)	1978 albums
Evolution (album)	1979 albums
The Revölution by Night	1983 albums
Regina Resnik	American opera singers, Musicians from New York, 1922 births, 2013 deaths
Stiff Upper Lip (album)	2000 albums
Their Satanic Majesties Request	1967 albums, The Rolling Stones
David Steel	1938 births, Living people, Former Liberal Democrats MPs (UK), Former members of the British House of Commons for Scottish constituencies, Leaders of the Liberal Democrats (UK), Leaders of the Liberal Party (UK), Liberal Party MPs (UK), Members of the House of Lords, Privy Councillors (UK), Scottish Parliament Members, UK MPs 1964–1966, UK MPs 1966–1970, UK MPs 1970–1974, UK MPs 1974, UK MPs 1974–1979, UK MPs 1979–1983, UK MPs 1983–1987, UK MPs 1987–1992, UK MPs 1992–1997
Mathieu Kérékou	1933 births, 2015 deaths, Presidents of Benin
Hull Fair	Events in the United Kingdom
Escape (album)	1981 albums
Khalifa bin Hamad Al Thani	1932 births, 2016 deaths, Prime Ministers of Qatar
Jackie Healy-Rae	1931 births, 2014 deaths, Irish politicians, People from the Republic of Ireland
Manuel De Sica	1949 births, 2014 deaths, Cardiovascular disease deaths in Italy, Deaths from myocardial infarction, Italian composers, Musicians from Rome
Queen Fabiola of Belgium	1928 births, 2014 deaths, Kings and Queens of Belgium, Kings and Queens consort, People from Madrid
Republic of Molossia	1999 establishments in the United States, Geography of California, Geography of Nevada
Kevin Baugh	Royal Order of Saint Christopher, Molossia, 1962 births, Living people
Gay and Lesbian Kingdom of the Coral Sea Islands	2004 establishments in Australia, Geography of Queensland, LGBT
Dick Wilson	1916 births, 2007 deaths, Actors from Lancashire, Canadian movie actors, Canadian television actors, English movie actors, English television actors
Pedro Lascuráin	1856 births, 1952 deaths, Presidents of Mexico, Mayors, Politicians from Mexico City
Alma Cogan	English pop musicians, People from London, 1932 births, 1966 deaths
Typhoon Hagupit (2014)	Tropical cyclones in Asia, 2014 in weather, 2014 in Asia
.NET Framework	Microsoft software
Physical Address Extension	Computer science
Nested Paging	Computer science
Jasper County (album)	2005 albums
Land transport	Land transport
Lisa Ajax	1998 births, Living people, Swedish singers
Intercalation (timekeeping)	Calendars
List of Tekken characters	Lists of fictional characters, Tekken characters
Numbers station	Radio stations
Dale Crover	1967 births, Living people, American heavy metal musicians, American punk musicians, American rock drummers, American rock guitarists, Musicians from Washington, Nirvana members, People from Aberdeen, Washington
Gina Carano	American television actors, American movie actors, Actors from Texas, 1982 births, Living people
Communications receiver	Radio receivers
Loop antenna	Radio antennas
Wellfleet, Massachusetts	Towns in Massachusetts
Nils Börge Gårdh	1946 births, Living people
Night of Champions (2012)	2012 in professional wrestling, Sports in Boston, Massachusetts, WWE Night of Champions, 2012 in the United States, 2010s in Boston, Massachusetts
Armageddon (1999)	1999 in American television, 1999 in professional wrestling, Sports in Florida, WWE Armageddon, 1990s in Florida
Armageddon (2000)	2000 in American television, 2000 in professional wrestling, Birmingham, Alabama, WWE Armageddon, 20th century in Alabama
Armageddon (2002)	2002 in American television, 2002 in professional wrestling, Sports in Florida, WWE Armageddon, 2000s in Florida
Phaedra (mythology)	People in Greek mythology
Summer Wine	1967 songs, 1960s ballads, Pop ballads, Songs about sexuality
Somethin' Stupid	1967 songs, 1960s ballads, Pop songs, Pop ballads, Frank Sinatra songs
Oden	Japanese food
Tonjiru	Soups, Japanese food
Rice cracker	Japanese food
Three Great Gardens of Japan	Buildings and structures in Japan
Hatsumoude	Shinto
Kei Nishikori	Male tennis players, Japanese tennis players, 1989 births, Living people, People from Shimane Prefecture, Medalists at the 2016 Summer Olympics, Olympic bronze medalists
Omamori	Japanese culture
Sutoku	Emperors of Japan
Funassyi	Japanese culture
Kumamoto-Castle	Castles in Japan
Cookpad	Websites, 1997 establishments in Japan, Cooking
Corn Laws	19th century in the United Kingdom, Acts of the Parliament of the United Kingdom
Fugitive Among Us	American television movies, American crime drama movies, English-language movies, 1992 movies, Movies set in Texas
Arbaeen	Iraq, Islam, Ceremonies
Artur Erikson	1918 births, 2000 deaths, Swedish singers
Northwich	Towns in Cheshire
X64	Computer science
Wilfred Grenfell	1865 births, 1940 deaths, English physicians, Knights Commander of the Order of St Michael and St George, Canadian physicians
Sven Plex Petersson	1926 births, 2011 deaths, Swedish journalists
Lars-Gunnar Björklund	1937 births, 2012 deaths, Swedish journalists
Ann-Britt Ryd Pettersson	1954 births, Living people, Swedish journalists
Something's Gotta Give	2003 comedy-drama movies, 2003 romance movies, 2000s romantic comedy movies, 2000s romantic drama movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, English-language movies, Golden Globe Award winning movies
Albrecht Rodenbach	1856 births, 1880 deaths, Belgian poets, People from West Flanders
Mona Lisa Smile	2003 movies, 2000s romantic drama movies, American romantic drama movies, English-language movies, Movies set in Massachusetts, Movies set in the 1950s
Arrondissements of the Yonne department	Arrondissements of France
Anna Larsson	1922 births, 2003 deaths, Swedish sportspeople, Swedish skiers
Arrondissement of Avallon	Arrondissements of France
Arrondissement of Sens	Arrondissements of France
Something to Talk About (movie)	1995 comedy-drama movies, 1990s romantic comedy movies, 1990s romantic drama movies, 1995 romance movies, Adultery in movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, English-language movies
Ann Miller	1923 births, 2004 deaths, Actors from Texas, American dancers, American movie actors, American stage actors, American television actors, Singers from Texas
Michael Dibdin	British writers, People from Wolverhampton
Handbollsligan	Handball in Sweden
Svensk handbollselit	Handball in Sweden
Sweden women's national handball team	Handball in Sweden
Sweden men's national handball team	Handball in Sweden
Khalil Ullah Khan	1934 births, 2014 deaths, Deaths from cardiovascular disease, Bangladeshi people, Bangladeshi movie actors, Recipients of Bangladesh National Film Awards
Adnan Gulshair el Shukrijumah	1975 births, 2014 deaths, Al-Qaeda people, Deaths by firearm, Saudi Arabian people
Luke Somers	1981 births, 2014 deaths, Naturalized citizens of the United States, American photojournalists, American people murdered abroad, British people murdered abroad, British photojournalists, British murder victims, Kidnapped American people, Kidnapped British people, Writers from London
Nedunuri Krishnamurthy	1927 births, 2014 deaths, Deaths from lung cancer, Indian musicians, Indian singers
Mango (singer)	1954 births, 2014 deaths, Basilicata, Cardiovascular disease deaths in Italy, Deaths from myocardial infarction, Italian musicians, Italian singers, Singer-songwriters
Duchy of Parma	Former monarchies in Italy, States of the Holy Roman Empire
Gaston, Duke of Orléans	1608 births, 1660 deaths, Dukes and Duchesses of Valois, Dukes and Duchesses of Anjou, Dukes and Duchesses of Orléans, Burials at the Basilica of St Denis
Ken Weatherwax	1955 births, 2014 deaths, Actors from Los Angeles, California, American child actors, American movie actors, American television actors, American voice actors, Cardiovascular disease deaths in Los Angeles, Deaths from myocardial infarction
Don Larsen	1929 births, 2020 deaths, Deaths from esophageal cancer, Baltimore Orioles players, New York Yankees players, Oakland Athletics players, Chicago White Sox players, San Francisco Giants players, Houston Astros players, Chicago Cubs players, Sportspeople from Indiana, Sportspeople from San Diego, California, People from Michigan City, Indiana
Euthanasia Coaster	Roller coasters by name, Euthanasia, Art
Claude Chabrol	1930 births, 2010 deaths, French movie directors, French critics
John Bertrand	1946 births, Sportspeople from Victoria (Australia), Living people
Saint Vitus	Christian saints, 303 deaths, Year of birth missing
Saint Roch	1295 births, 1327 deaths, Christian saints
St. Dominic Savio	1842 births, 1857 deaths, Christian saints
Sam Phillips	1923 births, 2003 deaths, American record producers
Bound for Glory (2014)	2014 in professional wrestling, History of Tokyo, Total Nonstop Action Wrestling pay-per-view events, 2014 in Japan, October 2014 events
City farming	Gardening
Roehampton	Areas of London, London Borough of Wandsworth
Dagger (typography)	Typography
May Nilsson	1921 births, 2009 deaths, Swedish skiers
Provincial city	Cities in China
Malcolm Knowles	Pages created with the Article Wizard from 2014, 1913 births, 1997 deaths, American academics, Harvard University alumni, People from Montana, University of Chicago alumni
Mort & Phil	Comics, Spanish culture, Television programs, Spanish movies
Sea glass	Glass
Al-Duhail SC	Qatari football clubs
Jorge María Mejía	1923 births, 2014 deaths, Cardinals of the Roman Catholic Church, People from Buenos Aires
Knut Nystedt	1915 births, 2014 deaths, Composers, Musicians from Oslo, Organists
Colonel Tom Parker	1909 births, 1997 deaths, Deaths from stroke, Elvis Presley, Naturalized citizens of the United States, People from Breda
Hancock Seamount	Seamounts
Roger Nordström	1966 births, Living people, Swedish ice hockey goaltenders
Hwayang-dong	Subdivisions of South Korea
Sybil Christopher	Actors from Glamorgan, Welsh movie actors, Welsh stage actors, 1929 births, 2013 deaths
Patricia Blair	American television actors, American movie actors, Actors from Texas, 1933 births, 2013 deaths
Armageddon (2003)	2003 in professional wrestling, Sports in Orlando, Florida, WWE Armageddon, 2003 in American television, 2000s in Orlando, Florida, 2003 in Florida
Armageddon (2004)	2004 in American television, 2004 in professional wrestling, Sports in Georgia (U.S. state), WWE Armageddon, 2000s in Georgia (U.S. state)
Comparison of baseball and cricket	Cricket, Baseball
James Stewart (mathematician)	1941 births, 2014 deaths, Canadian educators, Canadian musicians, Cancer deaths in Ontario, Deaths from multiple myeloma, Violinists
Fred Hawkins	1923 births, 2014 deaths, American golfers, Sportspeople from Illinois
Mark Lewis (storyteller)	1954 births, 2014 deaths, Deaths from surgical complications, American movie actors, American educators, Actors from Oregon, Writers from Oregon, Emmy Award winners
Jane Freilicher	1924 births, 2014 deaths, American painters, People from New York City
Ralph Giordano	1923 births, 2014 deaths, Accidental deaths from falls, Deaths from fractured hip, German writers, People from Hamburg
Armageddon (2006)	2006 in professional wrestling, Richmond, Virginia, WWE Armageddon, 2006 in American television, 2000s in Virginia
Karl Otto Pöhl	1929 births, 2014 deaths, Bankers, German economists, People from Hanover
Hans Tietmeyer	1931 births, 2016 deaths, Bankers, German economists, People from North Rhine-Westphalia
Helmut Schlesinger	1924 births, Living people, Bankers, German economists, People from Bavaria
Morley Safer	1931 births, 2016 deaths, Canadian journalists, American war correspondents, Deaths from pneumonia, Infectious disease deaths in New York City, Naturalized citizens of the United States, People from Toronto
Ed Bradley	1941 births, 2006 deaths, African American writers, American journalists, Cancer deaths in New York City, Deaths from leukemia, American war correspondents, Emmy Award winners, Writers from Philadelphia, Pennsylvania
Departure (Journey album)	1980 albums
Frederick Law Olmsted	1822 births, 1903 deaths, American journalists, American architects
Ann Carter	American movie actors, American child actors, Actors from New York, 1936 births, 2014 deaths
Vanderlei Farias da Silva	Coritiba Foot Ball Club players, 1984 births, Living people, Brazilian association football goalkeepers
Ottershaw	Villages in Surrey, 1864 establishments in Europe, 1860s establishments in England
Ventnor	Towns on the Isle of Wight
Diplomatics	History, Documents
Lois Nettleton	American television actors, American stage actors, American movie actors, Actors from Illinois, 1927 births, 2008 deaths
Joy Page	American television actors, American movie actors, Actors from Los Angeles, California, 1924 births, 2008 deaths
Cornelius Vanderbilt	1794 births, 1877 deaths, American philanthropists, Businesspeople from New York City, Deaths from COPD, Disease-related deaths in New York City, People from Staten Island, Slavers
A Dirty Shame	2004 comedy movies, 2000s sex comedy movies, 2000s LGBT movies, English-language movies, 2000s satirical movies, American LGBT movies, American sex comedy movies, American satirical movies, Movies set in Baltimore, Movies set in Maryland
Selma Blair	American television actors, American movie actors, Actors from Michigan, People with multiple sclerosis, 1972 births, Living people
Southfield, Michigan	Cities in Michigan, 1958 establishments in the United States, 1950s establishments in Michigan
Lucha Underground	2010s American television series, 2014 American television series debuts, Professional wrestling promotions, Sports in California
Jože Toporišič	1926 births, 2014 deaths, Slovenian writers, Educators
Russ Kemmerer	1930 births, 2014 deaths, Boston Red Sox players, Minnesota Twins players, Chicago White Sox players, Sportspeople from Pittsburgh, Pennsylvania
Robert B. Oakley	1931 births, 2014 deaths, Deaths from Parkinson's disease, Ambassadors of the United States, Politicians from Dallas, Texas
New Hartford, Connecticut	Towns in Connecticut
Albert Günther	1830 births, 1914 deaths, Ichthyologists, British scientists, German zoologists
Avicii	1989 births, 2018 deaths, Swedish record producers
Vonetta McGee	American television actors, American movie actors, Actors from San Francisco, 1945 births, 2010 deaths
Zalman King	Actors from New Jersey, American movie actors, American movie directors, American movie producers, Cancer deaths in California, 1942 births, 2012 deaths
Two Moon Junction	1980s thriller movies, 1980s drama movies, 1988 movies, American independent movies
Billy Boys	Songs
Warlingham	Villages in Surrey
Wembley	London Borough of Brent, Areas of London
Addlestone	Villages in Surrey
Morden	Towns in London
Wareside	Villages in Hertfordshire
Petham	Villages in Kent
Weybridge	Towns in Surrey
Chertsey	Towns in Surrey
Wembley Arena	London Borough of Brent, Entertainment venues
Whyteleafe	Villages in Surrey
Debenhams	1778 establishments, Companies of the United Kingdom, Department stores, 1770s establishments in Europe, 18th century establishments in Great Britain
Sandgate	Villages in Kent
New Cross	London
Banstead	Villages in Surrey
West Bridgford	Towns in Nottinghamshire
Regent's Canal	Canals, Transport in England
Salients, re-entrants and pockets	Military terminology
John Tory	1954 births, Living people, Mayors of Toronto
Halitosis	Symptoms
Becky Lynch	1987 births, Female professional wrestlers, Irish professional wrestlers, Living people, Sportspeople from Dublin, WWE wrestlers
Babyfever	American television movies, American comedy-drama movies, 1994 comedy-drama movies, English-language movies
The Accused (1988 movie)	1988 crime movies, 1988 drama movies, 1980s crime drama movies, 1980s legal movies, Academy Award winning movies, American crime drama movies, American legal movies, English-language movies, Movies based on real life events, Rape in movies
Clean and Sober	1980s drama movies, 1988 movies
Ekushey Padak	1976 establishments in Asia, 1970s establishments in Bangladesh, Ekushey Padak
Class of 1999	1990 science fiction movies, American science fiction movies, English-language movies, Movies set in the future, Dystopian movies, American independent movies, Movies directed by Mark L. Lester
Dick Tracy (movie)	1990 action movies, 1990 movies
Cashmere wool	Natural materials
Where the Heart Is (1990 movie)	1990s romantic comedy movies, 1990 movies, American romantic comedy movies, Movies directed by John Boorman
Corey Graves	1984 births, American professional wrestlers, Living people, Sportspeople from Pittsburgh, Pennsylvania, WWE people
