Dizzee Rascal	English rap musicians, Grime music artists, Living people, 1984 births
Spencer P. Jones	1956 births, 2018 deaths, Deaths from liver cancer, Cancer deaths in Sydney, New Zealand singers, New Zealand writers, Australian singer-songwriters, Australian guitarists
Wyrd Sisters	Fantasy books
Hurricane Lane	Hurricanes in the United States, History of Hawaii
Jack Guy Lafontant	1961 births, Prime Ministers of Haiti, Living people
Adama Barrow	1965 births, Presidents of the Gambia, Muslims, Current national leaders, Living people, Real estate developers
Stary Dwór	Villages in Poland
Stobno	Villages in Poland
Daviston, Alabama	Towns in Alabama
Goldville, Alabama	Towns in Alabama
Mas Soubeyran	Settlements in France, Villages in Europe, Occitanie
Mialet, Gard	Communes in Gard
Saint-Ulrich	Communes in Haut-Rhin
Mount Vernon, Alabama	Towns in Alabama
Gilbertown, Alabama	Towns in Alabama
Franklin Parish, Louisiana	1840s establishments in Louisiana, 1843 establishments in the United States, Louisiana parishes
Allamakee County, Iowa	1847 establishments in Iowa, Iowa counties
Inyokern, California	Census-designated places in California, Settlements in Kern County, California
Kern County, California	1866 establishments in California, Kern County, California
Hackleburg, Alabama	Towns in Alabama
Sousse	Cities in Tunisia
Duncan D. Hunter	1976 births, Living people, United States representatives from California, Military people from California, Politicians from San Diego, California, US Republican Party politicians
Ontario Highway 407	Roads in Ontario
Duncan Hunter	2008 United States presidential candidates, 1948 births, Living people, United States representatives from California, American political activists, Politicians from San Diego, California, US Republican Party politicians
Chris Collins (politician)	1950 births, Living people, United States representatives from New York, People from Schenectady, New York, Criminals from New York, US Republican Party politicians
400-series highways	Roads in Ontario
Ontario Highway 409	Roads in Ontario
List of highways in Ontario	Roads in Ontario
Villano III	1952 births, 2018 deaths, Deaths from cerebral infarction, Mexican professional wrestlers, Sportspeople from Mexico City
Tullio Ilomets	1921 births, 2018 deaths, Estonian educators, Chemists, Estonian historians, Estonian scientists
Teri Polo	1969 births, Living people, American movie actors, American television actors, American voice actors, Actors from Delaware, People from Dover, Delaware
Sherri Saum	1974 births, Living people, American movie actors, American television actors, American voice actors, Actors from Dayton, Ohio
Maia Mitchell	1993 births, Living people, Australian movie actors, Australian television actors, Australian voice actors, Actors from New South Wales, Singers from New South Wales
Cierra Ramirez	1995 births, Living people, American child actors, American movie actors, American television actors, American voice actors, Actors from Houston, Texas, Singers from Houston, Texas
Noah Centineo	1996 births, Living people, American movie actors, American television actors, Actors from Miami, Florida
Kuldip Nayar	1923 births, 2018 deaths, Indian politicians, Indian writers, Indian journalists, Human rights activists
Ronald Atkins	1916 births, 2020 deaths, Former Labour MPs (UK), UK MPs 1966–1970, UK MPs 1974, UK MPs 1974–1979, British centenarians
Lenox Hewitt	1917 births, 2020 deaths, Deaths from dementia with Lewy bodies, Centenarians, Politicians from Victoria (Australia)
Axel Lewenhaupt	1917 births, Living people, Centenarians, Swedish politicians, Ambassadors of Sweden
Li Rui (politician)	1917 births, 2019 deaths, Deaths from multiple organ failure, Communists, Centenarians, Chinese politicians, Political activists, People from Beijing
George Pearce	1917 births, Living people, Centenarians, Politicians from Queensland
Bill Grayden	1920 births, Living people, Australian military people, Politicians from Western Australia
V. K. Rao	Indian politicians, Centenarians, 1914 births, 2018 deaths
Song Ping	1917 births, Living people, Chinese politicians, Centenarians
Pope Liberius	Popes, 366 deaths, Year of birth unknown
Carl J. Shapiro	1913 births, 2021 deaths, American centenarians, American philanthropists, Businesspeople from Boston, Massachusetts
Namibian Sun	2000s establishments in Africa, 2007 establishments, English-language newspapers, Namibia
Artur Brauner	1918 births, 2019 deaths, German movie producers, German businesspeople, German centenarians, German Jews, People from Łódź
Suzy Delair	1917 births, 2020 deaths, French centenarians, French movie actors, French stage actors, French singers, Actors from Paris
Jean Erdman	Drama Desk Award winners, 1916 births, 2020 deaths, American centenarians, American dancers, American choreographers, American stage actors, Actors from Honolulu
Job Amupanda	1987 births, Namibian politicians, Activists, Political scientists, People from Windhoek, Living people
Harriet Frank Jr.	1923 births, 2020 deaths, American movie producers, American screenwriters, Writers from Portland, Oregon
SWAPO Party Youth League	1960s establishments in Africa, 1969 establishments, Political parties in Africa, Windhoek
Ambrose Schindler	1917 births, Living people, American centenarians, American football quarterbacks, American football coaches, American movie actors, Stuntmen, Actors from San Diego, California, Sportspeople from San Diego, California
Sophia Shaningwa	Namibian politicians, Year of birth missing (living people), Living people
Peter Dutton	1970 births, Living people, Australian police officers, Government ministers of Australia, Liberal Party of Australia politicians, Members of the Australian House of Representatives, Politicians from Brisbane
Carmen Herrera	1915 births, Living people, Naturalized citizens of the United States, American painters, American centenarians, People from Havana, People from New York City
William Coors	1916 births, 2018 deaths, American centenarians, Princeton University alumni, Businesspeople from Colorado
S. Prestley Blake	1914 births, 2021 deaths, American centenarians, Businesspeople from New Jersey, Businesspeople from Connecticut, Businesspeople from Massachusetts, People from Jersey City, New Jersey
Eduard von Falz-Fein	1912 births, 2018 deaths, Deaths from fire, Russian businesspeople, Russian writers, Liechtenstein people, Russian journalists
Idriz Ajeti	1917 births, 2019 deaths, Kosovan people, Educators, Historians, Centenarians
Margaret Morgan Lawrence	1914 births, 2019 deaths, American centenarians, American psychiatrists, Scientists from New York City, Writers from New York City
Fazlollah Reza	1915 births, 2019 deaths, Iranian educators, Engineers, People from Tehran, Iranian centenarians, Ambassadors to Canada
G. Venkatasubbiah	1913 births, 2021 deaths, Deaths from kidney disease, Indian writers, Editors, Indian critics, Indian educators
Smilja Avramov	1918 births, 2018 deaths, Deaths from congestive heart failure, Serbian people, Centenarians, Educators
William Frankland	1912 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United Kingdom, British centenarians, British military personnel of World War II, British scientists, Writers from Sussex
Charles Godfrey	1917 births, Living people, Canadian activists, Canadian physicians, Politicians from Ontario, Politicians from Philadelphia, Pennsylvania
Florence Knoll	1917 births, 2019 deaths, American centenarians, American architects, People from Saginaw, Michigan
Harry E. Goldsworthy	1914 births, Living people, American centenarians, American military people, People from Spokane, Washington
Felicity Hill	1915 births, 2019 deaths, British centenarians, British military personnel of World War II, Royal Air Force
Kenneth Mayhew	1917 births, 2021 deaths, British military personnel of World War II, English centenarians, People from Suffolk
James Megellas	1917 births, 2020 deaths, American centenarians, American military personnel of World War II, Writers from Wisconsin
Neil D. Van Sickle	1915 births, Living people, American centenarians, American generals, American military personnel of World War II, People from Minot, North Dakota
Anton Coppola	1917 births, 2020 deaths, American centenarians, American composers, American conductors, Writers from New York City
Francis Jackson	1917 births, Living people, British centenarians, British composers, Musicians from Yorkshire
Eleanor Sokoloff	1914 births, 2020 deaths, American centenarians, American pianists, American educators, Musicians from Philadelphia, Pennsylvania, Musicians from Cleveland, Ohio
Bernardino Piñera	1915 births, 2020 deaths, Deaths from pneumonia, Deaths from the COVID-19 pandemic, Bishops, Centenarians, Roman Catholics, Chilean people, People from Paris
Muazzez İlmiye Çığ	1914 births, Living people, Turkish writers, Centenarians, Archaeologists
James C. Floyd	1914 births, Living people, Centenarians, Canadian engineers, Canadian scientists, People from Manchester
Richard K. Guy	1916 births, 2020 deaths, British centenarians, British educators, British mathematicians, Canadian centenarians, Canadian educators, Canadian scientists, People from Calgary, Writers from Warwickshire
George Haigh	1915 births, 2019 deaths, British military personnel of World War II, British centenarians, English footballers, English football managers
Arthur Smith (footballer, born 1915)	1915 births, Living people, English centenarians, English footballers
John Lysak	1914 births, Living people, American Olympians, American adoptees, American military personnel of World War II, Sportspeople from New Jersey, Sportspeople from New York, People from Yonkers, New York, American centenarians
Bound Brook, New Jersey	Boroughs in New Jersey
Ignacio Trelles	1916 births, 2020 deaths, Deaths from myocardial infarction, Mexican footballers, Mexican football managers, Centenarians, People from Guadalajara
Eileen Whelan	1911 births, Living people, English centenarians, English cricketers, Sportspeople from London
Dniester	Rivers of Ukraine, Rivers of Moldova
Gavin Buckley	1963 births, Living people, Businesspeople from Maryland, American mayors, Australian businesspeople, Cancer survivors, People from Annapolis, Maryland, People from Perth, Western Australia, Politicians from Maryland, Politicians from Western Australia, US Democratic Party politicians
Baleka Mbete	Living people, South African politicians, 1949 births
Big Banana	1964 establishments, Buildings and structures in New South Wales, Theme parks, 1960s establishments in Australia
SodaStream	Soft drinks, Economy of Israel
Kool-Aid	Soft drinks, History of Chicago
Chalet Robinson	1990s establishments in Europe, 20th century establishments in Belgium, 1991 disestablishments, 1990s disestablishments in Europe, 2009 establishments in Europe
Dodge City, Alabama	Towns in Alabama
Edwardsville, Alabama	Towns in Alabama
Elberta, Alabama	Towns in Alabama
Magnolia Springs, Alabama	Towns in Alabama
Lemoore, California	Cities in California, Settlements in Kings County, California
Kings County, California	1890s establishments in California, 1893 establishments in the United States, Kings County, California
Fargo, Arkansas	Towns in Arkansas
Mountain Pine, Arkansas	Cities in Arkansas
Elkmont, Alabama	Towns in Alabama
Elmore, Alabama	Towns in Alabama
Excel, Alabama	Towns in Alabama
Five Points, Alabama	Towns in Alabama
Waverly, Alabama	Towns in Alabama
Stanford-le-Hope	Towns in Essex
Flomaton, Alabama	Towns in Alabama
Laurent Dufaux	1969 births, Swiss sportspeople, Olympians, 2000 Summer Olympics, Tour de France cyclists, Living people
Equality House	Houses in the United States, LGBT in the United States, Buildings and structures in Kansas, Topeka, Kansas
Mountain Ash, Rhondda Cynon Taf	Towns in Wales
Ontario Highway 144	Roads in Ontario
List of census-designated places in Louisiana	Census-designated places in Louisiana
Cron	Operating systems, Unix
Jena, Louisiana	Parish seats in Louisiana, Towns in Louisiana
Greater Sudbury	Cities in Ontario
Trans Canada Highway	Roads in Canada
Ontario Highway 101	Roads in Ontario
Seshego	Settlements in South Africa
Pantry	Rooms
Addis, Louisiana	Towns in Louisiana
KIIS-FM	Radio stations in the United States, Los Angeles
White sapote	Rutaceae, Tropical fruit, Medicinal plants
Sabine Parish, Louisiana	Sabine Parish, Louisiana, 1843 establishments in the United States, 1840s establishments in Louisiana
Converse, Louisiana	Villages in Sabine Parish, Louisiana
Fisher, Louisiana	Villages in Sabine Parish, Louisiana
Scott Morrison	1968 births, Living people, Politicians from Sydney, Prime Ministers of Australia, Current national leaders, Members of the Australian House of Representatives, Treasurers of Australia, Liberal Party of Australia politicians
Florien, Louisiana	Villages in Sabine Parish, Louisiana
Noble, Louisiana	Villages in Sabine Parish, Louisiana
Pleasant Hill, Sabine Parish, Louisiana	Villages in Sabine Parish, Louisiana
Stuart Mitchell	1965 births, 2018 deaths, Deaths from lung cancer, Scottish musicians, British pianists, British composers
Henk Wesseling	1937 births, 2018 deaths, Deaths from Parkinson's disease, Dutch academics, Dutch historians, Writers from The Hague
Bill Potts	Doctor Who characters, Lesbians
John N. Abrams	1946 births, 2018 deaths, American military personnel of the Vietnam War, American generals, People from Maine
Cumberland, Maine	Towns in Maine
Biddeford, Maine	Cities in Maine
Saco, Maine	Cities in Maine
Bellows Falls, Vermont	Villages in Vermont
South Bristol, Maine	Towns in Maine
Ashburn, Virginia	Census-designated places in Virginia
Ed King	1949 births, 2018 deaths, Cancer deaths in Tennessee, American rock guitarists, American songwriters, Musicians from California, Writers from California, People from Glendale, California
James Morrison (actor)	1954 births, Living people, American atheists, American movie actors, American television actors, American stage actors, American voice actors, American video game actors, Actors from Utah
We Are Number One	2014 songs, Music memes
Shrek Forever After	2010 movies, 2010 3D movies, 2010 animated movies, American animated movies, American comedy movies, Shrek, Movies composed by Harry Gregson-Williams
Lazy Lester	1933 births, 2018 deaths, Deaths from stomach cancer, Cancer deaths in California, American blues musicians, American guitarists, Musicians from Louisiana
Pointe Coupee Parish, Louisiana	Louisiana parishes, 1807 establishments in the Territory of Orleans
New Roads, Louisiana	Parish seats in Louisiana, Cities in Louisiana
National Museum of Scotland	Museums in the United Kingdom, Scotland, National museums
Paradise, California	Towns in California, Settlements in Butte County, California
Sacramento Valley	Valleys of California, Butte County, California, Colusa County, California, Glenn County, California, Placer County, California, Sacramento County, California, Shasta County, California, Sutter County, California, Tehama County, California, Yolo County, California, Yuba County, California, Central Valley of California
Death of Mollie Tibbetts	2018 murders in the United States, American murder victims, History of Iowa, July 2018 events, Murders by blade weapons, People from San Francisco
Ngconde Balfour	South African politicians, Living people, 1954 births
Aleksei Paramonov	1925 births, 2018 deaths, Deaths from respiratory failure, Deaths from stroke, Russian footballers, Russian football managers, Soviet sportspeople, Soviet Olympic gold medalists
Nosimo Balindlela	Living people, 1949 births, South African politicians
Lynne Brown	1961 births, Living people, South African politicians, People from Cape Town
Charlene Farrugia	Maltese people, European pianists, 1986 births, Living people
Sfiso Buthelezi	Living people, 1961 births, South African politicians
Bheki Cele	Living people, 1952 births, South African politicians
Siyabonga Cwele	Living people, 1958 births, South African politicians
Paul Mashatile	Living people, 1961 births, South African politicians
Bathabile Dlamini	Living people, 1962 births, South African politicians
Malusi Gigaba	Living people, 1971 births, South African politicians
Chris Hani	1942 births, 1993 deaths, South African politicians
Ethan Vernon	2000 births, British cyclists, Living people
Denisovan	Hominins
Rhigos	Villages in Wales
Fairlington, Arlington, Virginia	Neighborhoods in the United States, Settlements in Virginia
New Leipzig, North Dakota	Cities in North Dakota
Forkland, Alabama	Towns in Alabama
Union, Alabama	Towns in Alabama
Fort Deposit, Alabama	Towns in Alabama
Gaylesville, Alabama	Towns in Alabama
Kimberly, Alabama	Cities in Alabama
Lexington, Alabama	Towns in Alabama
Pope Adeodatus I	610s deaths, People from Rome, Italian popes, Christian saints, Year of birth unknown
Bantu Holomisa	Living people, 1955 births, South African politicians
Fana Hlongwane	South African politicians, South African businesspeople, Living people, Year of birth missing (living people)
KC Masterpiece 400	2011 establishments in the United States, NASCAR tracks, Monster Energy NASCAR Cup Series races, Kansas City, Kansas, 21st-century establishments in Kansas
Children of Muhammad	Family of Muhammad
Kansas Speedway	NASCAR tracks, Kansas City, Kansas, 2011 establishments in the United States, 21st-century establishments in Kansas
Georgiana, Alabama	Towns in Alabama
McKenzie, Alabama	Towns in Alabama
Geraldine, Alabama	Towns in Alabama
Hammondville, Alabama	Towns in Alabama
Henagar, Alabama	Cities in Alabama
Ider, Alabama	Towns in Alabama
Mentone, Alabama	Towns in Alabama
Pine Ridge, Alabama	Towns in Alabama
Powell, Alabama	Towns in Alabama
Sand Rock, Alabama	Towns in Alabama
Shiloh, DeKalb County, Alabama	Towns in Alabama
Sylvania, Alabama	Towns in Alabama
Valley Head, Alabama	Towns in Alabama
Dawson, Alabama	Unincorporated communities in Alabama
Dogtown, Alabama	Unincorporated communities in Alabama
Glen Allen, Alabama	Towns in Alabama
Glenwood, Alabama	Towns in Alabama
Madrid, Alabama	Towns in Alabama
Kinsey, Alabama	Towns in Alabama
Rehobeth, Alabama	Towns in Alabama
Taylor, Alabama	Towns in Alabama
Webb, Alabama	Towns in Alabama
Acadia Parish, Louisiana	19th-century establishments in Louisiana, 1886 establishments in the United States, Louisiana parishes
Ascension Parish, Louisiana	1807 establishments in the Territory of Orleans, Louisiana parishes
Toyota/Save Mart 350	Monster Energy NASCAR Cup Series races, Toyota
Coke Zero Sugar 400	NASCAR, NASCAR tracks, 1959 establishments in Florida, Daytona Beach, Florida
Linton Freeman	1927 births, 2018 deaths, American sociologists, American educators, American editors, Scientists from Chicago, Journalists from Chicago
Khaira Arby	1959 births, 2018 deaths, Deaths from breast cancer, Singer-songwriters, Malian people
Russ Heath	1926 births, 2018 deaths, Deaths from prostate cancer, Cancer deaths in Los Angeles, American comics artists, People from New York City
Dieter Thomas Heck	1937 births, 2018 deaths, Deaths from COPD, German movie actors, German television actors, German television presenters, German singers, People from Hamburg
George Sheldon (politician)	1947 births, 2018 deaths, Accidental deaths from falls in the United States, American lawyers, Politicians from Florida, Politicians from New Jersey, US Democratic Party politicians
Wildwood, New Jersey	Cities in New Jersey
Franck Venaille	1936 births, 2018 deaths, French novelists, Writers from Paris, French poets
Tom Frost	1937 births, 2018 deaths, American photographers, Mountain climbers
Yosemite Valley	Valleys of California, Mariposa County, California
Tomah, Wisconsin	Cities in Wisconsin, Monroe County, Wisconsin, 1855 establishments in the United States, 1850s establishments in Wisconsin
Fitchburg, Wisconsin	Cities in Wisconsin, Dane County, Wisconsin, 1983 establishments in the United States, 20th-century establishments in Wisconsin
Robin Leach	1941 births, 2018 deaths, Deaths from stroke, British television personalities, Writers from London
Princeton Lyman	1935 births, 2018 deaths, Deaths from lung cancer, Ambassadors of the United States, Politicians from San Francisco
Cornville, Arizona	Census-designated places in Arizona
Valentina Rastvorova	1933 births, 2018 deaths, Soviet Olympic gold medalists, Soviet Olympic silver medalists, Fencers
Ciril Zlobec	1925 births, 2018 deaths, Slovenian poets, Slovenian politicians, Slovenian journalists
Sanjay Gupta	1969 births, Living people, CNN people, American physicians, American television presenters, Writers from Michigan
Novi, Michigan	Cities in Michigan
Don Lemon	Emmy Award winners, 1966 births, Living people, American journalists, American autobiographers, American television news anchors, CNN people, Gay men, LGBT journalists, LGBT people from Louisiana, Writers from Louisiana, People from Baton Rouge, Louisiana
Lindsay Kemp	1938 births, 2018 deaths, Deaths from cardiac arrest, English movie actors, English television actors, English stage actors, English dancers, English artists, Educators, Mimes, Choreographers, People from Merseyside
Noam Sheriff	1935 births, 2018 deaths, Israeli conductors, Composers, Israeli academics, People from Tel Aviv
The Deemster	British novelists, 19th century books
Perry, Georgia	Cities in Georgia (U.S. state), County seats in Georgia
Endometriosis	Diseases and disorders of the female reproductive system
Univers	Fonts
Auto Club Speedway	NASCAR tracks, Sports in California, San Bernardino County, California
Lawrence J. DeNardis	1938 births, 2018 deaths, United States representatives from Connecticut, American educators, Politicians from New Haven, Connecticut, US Republican Party politicians
Michael Stonebraker	1943 births, Living people, American computer scientists, Scientists from Massachusetts, Writers from Massachusetts
Newburyport, Massachusetts	Cities in Massachusetts
Denise Scott Brown	1931 births, Living people, American architects, American educators, Writers from Philadelphia, Pennsylvania
Beverly Willis	1928 births, Living people, American architects, Businesspeople from Tulsa, Oklahoma
Jacksonville Landing shooting	2018 in Florida, 2018 mass shootings, 2018 murders in the United States, 2010s mass shootings in the United States, August 2018 events, Jacksonville, Florida, Murder-suicides in the United States, Murders by firearm in Florida, Suicides by firearm in the United States
Elite Dangerous	2014 video games, Cooperative video games, MacOS games, PlayStation 4 games, Windows games, Xbox One games
Margarita Mamun	1995 births, Living people, Sportspeople from Moscow, Olympic gold medalists, Russian gymnasts
Henrik Thrap-Meyer	1833 births, 1910 deaths, People from Bergen
FC Den Bosch	Dutch football clubs, 's-Hertogenbosch, 1965 establishments in Europe, 1960s establishments in the Netherlands
Krystyna Janda	1952 births, Living people
The Stolen Child	Poems
Photosphere	Astronomy, Light
R Scuti	Variable stars
119 Tauri	Red giants, Supergiants, Variable stars
Rusty Schweickart	1935 births, Living people, Emmy Award winners, American astronauts, Engineers from New Jersey, Scientists from New Jersey, Writers from New Jersey, Businesspeople from New Jersey
Loren Acton	1936 births, Living people, American physicists, American astronauts, Politicians from Montana, Scientists from Montana, US Democratic Party politicians
Lewistown, Montana	Cities in Montana, County seats in Montana
Globe, Arizona	Cities in Arizona, County seats in Arizona
Momo Challenge hoax	Hoaxes, Social networking
20 Fenchurch Street	Skyscrapers in the United Kingdom, Buildings and structures in London
Pope Damasus I	Portuguese people, Popes, Christian saints
WhatsApp	Messaging, Internet
Oberndorf am Lech	Donau-Ries
Oettingen in Bayern	Donau-Ries
Otting	Donau-Ries
Rain, Swabia	Donau-Ries
Reimlingen	Donau-Ries
Rögling	Donau-Ries
Tapfheim	Donau-Ries
Wallerstein, Bavaria	Donau-Ries
Wechingen	Donau-Ries
Wemding	Donau-Ries
Wolferstadt	Donau-Ries
Job Control Language	Software
Bodolz	Municipalities in Bavaria, Lindau (district)
Gestratz	Municipalities in Bavaria, Lindau (district)
Grünenbach	Lindau (district)
Heimenkirch	Lindau (district)
Hergatz	Lindau (district)
Hergensweiler	Lindau (district)
Lindenberg im Allgäu	Lindau (district)
Maierhöfen	Lindau (district)
Jo Swinson	1980 births, Living people, Alumni of the London School of Economics, Commanders of the Order of the British Empire, Former Liberal Democrats MPs (UK), Former members of the British House of Commons for Scottish constituencies, Leaders of the Liberal Democrats (UK), UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2017–2019, Women politicians
Nonnenhorn	Lindau (district)
Oberreute	Lindau (district)
Opfenbach	Lindau (district)
Röthenbach (Allgäu)	Lindau (district)
Scheidegg, Bavaria	Lindau (district)
Podklanc	Settlements in Europe
Municipality of Radovljica	Municipalities of Slovenia
Wild Frontier	1987 albums
Quatermass II	BBC television dramas
Social Democratic Party (UK)	Social Democratic Party (UK), Liberal parties, 1981 establishments in the United Kingdom, 1988 disestablishments in the United Kingdom
M50 motorway (Great Britain)	Motorways in England
Electric beacon	Navigation, Radio technology
Sigmarszell	Lindau (district)
Stiefenhofen	Lindau (district)
Wasserburg am Bodensee	Lindau (district)
Weiler-Simmerberg	Lindau (district)
Weißensberg	Lindau (district)
Gudiyattam taluk	Vellore District
Binary solution	Chemistry
25 Old Broad Street	Skyscrapers in the United Kingdom, Buildings and structures in London
Asteroid impact prediction	Asteroids, Impact events
International	Political geography
Nicholas Roerich	1874 births, 1947 deaths, Russian painters, Russian writers
Plate armour	Armour
Harry Connick Sr.	1927 births, Living people, American lawyers, Politicians from Alabama, Businesspeople from Alabama, Politicians from New Orleans, Louisiana, People from Mobile, Alabama, Businesspeople from New Orleans, Louisiana, US Democratic Party politicians
Philip Zimbardo	1933 births, Living people, American psychologists, American educators, Yale University alumni, Scientists from New York City, Writers from New York City
Manhasset, New York	Hamlets in New York, Census-designated places in New York (state)
Olivia Thirlby	1986 births, Living people, American movie actors, American television actors, American voice actors, Actors from New York City
Rosa Maria Carrasco i Azemar	1936 births, 2018 deaths, Deaths from stroke, Politicians from Barcelona
Dominik Kalata	1925 births, 2018 deaths, Deaths from congestive heart failure, Slovakian people, Roman Catholics, Bishops
Rosa Bouglione	1910 births, 2018 deaths, French centenarians, French dancers
Kerry Hill	1943 births, 2018 deaths, Australian architects, People from Perth, Western Australia
Tony Hiller	1927 births, 2018 deaths, British songwriters, British record producers, Writers from London
Dale M. Cochran	1928 births, 2018 deaths, Deaths from stomach cancer, Politicians from Iowa, US Democratic Party politicians
Mirka Mora	1928 births, 2018 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Australia, Australian painters, French painters, Sculptors, People from Paris, People from Melbourne
Fredd Wayne	1924 births, 2018 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in California, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American columnists, American military personnel of World War II, Actors from Akron, Ohio, Writers from Akron, Ohio
John Culver	1932 births, 2018 deaths, United States representatives from Iowa, United States senators from Iowa, Writers from Iowa, 1980 United States presidential candidates, Writers from Minnesota, Politicians from Minnesota, US Democratic Party politicians, People from Rochester, Minnesota
Murray Westgate	1918 births, 2018 deaths, Deaths from cardiopulmonary arrest, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, Canadian centenarians, Actors from Toronto, People from Regina, Saskatchewan
Josep Fontana	1931 births, 2018 deaths, Deaths from heart failure, Spanish historians, Spanish educators, Writers from Barcelona
Andrew Gillum	1979 births, Living people, American mayors, Politicians from Miami, Florida, People from Tallahassee, Florida, US Democratic Party politicians
Randy Bryce	1964 births, Living people, Politicians from Milwaukee, Wisconsin, US Democratic Party politicians
Garnett, Kansas	Cities in Anderson County, Kansas, County seats in Kansas
Paula Hawkins	Living people, 1972 births, British writers
Mary Joe Fernández	Living people, 1971 births, Female tennis players, American tennis players
Colin Trevorrow	1976 births, Living people, American movie directors, American screenwriters, Jewish American writers, Movie directors from California, Writers from Oakland, California, Screenwriters from California, Writers from San Francisco
Pine Villa Football Club	1895 establishments in England, 1899 disestablishments, 19th century disestablishments in the United Kingdom, Disestablishments in England, 1890s disestablishments in Europe
Thames Ironworks F.C.	1895 establishments in England, 1900 disestablishments, 1900s disestablishments in the United Kingdom, 20th century disestablishments in England
J. A. Bayona	1975 births, Living people, People from Barcelona, Spanish movie directors
Ell & Nikki	Eurovision Song Contest winners, Musical duos
Waterloo (ABBA song)	ABBA songs, 1974 songs
Richard D'Oyly Carte	1844 births, 1901 deaths, Alumni of University College London, Management, English businesspeople, Gilbert and Sullivan
78 (number)	Integers
Gareth Edwards	1947 births, Living people, Commanders of the Order of the British Empire, Welsh rugby union players
Gareth Edwards (director)	1975 births, Living people, English artists, English movie actors, English movie directors, English movie producers, English screenwriters, Writers from Warwickshire
Adi Agashé	1997 births, Indian singers, Indian movie actors, Singer-songwriters, People from Pune
Yeovil Casuals F.C.	1895 establishments in England, 1907 disestablishments, 1900s disestablishments in the United Kingdom, 20th century disestablishments in England
Petters United F.C.	1908 establishments in England, 1914 disestablishments in Europe, 20th century disestablishments in England
Yeovil & Petters United F.C.	1914 establishments in Europe, 1910s establishments in England, 1946 disestablishments in Europe, 1940s disestablishments in the United Kingdom, 20th century disestablishments in England
Electronic system	Electricity, Systems
Timon, Louisiana	Unincorporated communities in Natchitoches Parish, Louisiana
Sriti Jha	1986 births, Indian television actors, Bihar, Living people
Eurovision Song Contest 2007	Eurovision Song Contest, 2007 in music, Helsinki, 2007 in Europe, History of Finland
David Owen	1938 births, Living people, Alumni of the University of Cambridge, English physicians, Former Labour MPs (UK), Former members of the British House of Commons for English constituencies, Independent politicians, Leaders of the Social Democratic Party (UK), Members of the House of Lords, People from Devon, Privy Councillors (UK), Secretaries of State of the United Kingdom, Social Democratic Party MPs (UK), UK MPs 1966–1970, UK MPs 1970–1974, UK MPs 1974, UK MPs 1974–1979, UK MPs 1979–1983, UK MPs 1983–1987, UK MPs 1987–1992
Cassoulet	French food
Pyramids (novel)	Fantasy books
Denzil Minnan-Wong	1963 births, Living people, Canadian lawyers, Politicians from Ontario
Vaxxed	2016 movies, American movies, English-language movies
Good Hope, Alabama	Cities in Alabama
Goshen, Alabama	Towns in Alabama
Omar Kabbaj	1942 births, Living people, People from Rabat
Technology company	Technology companies
Scabies	Parasites, Skin
Esse quam videri	Latin state mottos of the United States, North Carolina
Lynton	Towns in Devon
Meghana Lokesh	Indian movie actors, Indian television actors, Karnataka, 1994 births, Living people
Sai Pallavi	Living people, 1992 births, People from Tamil Nadu, Indian movie actors
Lion of Kea	Ancient Greece, Ancient Greek marble sculptures, Ancient Greek and Roman statues
Neosho River	Rivers of Kansas, Rivers of Oklahoma
Vispa	Rivers of Switzerland, Geography of Valais
Grimes, Alabama	Towns in Alabama
Lorze	Rivers of Switzerland, Canton of Zug, Canton of Zürich
Gurley, Alabama	Towns in Alabama
Komoé River	Rivers of Africa, Burkina Faso, Ivory Coast
Midway, Alabama	Towns in Alabama
Touba	Touba, Senegal, Cities in Senegal
Midway, Utah	Cities in Utah
Haleburg, Alabama	Towns in Alabama
Harpersville, Alabama	Towns in Alabama
Highland Lake, Alabama	Towns in Alabama
Hayden, Alabama	Towns in Alabama
Locust Fork, Alabama	Towns in Alabama
Nectar, Alabama	Towns in Alabama
Avusy	Municipalities of Geneva
Deaths in September 2018	2018 deaths, September 2018 events
Morris G. Hallock	1926 births, 2018 deaths, Deaths from Parkinson's disease, Politicians from Nebraska, Politicians from South Dakota, US Republican Party politicians
Springview, Nebraska	County seats in Nebraska, Villages in Nebraska
Charles Gain	1923 births, 2018 deaths, Deaths from respiratory failure, Disease-related deaths in San Francisco, American police officers, People from San Francisco, People from Oakland, California
Hanford, California	Cities in California, County seats in California, Settlements in Kings County, California
Richard Kadison	1925 births, 2018 deaths, Deaths from heart failure, Cardiovascular disease deaths in New York City, American mathematicians, Scientists from New York City, Writers from New York City
Barrie Dunsmore	1939 births, 2018 deaths, Canadian journalists, People from Regina, Saskatchewan
Charlotte, Vermont	Towns in Vermont
Silvano Campeggi	1923 births, 2018 deaths, Deaths from respiratory failure, Italian artists, Designers, People from Florence
