Astelia banksii	Asparagales
Cody Rhodes	1985 births, American professional wrestlers, Living people, Sportspeople from Georgia (U.S. state), Former WWE wrestlers, People from Marietta, Georgia
Jimmy Reiher, Jr.	1971 births, Living people, American professional wrestlers, Fijian sportspeople
Jim Duggan	1954 births, American professional wrestlers, Living people, Sportspeople from New York, WWE Hall of Fame, People from Glens Falls, New York
JTG	1984 births, American professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from New York City
Lance Cade	1980 births, 2010 deaths, Deaths from cardiomyopathy, American professional wrestlers, Cardiovascular disease deaths in the United States, Deaths from heart failure, Drug-related deaths in the United States, Former WWE wrestlers, Sportspeople from Omaha, Nebraska
Matt Striker	1974 births, Living people, American professional wrestlers, Former WWE wrestlers, Sportspeople from New York City
Sicko	2007 movies, American documentary movies, American independent movies
Flag of Alabama	United States state flags, Alabama
Flag of Mexico	Mexico
Flag of the United Kingdom	National flags, Flags of the United Kingdom
Tommy Tynan	1955 births, Living people, English footballers, People from Liverpool
Lennie Lawrence	1941 births, Living people, English football managers, People from Brighton, Sportspeople from Sussex
Neil Warnock	1948 births, Living people, English footballers, English football managers, People from Sheffield
John Gregory	1945 births, Living people, English footballers, English football managers, Sportspeople from Lincolnshire
Roberto Carlos	1973 births, Living people, Association football defenders, Association football full-backs, Brazilian footballers
Bob Wilson (footballer, born 1941)	1941 births, Living people, Scottish footballers, British association football goalkeepers
Sepp Maier	1944 births, Living people, German association football goalkeepers, Sportspeople from Bavaria
Bob Stokoe	1930 births, 2004 deaths, Deaths from pneumonia, English footballers, Sportspeople from Northumberland
Lothar Matthäus	1961 births, Living people, German football managers, German footballers, Sportspeople from Bavaria
Douglas Haig, 1st Earl Haig	1861 births, 1928 deaths, British Army generals, People from Edinburgh, Knights Grand Cross of the Order of the Bath, Knights of the Thistle, Order of Merit, Knights Grand Cross of the Royal Victorian Order, Knights Commander of the Order of the Indian Empire
John Charles	1931 births, 2004 deaths, Welsh footballers, Welsh football managers, People from Swansea
Fredrik Ljungberg	1977 births, Living people, Swedish footballers, Swedish football managers
Martin Peters	1943 births, 2019 deaths, Deaths from Alzheimer's disease, Disease-related deaths in London, English footballers, Sportspeople from London
Dmitri Sychev	1983 births, Living people, Russian footballers
José Eulogio Gárate	Spanish footballers
Shinji Ono	1979 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, Urawa Red Diamonds players, Shimizu S-Pulse players, Hokkaido Consadole Sapporo players, FC Ryukyu players, 1998 FIFA World Cup players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, 2001 FIFA Confederations Cup players, Footballers at the 2004 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Iker Casillas	1981 births, Living people, Spanish association football goalkeepers, 2014 FIFA World Cup players, Sportspeople from Madrid
Jamie Murphy	1973 births, Living people, English footballers, Sportspeople from Manchester
List of presidents of Turkey	Presidents of Turkey, Lists of heads of state
Weightlifting	Weightlifting
Mullet	Teleosts
Flag semaphore	Flags, Messaging, Signalling
Asparagales	Asparagales
Asparagaceae	Asparagales
Hesperocallis	Agavaceae
Laurales	Trees, Magnoliopsida
Hasbro	1923 establishments in the United States, 20th-century establishments in Rhode Island, Rhode Island
Bay leaf	Herbs, Lauraceae
Ginger	Monocots, Spices
Revenue	Income
Net income	Income
Real time (media)	Media
Southern Cone	South America
1936–37 NHL season	1936 in North America, 1937 in North America
William M. Jennings	1920 births, 1981 deaths, Hockey Hall of Fame inductees, People from New York City
Robert Esche	1978 births, American Hockey League players, Living people, Ontario Hockey League players, Philadelphia Flyers players, Phoenix Coyotes players, Sportspeople from New York, American ice hockey goaltenders
Concussion	Brain
Mercury-in-glass thermometer	Medical equipment, Measuring tools, Thermometers
Language reform	Linguistics
Beaufort scale	Winds
The Wheel of Time	Fantasy books, Series of books
Robert Jordan	1948 births, 2007 deaths, Deaths from amyloidosis, Disease-related deaths in South Carolina, Pen names, People from Charleston, South Carolina, Writers from South Carolina
Brian Burke	1947 births, Living people, Premiers of Western Australia, People from Perth, Western Australia, Australian Labor Party politicians, Australian journalists
Ray O'Connor	1926 births, 2013 deaths, Australian criminals, Fraudsters, Liberal Party of Australia politicians, People from Perth, Western Australia, Premiers of Western Australia
Charles Court	1911 births, Premiers of Western Australia, People from Sussex, Liberal Party of Australia politicians
Chang'an	History of China, Cities in China
John Tonkin	1902 births, 1995 deaths, Premiers of Western Australia, Australian Labor Party politicians, Australian educators
David Brand	1912 births, 1979 deaths, Premiers of Western Australia, Liberal Party of Australia politicians
Albert Hawke	1900 births, 1989 deaths, Premiers of Western Australia, Politicians from South Australia, Australian Labor Party politicians
Ross McLarty	1891 births, 1962 deaths, Premiers of Western Australia, Liberal Party of Australia politicians
Frank Wise	1897 births, 1986 deaths, Administrators of the Northern Territory, Premiers of Western Australia, Politicians from Queensland, Australian Labor Party politicians
Early modern Europe	History of Europe
Kevin Moore (rugby league)	1965 births, Living people, Australian rugby league players, Sportspeople from Sydney, Coaches
Roman Čechmánek	1971 births, Living people, Los Angeles Kings players, Philadelphia Flyers players, American Hockey League players, Swedish Hockey League players, Czech ice hockey goaltenders
Jaromír Jágr	1972 births, Art Ross Trophy winners, Bill Masterton Memorial Trophy winners, Boston Bruins players, Calgary Flames players, Czech ice hockey players, Czechoslovak ice hockey players, Dallas Stars players, Florida Panthers players, Hart Memorial Trophy winners, Living people, Medalists at the 2006 Winter Olympics, New Jersey Devils players, New York Rangers players, Olympic bronze medalists, Olympic gold medalists, Philadelphia Flyers players, Pittsburgh Penguins players, Stanley Cup champions, Washington Capitals players
Spinning jenny	Machines, Tools
Roman Turek	1970 births, Calgary Flames players, Czech ice hockey goaltenders, Czechoslovak ice hockey players, Dallas Stars players, Living people, St. Louis Blues players, Stanley Cup champions
Driveshaft	Machines, Auto parts
Power loom	Tools, Machines, Weaving
Ahmadiyya	Islamic denominations
Paris Métro	Rapid transit systems, Paris, Transport in France, 1900 establishments in France
Heroes (TV series)	2006 American television series debuts, 2010 American television series endings, 2000s American drama television series, 2000s science fiction television series, 2010s American drama television series, 2010s science fiction television series, American science fiction television series, American time travel television series, NBC network shows, English-language television programs
Eddie Su'a	1983 births, Living people, Australian rugby league players, Sportspeople from Sydney
String (music)	String instrument construction
Peter Sellers	1925 births, 1980 deaths, Actors from Hampshire, British radio actors, Comedians from Hampshire, Deaths from myocardial infarction, English movie actors, English television actors, People from Portsmouth, Commanders of the Order of the British Empire
Boris Johnson	1964 births, Living people, Alumni of the University of Oxford, British journalists, Conservative MPs (UK), Current national leaders, English Anglicans, Leaders of the Conservative Party (UK), Mayors of London, Members of the British House of Commons for English constituencies, People educated at Eton College, Politicians from New York City, Privy Councillors (UK), UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Writers from London, Writers from New York City
NUbuntu	Live CD, Linux distributions, Ubuntu (operating system) derivatives
London Assembly	Local government in London, 2000 establishments in England
Somali language	Cushitic languages, Languages of Ethiopia, Somalia
Gravy	Sauces
B. F. Skinner	1904 births, 1990 deaths, American atheists, American autobiographers, American psychologists, Harvard University alumni, Scientists from Pennsylvania, Writers from Pennsylvania, Harvard University faculty
Falmouth Academy	Schools in Massachusetts
Breastfeeding	Babies, Milk, Breasts
Satyajit Ray	1921 births, 1992 deaths, Indian movie directors, Academy Award Honorary Award winners, Illustrators
Petrarch	1304 births, 1374 deaths, Italian poets, Medieval poets
Language planning	Languages
Johnny Marr	1963 births, Living people, English guitarists, English singer-songwriters, Keyboardists, Musicians from Manchester, The Smiths members
Years of Refusal	2009 albums
Indus Waters Treaty	Foreign relations of Pakistan, Foreign relations of India
John Willcock	1879 births, 1956 deaths, Premiers of Western Australia, Politicians from New South Wales, Australian Labor Party politicians
Philip Collier	1873 births, 1948 deaths, Premiers of Western Australia, Politicians from Victoria (Australia), Australian Labor Party politicians
James Mitchell	1866 births, 1951 deaths, Premiers of Western Australia, Viceroys in Australia, Nationalist Party of Australia politicians
Folie à Deux (album)	2008 albums, Fall Out Boy albums, Island Records albums, Rock albums
What a Catch, Donnie	2008 songs, Fall Out Boy songs
Stade de Suisse	Buildings and structures in Switzerland, Football stadiums in Europe, Football in Switzerland, Bern, 2005 establishments in Europe, 2000s establishments in Switzerland
Ken Livingstone	1945 births, Living people, British atheists, British socialists, Mayors of London, Democratic socialists, Politicians from London
Vatnajökull	Geography of Iceland
InterCity 225	Rail transport in the United Kingdom
British Rail	British Rail, 1948 establishments in Europe, 1940s establishments in the United Kingdom, 1997 disestablishments in Europe, 1990s disestablishments in the United Kingdom
Cobra	Elapidae
Cape Cobra	Elapidae
Kalahari Desert	Deserts, Geography of Botswana, Geography of Namibia, Geography of South Africa
Silverstein	2000s music groups, Emo bands, Canadian rock bands, Post-hardcore bands
Discovering the Waterfront	2005 albums, Punk albums
Pakistan State Oil (PSO)	Economy of Pakistan
Mahmud I	Sultans of the Ottoman Empire, 1696 births, 1754 deaths
Mahmud II	1785 births, 1839 deaths, Sultans of the Ottoman Empire
Mahmud II of Great Seljuk	Persian people, Kings and queens, 1100s births, 1131 deaths, Baghdad
Mahmud of Ghazni	971 births, 1030 deaths, Turkic peoples, Monarchs of Afghanistan, Emperors and empresses
Ghaznavid Empire	History of Iran, History of Afghanistan, History of Pakistan, Royal dynasties, 963 establishments, 12th century disestablishments in Asia, 960s establishments in Asia, 1186 disestablishments
Mahmud Shah (Sultan of Malacca)	History of Malaysia, 1528 deaths, Year of birth missing
Mahmud Shah Durrani	1769 births, 1829 deaths, Afghan leaders, Kings and queens
Durrani Empire	History of Afghanistan, History of Pakistan, History of Iran, 1747 establishments, 1919 disestablishments, 18th century establishments in Iran
Cognitive psychology	Cognition, Branches of psychology
Celâl Bayar	Centenarians, Presidents of Turkey, 1883 births, 1986 deaths
Perceptual psychology	Cognition
Mahmoud Abbas	1935 births, Living people, Palestinian Muslims, Palestinian nationalists, Palestinian politicians, Presidents (government), Prime ministers
Abid Hamid Mahmud	1957 births, 2012 deaths, Executed people, Generals, Iraqi military people
Social psychology	Branches of psychology
Mahmoud an-Nukrashi Pasha	1888 births, 1948 deaths, Prime Ministers of Egypt
Neuropsychology	Branches of psychology, Neurology
Abnormal psychology	Human behavior, Psychology
John B. Watson	1878 births, 1958 deaths, American psychologists, Scientists from South Carolina, People from Greenville, South Carolina
Indian English	Dialects of English, Languages of India, Languages of Bangladesh
Ivan Pavlov	1849 births, 1936 deaths, Physiologists, Psychologists, Russian Nobel Prize winners, Russian physicians, Soviet people, Saint Petersburg State University alumni
Hamilton College	Colleges and universities in New York, 1793 establishments in the United States, 18th-century establishments in New York (state)
Jon Stewart	1962 births, Living people, Actors from New York City, Comedians from New York City, American movie actors, American television actors, American television presenters, American television writers, Comedy Central personalities, Emmy Award winners, Grammy Award winners, Jewish American actors, Jewish American writers, Television talk show hosts, Writers from New York City
Quagga	Equids, Extinct species, IUCN Red List extinct species, Mammals of Africa, Odd-toed ungulates, Zebras
Przewalski's horse	Horses, Mammals of Asia
Nation state	Political geography, Nationalism
Joseph McCarthy	1908 births, 1957 deaths, American military personnel of World War II, American Roman Catholics, Anti-Communists, Deaths from hepatitis, Disease-related deaths in Maryland, Infectious disease deaths in the United States, United States senators from Wisconsin, US Republican Party politicians
Poet laureate	Poets
List of emperors of Japan	Emperors of Japan, Lists of heads of state, Lists of Japanese people
Katy Perry	1984 births, Living people, Actors from California, American LGBT rights activists, American pop singers, American television actors, Brit Award winners, Katy Perry, People from Santa Barbara, California, Singers from California
One of the Boys	2008 albums, Katy Perry albums, Debut albums, Pop albums
I Kissed a Girl	2008 songs, Katy Perry songs, LGBT songs
Hot N Cold	2008 songs, Katy Perry songs, Dance-pop songs
If I Were a Boy	2008 songs, 2000s ballads, Beyoncé songs, Pop ballads, Songs with feminist themes
Single Ladies (Put a Ring on It)	2008 songs, Beyoncé songs, Songs with feminist themes
Secure Shell	Internet security, Computer protocols
Application programming interface	Software
Peregrine falcon	Falconiformes, Birds of Pakistan, Birds of Kashmir
Mozilla Public License	Software licences, Mozilla
Ubisoft	Companies of France, Video game companies, French culture
Permissive software license	Software licences
Hero / Heroine	2007 songs, Boys Like Girls songs
Thunder (Boys Like Girls song)	Boys Like Girls songs, 2008 songs
1.22.03.Acoustic	2004 albums, Maroon 5 albums, Compilation albums
Live from SoHo (Maroon 5 album)	2008 albums, Maroon 5 albums
Alexander Berkman	1870 births, 1936 deaths, American writers, Russian writers, Anarchists
Murray Bookchin	1921 births, 2006 deaths, American anarchists, Jewish American writers, American historians, Green anarchism, People from Burlington, Vermont, Writers from New York City, Green thinkers
Carlo Cafiero	1846 births, 1892 deaths, Anarchist communists, People from Apulia
Benito Juárez	1806 births, 1872 deaths, Academics, Deputy mayors, Judges, People from Oaxaca, Presidents of Mexico
Madeleine Albright	1937 births, Living people, 20th-century American politicians, 21st-century American politicians, Columbia University alumni, Czech Jews, Czechoslovak people, Jewish American academics, Jewish American politicians, Jewish American writers, Jewish women politicians, Johns Hopkins University alumni, Naturalized citizens of the United States, United States Ambassadors to the United Nations, United States Secretaries of State, US Democratic Party politicians, Women diplomats, Writers from Prague
James Carville	Writers from Georgia (U.S. state), American television personalities, Democrats (United States), American political commentators, Living people, 1944 births
Colin Powell	1937 births, Living people, African-American military personnel, African American politicians, American generals, American military personnel of the Vietnam War, Politicians from New York City, Presidential Citizens Medal recipients, United States National Security Advisors, United States Secretaries of State
United States Secretary of State	United States Secretaries of State, 1789 establishments in the United States
Jacques Ellul	1912 births, 1994 deaths, Anarchists, Calvinists, French Christians, French theologians, People from Bordeaux
Johann Most	1846 births, 1906 deaths, American anarchists, American writers, German writers, People from Augsburg, Politicians from Bavaria, Politicians of the Social Democratic Party of Germany, Socialists
Francesco Saverio Merlino	Italian anarchists, Italian lawyers, People from Naples, 1856 births, 1930 deaths
Murray Rothbard	1926 births, 1995 deaths, American agnostics, American anarchists, American economists, Anarcho-capitalists, Jewish American scientists, Libertarians, Scientists from New York City
Carlo Tresca	Industrial Workers of the World, American anarchists, Socialists, Italian people, American murder victims, 1879 births, 1943 deaths
Benjamin Tucker	American anarchists, American philosophers, Writers from Massachusetts, 1854 births, 1939 deaths, Libertarians, American atheists
John Zerzan	1943 births, Living people, American anarchists, People from Salem, Oregon, Green anarchism, Writers from Oregon, Green thinkers
2014 FIFA World Cup	FIFA World Cup, 2014 FIFA World Cup
Ephedrine	Chemical compounds
Emiliano Zapata	1879 births, 1919 deaths, Generals, Mexican military people
Pseudoephedrine	Chemical compounds
Scion	Automobiles
Flag of Christmas Island	Flags, Christmas Island, Flags of country subdivisions
Philippsburg	Cities in Baden-Württemberg
Ainsworth, Wisconsin	Towns in Wisconsin, Langlade County, Wisconsin
Bex	Municipalities of Vaud
Erwitte	Soest Rural District
John Krasinski	1979 births, Living people, Actors from Massachusetts, American movie actors, American television actors, American movie directors, American screenwriters, American voice actors, Writers from Massachusetts
United States Department of State	United States Department of State
Cabinet of the United States	United States Executive Cabinet
United States Attorney General	United States Attorneys General, 1789 establishments in the United States
United States Secretary of Agriculture	United States Secretaries of Agriculture, 1889 establishments in the United States
List of United States Cabinets	Members of the Cabinet of the United States, Lists of politicians from the United States
United States Secretary of Homeland Security	United States Secretaries of Homeland Security, 2003 establishments in the United States
United States Department of Homeland Security	United States intelligence agencies, Federal law enforcement agencies of the United States
United States Secretary of the Interior	United States Secretaries of the Interior, 1849 establishments in the United States
United States Secretary of Commerce	United States Secretaries of Commerce, 1913 establishments in the United States
United States Department of Commerce	United States Department of Commerce, 1913 establishments in the United States
United States Department of the Interior	United States Department of the Interior, 1849 establishments in the United States
United States Department of Justice	Federal law enforcement agencies of the United States, United States Department of Justice
United States Department of Agriculture	United States Department of Agriculture, 1889 establishments in the United States
United States federal executive departments	United States federal executive departments
United States Department of Labor	United States Department of Labor, 1913 establishments in the United States
United States Secretary of Labor	United States Secretaries of Labor, 1913 establishments in the United States
Raster image processor	Printers
Sligo Rovers F.C.	Irish football clubs
Eircom Premier Division	Football League of Ireland, Defunct sports leagues, 1921 establishments in Europe, 2006 disestablishments, 20th century establishments in the Republic of Ireland, 2000s disestablishments in Europe
Sligo	County towns in Ireland, County Sligo
Fort Campbell	United States Army, Forts in the United States, Buildings and structures in Kentucky, Buildings and structures in Tennessee, 1941 establishments in the United States, 20th-century establishments in Kentucky, 20th-century establishments in Tennessee
Harlem	Manhattan, Neighborhoods of New York City
Taxane	Chemical compounds
Brooch	Jewelry
Flares	Trousers and shorts
Autopsy	Death, Medical procedures, Forensics
Supro Ozark 1560 S	Guitars
Stormbreaker	Children's books, 2000 books
Event-driven programming	Software
Leeds Bradford International Airport	Airports in England, Leeds
Leeds Metropolitan University	Leeds, Universities in England
Wetherby	Towns in West Yorkshire
Dynamic-link library	Software
Jack Peddie	1876 births, 1928 deaths, Scottish footballers
Nwankwo Kanu	1976 births, Living people, Nigerian footballers
Jay-Jay Okocha	1973 births, Living people, Nigerian footballers
Nicky Butt	1975 births, Living people, English footballers, Sportspeople from Manchester, Premier League players
Serie B	Football leagues, Football in Italy, 1929 establishments in Italy
Michael Cole	1968 births, Living people, American journalists, Entertainers from New York, Sportspeople from New York, WWE wrestlers, People from Syracuse, New York, American Internet celebrities
Rlogin	Internet, Computer protocols
Vasily Zaytsev	1915 births, 1991 deaths, Autobiographers, Recipients of the Order of Lenin, Russian writers, Soviet military personnel of World War II, Soviet writers
Mike Adamle	1949 births, Living people, Sportspeople from Ohio, National Football League broadcasters, College football broadcasters, Professional Wrestling broadcasters, Arena Football League broadcasters
Port forwarding	Internet, Computer protocols
Paul Burchill	1979 births, Living people, Former WWE wrestlers, English professional wrestlers, People from Surrey
Serial port	Computer hardware, Computer networking, Electrical connectors, Computer buses
Bambi	1942 movies, American animated movies, American family movies, Bambi, Disney animated movies, English-language movies, Movies about animals, Movies based on books, Movies composed by Oliver Wallace, United States National Film Registry movies
Flag of the Netherlands	National flags, Dutch culture
Coat of Arms of Netherlands	National coats of arms, Dutch culture
Flag of the United States Virgin Islands	US Virgin Islands, Flags of the United States
Morphine (band)	American rock bands, Musical groups from Massachusetts
Pietro Acciarito	Italian anarchists, 1871 births, 1943 deaths
Good (Morphine album)	1992 albums
Francisco Ascaso	1901 births, 1936 deaths, Spanish anarchists
Cure for Pain	1993 albums
Marie Louise Berneri	English writers, Italian anarchists, 1918 births, 1949 deaths
Marco Camenisch	Swiss activists, Environmentalists, Anarchists, Green anarchism, Green thinkers, Murderers, Prisoners, Swiss people, 1952 births, Living people
Sante Geronimo Caserio	1873 births, 1894 deaths, Italian anarchists, Criminals
Pakistan Day	Pakistan, Holidays
Karachi Agreement	20th century in Pakistan, 1940s in India, 1949 in Asia
Badshahi Mosque	Buildings and structures in Lahore, Mosques in Asia, Mughal architecture, Religion in Pakistan, World Heritage Sites in Pakistan, 1671 establishments, 17th century establishments in Asia
Minar-e-Pakistan	Buildings and structures in Lahore, National symbols of Pakistan, Pakistani culture
Mazar-e-Quaid	Buildings and structures in Karachi, 1970 establishments in Asia
Craig Anton	1962 births, Living people, American television actors, Comedians from Nebraska, Actors from Omaha, Nebraska
Queer as Folk (U.S.)	2000 American television series debuts, 2005 American television series endings, 2000s American drama television series, American LGBT television programs, Canadian television series, LGBT drama television series, Pittsburgh in fiction, English-language television programs
United States Secretary of Health and Human Services	United States Secretaries of Health and Human Services, 1980 establishments in the United States
United States Department of Health and Human Services	United States Department of Health and Human Services, 1953 establishments in the United States
United States Secretary of Energy	United States Secretaries of Energy, 1977 establishments in the United States
United States Department of Energy	United States Department of Energy
Dead Memories	2008 songs, Slipknot songs
Ted DiBiase, Jr.	1982 births, Living people, American professional wrestlers, Former WWE wrestlers, Sportspeople from Mississippi
Clinton, Mississippi	Cities in Mississippi, 1824 establishments in the United States, 1820s establishments in Mississippi
Apollo Beach, Florida	Census-designated places in Florida, Unincorporated communities in Florida
Loco, Switzerland	Former municipalities of Ticino, Villages in Ticino
Robert Gates	1943 births, Living people, Chancellors of the College of William & Mary, United States Secretaries of Defense, Directors of the Central Intelligence Agency, Politicians from Wichita, Kansas, Presidential Citizens Medal recipients
Director of Central Intelligence	Directors of the Central Intelligence Agency, United States intelligence agencies
Director of National Intelligence	United States Directors of National Intelligence
Donald Rumsfeld	United States Secretaries of Defense, White House Chiefs of Staff, Politicians from Chicago, Military people from Chicago, US Republican Party politicians, Permanent Representatives of the United States to NATO, 1988 United States presidential candidates, 1932 births, 2021 deaths, Deaths from multiple myeloma, Businesspeople from Chicago, Chief executives
Robert McNamara	US Republican Party politicians, Businesspeople from San Francisco, Politicians from San Francisco, United States Secretaries of Defense, World Bank, 1916 births, 2009 deaths, Presidents of the World Bank Group
James Forrestal	United States Secretaries of Defense, United States Secretaries of the Navy, Politicians from New York, 1949 deaths, 1892 births
Yaoi	Anime and manga terms
Yuri (manga)	Anime and manga terms
Immigration	Immigration
White Lion	1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American heavy metal bands, Musical groups from New York City
Mike Tramp	Danish singers, 1961 births, Living people, People from Copenhagen
Delta, British Columbia	Cities in British Columbia
Surrey, British Columbia	Cities in British Columbia
Mark Lambert	English rugby union players, Sportspeople from London, 1985 births, Living people
Sadism	Human sexuality
James Inglis (rugby union)	1986 births, Living people, English rugby union players
Shane O'Connor	1983 births, Living people, Irish rugby union players
Alex Rogers	1986 births, Living people, English rugby union players
Gareth Williams (rugby union)	1988 births, Living people, Welsh rugby union players
David Blaney	1979 births, Living people, English rugby union players
Ryan Prosser	1988 births, Living people, Welsh rugby union players
Iain Grieve	1987 births, Living people, Rugby union players, Botswana people
Chris Ashwin	1987 births, Living people, English rugby union players, Gloucester, Sportspeople from Gloucestershire
Network address translation	Computer networking, Internet
Rey Mysterio	1974 births, American Roman Catholics, Former WWE wrestlers, Living people, Sportspeople from San Diego, California
Router	Computer networking, Internet
Masochism	BDSM
Jon Fisher	1972 births, Living people, Businesspeople from California
Lachlan Mitchell	1987 births, Living people, Australian rugby union players, Sportspeople from Sydney
Charlie Beech	1987 births, Living people, English rugby union players, People from Stevenage, Sportspeople from Hertfordshire
Showgrounds	Football stadiums, Football in the Republic of Ireland, Buildings and structures in the Republic of Ireland
Hugo Ellis	1988 births, Living people, English rugby union players, People from Hounslow (London borough)
Ross Batty	Living people, 1986 births, English rugby union players, Newcastle Falcons rugby union players
Tim Swinson	1987 births, Living people, English rugby union players, Newcastle Falcons rugby union players, Sportspeople from London
Rory Clegg	1990 births, Living people, English rugby union players, Newcastle Falcons rugby union players, People from Hanover, Sportspeople from Lower Saxony
Private network	Computer networking, Internet
Paul Cook (footballer)	1967 births, Living people, English footballers, English football managers, Sportspeople from Liverpool, Premier League players
David Cook (singer)	1982 births, Living people, American singer-songwriters, American Idol winners, Singers from Missouri
Roddy Piper	1954 births, 2015 deaths, Actors from Manitoba, Canadian movie actors, Canadian professional wrestlers, Canadian television actors, Cardiovascular disease deaths in Los Angeles, Deaths from cardiopulmonary arrest, Deaths from pulmonary embolism, People from Saskatoon, People from Winnipeg, WWE Hall of Fame, WWE people
Lolicon	Anime and manga terms, Child sexual abuse
Behemoth	Black metal bands, Death metal bands
Studio Ghibli	Movie studios, Companies of Japan, Studio Ghibli, 1985 establishments in Japan
Reverse DNS lookup	Computer networking, Internet
Polis	Ancient Greece
Doujinshi	Anime and manga terms, Manga
Mumia Abu-Jamal	1954 births, Living people, African-American people, American activists, American people convicted of murder, American prisoners sentenced to death, People from Philadelphia, Pennsylvania
Overkill	1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, Musical groups from New Jersey, American heavy metal bands, Thrash metal bands
The Police	1977 establishments in the United Kingdom, 1970s British music groups, 1980s British music groups, 2000s British music groups, 2008 disestablishments in the United Kingdom, English rock bands, Musical groups established in 1977, Musical groups from London, Musical groups disestablished in 2008
Damageplan	2003 establishments in the United States, 2004 disestablishments in the United States, 2000s American music groups, American heavy metal bands, Dallas, Texas, Musical groups established in 2003, Musical groups disestablished in 2004, Musical groups from Texas
Down (band)	American heavy metal bands
Triple DES	Cryptography
Breakout (album)	2008 albums, Miley Cyrus albums, Pop rock albums
7 Things	2008 songs, Miley Cyrus songs
Girls Just Want to Have Fun	1983 songs
Advanced Encryption Standard	Cryptography
Shōnen (media)	Anime and manga terms
The Amazing Race	American reality television series, 2000s television series, CBS network shows, Emmy Award winning programs
Financial crisis of 2007–2008	2007, 2008, Financial crises, Stock market
Detritivore	Animals
Skid Row	1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American heavy metal bands
Carbon cycle	Geochemistry
Skepticism	Skepticism, Epistemology
United States Secretary of War	Former United States Executive Cabinet positions, 1789 establishments in the United States, 1947 disestablishments in the United States
United States Secretary of the Navy	Former United States Executive Cabinet positions, United States Secretaries of the Navy
United States Postmaster General	United States Postmasters General
White House Chief of Staff	White House Chiefs of Staff, 1946 establishments in the United States
Edmund Randolph	1753 births, 1812 deaths, United States Secretaries of State, United States Attorneys General, Governors of Virginia
John R. Steelman	1900 births, 1999 deaths, White House Chiefs of Staff, Politicians from Arkansas, US Republican Party politicians
James Baker	1930 births, Living people, American lawyers, Military people from Texas, Politicians from Houston, Texas, Princeton University alumni, United States Secretaries of State, United States Secretaries of the Treasury, US Republican Party politicians, White House Chiefs of Staff
National Library of China	National libraries in Asia, China
Ronaldinho	1980 births, Brazilian footballers, People from Porto Alegre, Living people, FIFA World Cup players, South American footballers
Les Ferdinand	1966 births, Living people, English footballers, Sportspeople from London, Premier League players
Chris Sutton	1973 births, Living people, English footballers, English football managers, People from Nottingham, Sportspeople from Nottinghamshire, Premier League players
Teddy Sheringham	1966 births, Living people, 1998 FIFA World Cup players, 2002 FIFA World Cup players, English footballers, English football managers, People from Waltham Forest (London borough), Sportspeople from London, Tottenham Hotspur F.C. players, Premier League players
Dwight Yorke	1971 births, Living people, Trinidad and Tobago footballers, Association football midfielders, Association football forwards, Aston Villa F.C. players, Manchester United F.C. players, Premier League players, 2006 FIFA World Cup players
Uwe Seeler	1936 births, Living people, German footballers, Order of Merit of the Federal Republic of Germany, Sportspeople from Hamburg
Herbert Chapman	1878 births, 1934 deaths, English footballers, English football managers, People from South Yorkshire
Jari Litmanen	1971 births, Living people, Finnish footballers
Denis Compton	1918 births, 1997 deaths, Arsenal F.C. players, Deaths from sepsis, Disease-related deaths in Berkshire, English cricketers, English footballers, Infectious disease deaths in England
Jan Mølby	1963 births, Living people, Danish footballers, Danish football managers
Tore André Flo	1973 births, Living people, Norwegian footballers
Iván Zamorano	1967 births, Living people, Chilean footballers, People from Santiago
Mark Hopley	1984 births, Living people, English rugby union players, People from Crewe, Sportspeople from Cheshire
Formentera	Balearic Islands
Menorca	Balearic Islands, Biosphere reserves
Sajid Mahmood	1981 births, Living people, English cricketers, People from Bolton, Sportspeople from Greater Manchester
Flag of Sri Lanka	National flags
RC4	Cryptography
General Electric	American technology companies
Blowfish (cipher)	Cryptography
Hal Colebatch	1872 births, 1953 deaths, Premiers of Western Australia, People from Herefordshire, Nationalist Party of Australia politicians, Members of the Australian Senate
Henry Lefroy	1854 births, 1930 deaths, Premiers of Western Australia, People from Perth, Western Australia, Nationalist Party of Australia politicians, Commonwealth Liberal Party politicians
Chevvy Pennycook	1987 births, Living people, People from Bristol, English rugby union players
John Scaddan	1876 births, 1934 deaths, Deaths from cerebral hemorrhage, Premiers of Western Australia, Politicians from South Australia, Australian Labor Party politicians, People from Perth, Western Australia
Frank Wilson	1859 births, 1918 deaths, Premiers of Western Australia, People from Sunderland
Newton Moore	1870 births, 1936 deaths, Premiers of Western Australia, Independent politicians in Australia
Mathew Turner	1988 births, Living people, South African rugby union players, People from Cape Town
