Naohiro Takahara	1979 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Júbilo Iwata players, Urawa Red Diamonds players, Shimizu S-Pulse players, Tokyo Verdy players, SC Sagamihara players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Pertheville-Ners	Communes in Calvados
Petiville, Calvados	Communes in Calvados
Pierrefitte-en-Auge	Communes in Calvados
Pierrefitte-en-Cinglais	Communes in Calvados
Pierrepont, Calvados	Communes in Calvados
Pierres, Calvados	Former communes in Calvados
Placy	Former communes in Calvados
Planquery	Communes in Calvados
Plumetot	Communes in Calvados
Pont-Bellanger	Communes in Calvados
Pont-Farcy	Former communes in Calvados
Pont-d'Ouilly	Communes in Calvados
Pont-l'Évêque, Calvados	Communes in Calvados
Pontécoulant	Communes in Calvados
Port-en-Bessin-Huppain	Communes in Calvados
Potigny	Communes in Calvados
Poussy-la-Campagne	Former communes in Calvados
Presles, Calvados	Former communes in Calvados
Proussy	Former communes in Calvados
Préaux-Bocage	Communes in Calvados
Préaux-Saint-Sébastien	Former communes in Calvados
Prêtreville	Communes in Calvados
Putot-en-Auge	Communes in Calvados
Putot-en-Bessin	Former communes in Calvados
Périers-en-Auge	Communes in Calvados
Périers-sur-le-Dan	Communes in Calvados
Périgny, Calvados	Communes in Calvados
Quetteville	Communes in Calvados
Ranchy	Communes in Calvados
Ranville	Communes in Calvados
Rapilly	Communes in Calvados
Repentigny, Calvados	Communes in Calvados
Reux	Communes in Calvados
Reviers	Communes in Calvados
Rocquancourt	Former communes in Calvados
Rocques	Communes in Calvados
Rosel	Communes in Calvados
Rots	Communes in Calvados
Roucamps	Former communes in Calvados
Roullours	Former communes in Calvados
Rouvres, Calvados	Communes in Calvados
Rubercy	Communes in Calvados
Rucqueville	Former communes in Calvados
Rully, Calvados	Former communes in Calvados
Rumesnil	Communes in Calvados
Russy, Calvados	Former communes in Calvados
Ryes	Communes in Calvados
Saint-Agnan-le-Malherbe	Former communes in Calvados
Saint-Aignan-de-Cramesnil	Former communes in Calvados
Saint-André-d'Hébertot	Communes in Calvados
Saint-André-sur-Orne	Communes in Calvados
Saint-Arnoult, Calvados	Communes in Calvados
Saint-Aubin-d'Arquenay	Communes in Calvados
Saint-Aubin-des-Bois, Calvados	Communes in Calvados
Saint-Aubin-sur-Mer, Calvados	Communes in Calvados
Saint-Benoît-d'Hébertot	Communes in Calvados
Saint-Charles-de-Percy	Former communes in Calvados
Saint-Contest	Communes in Calvados
Saint-Cyr-du-Ronceray	Former communes in Calvados
Saint-Côme-de-Fresné	Communes in Calvados
Saint-Denis-Maisoncelles	Former communes in Calvados
Saint-Denis-de-Mailloc	Communes in Calvados
Saint-Denis-de-Méré	Communes in Calvados
Saint-Désir	Communes in Calvados
Saint-Gabriel-Brécy	Former communes in Calvados
Saint-Gatien-des-Bois	Communes in Calvados
Saint-Georges-d'Aunay	Former communes in Calvados
Saint-Georges-en-Auge	Former communes in Calvados
Saint-Germain-Langot	Communes in Calvados
Saint-Germain-d'Ectot	Former communes in Calvados
Saint-Germain-de-Livet	Communes in Calvados
Saint-Germain-de-Montgommery	Former communes in Calvados
Saint-Germain-de-Tallevende-la-Lande-Vaumont	Former communes in Calvados
Saint-Germain-du-Crioult	Former communes in Calvados
Saint-Germain-du-Pert	Communes in Calvados
Saint-Germain-la-Blanche-Herbe	Communes in Calvados
Saint-Germain-le-Vasson	Communes in Calvados
Saint-Hymer	Communes in Calvados
Saint-Jean-de-Livet	Communes in Calvados
Saint-Jean-des-Essartiers	Former communes in Calvados
Saint-Jean-le-Blanc, Calvados	Former communes in Calvados
Saint-Jouin	Communes in Calvados
Saint-Julien-de-Mailloc	Former communes in Calvados
Saint-Julien-le-Faucon	Former communes in Calvados
Saint-Julien-sur-Calonne	Communes in Calvados
Saint-Lambert, Calvados	Communes in Calvados
Saint-Laurent-de-Condel	Communes in Calvados
Saint-Laurent-du-Mont	Former communes in Calvados
Saint-Laurent-sur-Mer	Communes in Calvados
Saint-Louet-sur-Seulles	Communes in Calvados
Saint-Loup-Hors	Communes in Calvados
Saint-Loup-de-Fribois	Former communes in Calvados
Saint-Léger-Dubosq	Communes in Calvados
Saint-Manvieu-Bocage	Former communes in Calvados
Saint-Manvieu-Norrey	Communes in Calvados
Saint-Marcouf, Calvados	Communes in Calvados
Saint-Martin-Don	Former communes in Calvados
Saint-Martin-aux-Chartrains	Communes in Calvados
Saint-Martin-de-Bienfaite-la-Cressonnière	Communes in Calvados
Cuckoo	Birds of Europe, Birds of Asia, Parasites
Saint-Martin-de-Blagny	Communes in Calvados
Saint-Martin-de-Fontenay	Communes in Calvados
Saint-Martin-de-Mailloc	Communes in Calvados
Saint-Martin-de-Mieux	Communes in Calvados
Saint-Martin-de-Sallen	Former communes in Calvados
Saint-Martin-de-la-Lieue	Communes in Calvados
Saint-Martin-des-Besaces	Former communes in Calvados
Saint-Martin-des-Entrées	Communes in Calvados
Saint-Martin-du-Mesnil-Oury	Former communes in Calvados
Saint-Michel-de-Livet	Former communes in Calvados
Saint-Omer, Calvados	Communes in Calvados
Saint-Ouen-des-Besaces	Former communes in Calvados
Saint-Ouen-du-Mesnil-Oger	Communes in Calvados
Saint-Ouen-le-Houx	Former communes in Calvados
Saint-Ouen-le-Pin	Communes in Calvados
Saint-Pair	Communes in Calvados
Saint-Paul-du-Vernay	Communes in Calvados
Saint-Philbert-des-Champs	Communes in Calvados
Saint-Pierre-Azif	Communes in Calvados
Saint-Pierre-Canivet	Communes in Calvados
Saint-Pierre-Tarentaine	Former communes in Calvados
Saint-Pierre-de-Mailloc	Former communes in Calvados
Saint-Pierre-des-Ifs, Calvados	Communes in Calvados
Saint-Pierre-du-Bû	Communes in Calvados
Saint-Pierre-du-Fresne	Communes in Calvados
Saint-Pierre-du-Jonquet	Communes in Calvados
Saint-Pierre-du-Mont, Calvados	Communes in Calvados
Saint-Pierre-la-Vieille	Former communes in Calvados
Saint-Pierre-sur-Dives	Former communes in Calvados
Saint-Rémy, Calvados	Communes in Calvados
Saint-Samson, Calvados	Communes in Calvados
Saint-Sever-Calvados	Former communes in Calvados
Saint-Sylvain, Calvados	Communes in Calvados
Saint-Vaast-en-Auge	Communes in Calvados
Saint-Vaast-sur-Seulles	Communes in Calvados
Saint-Vigor-des-Mézerets	Former communes in Calvados
Saint-Vigor-le-Grand	Communes in Calvados
Saint-Étienne-la-Thillaye	Communes in Calvados
Sainte-Croix-Grand-Tonne	Former communes in Calvados
Sainte-Croix-sur-Mer	Communes in Calvados
Sainte-Foy-de-Montgommery	Former communes in Calvados
Sainte-Honorine-de-Ducy	Communes in Calvados
Sainte-Honorine-des-Pertes	Former communes in Calvados
Sainte-Honorine-du-Fay	Communes in Calvados
Sainte-Marguerite-d'Elle	Communes in Calvados
Sainte-Marguerite-de-Viette	Former communes in Calvados
Sainte-Marguerite-des-Loges	Former communes in Calvados
Sainte-Marie-Laumont	Former communes in Calvados
Sainte-Marie-Outre-l'Eau	Communes in Calvados
Sallen	Communes in Calvados
Sallenelles	Communes in Calvados
Sannerville	Communes in Calvados
Saon	Communes in Calvados
Saonnet	Communes in Calvados
Sassy, Calvados	Communes in Calvados
Secqueville-en-Bessin	Former communes in Calvados
Sept-Frères	Former communes in Calvados
Sept-Vents	Former communes in Calvados
Soignolles	Communes in Calvados
Soliers	Communes in Calvados
Sommervieu	Communes in Calvados
Soulangy	Communes in Calvados
Soumont-Saint-Quentin	Communes in Calvados
Subles	Communes in Calvados
Sully, Calvados	Communes in Calvados
Surrain	Communes in Calvados
Surville, Calvados	Communes in Calvados
Tessel	Communes in Calvados
Thaon	Communes in Calvados
Thiéville	Former communes in Calvados
Thury-Harcourt	Former communes in Calvados
Tierceville	Former communes in Calvados
Tilly-la-Campagne	Former communes in Calvados
Tilly-sur-Seulles	Communes in Calvados
Tordouet	Former communes in Calvados
Torteval-Quesnay	Former communes in Calvados
Tortisambert	Former communes in Calvados
Touffréville	Communes in Calvados
Touques, Calvados	Communes in Calvados
Tour-en-Bessin	Communes in Calvados
Tourgéville	Communes in Calvados
Tournay-sur-Odon	Former communes in Calvados
Tournebu	Former communes in Calvados
Tournières	Communes in Calvados
Tourville-en-Auge	Communes in Calvados
Tourville-sur-Odon	Communes in Calvados
Tracy-Bocage	Communes in Calvados
Tracy-sur-Mer	Communes in Calvados
Troarn	Communes in Calvados
Trois-Monts	Former communes in Calvados
Trouville-sur-Mer	Communes in Calvados
Trungy	Communes in Calvados
Truttemer-le-Grand	Former communes in Calvados
Truttemer-le-Petit	Former communes in Calvados
Tréprel	Communes in Calvados
Trévières	Communes in Calvados
Urville, Calvados	Communes in Calvados
Ussy	Communes in Calvados
Vacognes-Neuilly	Communes in Calvados
Valsemé	Communes in Calvados
Varaville	Communes in Calvados
Vassy, Calvados	Former communes in Calvados
Vaubadon	Former communes in Calvados
Vaucelles	Communes in Calvados
Vaudeloges	Former communes in Calvados
Vaudry	Former communes in Calvados
Vauville, Calvados	Communes in Calvados
Vaux-sur-Aure	Communes in Calvados
Vaux-sur-Seulles	Communes in Calvados
Vendes	Communes in Calvados
Vendeuvre	Communes in Calvados
Ver-sur-Mer	Communes in Calvados
Versainville	Communes in Calvados
Verson	Communes in Calvados
Vicques, Calvados	Communes in Calvados
Victot-Pontfol	Communes in Calvados
Vienne-en-Bessin	Communes in Calvados
Vierville-sur-Mer	Communes in Calvados
Viessoix	Former communes in Calvados
Vieux, Calvados	Communes in Calvados
Vieux-Bourg	Communes in Calvados
Vieux-Fumé	Former communes in Calvados
Vieux-Pont-en-Auge	Former communes in Calvados
Vignats	Communes in Calvados
Villers-Bocage, Calvados	Communes in Calvados
Villers-Canivet	Communes in Calvados
Villers-sur-Mer	Communes in Calvados
Villerville	Communes in Calvados
Villiers-le-Sec, Calvados	Former communes in Calvados
Villons-les-Buissons	Communes in Calvados
Villy-Bocage	Communes in Calvados
Villy-lez-Falaise	Communes in Calvados
Vimont, Calvados	Vimont (Calvados), Communes in Calvados
Vire	Former communes in Calvados, Subprefectures in France
Vouilly	Former communes in Calvados
Écrammeville	Former communes in Calvados
Émiéville	Communes in Calvados
Épaney	Communes in Calvados
Épinay-sur-Odon	Communes in Calvados
Épron	Communes in Calvados
Équemauville	Communes in Calvados
Éterville	Communes in Calvados
Étouvy	Former communes in Calvados
Étréham	Communes in Calvados
Évrecy	Communes in Calvados
Southern Railway (UK)	Rail transport in Great Britain, 1923 establishments in Europe, 1920s establishments in the United Kingdom, 1948 disestablishments in the United Kingdom
Electric multiple unit	Electric multiple units, Rolling stock
List of British Rail modern traction locomotive classes	British Rail locomotives, British railway-related lists
List of British Rail diesel multiple unit classes	British Rail, British Rail diesel multiple units, British railway-related lists
List of British Rail electric multiple unit classes	British Rail electric multiple units, British railway-related lists
List of British Rail departmental multiple unit classes	British Rail, Multiple units, British railway-related lists
British United Traction	British Rail diesel multiple units, Rail vehicles manufacturers
British Rail Derby Lightweight	British Rail diesel multiple units
British Rail Metro-Cammell	British Rail diesel multiple units, Metropolitan Cammell multiple units
British Rail Railbuses	British Rail diesel multiple units
GWR railcars	British Rail diesel multiple units
LMS railcars	British Rail diesel multiple units, London, Midland and Scottish Railway locomotives
Pacer	British Rail diesel multiple units
Sprinter (train)	British Rail diesel multiple units, British Rail, Multiple units
Turbostar	Bombardier multiple units, Adtranz multiple units, British Rail diesel multiple units
Coradia (train)	British Rail diesel multiple units, Transport in Denmark, Transport in France, Transport in Germany, Transport in the Netherlands
Bombardier Voyager family	British Rail diesel multiple units
Diesel multiple unit	Multiple units
British Rail Janus	YEC locomotives, C locomotives, British Rail diesel locomotives
British Rail HS4000	British Rail diesel locomotives, Brush Traction locomotives, Co-Co locomotives
British Rail GT3	British Railways gas turbine locomotives, English Electric locomotives, Vulcan Foundry locomotives
British Rail DP2	British Rail diesel locomotives, English Electric locomotives, Vulcan Foundry locomotives, Co-Co locomotives
British Rail DP1	British Rail diesel locomotives, English Electric locomotives, Co-Co locomotives, Individual locomotives
British Rail DHP1	British Rail diesel locomotives, Bo-Bo locomotives
British Rail D0260	British Rail diesel locomotives, Co-Co locomotives
British Railways D0226	British Rail diesel locomotives, English Electric locomotives, Vulcan Foundry locomotives, C locomotives
British Rail 18100	British Railways gas turbine locomotives, Co-Co locomotives
British Rail 18000	British Railways gas turbine locomotives, A1A-A1A locomotives
LNER Class Y11	London and North Eastern Railway locomotives, B locomotives
British Rail Class 97	British Rail locomotives
British Rail Class 97/6	British Rail diesel locomotives, Ruston & Hornsby locomotives, C locomotives
British Rail Eastern Region departmental locomotives	British Rail locomotives
SR departmental locomotives	Rail transport in Great Britain
British Rail departmental locomotives	British Rail locomotives
British Rail Class ES1	British Rail electric locomotives, Bo-Bo locomotives
British Rail Class EF1	British Rail electric locomotives, 1500V DC locomotives
British Rail Class EE1	British Rail electric locomotives, 1500V DC locomotives, Individual locomotives
British Rail Class EB1	British Rail electric locomotives, 1500V DC locomotives
SNCF Class BB 22200	Transport in France
Vossloh G1206	British Rail diesel locomotives
British Rail Class 41 (HST)	British Rail diesel locomotives
British Rail Class 43 (Warship Class)	British Rail diesel locomotives, NBL locomotives, B-B locomotives
British Rail Class 43 (HST)	British Rail diesel locomotives, BREL locomotives, Bo-Bo locomotives, British Rail diesel multiple units, High-speed trains
North Midland Railway	1840 establishments in the United Kingdom, Rail transport in England, Derbyshire, South Yorkshire, West Yorkshire, Railway companies of the United Kingdom
Glasgow Corporation Tramways	Transport in Scotland, Tram transport in the United Kingdom
Southampton Corporation Tramways 45	Tram transport in the United Kingdom, 1903 establishments
Acanthocephala	Rotifers, Parasites, Animal phyla
Second Polish Republic	Former countries in Europe
Kirkby Lonsdale	Civil parishes in Cumbria
Windermere	Lakes of the United Kingdom, Geography of England
Hippolytushoef	Settlements in North Holland, Hollands Kroon
Storm drain	Water infrastructure
Jet stream	Winds
Hiroki Ito	1978 births, Living people, Footballers from Ehime Prefecture
Noritada Saneyoshi	1972 births, Living people, Footballers from Ehime Prefecture
Nobuyuki Furo	1980 births, Living people, Footballers from Ehime Prefecture, Japanese association football goalkeepers
Hitoshi Sogahata	1979 births, Living people, Footballers from Ibaraki Prefecture, Japan international footballers, J1 League players, Kashima Antlers players, 2002 FIFA World Cup players, Footballers at the 2004 Summer Olympics
Justice Christopher	1981 births, Living people, Nigerian footballers
Haruna Babangida	1982 births, Living people, Nigerian footballers
Guus Hiddink	1946 births, Living people, Dutch football managers, Dutch footballers, Sportspeople from Gelderland, Eredivisie managers
Hiromi Hara	1958 births, Living people, Footballers from Tochigi Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Urawa Red Diamonds players, Japan national football team managers
Naohiro Ishikawa	1981 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Yokohama F. Marinos players, FC Tokyo players, FC Tokyo U-23 players, Footballers at the 2004 Summer Olympics
Yukihiko Sato	1976 births, Living people, Footballers from Shizuoka Prefecture
Eisuke Nakanishi	1973 births, Living people, Footballers from Mie Prefecture, Japan international footballers, J1 League players, JEF United Chiba players, Yokohama F. Marinos players, 1998 FIFA World Cup players
Yutaro Abe	1984 births, Living people, Footballers from Tokyo Prefecture
Tatsuya Enomoto	1979 births, Living people, Footballers from Tokyo Prefecture
Daisuke Nasu	1981 births, Living people, Footballers from Kagoshima Prefecture, J1 League players, Yokohama F. Marinos players, Tokyo Verdy players, Júbilo Iwata players, Kashiwa Reysol players, Urawa Red Diamonds players, Vissel Kobe players, Footballers at the 2004 Summer Olympics
H.N.K. Hajduk Split	Establishments in Croatia, 1911 establishments in Europe, Croatian football clubs
N.K. Zagreb	Establishments in Croatia, 1903 establishments in Europe, Croatian football clubs
Michael I of Romania	1921 births, 2017 deaths, Deaths from leukemia, Kings and queens, Romanian leaders
Joe Hart	1987 births, Living people, 2010 FIFA World Cup players, 2014 FIFA World Cup players, English footballers, Manchester City F.C. players, Sportspeople from Shropshire, UEFA Euro 2012 players, UEFA Euro 2016 players, Premier League players
Jonathan Woodgate	1980 births, Living people, English footballers, Premier League players
Jermaine Jenas	1983 births, Living people, 2006 FIFA World Cup players, Aston Villa F.C. players, Black British sportspeople, English footballers, Sportspeople from Nottingham, Tottenham Hotspur F.C. players, Premier League players
Tom Huddlestone	1986 births, Living people, Black British sportspeople, English footballers, Sportspeople from Nottingham, Tottenham Hotspur F.C. players, Premier League players
Paris Peace Treaties, 1947	1940s treaties, 1947 in Europe, 1940s in France, 1947 in law
Eastern Romance languages	Romance languages
Nicolae Ceaușescu	1918 births, 1989 deaths, Communist politicians, Former dictators, Former members of the Order of the Bath, People executed by firearm, Presidents of Romania
Ion Iliescu	1930 births, Living people, Presidents of Romania
Traian Băsescu	Presidents of Romania, 1951 births, Living people
President of Romania	Presidents of Romania, History of Romania
Galaţi	Cities in Romania, County capitals of Romania, Municipalities of Romania
Historische Zeitschrift	Journals
Bran Castle	Buildings and structures in Romania, Castles
United Nations Development Programme	Development, United Nations specialized agencies, Organizations in New York City
Tower Center International	Buildings and structures in Romania, Bucharest
Jordanes	Ancient Roman historians, Ancient Roman writers
Eutropius	Ancient Roman historians, Ancient Roman writers
Constantine VII	905 births, 959 deaths, Byzantine Emperors, Writers
Silent Alarm	Bloc Party albums, 2005 albums, Debut albums, Rock albums
Timișoara	County capitals of Romania, Municipalities of Romania
CBeebies	CBeebies, 2002 establishments in the United Kingdom
Ploiești	County capitals of Romania, Municipalities of Romania
Brăila	County capitals of Romania, Municipalities of Romania
Earth-crosser asteroid	Asteroids
Bergen-Belsen concentration camp	20th century establishments in Germany, Buildings and structures in Lower Saxony, Nazi concentration camps in Germany, 1945 disestablishments in Germany
Bumblebee bat	Bats, Mammals of Asia
Grimsby and Immingham Electric Railway	Lincolnshire, Tram transport in the United Kingdom, 1923 establishments in England, 1961 disestablishments, 1960s disestablishments in England
Chesterfield tramway	Tram transport in the United Kingdom, Transport in England, Derbyshire, 1882 establishments in England, 1927 disestablishments, 1920s disestablishments in England
Douglas Southern Electric Tramway	Isle of Man, Rail transport in Europe
Etruscan shrew	Soricomorphs, Mammals of Asia, Mammals of Europe
Derby Tramways	Tram transport in the United Kingdom, Derby, 1904 establishments in England, 1934 disestablishments in Europe, 1930s disestablishments in England
George Stephenson	1781 births, 1848 deaths, Deaths from pleurisy, Disease-related deaths in England, British engineers, English inventors, People from Northumberland, Rail transport in Great Britain
British Rail Class D3/3	British Rail diesel locomotives, C locomotives
British Rail Class D3/5	British Rail diesel locomotives, C locomotives
British Rail Class D3/6	London, Midland and Scottish Railway locomotives, British Rail diesel locomotives, C locomotives
British Rail Class D3/7	London, Midland and Scottish Railway locomotives, British Rail diesel locomotives, C locomotives
British Rail Class D3/9	London and North Eastern Railway locomotives, British Rail diesel locomotives, C locomotives
British Rail Class D3/10	British Rail diesel locomotives, C locomotives, Individual locomotives
British Rail Class D3/11	British Rail diesel locomotives, C locomotives
British Rail Class D3/12	British Rail diesel locomotives, C locomotives
British Rail Class D3/14	London and North Eastern Railway locomotives, British Rail diesel locomotives, Brush Traction locomotives, C locomotives, Individual locomotives
British Rail Class D16/1	British Rail diesel locomotives, London, Midland and Scottish Railway locomotives, Co-Co locomotives
British Rail 10100	British Rail diesel locomotives, Individual locomotives
British Rail Class D16/2	British Rail diesel locomotives
British Rail 10800	British Rail diesel locomotives, NBL locomotives
British Rail Class D20/2	British Rail diesel locomotives, NBL locomotives, A1A-A1A locomotives
KVIrc	IRC clients
Steam locomotives of British Railways	British Rail locomotives
British Rail Class 98	British Rail locomotives
Gatwick Express	West Sussex, Railway operators in London, Airport rail links in London, Defunct railway companies of the United Kingdom, 1996 establishments in England, 2008 disestablishments in England
Freightliner (UK)	Transport in the United Kingdom, Poland
Railfreight Distribution	British Rail, Railway companies of the United Kingdom
British Rail locomotive and multiple unit numbering and classification	British Rail, Locomotive classification systems
Motor Rail	Rail vehicles manufacturers, Locomotive manufacturers
London and North Eastern Railway	Rail transport in Great Britain, London and North Eastern Railway, 1923 establishments in the United Kingdom, 1948 disestablishments in the United Kingdom
Metropolitan-Vickers	Rail vehicles manufacturers, Engineering companies of the United Kingdom, Aircraft engines, Defunct companies of the United Kingdom, Manchester, Locomotive manufacturers
British Rail Class 99	British Rail, Watercraft
English Electric	Aircraft companies, Rail vehicles manufacturers, Companies of the United Kingdom, Engineering companies of the United Kingdom, 1918 establishments in Europe, Locomotive manufacturers
Birmingham Railway Carriage and Wagon Company	Birmingham, Rail vehicles manufacturers, Locomotive manufacturers
Brush Traction	Rail vehicles manufacturers, Engineering companies of the United Kingdom, Leicestershire, Locomotive manufacturers
Yorkshire Engine Company	Rail vehicles manufacturers, Companies of the United Kingdom, YEC locomotives, Locomotive manufacturers
Ephesus	Ancient Rome
Craniata	Chordates
El (Cyrillic)	Cyrillic letters
Kingdom of Tungning	History of China, History of Taiwan
Bredevoort	Settlements in Gelderland, Former municipalities of Gelderland, Aalten
Plzeň	Cities in the Czech Republic
Alsace-Lorraine	Former countries in Europe, 1871 establishments in Europe
Isah Eliakwu	1985 births, Living people, Nigerian footballers
Teruyuki Moniwa	1981 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Shonan Bellmare players, FC Tokyo players, Cerezo Osaka players, Cerezo Osaka U-23 players, 2006 FIFA World Cup players, 2005 FIFA Confederations Cup players, Footballers at the 2004 Summer Olympics
Kenta Hasegawa	1965 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Yokohama F. Marinos players, Shimizu S-Pulse players, 1995 King Fahd Cup players
Alcindo Sartori	1967 births, Living people, Brazilian footballers
Masayuki Okano	1972 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, J2 League players, Urawa Red Diamonds players, Vissel Kobe players, Gainare Tottori players, 1998 FIFA World Cup players, 1995 King Fahd Cup players, 1996 AFC Asian Cup players
Mohamed Al-Deayea	1972 births, Living people, Saudi Arabian footballers, Association football goalkeepers
Masaaki Sawanobori	1970 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, Shimizu S-Pulse players
Christian Obodo	1984 births, Living people, Nigerian footballers
Willem Einthoven	1860 births, 1927 deaths, Dutch academics, Dutch Nobel Prize winners, Dutch physicians, Dutch inventors
Stephen Makinwa	1983 births, Living people, Nigerian footballers, People from Lagos
Obafemi Martins	1984 births, Living people, Nigerian footballers, People from Lagos
Sho Naruoka	1984 births, Living people, Footballers from Shizuoka Prefecture
British Rail coach designations	British Rail, British Rail coaching stock
Shiro Kikuhara	1969 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Tokyo Verdy players, Urawa Red Diamonds players
Cha Bum-kun	1953 births, Living people, South Korean footballers, South Korean football managers
Parry People Movers	Companies of the United Kingdom, Rail vehicles manufacturers
SR multiple unit numbering and classification	Rail transport
Virgin Trains	Train operating companies, Virgin Group
CrossCountry	2007 establishments in the United Kingdom, Train operating companies
East Midlands Trains	Train operating companies, 2007 establishments in England, Railway companies of the United Kingdom
Great Western Railway (train operating company)	First Group railway companies, Train operating companies, 1996 establishments in England
Pardubice	Cities in the Czech Republic
Grand Central (train operating company)	Open-access train operating companies, Train operating companies
National Express East Anglia	Railway operators in London, Train operating companies
National Express East Coast	Railway companies of the United Kingdom, 2007 establishments in the United Kingdom, Train operating companies
Network Rail	Network Rail, 2002 establishments in the United Kingdom
Wrexham & Shropshire	Shropshire, West Midlands (region), Oxfordshire, Open-access train operating companies, 2008 establishments in the United Kingdom, Defunct railway companies of the United Kingdom, 2011 disestablishments in Europe, 2010s disestablishments in the United Kingdom
Paddington station	Bakerloo Line stations, Circle Line stations, District Line stations, Hammersmith & City Line stations, Railway stations in London, Rail transport stations in London fare zone 1, Buildings and structures in the City of Westminster, Transport in the City of Westminster, Tube stations in the City of Westminster, Paddington
Great North Eastern Railway	Defunct railway companies of the United Kingdom, 1996 establishments in England, 2007 disestablishments in the United Kingdom, 21st century disestablishments in England
British Rail Class 901	British Rail diesel multiple units
British Rail Class 930	British Rail diesel multiple units, British Rail electric multiple units
British Rail Class 950	British Rail diesel multiple units, Non-passenger multiple units
British Rail Class 951	British Rail diesel multiple units
British Rail Class 960	British Rail Departmental Units, British Rail diesel multiple units, Non-passenger multiple units
British Rail MPV	British Rail diesel multiple units, Non-passenger multiple units
British Rail APT-E	British Rail diesel multiple units, British Railways gas turbine locomotives
Advanced Passenger Train	British Rail, High-speed trains, Tilting trains, United Kingdom rolling stock
British Rail Class 910	British Rail electric multiple units
British Rail Class 931	British Rail electric multiple units
British Rail Class 932	British Rail electric multiple units
British Rail Class 933	British Rail electric multiple units
Bear Behaving Badly	Children's television series, BBC Television programmes, 2007 television series debuts, English-language television programs
British Rail Class 936	British Rail electric multiple units
British Rail Class 937	British Rail electric multiple units
Network Rail New Measurement Train	Network Rail, High-speed trains
Train operating company	Train operating companies
Euston railway station	Railway stations in London, Transport in Camden, London Travelcard zone 1
Virgin Group	1970 establishments in England, Virgin Group, London
Stagecoach Group	Public transport in the United Kingdom
Megatrain	Rail transport in the United Kingdom
National Rail	Railway companies of the United Kingdom, Post-privatisation British railway companies
InterCity (British Rail)	British Rail, 1966 establishments in the United Kingdom
Courland Governorate	History of Russia, 1795 establishments, 1915 disestablishments, 18th century establishments in Russia, Disestablishments in the Soviet Union
Euston tube station	Northern Line stations, Victoria Line stations, Tube stations in Camden, London Travelcard zone 1
Euston Square tube station	Circle Line stations, Hammersmith & City Line stations, Metropolitan Line stations, Tube stations in Camden, London Travelcard zone 1
Singapore Airlines	Airlines of Asia, Transport in Singapore, Star Alliance, IATA members, 1970s establishments in Asia
She's Hearing Voices	2004 songs, Bloc Party songs
A Weekend in the City	2007 albums, Bloc Party albums, Rock albums
Edward Cave	1691 births, 1754 deaths
Flagstaff, Arizona	Flagstaff, Arizona, County seats in Arizona, 1876 establishments in the United States, 19th-century establishments in Arizona Territory
Great Rift Valley	World Heritage Sites in Asia, World Heritage Sites in Africa, Valleys
Tablespoon	Units of volume, Kitchenware
University of Oregon	Association of American Universities, Pac-12 Conference, Colleges and universities in Oregon, Eugene, Oregon, 1876 establishments in the United States, 19th-century establishments in Oregon
Eugene, Oregon	Eugene, Oregon, 1846 establishments in the United States, 19th-century establishments in Oregon, County seats in Oregon
Bill Bowerman	1911 births, 1999 deaths, American military personnel of World War II, Businesspeople from Portland, Oregon, Majors, People from Medford, Oregon, Sportspeople from Portland, Oregon
Phil Knight	1938 births, Living people, Businesspeople from Oregon
Kevin-Prince Boateng	1987 births, Living people, Ghanaian footballers
Katsuo Kanda	1966 births, Living people, Footballers from Niigata Prefecture, Japan international footballers, J1 League players, J2 League players, Japan Soccer League players, NKK SC players, Cerezo Osaka players, Yokohama F. Marinos players, Albirex Niigata players
Norio Takahashi	1971 births, Living people, Footballers from Chiba Prefecture
Hidehiko Shimizu	1954 births, Living people, Footballers from Tokyo Prefecture
Third baseman	Baseball positions
Hisato Sato	1982 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, J1 League players, J2 League players, JEF United Chiba players, Cerezo Osaka players, Vegalta Sendai players, Sanfrecce Hiroshima players, Nagoya Grampus players
Nobuyuki Zaizen	1976 births, Living people, Footballers from Hokkaidō Prefecture
Ryuichi Kamiyama	1984 births, Living people, Footballers from Osaka Prefecture, People from Osaka, Avispa Fukuoka players
Kazuaki Nagasawa	1958 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Júbilo Iwata players
Ariel Ortega	1974 births, Living people, Argentine footballers
