Blood sugar	Health, Blood
The Black Balloon	2008 drama movies, 2008 romance movies, 2000s coming-of-age movies, 2000s romantic drama movies, 2000s teen drama movies, 2000s teen romance movies, Australian drama movies, Australian romance movies, Autism in fiction, Coming-of-age drama movies, Coming-of-age romance movies, English-language movies, Movies about dysfunctional families, Movies about suburbia, Movies set in the 1990s, Sydney, Movies about autism
Colin Farrell	1976 births, Living people, Actors from Dublin, Golden Globe Award winning actors, Irish movie actors, Irish television actors, Naturalized citizens of the United States
Labrinth	1989 births, Living people, Black British musicians, English musicians, English singer-songwriters, Musicians from London, Singers from London, HuffPost writers and columnists
BAFTA Award for Best Actor in a Supporting Role	BAFTA Awards
BAFTA Award for Best Actress in a Supporting Role	BAFTA Awards
BAFTA Award for Best Cinematography	BAFTA Awards
BAFTA Award for Best Sound	BAFTA Awards
BAFTA Award for Best Film Music	BAFTA Awards
BAFTA Award for Best Production Design	BAFTA Awards
Mark Selby	1983 births, Living people, Snooker players, Sportspeople from Leicester
World population	Population
Larry Lamb	Actors from London, English movie actors, English television actors, 1947 births, Living people
Bench press	Fitness
Hylas	People in Greek mythology
Bicep curl	Fitness
Pull up (exercise)	Fitness
Ancient Greek wrestling	Ancient Greek wrestling
BAFTA Award for Best Costume Design	BAFTA Awards
BAFTA Award for Best Editing	BAFTA Awards
BAFTA Award for Best Newcomer	BAFTA Awards
BAFTA Award for Best Special Visual Effects	BAFTA Awards
BAFTA Award for Best Makeup and Hair	BAFTA Awards
BAFTA Award for Best Original Screenplay	BAFTA Awards
BAFTA Award for Best Adapted Screenplay	BAFTA Awards
BAFTA Award for Best Screenplay	BAFTA Awards
BAFTA Award for Best British Screenplay	BAFTA Awards
BAFTA Academy Fellowship Award	BAFTA Awards
BAFTA Rising Star Award	BAFTA Awards
Palaestra at Olympia	Ancient Greek wrestling, Boxing, Olympia, Greece, Sports buildings in Greece, 3rd-century BC establishments
Vanessa Proux	1974 births, French biologists, Living people
2011–12 Fußball-Bundesliga	Bundesliga seasons, Fußball-Bundesliga, 2011 in association football, 2012 in association football, 2011 in Germany, 2012 in Europe
Änis Ben-Hatira	1988 births, Living people, German footballers, Sportspeople from Berlin
2012–13 Fußball-Bundesliga	Bundesliga seasons, Fußball-Bundesliga, 2012 in association football, 2013 in association football, 2013 in Germany, 2012 in Europe
Cyclone Jal	Tropical cyclones in Asia, Cyclonic storms, 2010 in weather, 2010 in India, 2010s in Thailand, History of Malaysia, October 2010 events
Hurricane Bud (2012)	East Pacific hurricanes, 2012 in weather, May 2012 events, 2012 in North America, 2010s in Mexico
Great Train Robbery (1963)	1960s crimes, 1963 in the United Kingdom, Buckinghamshire, Crime in the United Kingdom, Robberies
Securitas depot robbery	2006 crimes, 2006 in Europe, 2000s crimes in Europe, 2000s in England, Crime in England, February 2006 events, Kent, Kidnapping, Robberies
Syndrome	Syndromes
Union of South Africa	History of South Africa, 1910 establishments, 1961 disestablishments, 1910s establishments in Africa
Larry Clark	American movie directors, American movie producers, Businesspeople from Tulsa, Oklahoma, 1943 births, Living people
Carl Eugene Watts	1953 births, 2007 deaths, African-American people, American burglars, American kidnappers, American prisoners, American serial killers, American thieves, Cancer deaths in Michigan, Criminals from Michigan, Criminals from Texas, Deaths from prostate cancer, People who died in prison custody in the United States, People with antisocial personality disorder
Minitel	Telecommunications
Parkinsonian syndrome	Syndromes, Neurology
Sibley-Monroe checklist 1	Birds
Imperial House of Japan	Royal dynasties, Japanese imperial family
Anthony Minghella	1954 births, 2008 deaths, Academy Award winning directors, BAFTA Award winning writers, Cancer deaths in England, Cardiovascular disease deaths in England, Deaths from cerebral hemorrhage, Deaths from oropharyngeal cancer, English movie directors, English movie producers, English screenwriters, English television directors, English television producers, English television writers, People from the Isle of Wight
United States Board on Geographic Names	Geography of the United States, United States Department of the Interior, 1890 establishments in the United States
Permanent Committee on Geographical Names	Government agencies of the United Kingdom
Princess Sophie Hélène Béatrice of France	1786 births, 1787 deaths, People from Versailles, Deaths from tuberculosis, French Roman Catholics, Burials at the Basilica of St Denis, French princesses
Kikuō Hayashiya	1937 births, Living people, Japanese comedians, Japanese entertainers, People from Tokyo
FIFA Confederations Cup	FIFA Confederations Cup, 1992 establishments
Azuchi-Momoyama period	Periods in Japanese history, 1573 establishments, 16th century establishments in Japan, 1606 disestablishments, 17th century disestablishments in Japan
Mount Tate	Mountains of Japan, Toyama Prefecture
Kanazawa, Ishikawa	Cities in Japan, Settlements in Ishikawa Prefecture
List of The Lion King characters	Movie characters, Lists of fictional characters, The Lion King
Shangluo Municipality	Cities in China, Shaanxi
Directorate General for Civil Aviation	Aviation in France
Pope Alexander VI	Spanish popes, 1431 births, 1503 deaths, House of Borgia, Popes
Exotic pet	Pets
Abe's salamander	Hynobius, Salamanders
Yanta District	Shaanxi, Districts of China
Leslie Nielsen	1926 births, 2010 deaths, American comedians, American movie actors, American movie producers, American television actors, American voice actors, Canadian comedians, Canadian movie actors, Canadian movie producers, Canadian television actors, Canadian voice actors, Deaths from pneumonia, Infectious disease deaths in the United States, People from Regina, Saskatchewan
Forbidden Planet	1956 movies, American science fiction movies, English-language movies
Flux (software)	Graphics software, Web software
Leatherback sea turtle	Turtles
Takahito, Prince Mikasa	1915 births, 2016 deaths, Deaths from cardiac arrest, People from Tokyo, Japanese imperial family
Toronto Zoo	Zoos, Toronto
Oliver Reed	Actors from Surrey, Deaths from myocardial infarction, English movie actors, English television actors, 1938 births, 1999 deaths
Immaculate antbird	Passeriformes
Triton (mythology)	Greek mythology
Xincheng District	Shaanxi, Districts of China
Beilin District	Shaanxi, Districts of China
Monte Hermoso	Cities in Argentina, Buenos Aires Province
Pope Callixtus III	Spanish popes, 1378 births, 1458 deaths, People from Valencia, House of Borgia, Popes
Gilbert and Sullivan	Gilbert and Sullivan
Folies Bergère	1869 establishments, Buildings and structures in Paris, Entertainment venues, 19th century establishments in France, 1860s establishments in Europe
Metal Max	Metal Max, Nintendo Entertainment System games, Role-playing video games, Science fiction, Video game series
Anna Paquin	1982 births, Living people, Academy Award winning actors, Actors from Winnipeg, Bisexual people, Canadian child actors, Canadian LGBT people, Canadian movie actors, Canadian television actors, Canadian voice actors, Golden Globe Award winning actors, LGBT actors, New Zealand movie actors, New Zealand television actors, New Zealand voice actors
Panathinaiko Stadium	Olympic Games, Stadiums in Europe, Buildings and structures in Athens
Dayak	Indonesia, Ethnic groups in Asia, Malaysia
Positive-definite matrix	Linear algebra
Transpose	Algebra
UEFA Euro 2012 Group B	UEFA
Pope Callixtus	Papal names
Hazara people	Hazara people
Dick Bertell	1935 births, 1999 deaths, Chicago Cubs players, San Francisco Giants players
Emily Blunt	1983 births, Living people, Actors from London, American movie actors, American stage actors, American television actors, English movie actors, English stage actors, English television actors, Golden Globe Award winning actors, Naturalized citizens of the United States, People from Wandsworth
Dwight Schrute	The Office (U.S. TV series) characters
Pogo stick	Toys
Alan Dershowitz	1938 births, Living people, American lawyers, American political commentators, Jewish American academics, Jewish American writers, Jewish lawyers, HuffPost writers and columnists, Writers from Brooklyn, Yale University alumni, Zionists
Temple of Zeus at Olympia	Buildings and structures in Greece, Ancient Greek and Roman temples and shrines, Greek mythology, Olympia, Greece
Heraia	Ancient Greece, Ancient sports
Commission (remuneration)	Economics
Farad	Electricity
Jacme Taupiac	Linguists, 1939 births, Living people, French writers
Intensive farming	Agriculture
Mount Ashitaka	Volcanoes of Japan
Christopher Hill	1912 births, 2003 deaths, British communists, Disease-related deaths in England, English historians, People from York, Writers from Yorkshire
Laurean Rugambwa	1912 births, 1997 deaths, Cardinals of the Roman Catholic Church, Roman Catholic bishops, Tanzanian people
Rufino Santos	1908 births, 1973 deaths, Cardinals of the Roman Catholic Church, Filipino Roman Catholics, Roman Catholic archbishops
Temple of Hera at Olympia	Buildings and structures in Greece, Greek mythology, Ancient Greek and Roman temples and shrines, Olympia, Greece
List of Big Time Rush episodes	Nickelodeon television series, Lists of television series episodes
Teatro La Fenice	Opera houses in Italy, Buildings and structures in Italy, Venice, 1792 establishments, 18th century establishments in Italy, 1790s establishments in Europe
Australian Music Prize	Australian music, Music awards
Polaris Music Prize	Music awards, Entertainment in Canada
Pankration	Ancient Greek wrestling
Prix Constantin	Music awards, France
Milo of Croton	Ancient Greek wrestling, Ancient sportspeople, 6th century BC births, 6th century BC deaths
Choice Music Prize	Irish culture, Music awards, 2005 establishments in Europe
Mercury Prize	British music, Music awards
Theogenes	Ancient Greece, Ancient sportspeople, 5th century BC births, 5th century BC deaths
Cougar Town	2000s American television series, 2010s American television series, American sitcoms, Television series set in Florida, English-language television programs, 2009 television series debuts, 2015 television series endings
Kleomedes of Astypalia	Ancient sportspeople, Ancient Greece, 5th century BC deaths, 4th century BC births
Hermann Emil Fischer	1852 births, 1919 deaths, German academics, German chemists, German Nobel Prize winners, Nobel Prize in Chemistry winners, Suicides in Germany
Samosa	Snack foods, Middle Eastern foods, Indian food, Pakistani food
Miss May I	2000s American music groups, 2010s American music groups, Thrash metal bands, Metalcore bands, Musical groups from Ohio
UEFA Euro 2012 knockout stage	UEFA
George Santayana	1863 births, 1952 deaths, Alumni of King's College, Cambridge, American novelists, American philosophers, American poets, Cancer deaths in Italy, Deaths from stomach cancer, Harvard University alumni, Spanish poets, Writers from Boston, Massachusetts, Writers from Madrid
Luigi Pirandello	Italian playwrights, Italian writers, 1867 births, 1936 deaths, Italian Nobel Prize winners
Al Harrington	Indiana Pacers players, Living people, 1980 births, Denver Nuggets players, Golden State Warriors players, New York Knicks players, National Basketball Association high school draftees
Andrew Bogut	Australian basketball players, Milwaukee Bucks players, Living people, 1984 births, Golden State Warriors players, Sportspeople from Melbourne
Egyptian plover	Charadriiformes
Clandestine cell system	Terrorism, Military terminology, Secrecy, Espionage
Boston (card game)	Card games
Paul Krugman	1953 births, Living people, American columnists, American economists, American Nobel Prize winners, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, Massachusetts Institute of Technology alumni, People from Albany, New York, Scientists from New York, American bloggers
Boston Navy Yard	Naval transport, National Historic Landmarks of the United States, Buildings and structures in Massachusetts, 1800 establishments in the United States, 18th-century establishments in Massachusetts
Gotye	1980 births, Living people, Australian drummers, Australian guitarists, Australian rock musicians, Australian singer-songwriters, Belgian musicians, Grammy Award winners, Keyboardists, Multi-instrumentalists, Musicians from Melbourne, People from Bruges
Pick and roll	Basketball, Sports words
Moral hazard	Market failure, Insurance
Tsukushi Province	Former provinces of Japan, Fukuoka Prefecture
Ann Rutherford	1917 births, 2012 deaths, Actors from Vancouver, American movie actors, American television actors
Maurice Papon	1910 births, 2007 deaths, Cardiovascular disease deaths in France, Deaths from heart failure, Deaths from surgical complications, French businesspeople, French criminals, French mayors, French people of World War II, Government ministers of France, Police officers, Politicians from Ile-de-France
Ashikaga shogunate	History of Japan, Samurai, 1336 establishments in Japan, 1573 disestablishments, 16th century disestablishments in Japan
Weiyang District	Shaanxi, Districts of China
Baqiao District	Shaanxi, Districts of China
Dario Fo	1926 births, 2016 deaths, Deaths from lung disease, Disease-related deaths in Italy, Italian actors, Italian playwrights, Italian writers, Italian Nobel Prize winners
Lianhu District	Shaanxi, Districts of China
Perverse incentive	Economics
Flounder	Flatfish
Tecnológico de Antioquia	Colombia, Colleges and universities in South America
Rossendale Valley	Lancashire, Valleys
Herc's Adventures	PlayStation games, Sega Saturn games, 1997 video games
Evolutionary grade	Taxonomy, Evolutionary biology
Flag of Belgium	National flags, Belgian culture
Kumaso Province	Former provinces of Japan, Miyazaki Prefecture
Coat of arms of Belgium	National coats of arms, Belgian culture, Government of Belgium
Unity makes strength	Belgian culture, Bulgaria, Haiti, Mottos
Belgians	Belgian people, Ethnic groups in Europe
Monarchy of Belgium	Government of Belgium, Current monarchies
Prime Minister of Belgium	Lists of prime ministers, Prime Ministers of Belgium
Belgian Federal Parliament	Government of Belgium, National legislatures
AFC U-23 Asian Cup	AFC U-23 Asian Cup, 2011 establishments in Asia
Francesco Maria Piave	Italian writers, Opera, 1810 births, 1876 deaths, People from Venice
Chang'an District	Shaanxi, Districts of China
Yanliang District	Shaanxi, Districts of China
Video game collecting	Hobbies, Video games
Alexis Reich	1964 births, Living people, American criminals, American sex offenders, American teachers, LGBT people from Georgia (U.S. state), Transgender and transsexual people
Prägraten am Großvenediger	Cities and towns in Tyrol (state)
Toyo Province	Former provinces of Japan, Ōita Prefecture, Fukuoka Prefecture
Aristarkh Lentulov	1882 births, 1943 deaths, Russian painters, Russian artists
Curve (album)	2012 albums, Our Lady Peace albums
Wimbledon (movie)	2004 romance movies, 2000s romantic comedy movies, 2004 comedy-drama movies, 2000s romantic drama movies, British comedy-drama movies, British romantic comedy movies, British romantic drama movies, English-language movies, Movies set in London
Forest Whitaker	Academy Award winning actors, Actors from Texas, African American actors, African American movie directors, African American movie producers, American movie actors, American television actors, American television producers, American voice actors, BAFTA Award winning actors, Golden Globe Award winning actors, 1961 births, Living people
David Vamplew	Poker players, 1987 births, Living people, Scottish people, People from Fife
Rikkokushi	History of Japan
Belgian Revolution	19th century in Belgium, Revolutions, Wars involving Belgium, Wars involving France, Wars involving the Netherlands, Wars of independence, 1830, 1831
United Kingdom of the Netherlands	1815 establishments in Europe, History of Belgium, 1839 disestablishments, 19th century disestablishments in Europe
Alan McDonald	Northern Irish footballers, Northern Irish football managers, 1963 births, 2012 deaths
Game Oriented Assembly Lisp	Programming languages, Video game technology
Treaty of London (1839)	19th century in Belgium, 19th century in the Netherlands, History of Luxembourg, 19th century treaties, World War I, 1839, 1830s in the United Kingdom
Telephone numbers in Belgium	Telephone numbers, Belgium
Solo concerto	Concertos
Phidias	Ancient Greece, Olympia, Greece, Sculptors, 5th century BC births, 430s BC deaths
Gallia Belgica	Ancient Rome, History of Belgium, History of France, History of the Netherlands
Belgae	Ancient history, European people
Carolingian Empire	History of Germany, History of France, Former countries in Europe, 800 establishments, 888 disestablishments
2013 AFC U-22 Championship	AFC U-23 Asian Cup, 2013 in association football, 2013 in Asia, Sport in Oman, January 2014 events
Middle Francia	843 establishments, History of Europe, 855 disestablishments, Former monarchies of Europe, 9th century establishments in Europe, 9th century disestablishments in Europe
West Francia	Former monarchies of Europe, History of France
Timeline of Burgundian and Habsburg acquisitions in the Low Countries	Habsburg Dynasty, History of Belgium, History of the Netherlands
Burgundian Netherlands	History of Belgium
Dutch Republic	1795 disestablishments, Former republics, Former countries in Europe, 1588 establishments, 1790s disestablishments in Europe, 1580s establishments in Europe
Southern Netherlands	History of Belgium, History of the Netherlands, History of Spain
Habsburg Spain	Habsburg Dynasty, 16th century in Spain, 1500s establishments in Europe, 1700s disestablishments in Europe, 17th century in Spain
Campaigns of 1794 in the French Revolutionary Wars	Wars involving France, 1794 in France
French First Republic	1792 establishments, 1790s in France, 19th century in France, Former countries in Europe, Former republics, 1804 disestablishments, 1790s establishments in France, Disestablishments in France
First French Empire	1804 establishments in Europe, 1815 disestablishments, 19th century in France, Former monarchies of Europe, 1810s disestablishments in Europe
Leopold I of Belgium	1790 births, 1865 deaths, Kings and Queens of Belgium, German nobility, Fellows of the Royal Society, Knights of the Golden Fleece
Railway Station Bananal	São Paulo, Railway stations in South America, 1888 establishments, Buildings and structures in Brazil, 19th-century establishments in Brazil
Guy Ritchie	1968 births, Living people, Actors from Hertfordshire, English movie directors, English movie producers, English screenwriters, English television producers, Madonna (entertainer), Writers from Hertfordshire
Berlin Conference	Colonialism, 19th century treaties, 1884, 19th century in Africa, 1880s in Europe
Kinokawa, Wakayama	Settlements in Wakayama Prefecture
Ruanda-Urundi	20th century in Belgium, Burundi, Rwanda, 1922 establishments in Africa, 1962 disestablishments, 1960s disestablishments in Africa, Ruanda-Urundi, League of Nations mandates
Districts of Prussia	Districts of Germany, Prussia
Eupen-Malmedy	20th century in Belgium, Wallonia, Liège (province)
Battle of Belgium	1940 in Europe, 20th century in Belgium, Battles involving Belgium, Battles involving France, Battles involving Germany, Battles involving the Netherlands, Battles involving the United Kingdom, European battles of World War II, May 1940 events
Leopold III of Belgium	1901 births, 1983 deaths, Kings and Queens of Belgium, Knights of the Golden Fleece, People from Brussels, World War II people
Seventeen Provinces	States of the Holy Roman Empire
Prince-Bishopric of Liège	History of Belgium, Liège, Liège (province)
Egide Charles Gustave Wappers	1803 births, 1874 deaths, Belgian nobility, Belgian painters, Flemish painters, People from Antwerp, Burials at Montmartre Cemetery, Paris
Royal Museums of Fine Arts of Belgium	Art museums, Belgian culture, Buildings and structures in Belgium, Brussels
Capuchin monkey	New World monkeys, Mammals of North America, Mammals of South America
Lintong District	Shaanxi, Districts of China
Regional lockout	Cryptography, Censorship, Copyright, Computer security
10NES	Nintendo hardware, Copyright
Wastebasket taxon	Taxonomy, Evolutionary biology
Thomas Brisbane	1773 births, 1860 deaths, British Army officers, British astronomers, Governors of New South Wales, Scottish politicians
Lexington, North Carolina	Cities in North Carolina, 1828 establishments in the United States, County seats in North Carolina, 19th-century establishments in North Carolina
The Brown Bunny	2003 drama movies, 2000s road movies, Obscenity controversies, English-language movies, American drama movies, American independent movies, Japanese movies, French drama movies
Andreas Vesalius	1514 births, 1564 deaths, Anatomists, Belgian physicians, Belgian Roman Catholics, Writers from Brussels
Rembert Dodoens	1517 births, 1585 deaths, Belgian academics, Belgian biologists, Belgian physicians, Botanists, People from Antwerp (province)
Unintended consequences	Sociology, Economics, Causality
Good Will Hunting	1997 drama movies, Academy Award winning movies, American drama movies, English-language movies, Movies about educators, Movies composed by Danny Elfman, Movies directed by Gus Van Sant, Movies set in Boston, Massachusetts, Movies set in universities and colleges, Miramax movies, American independent movies
San Miguel River (Ecuador)	Rivers of Ecuador, Rivers of Peru
Mock the Week	2005 British television series debuts, 2000s British comedy television series, 2000s satirical television series, 2010s British comedy television series, 2010s satirical television series, 2020s British comedy television series, 2020s satirical television series, BBC television comedy, British satirical television series, British television game shows, English-language television programs, Panel games
Quasi-War	Wars involving the United States, 1790s in the United States, Wars involving France, 1800s in the United States, History of France
The road to hell is paved with good intentions	Idioms
Heckler & Koch G11	Assault rifles, Bullpup rifles
Rate of fire	Firearms
The Death of Socrates (painting)	18th century paintings, Paintings in the Metropolitan Museum of Art, New York City, French paintings
Ernest Solvay	1838 births, 1922 deaths, Belgian chemists, Belgian politicians, Belgian businesspeople, People from Hainaut (province), European philanthropists
Simon Stevin	1540s births, 1620 deaths, Belgian mathematicians, Engineers, People from Bruges
Zenobe Gramme	1826 births, 1901 deaths, Belgian inventors, Belgian scientists, Engineers, People from Liège (province)
Gramme machine	Electricity
Russell Brand's Ponderland	2007 British television series debuts, 2008 television series endings, 2000s British comedy television series, Channel 4 comedy
Bakelite	Polymers
Phil Esposito	1942 births, Living people, Art Ross Trophy winners, Boston Bruins players, Canadian ice hockey centres, Chicago Blackhawks players, Hart Memorial Trophy winners, Hockey Hall of Fame inductees, New York Rangers players, People from Ontario, Stanley Cup champions, Tampa Bay Lightning
Leo Baekeland	1863 births, 1944 deaths, Belgian chemists, Belgian inventors, People from Ghent, Scientists from Florida
Treaty of Paris (1763)	18th century treaties, 1763, 18th century in Europe, Seven Years' War, Saint Pierre and Miquelon, History of Paris
Masayuki Ishikawa	Living people, Japanese manga artists, 1974 births, People from Osaka
Chemical database	Computational chemistry, Cheminformatics, Databases
Lantian County	Shaanxi, Counties of China
Jamshedpur	Cities in India, Jharkhand
Sean Young	American movie actors, Actors from Louisville, Kentucky, 1959 births, Living people
George's Secret Key to the Universe	Children's books, 2007 books
Fast Times at Ridgemont High	1982 comedy movies, 1980s coming-of-age movies, 1980s high school movies, 1980s sex comedy movies, 1980s teen comedy movies, American coming-of-age movies, American high school movies, American sex comedy movies, American teen comedy movies, Coming-of-age comedy movies, English-language movies, Movies about suburbia, Movies set in California, Universal Pictures movies
Aspergillus	Fungi
Widya Saputra	1985 births, Living people, Indonesian people, Television presenters
Atomic physics	Nuclear physics, Quantum mechanics, Physical chemistry
San Mateo, California	Cities in California, 1864 establishments in the United States, Cities in the San Francisco Bay Area, Settlements in San Mateo County, California, 1860s establishments in California
Alioramus	Tyrannosaurids, Dinosaurs of Asia
Walking with Dinosaurs	BBC Television programmes, 1999 television series debuts, 1990s British television series debuts
Ornithocheirus	Pterosaurs
Tylosaurus	Mosasaurs
Charlotte Gainsbourg	1971 births, Living people, Actors from London, British child singers, English movie actors, French movie actors, French singers, Singers from London
Tōhoku History Museum	Museums in Japan
Nora Ephron	American screenwriters, BAFTA Award winners, Deaths from acute myeloid leukemia, Deaths from pneumonia, Movie directors from California, Movie directors from New York, Movie producers from California, Movie producers from New York, Writers from Los Angeles, California, Writers from New York City, 1941 births, 2012 deaths, American bloggers
Sharon Horgan	1970 births, Living people, Actors from London, Irish comedians, Irish television actors, Television producers, Television writers, Writers from Dublin, Writers from London
Morohashi Museum of Modern Art	Art museums in Japan, Settlements in Fukushima Prefecture
Jordan national under-23 football team	International under-23 association football teams, Sport in Jordan
Uzbekistan national under-23 football team	International under-23 association football teams, Uzbekistani football clubs
Georges Lemaître	1894 births, 1966 deaths, Belgian academics, Belgian astronomers, Belgian mathematicians, Belgian physicists, Belgian priests, Belgian Roman Catholics, People from Charleroi
Albert Claude	1899 births, 1983 deaths, Belgian academics, Belgian biologists, Belgian Nobel Prize winners, Nobel Prize in Physiology or Medicine winners, People from Luxembourg (Belgium)
Ilya Prigogine	1917 births, 2003 deaths, Belgian academics, Belgian chemists, Belgian Jews, Belgian Nobel Prize winners, Belgian physicists, Jewish academics, Jewish Nobel Prize winners, Jewish scientists, People from Moscow, Russian Jews, Russian Nobel Prize winners, Soviet Jews
Zhouzhi County	Shaanxi, Counties of China
Shaun Marcum	Toronto Blue Jays players, Milwaukee Brewers players, Sportspeople from Kansas City, Missouri, Living people, 1981 births
Giovanni Paisiello	1740 births, 1816 deaths, Italian composers
Heckler & Koch G3	Rifles of the Cold War, 7.62 mm firearms, Battle rifles
Ray Davies	1944 births, Living people, English rock singers, English singer-songwriters, Musicians from London, Singers from London, People with bipolar disorder
Reserve Bank of India	Banks, Economy of India, 1935 establishments in Asia, 1930s establishments in India
Conservation (art)	Art
Heckler & Koch G36	Assault rifles, 5.56 mm firearms
Shōsō-in	Museums in Japan, World Heritage Sites in Japan
Anaïs Nin	1903 births, 1977 deaths, Cancer deaths in the United States, Writers from Paris
Pierre Deligne	Fields Medalists, Wolf Prize winners, Abel Prize winners, 1944 births, Living people, Belgian mathematicians, People from Brussels-Capital Region
Jean Bourgain	Fields Medalists, 1954 births, 2018 deaths, Belgian mathematicians, People from West Flanders
Rogier van der Weyden	1400s births, 1464 deaths, Flemish painters
Lambert Lombard	1505 births, 1566 deaths, Flemish painters, People from Liège
Anthony van Dyck	1599 births, 1641 deaths, Flemish painters, Knights Bachelor
James Ensor	Belgian painters, Printmakers, 1860 births, 1949 deaths, Belgian nobility, Flemish painters
Les XX	Belgian painters, 1883 establishments in Europe, 1893 disestablishments, Cultural organizations, Sculptors, Designers, 1890s disestablishments in Europe, 19th century establishments in Belgium
Constant Permeke	1886 births, 1952 deaths, Belgian painters, People from Antwerp, Sculptors
Paul Delvaux	1897 births, 1994 deaths, Belgian painters, People from Liège (province)
Panamarenko	1940 births, 2019 deaths, Belgian artists, People from Antwerp
Jan Fabre	1958 births, Living people, Belgian artists, Designers, People from Antwerp, Belgian playwrights
List of settlements in Alabama	Lists of settlements in the United States, Settlements in Alabama
List of cities in Alaska	Cities in Alaska, Lists of cities by US state, Alaska-related lists
El Lissitzky	1890 births, 1941 deaths, Architects, Designers, Russian artists, Russian Jews, Russian photographers, Soviet Jews
Teatro di San Carlo	Opera houses in Italy, Naples, 1737 establishments, 18th century establishments in Italy, 1730s establishments in Europe
Gaoling District	Shaanxi, Counties of China
Cluster bomb	Explosives
Mill Green	Hamlets in Suffolk, Settlements in Babergh
Parliament Heath	Hamlets in Suffolk, Settlements in Babergh
Sherbourne Street	Settlements in Babergh, Villages in Suffolk
Broad Street (Groton)	Hamlets in Suffolk, Settlements in Babergh
Horner's Green	Hamlets in Suffolk, Settlements in Babergh
Gosling Green	Hamlets in Suffolk, Settlements in Babergh
Kersey Tye	Hamlets in Suffolk, Settlements in Babergh
Ahn Chang-ho	1876 births, 1938 deaths, Korean activists, Korean educators
Thomas Vanek	1984 births, American Hockey League players, Austrian ice hockey players, Buffalo Sabres players, Columbus Blue Jackets players, Detroit Red Wings players, Florida Panthers players, Living people, Minnesota Wild players, Montreal Canadiens players, New York Islanders players, Vancouver Canucks players, United States Hockey League players
Mario Altmann	1986 births, Austrian ice hockey players, Living people, Swedish Hockey League players, Ice hockey defencemen
Wicker Street Green	Hamlets in Suffolk, Settlements in Babergh
Lindsey Tye	Hamlets in Suffolk, Settlements in Babergh
King's Meaburn	Villages in Cumbria, Civil parishes in Cumbria
Upsher Green	Hamlets in Suffolk, Settlements in Babergh
Kersey Upland	Hamlets in Suffolk, Settlements in Babergh
Sleagill	Villages in Cumbria, Civil parishes in Cumbria
Temple Sowerby	Villages in Cumbria, Civil parishes in Cumbria
Clifton	Villages in Cumbria, Civil parishes in Cumbria
Swingleton Green	Hamlets in Suffolk, Settlements in Babergh
Afro-Dominican	Dominican Republic people, Ethnic groups in North America, African people
Pig in a poke	Idioms, Deception
The Labors of Herakles	Greek mythology
Melkinthorpe	Hamlets in Cumbria, Eden
Sundarbans National Park	West Bengal, National parks in India, Biosphere reserves, World Heritage Sites in India, Wetlands, 1984 establishments in Asia, 1980s establishments in India
Brampton, Eden	Villages in Cumbria
Maulds Meaburn	Villages in Cumbria
Kirkby Stephen	Towns in Cumbria, Civil parishes in Cumbria
William's Green	Hamlets in Suffolk, Settlements in Babergh
Acton, Suffolk	Civil parishes in Suffolk, Villages in Suffolk, Settlements in Babergh
Calais Street	Hamlets in Suffolk, Settlements in Babergh
Boxted	Civil parishes in Suffolk, Villages in Suffolk, Settlements in Babergh
Cockfield, Suffolk	Civil parishes in Suffolk, Villages in Suffolk, Settlements in Babergh
Bower House Tye	Hamlets in Suffolk, Settlements in Babergh
Ash Street	Hamlets in Suffolk, Settlements in Babergh
Harkstead	Civil parishes in Suffolk, Villages in Suffolk, Settlements in Babergh
René Magritte	1898 births, 1967 deaths, Belgian painters, Cancer deaths in Belgium, Deaths from pancreatic cancer, People from Hainaut (province)
Luc Tuymans	1958 births, Living people, Belgian painters, People from Antwerp
Victor Horta	1861 births, 1947 deaths, Belgian artists, Architects, Belgian nobility, People from Ghent
Henry van de Velde	1863 births, 1957 deaths, Architects, Belgian painters, Flemish painters, People from Antwerp
Super Bowl XX	Super Bowl, 1986 in sports, 1986 in the United States, 1980s in Louisiana, Chicago Bears, New England Patriots, January events
Nippon Maru	Museums in Japan
Henri Vieuxtemps	1820 births, 1881 deaths, Belgian composers, Belgian musicians, People from Verviers, Violinists
Eugène Ysaÿe	1858 births, 1931 deaths, Belgian composers, Belgian musicians, Conductors, Deaths from diabetes, People from Liège, Violinists
Arthur Grumiaux	1921 births, 1986 deaths, Belgian musicians, Belgian nobility, Cardiovascular disease deaths in Belgium, People from Hainaut (province), Violinists
Toots Thielemans	1922 births, 2016 deaths, Belgian composers, Belgian musicians, Belgian nobility, Jazz musicians, Musicians from Brussels
Jacques Brel	1929 births, 1978 deaths, Belgian movie actors, Belgian singers, Belgian stage actors, Belgian television actors, Belgian voice actors, People from Brussels-Capital Region, Cancer deaths in France, Deaths from lung cancer, Singer-songwriters
Bank vole	Rodents
Dead Man	1995 movies, Miramax movies, 1990s western movies, American western movies, German movies, Japanese movies, Movies directed by Jim Jarmusch, English-language movies
Telex (band)	Eurovision Song Contest entrants, Belgian musical groups, 1980s music groups, Warner Bros. Records artists
Huyi District	Shaanxi, Counties of China
Reagill	Hamlets in Cumbria, Eden
Newbiggin	Villages in Cumbria, Civil parishes in Cumbria
Drakestone Green	Hamlets in Suffolk, Settlements in Babergh
