ImJayStation	1990 births, Living people
Elizabeth Furse	1936 births, 2021 deaths, Naturalized citizens of the United States, People from Nairobi, United States representatives from Oregon, African businesspeople, Businesspeople from Oregon, US Democratic Party politicians
Kenya Colony	Kenya
Boana paranaiba	Frogs, Animals of South America
Boulevard Nights	1979 movies, 1970s crime movies, American crime movies, Warner Bros. movies, Movies directed by Michael Pressman
Naomi Biden	1941 births, 1972 deaths, Road accident deaths in the United States, Joe Biden, People from Wilmington, Delaware
East Slavs	Slavic peoples
Froyla Tzalam	Year of birth missing (living people), Living people, Governors-General of Belize
Giorgi Mshvenieradze	1960 births, Living people, Medalists at the 1988 Summer Olympics, Medalists at the 1980 Summer Olympics
Celso Amorim	1942 births, Living people, Brazilian politicians, Ambassadors, People from São Paulo
Seminole High School (Seminole County, Florida)	Schools in the United States
Udemy	American technology companies, 2010 establishments in the United States
Võle	Settlements in Estonia
Herschel Walker	1962 births, Living people, American track and field athletes, Dallas Cowboys players, Minnesota Vikings players, Philadelphia Eagles players, New York Giants players, American football running backs, Sprinters, Sportspeople from Georgia (U.S. state), People from Augusta, Georgia, Politicians from Georgia (U.S. state), US Republican Party politicians
Josh Green (politician)	1970 births, Living people, Lieutenant Governors of Hawaii, Politicians from New York, State legislators of the United States, US Democratic Party politicians, American physicians
Janice McGeachin	1963 births, Living people, Lieutenant Governors of Idaho, Politicians from New Mexico, US Republican Party politicians, Businesspeople from New Mexico, Businesspeople from Idaho, People from Las Cruces, New Mexico
Rushern Baker	1958 births, Living people, American lawyers, Politicians from Georgia (U.S. state), Businesspeople from Georgia (U.S. state), Politicians from Maryland, Businesspeople from Maryland, US Democratic Party politicians
List of current United States lieutenant governors	State lieutenant governors of the United States
Lieutenant governor (United States)	State lieutenant governors of the United States
Robin Miller (journalist)	1949 births, 2021 deaths, Deaths from leukemia, American sports commentators, American journalists, Writers from Indianapolis, Indiana
Ithaca, Michigan	Cities in Michigan, County seats in Michigan
Alma, Michigan	Cities in Michigan
Lance Robertson	Living people, African American actors, American actors, American DJs, American musicians, Year of birth missing (living people)
List of lieutenant governors of Ohio	Lieutenant Governors of Ohio
Lieutenant Governor of Hawaii	Lieutenant Governors of Hawaii
Doug Chin	1966 births, Living people, Lieutenant Governors of Hawaii, American lawyers, Politicians from Honolulu, Politicians from Seattle, Washington, US Democratic Party politicians
Shan Tsutsui	1971 births, Lieutenant Governors of Hawaii, Living people, US Democratic Party politicians
Lieutenant Governor of Delaware	Lieutenant Governors of Delaware
Matthew Denn	1966 births, Living people, Lieutenant Governors of Delaware, American lawyers, Politicians from Wilmington, Delaware, Businesspeople from Wilmington, Delaware, US Democratic Party politicians
S. B. Woo	1937 births, Living people, Lieutenant Governors of Delaware, Naturalized citizens of the United States, Chinese academics, Chinese politicians, American academics, US Democratic Party politicians
Secretary of State of Arizona	Politicians from Arizona
Linda Larkin	Living people, 1970 births, American movie actors, American television actors, American stage actors, American voice actors, Actors from Los Angeles, California
Jonathan Freeman (actor)	1950 births, Living people, American movie actors, American stage actors, American voice actors, American television actors, Puppeteers, Actors from Cleveland, Ohio, Singers from Cleveland, Ohio
Jodi Benson	1961 births, Living people, American movie actors, American voice actors, American television actors, American stage actors, Actors from Illinois, Singers from Illinois, People from Rockford, Illinois, Singers from Georgia (U.S. state), Actors from Georgia (U.S. state)
Alrabiaa Network Television	Television channels, 2012 establishments in Asia, Iraq
Daikon	Leaf vegetables, Root vegetables
Autoregressive model	Statistics
Zoe Sugg	People from Wiltshire, People from Brighton, 1990 births, Living people, Pages which use embedded infobox templates with the title parameter, British YouTubers, English businesspeople, English writers, Bloggers
Krugerville, Texas	Cities in Texas
Lakewood Village, Texas	Cities in Texas
Oak Point, Texas	Cities in Texas
Pilot Point, Texas	Cities in Texas
Sanger, Texas	Cities in Texas
Farmersville, Texas	Cities in Texas
Lucas, Texas	Cities in Texas
Princeton, Texas	Cities in Texas
Weston, Texas	Cities in Texas
Campus Varta	Companies, Indian academics, Technology companies of Asia
Wharton School of the University of Pennsylvania	Colleges and universities in Pennsylvania, 1881 establishments, Philadelphia, Pennsylvania
Saleh Mamman	Nigerian politicians, African American politicians
Babatunde Fashola	1963 births, Living people, Nigerian politicians, People from Lagos
Srisailam	Coordinates on Wikidata, Towns in India, Settlements in Andhra Pradesh
Shoebill	Birds of Africa, Pelecaniformes
Vel' d'Hiv Roundup	The Holocaust
Tom Larkin (diplomat)	1917 births, 2021 deaths, Ambassadors, New Zealand politicians, People from Wellington
Eddie Paskey	1939 births, 2021 deaths, American movie actors, American television actors, American stage actors, American voice actors, Actors from California, Actors from Delaware
Jean-Pierre Fragnière	1944 births, 2021 deaths, Academics, Swiss writers, Political scientists
Michael Nader	1945 births, 2021 deaths, American movie actors, American television actors, American stage actors, Actors from St. Louis, Missouri, Cancer deaths in California
Dale Derby	1948 births, 2021 deaths, Deaths by drowning, State legislators of the United States, American physicians, Politicians from Oklahoma, US Republican Party politicians
Patrick Verbeke	1949 births, 2021 deaths, People from Caen, French musicians, French composers, French singers, French television presenters, Guitarists
Milan Gutović	1946 births, 2021 deaths, Deaths from the COVID-19 pandemic in Serbia, Serbian actors, Comedians
Ted Dexter	1935 births, 2021 deaths, English cricketers, Sportspeople from Milan
Metin Çekmez	1945 births, 2021 deaths, Deaths from cancer, Turkish movie actors, Turkish television actors, Turkish stage actors, Actors from Istanbul
Safran	Companies of France, 2000s establishments in France, 2005 establishments in Europe
Eduardo Brizuela del Moral	1944 births, 2021 deaths, Deaths from pneumonia, Deaths from stroke, Argentine politicians
Gunilla Bergström	1942 births, 2021 deaths, Swedish novelists, Swedish journalists, Swedish illustrators, People from Gothenburg
Elia Hernández Núñez	1962 births, 2021 deaths, Mexican politicians
List of lieutenant governors of Alabama	Lieutenant Governors of Alabama
Bill Baxley	1941 births, Living people, Lieutenant Governors of Alabama, American lawyers, US Democratic Party politicians
Don Siegelman	1946 births, Living people, Governors of Alabama, Lieutenant Governors of Alabama, American lawyers, American criminals, People from Mobile, Alabama, US Democratic Party politicians
Will Ainsworth	1981 births, Lieutenant Governors of Alabama, Living people, US Republican Party politicians
List of lieutenant governors of Alaska	Lieutenant Governors of Alaska
Kevin Meyer (politician)	1956 births, Living people, Lieutenant Governors of Alaska, Politicians from Nebraska, Businesspeople from Nebraska, Businesspeople from Alaska, US Republican Party politicians
Lieutenant Governor of Arkansas	Lieutenant Governors of Arkansas
Giovanna Fletcher	1985 births, Living people, British YouTubers, British novelists
Winston Bryant	1938 births, Living people, Lieutenant Governors of Arkansas, American lawyers, US Democratic Party politicians
Tim Griffin	1968 births, Living people, Lieutenant Governors of Arkansas, United States representatives from Arkansas, People from Charlotte, North Carolina, Politicians from North Carolina, US Republican Party politicians
Trade name	Commerce, Intellectual property law, Marketing, United States law
Dianne Primavera	1950 births, Lieutenant Governors of Colorado, Living people, Politicians from Denver, Colorado, US Democratic Party politicians
List of lieutenant governors of Colorado	Lieutenant Governors of Colorado
Nancy E. Dick	1930 births, Lieutenant Governors of Colorado, Living people, Politicians from Detroit, Michigan, US Democratic Party politicians
Bill Ratliff	1936 births, Living people, Lieutenant Governors of Texas, American engineers, US Republican Party politicians
Ben Barnes (politician)	1938 births, Living people, Politicians from Austin, Texas, Lieutenant Governors of Texas, Businesspeople from Texas, US Democratic Party politicians, Real estate developers
Gorman, Texas	Cities in Texas
List of lieutenant governors of Connecticut	Lieutenant Governors of Connecticut
Peter L. Cashman	Lieutenant Governors of Connecticut, Living people, 1936 births, Politicians from Cleveland, Ohio, US Republican Party politicians
Nancy Wyman	1946 births, Lieutenant Governors of Connecticut, Living people, Politicians from New York City, US Democratic Party politicians
Susan Bysiewicz	1961 births, Lieutenant Governors of Connecticut, Living people, US Democratic Party politicians, Politicians from New Haven, Connecticut
Jacqueline Coleman	1982 births, Living people, American educators, Lieutenant Governors of Kentucky, US Democratic Party politicians
Lieutenant Governor of Kentucky	Lieutenant Governors of Kentucky
Boana caipora	Frogs, Animals of South America
Lieutenant Governor of Louisiana	Lieutenant Governors of Louisiana
Billy Nungesser	1959 births, Lieutenant Governors of Louisiana, Living people, Politicians from New Orleans, Louisiana, Businesspeople from New Orleans, Louisiana, US Republican Party politicians
Dance Into Happiness	1930 movies, 1930s musical movies, German movies, Movies directed by Max Nosseck
Boyd Rutherford	1957 births, Lieutenant Governors of Maryland, Living people, Businesspeople from Washington, D.C., Politicians from Washington, D.C., Businesspeople from Maryland, American lawyers, US Republican Party politicians
Anthony G. Brown	1961 births, Living people, Lieutenant Governors of Maryland, United States representatives from Maryland, Politicians from New York, American lawyers, US Democratic Party politicians
Michael Steele	1958 births, Living people, American political commentators, American conservatives, Lieutenant Governors of Maryland, American lawyers, Businesspeople from Maryland, US Republican Party politicians
Lieutenant Governor of Maryland	Lieutenant Governors of Maryland
Melvin Steinberg	1933 births, Lieutenant Governors of Maryland, Living people, American lawyers, US Democratic Party politicians
Battambang	Cities in Asia, Settlements in Cambodia
Delbert Hosemann	1947 births, Living people, Lieutenant Governors of Mississippi, US Republican Party politicians
Lieutenant Governor of Mississippi	Lieutenant Governors of Mississippi
Mike Kehoe	1962 births, Lieutenant Governors of Missouri, Living people, Politicians from St. Louis, Missouri, US Republican Party politicians
List of lieutenant governors of Missouri	Lieutenant Governors of Missouri
Kristen Juras	Lieutenant Governors of Montana, Living people, 1955 births, American academics, American lawyers, Businesspeople from Montana, US Republican Party politicians
List of lieutenant governors of Montana	Lieutenant Governors of Montana
John Bohlinger	1936 births, Lieutenant Governors of Montana, Living people, US Republican Party politicians, US Democratic Party politicians, People from Bozeman, Montana
John Walsh (Montana politician)	1960 births, Living people, Lieutenant Governors of Montana, United States senators from Montana, People from Butte, Montana, US Democratic Party politicians
Angela McLean	1970 births, Living people, American educators, Lieutenant Governors of Montana, US Democratic Party politicians
Mike Foley (Nebraska politician)	1954 births, Lieutenant Governors of Nebraska, Living people, Politicians from New York, People from Lincoln, Nebraska, People from Rochester, New York, US Republican Party politicians
List of lieutenant governors of Nebraska	Lieutenant Governors of Nebraska
John E. Nelson (Nebraska politician)	1935 births, Living people, American lawyers, Lieutenant Governors of Nebraska, US Republican Party politicians
Kate Marshall	1959 births, Lieutenant Governors of Nevada, Living people, Politicians from San Francisco, US Democratic Party politicians, American lawyers
Lieutenant Governor of Nevada	Lieutenant Governors of Nevada
Lorraine Hunt	1939 births, Living people, Lieutenant Governors of Nevada, Politicians from Las Vegas, Nevada, Businesspeople from Las Vegas, Nevada, Businesspeople from New York, Politicians from New York, US Republican Party politicians
Sue Wagner	1940 births, Living people, Lieutenant Governors of Nevada, Politicians from Maine, Politicians from Arizona, People from Portland, Maine, People from Tucson, Arizona, People from Reno, Nevada, US Republican Party politicians, Independent politicians in the United States
Robert E. Rose	Living people, Lieutenant Governors of Nevada, American judges, 1939 births, People from Orange, New Jersey, Politicians from New Jersey, US Democratic Party politicians
Howie Morales	1973 births, Living people, Lieutenant Governors of New Mexico, US Democratic Party politicians
Lieutenant Governor of New Mexico	Lieutenant Governors of New Mexico
Casey Luna	Living people, 1931 births, Businesspeople from New Mexico, Lieutenant Governors of New Mexico, US Democratic Party politicians, American racecar drivers, Sportspeople from New Mexico
Roberto Mondragón	1940 births, Lieutenant Governors of New Mexico, Living people, American political activists, US Democratic Party politicians, Green Party of the United States politicians, Musicians from New Mexico, Writers from New Mexico
Mark Robinson (American politician)	1968 births, Living people, Lieutenant Governors of North Carolina, US Republican Party politicians, People from Greensboro, North Carolina
Lieutenant Governor of North Carolina	Lieutenant Governors of North Carolina
Brent Sanford	1971 births, Businesspeople from North Dakota, Lieutenant Governors of North Dakota, American mayors, US Republican Party politicians
Lieutenant Governor of North Dakota	Lieutenant Governors of North Dakota
Richard F. Larsen	Lieutenant Governors of North Dakota, Living people, 1936 births, People from Grand Forks, North Dakota, US Republican Party politicians
Wayne Sanstead	1935 births, Living people, Lieutenant Governors of North Dakota, US Democratic Party politicians, Politicians from Arkansas
Lloyd Omdahl	Lieutenant Governors of North Dakota, US Democratic Party politicians, 1931 births, Living people
Rosemarie Myrdal	Lieutenant Governors of North Dakota, 1929 births, Living people, People from Minot, North Dakota, US Republican Party politicians
Matt Pinnell	1979 births, Lieutenant Governors of Oklahoma, Living people, Politicians from Dallas, Texas, US Republican Party politicians, People from Enid, Oklahoma
Lieutenant Governor of Oklahoma	Lieutenant Governors of Oklahoma
Todd Lamb (politician)	1971 births, Lieutenant Governors of Oklahoma, Living people, American lawyers, People from Enid, Oklahoma, US Republican Party politicians
Angom Gopi	Meitei people
Sabina Matos	1974 births, Living people, Naturalized citizens of the United States, Lieutenant Governors of Rhode Island, Dominican Republic politicians, People from Providence, Rhode Island, US Democratic Party politicians
List of lieutenant governors of Rhode Island	Lieutenant Governors of Rhode Island
Thomas R. DiLuglio	1931 births, Living people, Lieutenant Governors of Rhode Island, People from Providence, Rhode Island, US Democratic Party politicians
Pamela Evette	1967 births, Businesspeople from South Carolina, Lieutenant Governors of South Carolina, Living people, US Republican Party politicians
Lieutenant Governor of South Carolina	Lieutenant Governors of South Carolina
Kevin L. Bryant	1967 births, Lieutenant Governors of South Carolina, Living people, US Republican Party politicians
Larry Rhoden	1959 births, Lieutenant Governors of South Dakota, Living people, Businesspeople from South Carolina, US Republican Party politicians
Lieutenant Governor of South Dakota	Lieutenant Governors of South Dakota
Matt Michels	1960 births, Lieutenant Governors of South Dakota, Living people, US Republican Party politicians
Deidre Henderson	1974 births, Living people, US Republican Party politicians, Lieutenant Governors of Utah
Lieutenant Governor of Utah	Lieutenant Governors of Utah
Greg Bell (politician)	1948 births, Living people, Lieutenant Governors of Utah, Real estate developers, People from Ogden, Utah, Businesspeople from Utah, US Republican Party politicians
Molly Gray	1984 births, Lieutenant Governors of Vermont, Living people, American lawyers, US Democratic Party politicians
List of lieutenant governors of Vermont	Lieutenant Governors of Vermont
Brian Dubie	1959 births, Lieutenant Governors of Vermont, Living people, US Republican Party politicians, American aviators, People from Burlington, Vermont
Jim Douglas	1951 births, American academics, Governors of Vermont, Living people, US Republican Party politicians, People from Springfield, Massachusetts, Politicians from Massachusetts
Craig Blair	1959 births, Living people, Presidents of the West Virginia State Senate, US Republican Party politicians
President of the West Virginia Senate	Presidents of the West Virginia State Senate
Eleasalo Ale	Year of birth missing (living people), Lieutenant Governors of American Samoa, Living people, US Democratic Party politicians
Lieutenant Governor of American Samoa	Lieutenant Governors of American Samoa
Josh Tenorio	Lieutenant Governors of Guam, Living people, Year of birth missing (living people), LGBT politicians, Gay men
Lieutenant Governor of Guam	Lieutenant Governors of Guam
Kurt Moylan	Living people, Lieutenant Governors of Guam, US Republican Party politicians, 1939 births, Politicians from Honolulu
Madeleine Bordallo	1933 births, Living people, Lieutenant Governors of Guam, United States representatives, Politicians from Minnesota, US Democratic Party politicians
Graceville, Minnesota	Cities in Minnesota
Ricardo Bordallo	1927 births, 1990 deaths, Governors of Guam, Suicides by firearm in the United States, Businesspeople from San Francisco, Politicians from San Francisco, US Democratic Party politicians
Arnold Palacios	1955 births, Lieutenant Governors of the Northern Mariana Islands, Living people, US Republican Party politicians
Lieutenant Governor of the Northern Mariana Islands	Lieutenant Governors of the Northern Mariana Islands
Pedro Agulto Tenorio	1941 births, Lieutenant Governors of the Northern Mariana Islands, Living people, US Republican Party politicians
Tregenza Roach	1959 births, US Democratic Party politicians, Lieutenant Governors of the United States Virgin Islands, Living people, Saint Kitts and Nevis people
Lieutenant Governor of the United States Virgin Islands	Lieutenant Governors of the United States Virgin Islands
Troy Jackson (politician)	1968 births, 21st-century American politicians, Living people, State legislators of the United States, Politicians from Maine, US Democratic Party politicians
Chuck Morse	1960 births, Living people, US Republican Party politicians, Governors of New Hampshire
Salem, New Hampshire	Towns in New Hampshire
Council of the District of Columbia	Washington, D.C.
Phil Mendelson	1952 births, Living people, Politicians from Washington, D.C., Politicians from Cleveland, Ohio, US Democratic Party politicians
Larry Seilhamer Rodríguez	1954 births, Living people, Puerto Rican people, Basketball players
Shemia Fagan	1981 births, Living people, American lawyers, Politicians from Portland, Oregon, US Democratic Party politicians, State legislators of the United States
Edward Buchanan	1967 births, American Protestants, Living people, American lawyers, American military people, Politicians from Wyoming, State legislators of the United States, US Republican Party politicians, Politicians from Florida, People from Fort Lauderdale, Florida
2021 Kabul airport attacks	2021 in Asia, 2021 mass shootings, 2020s explosions, 2020s in Afghanistan, 2020s murders in Asia, 21st century in Kabul, Attacks on buildings and structures in 2021, Attacks on buildings and structures in Asia, August 2021 events, Crime in Afghanistan, Islamic State, Mass murder in 2021, Mass murder in Asia, Mass shootings in Asia, Suicide bombings in Asia, Suicide bombings in the 2020s, Terrorist incidents in 2021, Terrorist incidents in Asia in the 2020s, War in Afghanistan (since 1978)
Vladimir Shadrin	1948 births, 2021 deaths, Soviet Olympic gold medalists, Russian ice hockey players, Sportspeople from Moscow, Ice hockey coaches
Minnetonka Beach, Minnesota	Cities in Minnesota
Minnetrista, Minnesota	Cities in Minnesota
New Hope, Minnesota	Cities in Minnesota
Osseo, Minnesota	Cities in Minnesota
Richfield, Minnesota	Cities in Minnesota
Shorewood, Minnesota	Cities in Minnesota
Spring Park, Minnesota	Cities in Minnesota
St. Bonifacius, Minnesota	Cities in Minnesota
Tonka Bay, Minnesota	Cities in Minnesota
Woodland, Minnesota	Cities in Minnesota
Table tennis at the 2016 Summer Paralympics	Summer Paralympic Games, Table tennis, 2016 in sports
A Dead Man Among the Living	1947 movies, 1940s thriller movies, Czech movies, Movies based on books, Movies directed by Bořivoj Zeman
The Elementary School	1991 comedy-drama movies, Czech movies, Slovakian movies, Movies directed by Jan Svěrák
Philippine English	Dialects of English, Languages of the Philippines
Angel and the Badman	1947 movies, 1940s western movies, American western movies
Haast tokoeka	Birds, Animals of Oceania
Bubble Guppies	2010s American television series, 2011 American television series debuts, 2011 television series debuts, 2016 television series endings, American animated television series, American children's television series, American fantasy television series, American television series, American television series revived after cancellation, Canadian children's television series, English-language television programs, Nickelodeon television series, Television series about friendship
The Secret Heart	1946 movies, 1940s romance movies, 1940s drama movies, American romantic drama movies, MGM movies, Movies directed by Robert Z. Leonard
Okarito brown kiwi	Birds of New Zealand, Flightless birds
Gypsy food	Food and drink
Ameena Begum	Living people, Bangladesh Jamaat-e-Islami politicians, Bangladeshi Muslims, Year of birth missing (living people)
Maqbul Ahmed	Bangladesh Jamaat-e-Islami politicians, Bangladeshi Muslims, 1939 births, 2021 deaths
Fakir Alamgir	1950 births, 2021 deaths, Bangladeshi singers
Nadira Begum	Living people, Bangladeshi singers, Bangladeshi female singers, Year of birth missing (living people)
1959 United Kingdom general election	1950s in the United Kingdom, 1959, United Kingdom general elections
The Science of Sleep	2006 comedy movies, 2000s fantasy movies, French comedy movies, Italian comedy movies, American fantasy movies, American comedy movies, Movies directed by Michel Gondry
Salahuddin Ahmed	Living people, Bangladeshi politicians, Bangladeshi Muslims
Akhi Alamgir	Bangladeshi female singers, 1975 births, Living people
2016 Conservative Party leadership election	Elections in the United Kingdom, 2016 in the United Kingdom, 2016 elections, Conservative Party (UK)
Joban Uddin Ahmad	Bangladesh Jamaat-e-Islami politicians, Bangladeshi Muslims, Living people
Everybody Hates Chris	2000s American sitcoms
Abdus Sattar Akon	Bangladesh Jamaat-e-Islami politicians, Bangladeshi Muslims, 1929 births, 2012 deaths
England at the 2018 Commonwealth Games	Nations at multi-sport events, Commonwealth Games, 2018 in sports, 2010s in England
Rajneesh Kumar Saxena	People from Uttar Pradesh, 1987 births
Table tennis at the 2016 Summer Paralympics – Men's individual – Class 1	Table tennis, 2016 in sports, Summer Paralympic Games
Bukola Sawyerr Izeogu	1974 births, Living people
Kamrieng District	Articles containing Khmer-language text
2014 Peshawar school massacre	2014 in Asia, 2010s murders in Asia, 21st century in Pakistan, Attacks on buildings and structures in Asia, Attacks on buildings and structures in the 2010s, December events, Mass shootings in Asia, Massacres in Asia, Murder in 2014, Peshawar, School shootings, Terrorist incidents in Asia in the 2010s
Gogglebox	BAFTA Award winning programmes, British reality television series, 2013 television series debuts
Cappella (band)	1980s establishments in Italy, 1987 establishments in Europe, Italian musical groups, Musical groups established in 1987, Brescia
USA Rugby	Rugby union
Fair Lawn, New Jersey	Boroughs in New Jersey
Mastaba	Ancient Egypt
Akis Tsochatzopoulos	1939 births, 2021 deaths, Deaths from myocardial infarction, Greek politicians, Criminals
2020–21 Burnley F.C. season	2020-21 association football seasons, 2021 in association football, 2020 in association football
Marco Hausiku	1953 births, 2021 deaths, Namibian politicians
Zdenka Procházková	1926 births, 2021 deaths, Czech movie actors, Czech stage actors, People from Prague
Mario Guilloti	1946 births, 2021 deaths, Argentine sportspeople, Olympic bronze medalists, Boxers
Nicholas Felice	1927 births, 2021 deaths, American mayors, Politicians from New Jersey, State legislators of the United States, US Republican Party politicians, People from Passaic, New Jersey
Daniel Farhi	1941 births, 2021 deaths, Rabbis, French Jews, People from Paris
Boana botumirim	Frogs, Animals of South America
Sally Tanner	1926 births, 2021 deaths, State legislators of the United States, Politicians from Indiana, Politicians from California, US Democratic Party politicians, People from East Chicago, Indiana
Ferndale, California	Cities in California, Settlements in Humboldt County, California
Albert Ndele	Living people, 1930 births, Democratic Republic of the Congo politicians, Bankers, African businesspeople
Yefrem Sokolov	1926 births, Living people, Communists, Soviet politicians
Abdurrahman Vazirov	1930 births, Living people, Azerbaijani politicians
Vaino Väljas	1931 births, Living people, Estonian politicians, Communists
Queen Kesang Choden	1930 births, Living people, Bhutanese people, Kings and queens
Gerry Ashmore	1936 births, 2021 deaths, Formula One drivers, English racecar drivers, Sportspeople from Staffordshire, Deaths from cancer
Great spotted kiwi	Birds of New Zealand, Flightless birds
North Island brown kiwi	Animals of New Zealand, Birds of Oceania, Flightless birds
Gallant Bess	1946 movies, 1940s war movies, 1940s drama movies, American war movies, American drama movies, World War II movies, Movies directed by Andrew Marton
Victor/Victoria	1982 comedy movies, 1980s romantic comedy movies, 1980s sex comedy movies, 1980s musical movies, 1980s LGBT movies, British romantic comedy movies, British musical movies, British LGBT movies, American romantic comedy movies, American musical movies, American LGBT movies, Movies directed by Blake Edwards
Metrovalencia	Metrovalencia, Rail transport in the Valencian Community, Underground rapid transit in Spain
Electric Dreams (movie)	1984 comedy movies, 1984 romance movies, 1980s romantic comedy movies, 1980s science fiction movies, British science fiction movies, British romantic comedy movies, American science fiction movies, American romantic comedy movies, MGM movies, Movies directed by Steve Barron
The Chase (1946 movie)	1946 movies, 1940s thriller movies, American thriller movies, Movies based on books
James Cameroon's Dark Angel	2002 video games, Beat 'em ups, PlayStation 2 games, Video games based on television shows, Xbox games
A Guy Named Joe	1943 movies, 1940s war movies, 1940s romance movies, 1940s fantasy movies, American fantasy movies, American romance movies, American war movies, World War II movies, MGM movies, Movies directed by Victor Fleming
Trevor McMahon	1929 births, Living people, New Zealand cricketers, Sportspeople from North Island
Passage to Marseille	1944 movies, 1940s war movies, 1940s adventure movies, American war movies, American adventure movies, World War II movies, Warner Bros. movies, Movies based on books, Movies directed by Michael Curtiz
Densha de Go! (series)	Arcade games, Japan exclusive video games, Nintendo Switch games, PlayStation 2 games, PlayStation 4 games, Video game series, Video games developed in Japan, Mass media franchises introduced in 1996, Wii games, Windows games
Reliquary	Religious objects
Lifebuoy	Protective clothing, Sailing
Table tennis at the 2016 Summer Paralympics – Men's individual – Class 6	Table tennis, 2016 in sports, Summer Paralympic Games
Operation Allies Refuge	Military of the United States, 21st century in Afghanistan, July 2021 events, August 2021 events, 2021 in Asia
Operation Pitting	2021 in Asia, August 2021 events, British Army, 2021 in the United Kingdom
Josephine, Texas	Cities in Texas
Van Alstyne, Texas	Cities in Texas
Tignes	Communes in Savoie, Ski areas and resorts
Hurricane Ida (2021)	2021 disasters, 2021 in the United States, 2020s disasters in North America, 21st century in Cuba, 21st century in Louisiana, August 2021 events, Hurricanes in Louisiana, September 2021 events
Bojano	Cities in Molise
Marquette County, Wisconsin	1848 establishments in Wisconsin, Wisconsin counties
Pinar del Río	Establishments in the Caribbean, 18th-century establishments in North America, Cities in Cuba
Adapter	Electronics, Electrical connectors
Danial Hajibarat	Iranian movie directors, 1983 births, Living people, People from Tehran, Iranian screenwriters
Pillager, Minnesota	Cities in Minnesota
Nancy Hollister	US Republican Party politicians, United States representatives from Ohio, Lieutenant Governors of Ohio, Governors of Ohio, American mayors, 1949 births, Living people
Boana maculateralis	Frogs, Animals of South America
Police, Adjective	2009 drama movies, Romanian movies, Movies directed by Corneliu Porumboiu
Little spotted kiwi	Birds of New Zealand, Flightless birds
Figanières	Communes in Var
Flassans-sur-Issole	Communes in Var
Flayosc	Communes in Var
Forcalqueiret	Communes in Var
Fox-Amphoux	Communes in Var
Titisee-Neustadt	Spa towns in Germany, Ski areas and resorts
La Garde-Freinet	Communes in Var
Garéoult	Communes in Var
Campomarino	Settlements in Molise
Ginasservis	Communes in Var
Alegrete	Cities in Rio Grande do Sul
Linhares	Cities in Brazil, Espírito Santo
Paul Gondjout	1912 births, 1990 deaths, Gabonese people, African politicians
Jaboatão dos Guararapes	Cities in Brazil, Pernambuco
Sucy-en-Brie	Communes in Val-de-Marne
Martha Ankomah	 Living people
West Sumatra	Provinces of Indonesia
Nasrul Abit	1954 births, 2021 deaths, Deaths from the COVID-19 pandemic in Indonesia, Indonesian politicians
Čechomor	Czech musical groups
2021 Madagascar food crisis	2021 disasters, 2021 in Africa, 2020s disasters in Africa, August 2021 events, July 2021 events, June 2021 events, Madagascar
Aldo Eminente	1931 births, 2021 deaths, French Olympians, Swimmers, Olympic bronze medalists
Brazilian Democratic Movement	Political parties in South America, Politics of Brazil
Sam Oji	1985 births, 2021 deaths, English footballers, Sportspeople from London
Jin Renqing	1944 births, 2021 deaths, Chinese politicians, Deaths from fire, Communists
Priscilla Baltazar-Padilla	1958 births, 2021 deaths, Filipino politicians, Filipino lawyers, People from Manila
Stjepan Babić	1925 births, 2021 deaths, Croatian writers, Croatian politicians, Linguists, Academics, People from Zagreb
Rodolfo Aínsa	1944 births, 2021 deaths, Spanish politicians
Sabiñánigo	Municipalities in Aragon
Calogero Lo Giudice	1930s births, 2021 deaths, MEPs for Italy, People from Sicily
Harry Kent (cyclist)	1947 births, 2021 deaths, New Zealand sportspeople, Cyclists, Deaths from stroke
Pakistan Science Club	Science stubs
Catch It, Bin It, Kill It	2009 in the United Kingdom, 2020s in the United Kingdom, Healthy lifestyle, COVID-19 pandemic
Teresa Żylis-Gara	1930 births, 2021 deaths, Polish stage actors, Polish singers, Opera singers
Our Idiot Brother	2011 comedy-drama movies, American comedy-drama movies
Science and Star Wars	Star Wars, Science
Saint-Aubin-le-Guichard	Former communes in France, Communes in Eure
Upland moa	Birds of New Zealand, Flightless birds
Eastern moa	Birds of New Zealand, Flightless birds
Eye of the Needle (movie)	1981 movies, British movies, Spy movies, Thriller movies, English-language movies, Movies based on books, World War II movies, Movies set in the 1940s, Movies set in London, Movies set in England, Movies set in Scotland, Movies set in islands, Movies directed by Richard Marquand
Crested moa	Birds of New Zealand, Flightless birds
Green Fire	1954 drama movies, 1950s adventure movies, American adventure movies, American drama movies, Movies based on books, MGM movies, Movies directed by Andrew Marton
Kundun	1997 drama movies, 1990s biographical movies, American biographical movies, American drama movies, Moroccan movies, Monégasque movies, Movies set in Asia, Movies set in China, Movies directed by Martin Scorsese
Shuki Levy	American composers, Anime composers, Saban Entertainment
Saban Entertainment	Saban Entertainment, 1980 establishments, 2002 disestablishments, Defunct companies
Saban Capital Group	Anime companies, Saban Entertainment
Tehrik-i-Taliban Pakistan	Terrorism, Pakistan
Panjshir resistance	War in Afghanistan (since 1978)
Ratchet Deadlocked	2002 video games, PlayStation 2 games, PlayStation 3 games, MacOS games
List of Chinese painters	Chinese painters, Lists of people
