Executive order (United States)	United States law
Hubert Dreyfus	1929 births, 2017 deaths, American philosophers, Cancer deaths in California, Deaths from prostate cancer, Harvard University alumni, Jewish American academics, Jewish American scientists, Jewish American writers, Jewish philosophers, People from Terre Haute, Indiana, University of California, Berkeley faculty, Writers from Indiana
William Hjortsberg	1941 births, 2017 deaths, Deaths from pancreatic cancer, American novelists, American screenwriters, Writers from New York City
John Sparrow David Thompson	Prime Ministers of Canada, 1845 births, 1894 deaths, Privy Councillors (Canada), Canadian Queen's Counsel, Members of the House of Commons of Canada
Chriet Titulaer	1943 births, 2017 deaths, Dutch astronomers, Dutch television presenters, People from Venlo, Writers from Limburg (Netherlands)
Michael Williams, Baron Williams of Baglan	1949 births, 2017 deaths, Disease-related deaths in London, Politicians from London
Specific heat	Pages created with the Article Wizard from 2017
Agustín Edwards Eastman	1927 births, 2017 deaths, Deaths from respiratory failure, Disease-related deaths in Chile, Chilean writers, Publishers, Chilean businesspeople, Writers from Paris
Eskifjörður	Towns in Iceland
Spokane Native Americans	Native American
Dante Parini	1884 births, 1971 deaths, Italian architects, Italian painters, Italian sculptors, People from Milan
Annie Jump Cannon	1863 births, 1941 deaths, American astronomers, Harvard University, Scientists from Delaware, People from Dover, Delaware
Scaphocephaly	Disorders
Eddie Meduza	Swedish musicians, 1948 births, 2002 deaths
Björn Afzelius	1947 births, 1999 deaths, Swedish musicians, Deaths from lung cancer
Kathleen Crowley	1929 births, 2017 deaths, American movie actors, American television actors, Actors from New Jersey
Benjamin Barber	1939 births, 2017 deaths, Deaths from pancreatic cancer, Cancer deaths in New York City, American philosophers, American political writers, American educators, Writers from New York City
Ken Sears	1933 births, 2017 deaths, New York Knicks players, Golden State Warriors players, Sportspeople from California
Munyua Waiyaki	1925 births, 2017 deaths, Deaths from pneumonia, Kenyan people, Civil servants
Sasha Lakovic	1971 births, 2017 deaths, Actors from British Columbia, American Hockey League players, Deaths from brain cancer, Calgary Flames players, Canadian ice hockey right wingers, Canadian movie actors, Colonial Hockey League players, ECHL players, International Hockey League (1945–2001) players, New Jersey Devils players, Sportspeople from British Columbia
Brokpa tribe	Gilgit-Baltistan, Pakistani tribes
IOS 11	Operating systems, IOS
Grimisuat	Municipalities of Valais
Salins, Switzerland	Former municipalities of Valais, Sion, Switzerland
Savièse	Municipalities of Valais
Balad	1995 establishments, Nationalist organizations, Social democratic parties, Political parties in Israel, 1990s establishments in Israel
Jona Lewie	1947 births, Living people, English singer-songwriters, English pop singers, English pop musicians, English rock singers, English rock guitarists, Blues guitarists, Keyboardists
Veysonnaz	Municipalities of Valais
Tajammua	1995 establishments, Nationalist organizations, Political parties in Israel, 1990s establishments in Israel
Baltschieder	Municipalities of Valais
Embd	Municipalities of Valais
Grächen	Municipalities of Valais
Lalden	Municipalities of Valais
Frank Rizzo	1920 births, 1991 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in the United States, Mayors of Philadelphia, US Democratic Party politicians, US Republican Party politicians
Night of terror	1917 in the United States, Feminism, November 1917 events, Protests in the 1910s
Sarah Parker Remond	1815 births, 1894 deaths, American civil rights activists, American abolitionists, American educators, American physicians, Writers from Massachusetts, People from Salem, Massachusetts
Philadelphia race riot	20th century in Philadelphia, 1964 in the United States, Race
Sophie Scholl	1921 births, 1943 deaths, Executed German people, German people of World War II, People executed by decapitation, People from Baden-Württemberg, Victims of Nazism
Air India Flight 855	Aviation disasters in the 1970s, Aviation disasters in Asia, 1978 in Asia, January events
108 (number)	Integers
Sphygmomanometer	Medical equipment, Physiology, Blood pressure
Randa, Switzerland	Municipalities of Valais
Saas Almagell	Municipalities of Valais
Bell TH-57 Sea Ranger	Military aircraft, Helicopters, Bell aircraft, United States Marine Corps aircraft, United States Navy aircraft
Dale E. Wolf	1924 births, 2021 deaths, Governors of Delaware, US Republican Party politicians, Businesspeople from Wilmington, Delaware, Businesspeople from Nebraska, Politicians from Wilmington, Delaware, Politicians from Nebraska, Lieutenant Governors of Delaware
Vinod Khanna	1946 births, 2017 deaths, Deaths from bladder cancer, Cancer deaths in India, Indian movie actors, Indian politicians
William G. Morgan	1870 births, 1942 deaths, Deaths from pneumonia, Disease-related deaths in Massachusetts, American inventors, American educators, Businesspeople from Massachusetts, Businesspeople from New York, Sportspeople from New York, Sportspeople from Massachusetts, People from Lockport, New York, People from Holyoke, Massachusetts
Black Panther Party	1966 establishments in the United States, 1982 disestablishments in the United States, Political parties in the United States, American civil rights, Civil rights organizations, 1970s in the United Kingdom
Sylvia Rivera	1951 births, 2002 deaths, American civil rights activists, American LGBT rights activists, Cancer deaths in New York City, Deaths from liver cancer, Drag queens, Gay men, LGBT people from New York City
Clara Hale	1905 births, 1992 deaths, Deaths from stroke, Cardiovascular disease deaths in New York City, Humanitarians, American activists, People from North Carolina
Leo Baxendale	1930 births, 2017 deaths, Cancer deaths in England, English artists, Cartoonists, Writers from Lancashire
Pere Tàpias	1946 births, 2017 deaths, Deaths from heart failure, Cardiovascular disease deaths in Spain, Spanish writers, Radio personalities, Critics
Peter George (professor)	1941 births, 2017 deaths, Canadian academics, Cancer deaths in Ontario, Canadian economists, Writers from Toronto
McMaster University	Colleges and universities in Canada, Hamilton, Ontario, 1890 establishments, 1890s establishments in Canada
Peter Hall (director)	Tony Award winners, Drama Desk Award winners, 1930 births, 2017 deaths, Deaths from dementia, Deaths from pneumonia, Disease-related deaths in London, British movie directors, British television directors, British playwrights, British movie actors, British theatre directors, Actors from Suffolk
Morelia amethistina	Pythons, Reptiles of Australia
Saas Balen	Municipalities of Valais
Boshin War	Wars involving Japan, 1868, 1869, 1860s in Asia, History of Japan
Pambio-Noranco	Former municipalities of Ticino
Pregassona	Former municipalities of Ticino
United Arab List	1996 establishments, 1990s establishments in Israel, Islamic organizations, Nationalist organizations, Political parties in Israel, Religion in Israel
Ta'al	1990s establishments in Israel, Nationalist organizations, Political parties in Israel
Casimir effect	Physics
Philippe Mestre	1927 births, 2017 deaths, Civil servants, French businesspeople, Government ministers of France
Brazo de Oro (wrestler)	1959 births, 2017 deaths, Deaths from myocardial infarction, Mexican professional wrestlers, Sportspeople from Mexico City
Audre Lorde	1934 births, 1992 deaths, Deaths from liver cancer, American feminists, American novelists, American poets, LGBT people from New York City, Lesbian feminists, LGBT African Americans, LGBT writers, American human rights activists, American civil rights activists, Writers from New York City
Austin County, Texas	Texas counties
Bexar County, Texas	Texas counties
Atascosa County, Texas	Texas counties
Blanco County, Texas	Texas counties
Cameron County, Texas	Texas counties
Orpheus and Eurydice	Greek mythology
Differential scanning calorimeter	Materials science
Against All Odds (N-Dubz album)	2009 albums, N-Dubz albums, Hip hop albums, Grime albums, R&B albums
Love.Live.Life	2010 albums, N-Dubz albums, Hip hop albums, Grime albums, R&B albums
Vito Acconci	1940 births, 2017 deaths, Deaths from stroke, Cardiovascular disease deaths in New York City, American artists, American painters, American architects, American critics, Writers from New York City
Dina Ali Lasloom	1983 births, Political prisoners, Possibly living people, Saudi Arabian people, Teachers
Heat of combustion	Nutrition, Energy
Ray Wilson	1934 births, 2018 deaths, Deaths from Alzheimer's disease, English footballers, English football managers, People from Derbyshire
Dharmendra	1935 births, Living people, Indian movie actors, Indian movie producers, Indian politicians
Nicholas Sand	1941 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in California, American chemists, Scientists from New York City
Terry Cavanagh	1926 births, 2017 deaths, Canadian businesspeople, Canadian ice hockey forwards, Canadian mayors, Ice hockey people from Alberta, Mayors, Sportspeople from Edmonton
Zhanjiang	Guangdong
Bell TH-67 Creek	Military aircraft, Helicopters, Bell aircraft, United States Army aircraft
Mad Libs	Word games
Anne Noë	1959 births, Living people, Belgian footballers, Belgian football managers, Women's association football goalkeepers
Bone, Idaho	Unincorporated communities in Idaho
Utah Beach	European battles of World War II, Normandy, 1940s in France, 1944 in Europe, June 1944 events
Camp County, Texas	Texas counties
Bandera County, Texas	Texas counties
Bastrop County, Texas	Texas counties
Baylor County, Texas	Texas counties
Bee County, Texas	Texas counties
Bell County, Texas	Texas counties
Borden County, Texas	Texas counties
Grand slam (baseball)	Baseball, Sports words
Bell 407	Civil aircraft, Helicopters, Bell aircraft
Saeed Karimian	1972 births, 2017 deaths, Iranian people
Deaths in May 2017	2017 deaths, May 2017 events
Donald Sarason	1933 births, 2017 deaths, American mathematicians, American educators, Scientists from Detroit, Michigan, Writers from Detroit, Michigan
Carl Christ	1923 births, 2017 deaths, American economists, American educators, Scientists from Chicago, Writers from Chicago
Chad Young	1995 births, 2017 deaths, Deaths in sport, American cyclists, Sportspeople from New Hampshire
R. Vidyasagar Rao	1939 births, 2017 deaths, Deaths from bladder cancer, Cancer deaths in India, Indian politicians, Indian engineers, Civil servants, Telangana
Belchior (singer)	1946 births, 2017 deaths, Deaths from multiple organ failure, Disease-related deaths in Brazil, Brazilian singers, Composers
Boris Oleynik	1935 births, 2017 deaths, Deaths from heart failure, Ukrainian politicians, Ukrainian writers, Ukrainian educators, European diplomats, Poets, European translators
Les Mills	1934 births, Living people, New Zealand sportspeople, New Zealand politicians, Mayors, People from Auckland
Ueli Steck	1976 births, 2017 deaths, Deaths in sport, Swiss sportspeople, Rock climbing
NN ingen Cináed	830s births, 9th century deaths, Princes and princesses
Macbeth, King of Scotland	Kings and Queens of Scotland, 1057 deaths, 1000s births
Young kings of England	Kings and Queens of England
Donald I of Scotland	Kings and Queens of Scotland, 812 births, 862 deaths, 9th century in Scotland
Jerry Heller	1940 births, 2016 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in California, Businesspeople from Cleveland, Ohio
House of Alpin	Kings and Queens of Scotland, 9th century in Scotland, 10th century in Scotland
House of Dunkeld	British royalty
George Genyk	1938 births, 2017 deaths, Deaths from stomach cancer, Cancer deaths in Arizona, American football linebackers, American football coaches, Sportspeople from Detroit, Michigan
Constantine I of Scotland	9th century births, 877 deaths, Kings and Queens of Scotland, 9th century in Scotland
Áed, king of Scots	840s births, 878 deaths, Kings and Queens of Scotland, 9th century in Scotland
Lesula	Old World monkeys, Mammals of Africa
Green pheasant	Birds of Asia, Animals of Japan, Phasianidae
Turan University	Kazakhstan, Colleges and universities in Asia, 1992 establishments in Asia
Giric	Kings and Queens of Scotland, 9th century births, 890 deaths, 9th century in Scotland
Eochaid of Scotland	Kings and Queens of Scotland, 860s births, 880s deaths, 9th century in Scotland
Donald II of Scotland	Kings and Queens of Scotland, 860s births, 900 deaths, 9th century in Scotland
Paintings of Scottish Monarchs	History of Scotland, Monarchy
Lorna Gray	1917 births, 2017 deaths, Deaths from natural causes, Disease-related deaths in Los Angeles, American movie actors, American television actors, Actors from Grand Rapids, Michigan
Raymond P. Kogovsek	1941 births, 2017 deaths, United States representatives from Colorado, US Democratic Party politicians, People from Pueblo, Colorado
Erik Martin	1936 births, 2017 deaths, German composers, German journalists, Songwriters, Environmentalists
Constantine II of Scotland	Kings and Queens of Scotland, 952 deaths, 9th century births
Jean Stein	1934 births, 2017 deaths, American editors, American historians, American journalists, Jewish American writers, Jews who committed suicide, Suicides by jumping in the United States, Writers from Los Angeles, California, Writers who committed suicide
Presidente Hayes Department	Departments of Paraguay
Malcolm I of Scotland	Kings and Queens of Scotland, 9th century births, 954 deaths, 10th century in Scotland
William vanden Heuvel	1930 births, 2021 deaths, Deaths from pneumonia, Ambassadors of the United States, American lawyers, Businesspeople from New York, Politicians from New York, Writers from New York, US Democratic Party politicians, People from Rochester, New York
Pinch hitter	Baseball rules, Baseball positions
Pennyroyal	Lamiaceae, Herbs
Indulf of Scotland	Kings and Queens of Scotland, 10th century births, 962 deaths, 10th century in Scotland
Anubias gilletii	Anubias
Erkki Kurenniemi	1941 births, 2017 deaths, Finnish musicians, Philosophers, Designers, Finnish movie directors, Finnish educators
Archduke Joseph Árpád of Austria	1933 births, 2017 deaths, People from Budapest
Bruce Hampton	1947 births, 2017 deaths, Deaths from myocardial infarction, American guitarists, American rock musicians, Singers from Atlanta, Georgia, Musicians from Atlanta, Georgia
George Hugh Niederauer	1936 births, 2017 deaths, American Roman Catholics, Cancer deaths in California, Deaths from lung cancer, People from Los Angeles, California, Roman Catholic archbishops
Abelardo Castillo	1935 births, 2017 deaths, Deaths from pneumonia, Argentine writers, Novelists, Essayists
Yisrael Friedman	1923 births, 2017 deaths, Israeli educators, Israeli rabbis, Naturalized citizens of Israel, Romanian Jews
José Manuel Martín	1924 births, Living people, Spanish movie actors, Spanish television actors, Spanish screenwriters
Mitch Landrieu	1960 births, Living people, Mayors of New Orleans, US Democratic Party politicians, Lieutenant Governors of Louisiana
Seth Moulton	1978 births, Living people, 2020 United States presidential candidates, American military people, American Protestants, Businesspeople from Massachusetts, Harvard University alumni, People from Salem, Massachusetts, United States representatives from Massachusetts, US Democratic Party politicians
Harold Bedoya Pizarro	1938 births, 2017 deaths, Colombian politicians, Deaths from lymphoma, South American military people
Kohlrabi	Vegetables, Brassica oleracea
Mohamed Talbi	1921 births, 2017 deaths, Deaths from respiratory failure, Tunisian academics, Historians
Stoyanka Mutafova	1922 births, 2019 deaths, Movie actors, Stage actors, People from Sofia
Let L-410	Czechoslovakia, Civil aircraft, Military aircraft
Pingali Venkayya	1876 births, 1963 deaths, Designers, Indian activists
Negombo	Settlements in Sri Lanka
Saas Grund	Municipalities of Valais
St. Niklaus, Switzerland	Municipalities of Valais
Stalden, Switzerland	Municipalities of Valais
Staldenried	Municipalities of Valais
Karel Schoeman	1939 births, 2017 deaths, People who committed suicide, Deaths from starvation, South African writers, Novelists, Translators, Historians
Mishaal bin Abdulaziz Al Saud	1926 births, 2017 deaths, Saudi Arabian people, Politicians, Princes and princesses
Bob Givens	1918 births, 2017 deaths, Deaths from respiratory failure, Disease-related deaths in California, American animators, Designers, Disney people, People from California
Abbas Abdullahi Sheikh Siraji	1985 births, 2017 deaths, Assassinated people, Somali politicians
Leo K. Thorsness	1932 births, 2017 deaths, American military personnel of the Vietnam War, Cancer deaths in Florida, Colonels, Deaths from leukemia, Medal of Honor recipients, American political writers, Politicians from Minnesota, Politicians from South Dakota, Politicians from Washington, Writers from Minnesota, Writers from Washington, Writers from South Dakota, US Republican Party politicians
Moray Watson	1928 births, 2017 deaths, Deaths from pneumonia, Disease-related deaths in London, English movie actors, English television actors, English stage actors, Actors from Berkshire
Eugene V. Lux	1926 births, 2019 deaths, Politicians from Nebraska, Politicians from Washington, People from Lincoln, Nebraska, US Democratic Party politicians
Saint Lawrence Seaway	Water transport, Canals, Geography of North America
Ernest E. West	1931 births, 2021 deaths, American military people, Medal of Honor recipients, Purple Heart recipients, People from Kentucky
Howard V. Lee	1933 births, 2019 deaths, American military personnel of the Vietnam War, Medal of Honor recipients, People from New York City, Purple Heart recipients
Arthur J. Jackson	1924 births, 2017 deaths, Medal of Honor recipients, Purple Heart recipients, American military people, People from Cleveland, Ohio
Wilburn K. Ross	1922 births, 2017 deaths, American military personnel of the Korean War, American military personnel of World War II, Medal of Honor recipients, People from Kentucky
Robert E. Simanek	1930 births, Living people, Medal of Honor recipients, Purple Heart recipients, American military people, People from Detroit, Michigan
Duane E. Dewey	1931 births, Living people, American military people, Medal of Honor recipients, Purple Heart recipients, People from Grand Rapids, Michigan
Charles Kettles	1930 births, 2019 deaths, American military people, Colonels, Medal of Honor recipients, People from Michigan
Bennie G. Adkins	1934 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Medal of Honor recipients, American military people, People from Oklahoma
Robert J. Modrzejewski	1934 births, Living people, Medal of Honor recipients, Purple Heart recipients, American military people, People from Milwaukee, Wisconsin
Wesley L. Fox	1931 births, 2017 deaths, Medal of Honor recipients, American military people, People from Virginia
Roger Donlon	1934 births, Living people, Medal of Honor recipients, American military people, People from New York
Patrick Henry Brady	1936 births, Living people, American generals, Medal of Honor recipients, People from South Dakota, Purple Heart recipients
Beatrice Mintz	1921 births, Living people, Scientists from New York City, Writers from New York City, Developmental biologists, American geneticists, Female scientists
Ágnes Keleti	1921 births, Living people, Hungarian Jews, Hungarian gymnasts, Jewish Israeli sportspeople, Naturalized citizens of Israel, Olympic bronze medalists, Olympic gold medalists, Olympic silver medalists, Sportspeople from Budapest
Edgar Morin	1921 births, Living people, French philosophers, French educators, Communists, European sociologists, French critics, Writers from Paris
Thaanaa Serndha Koottam	Indian movies, Tamil-language movies, 2017 movies, Action movies, Thriller movies
Samaira Sandhu	Living people, Year of birth missing (living people), Indian writers, Indian actors, Punjab, India
Dhayam	Indian movies
Daliah Lavi	1942 births, 2017 deaths, Actresses who played Bond girls, Israeli movie actors, Israeli models, Israeli singers, Jewish actors, Jewish Israeli musicians, Jewish models
Victor Lanoux	1936 births, 2017 deaths, Deaths from stroke, French movie actors, French television actors, French stage actors, Actors from Paris
Roy Gater	1940 births, 2017 deaths, English footballers, Sportspeople from Staffordshire
Heinz Kessler	1920 births, 2017 deaths, German criminals, German generals, German prisoners, Government ministers of East Germany, Members of the Volkskammer, People from former German territories, Politicians of the Socialist Unity Party of Germany, Soviet military personnel of World War II
Medical cannabis	Law, Cannabis
Antonov Serial Production Plant	Manufacturing, Aircraft, 1946 establishments, Kiev
Oranjestad, Aruba	Aruba, Capital cities in North America
Jerzy Stuhr	1947 births, Living people, Polish movie directors, Polish screenwriters, Polish movie actors, Polish playwrights, People from Kraków
Timo Mäkinen	1938 births, 2017 deaths, Deaths from myelodysplastic syndrome, Finnish racecar drivers, Sportspeople from Helsinki
Ronna Romney McDaniel	1973 births, Living people, Politicians from Austin, Texas, Politicians from Michigan, US Republican Party politicians
American Health Care Act of 2017	Health care, 2017 in the United States
DWIN-TV	Filipino television stations
Izzue Islam	Living people, Malaysian actors
DZBB	Radio stations in the Philippines, Quezon City
Découvertes Gallimard	Encyclopedias, Essays, Series of books, Non-fiction books
Huddersfield Giants	Football clubs, Huddersfield
Star network	Computer networking
Bus network	Networks
Port Elizabeth	Cities in South Africa
Täsch	Municipalities of Valais
Törbel	Municipalities of Valais
Arable land	Agriculture
Visperterminen	Municipalities of Valais
Zeneggen	Municipalities of Valais
Bandaranaike International Airport	Sri Lanka, Airports in Asia
Chelsea, Massachusetts	Cities in Massachusetts
R. Lee Wrights	1958 births, 2017 deaths, Deaths from cardiac arrest, Deaths from multiple organ failure, Cardiovascular disease deaths in Texas, 2012 United States presidential candidates, American political activists, US Libertarian Party politicians
Buhe (politician)	1926 births, 2017 deaths, Chinese politicians, Communists
Benny Elon	1954 births, 2017 deaths, Deaths from throat cancer, Former Members of Knesset, Government ministers of Israel, Israeli rabbis, Jewish Israeli politicians, People from Jerusalem
Almir Guineto	1946 births, 2017 deaths, Deaths from kidney disease, Deaths from diabetes, Brazilian singers, Brazilian musicians, Brazilian writers, Songwriters, People from Rio de Janeiro
Ali Haroun	1927 births, Living people, Algerian politicians
Corinne Erhel	1967 births, 2017 deaths, Cardiovascular disease deaths in France, Deaths from myocardial infarction, French politicians, People from Brittany, Socialist Party (France) politicians
Adolph Kiefer	1918 births, 2017 deaths, American Olympic gold medalists, American swimmers, Sportspeople from Chicago
Ely Ould Mohamed Vall	1953 births, 2017 deaths, African military people, Colonels, Deaths from myocardial infarction, Presidents of Mauritania
Paddy Hopkirk	1933 births, Living people, Racecar drivers, People from Belfast
Rex White	1929 births, Living people, NASCAR drivers, American racecar drivers, Sportspeople from North Carolina
Bill Lucas (athlete)	1917 births, 2018 deaths, British military personnel of World War II, British Olympians, English centenarians, Sportspeople from London
John Shifflett	1953 births, 2017 deaths, Deaths from pancreatic cancer, Cancer deaths in California, American jazz musicians, American educators, Musicians from Iowa, People from Dubuque, Iowa
Dog bite prevention	Dogs
Janelle Kirtley	1943 births, 2017 deaths, Sportspeople from Birmingham, Alabama
Julius Youngner	1920 births, 2017 deaths, American biologists, American educators, Scientists from New York City, Scientists from Philadelphia, Pennsylvania
Agnes Giebel	1921 births, 2017 deaths, German singers, People from Heerlen
K. S. Chandrasekharan	1920 births, 2017 deaths, Deaths from pneumonia, Swiss scientists, Indian educators, Swiss mathematicians, Indian mathematicians
Edwin Sherin	Pulitzer Prize winners, Drama Desk Award winners, 1930 births, 2017 deaths, American television directors, American television producers, American stage actors, Canadian television directors, Canadian television producers, Canadian stage actors, Actors from Pennsylvania, People from Harrisburg, Pennsylvania
Altikon	Municipalities of Zürich
Andelfingen, Switzerland	Municipalities of Zürich
Bachenbülach	Municipalities of Zürich
Bachs	Municipalities of Zürich
Bäretswil	Municipalities of Zürich
Leila Seth	1930 births, 2017 deaths, Deaths from cardiac arrest, Deaths from respiratory failure, Indian politicians, Indian judges, Women judges
2012 French presidential election	2012 in Europe, 2012 elections, 2010s in France, Presidential elections in France
National Rally (France)	Political parties in France, Eurosceptic parties
2007 French presidential election	2007 in France, 2007 elections, Presidential elections in France
Sophie Howard	1993 births, Living people, People from Hanau, Scottish footballers, Sportspeople from Hesse
Anubias afzelii	Anubias
Bauma	Municipalities of Zürich
Steven Holcomb	1980 births, 2017 deaths, Deaths from pulmonary edema, Disease-related deaths in New York, American Olympic gold medalists, Sportspeople from Utah
Milites	Military, Ancient Rome, Latin words and phrases, Knights
C. Jackson Grayson	1923 births, 2017 deaths, Businesspeople from Louisiana, Writers from Louisiana
Amancio Escapa Aparicio	1938 births, 2017 deaths, Roman Catholic bishops, Spanish Roman Catholics
Val Jellay	1927 births, 2017 deaths, Deaths from pneumonia, Australian movie actors, Australian television actors, Actors from Sydney
Rais Khan	1939 births, 2017 deaths, Pakistani people, Musicians
Min Bahadur Sherchan	1931 births, 2017 deaths, Nepalese people, Mountain climbers
Elon Lages Lima	1929 births, 2017 deaths, Brazilian educators, Mathematicians, Brazilian scientists
Gholamreza Pahlavi	1923 births, 2017 deaths, Deaths from pneumonia, Disease-related deaths in Paris, Princes and princesses, Persian people, Writers, People from Tehran
Wu Wenjun	1919 births, 2017 deaths, Chinese mathematicians, Chinese academics, People from Shanghai
5-demicube	Geometry
Eva García Sáenz de Urturi	Novelists
The Eagle	Pubs, Cambridge
Benken, Zürich	Municipalities of Zürich
Berg am Irchel	Municipalities of Zürich
Bertschikon bei Attikon	Former municipalities of Zürich
Bonstetten, Switzerland	Municipalities of Zürich
Boppelsen	Municipalities of Zürich
Brütten	Municipalities of Zürich
Bubikon	Municipalities of Zürich
Alberto Hurtado	1901 births, 1952 deaths, Chilean people, Jesuits, Saints
Buch am Irchel	Municipalities of Zürich
Buchs, Zürich	Municipalities of Zürich
Bülach	Municipalities of Zürich, Cities in Switzerland
2002 French presidential election	2002 elections, Presidential elections in France, 2002 in Europe, 2000s in France
Bruno Mégret	1949 births, Living people, Former MEPs, MEPs for France, National Front (France) politicians, Politicians from Paris
Daniel Gluckstein	1953 births, Living people, Jewish French politicians, Politicians from Paris
Party for Japanese Kokoro	Political parties in Japan, Conservative parties
Kheer	Indian food
2014 Japanese general election	2014 elections, 2014 in Japan, December events
Shaun Kenny-Dowall	1988 births, Living people, New Zealand Māori people, New Zealand rugby league players, People from Brisbane
Anubias gigantea	Anubias
Dachsen	Municipalities of Zürich
Moon Jae-in	1953 births, Living people, Presidents of South Korea, Current national leaders
Dägerlen	Municipalities of Zürich
Lou Richards	1923 births, 2017 deaths, Deaths from dementia, Australian footballers, Australian journalists, Writers from Victoria (Australia), Sportspeople from Victoria (Australia)
Dällikon	Municipalities of Zürich
Lagenandra dewitii	Araceae
Dänikon	Municipalities of Zürich
Bob Beatty	American football coaches, 1955 births, Sportspeople from Missouri, Living people
Butler, Missouri	Cities in Missouri, County seats in Missouri
Dättlikon	Municipalities of Zürich
Dielsdorf	Municipalities of Zürich
Dietikon	Municipalities of Zürich, Cities in Switzerland
Bosque County, Texas	Texas counties
Bowie County, Texas	Texas counties
Brazoria County, Texas	Texas counties
Brazos County, Texas	Texas counties
North American Soccer League (1968–84)	Football leagues, 1968 establishments, 1984 disestablishments
Andrew McCabe	Living people, 1968 births, Directors of the Federal Bureau of Investigation, American lawyers, Businesspeople from Hartford, Connecticut, Politicians from Hartford, Connecticut
Christopher Boykin	1972 births, 2017 deaths, Deaths from heart failure, Cardiovascular disease deaths in Texas, American television presenters, Businesspeople from Mississippi, American television personalities, Musicians from Mississippi, Entertainers from Mississippi
Petrozavodsk	Capitals of republics of Russia, Cities in Russia
Allan H. Meltzer	1928 births, 2017 deaths, American economists, American educators, Scientists from Boston, Massachusetts
Gran Apache	1959 births, 2017 deaths, Deaths from colorectal cancer, Cancer deaths in Mexico, Mexican professional wrestlers, Sportspeople from Mexico City
Arthur Moulin	1924 births, 2017 deaths, French mayors
Guadalupe Victoria	Presidents of Mexico
Kevin Hassett	1962 births, Living people, American economists, Businesspeople from Massachusetts, Politicians from Massachusetts, American conservatives, United States Council of Economic Advisers, US Republican Party politicians
Emerging technologies	Technology
Dietlikon	Municipalities of Zürich
Dinhard	Municipalities of Zürich
Dorf, Switzerland	Municipalities of Zürich
Avigdor Lieberman	1958 births, Living people, Government ministers of Israel, Hebrew University of Jerusalem alumni, Israeli political leaders, Israeli trade unionists, Jewish Israeli politicians, Members of Knesset, Naturalized citizens of Israel, People from Chișinău, Soviet Jews, Yisrael Beiteinu politicians, Zionists
Fescoggia	Former municipalities of Ticino, Villages in Ticino
Lord Protector of the Commonwealth of England, Scotland and Ireland	Heads of state, Titles
Dübendorf	Municipalities of Zürich, Cities in Switzerland
Nick Galifianakis (politician)	1928 births, Living people, American academics, People from Durham, North Carolina, American lawyers, United States representatives from North Carolina, US Democratic Party politicians
Arthur Ravenel Jr.	1927 births, Living people, Businesspeople from South Carolina, People from Charleston, South Carolina, United States representatives from South Carolina, US Republican Party politicians, South Carolina Republicans
Arthur Ravenel Jr. Bridge	Bridges in the United States, South Carolina
William E. Dannemeyer	1929 births, 2019 deaths, Deaths from dementia, Disease-related deaths in California, United States representatives from California, American conservatives, American judges, American activists, Writers from California, People from Long Beach, California, US Republican Party politicians
Esteban Edward Torres	1930 births, Living people, United States representatives from California, Politicians from Arizona, US Democratic Party politicians
Imke Courtois	1988 births, Living people, Belgian footballers, People from Flemish Brabant
Ron Packard	1931 births, Living people, United States representatives from California, Politicians from Idaho, US Republican Party politicians
Al McCandless	1927 births, 2017 deaths, United States representatives from California, US Republican Party politicians
Cornelius Edward Gallagher	1921 births, 2018 deaths, Deaths from brain cancer, Cancer deaths in New Jersey, People from Bayonne, New Jersey, United States representatives  from New Jersey, US Democratic Party politicians
Frank Joseph Guarini	1924 births, Living people, New York University alumni, People from Jersey City, New Jersey, United States representatives from New Jersey, US Democratic Party politicians
Konstantin Stanislavski	1863 births, 1938 deaths, Deaths from myocardial infarction, Russian stage actors, Russian educators, Russian theatre directors, Actors from Moscow
Herb Klein (politician)	1930 births, Living people, American lawyers, Businesspeople from Newark, New Jersey, Harvard University alumni, Jewish American politicians, Jewish businesspeople, Jewish lawyers, New York University alumni, Politicians from Newark, New Jersey, United States representatives from New Jersey, US Democratic Party politicians
Lawson Soulsby, Baron Soulsby of Swaffham Prior	1926 births, 2017 deaths, British biologists, British politicians
Curt Lowens	1925 births, 2017 deaths, American movie actors, American stage actors, American television actors, German Jews, Holocaust survivors, Jewish American actors, Naturalized citizens of the United States
Robert Miles	1969 births, 2017 deaths, Cancer deaths in Spain, Swiss musicians, Swiss composers, Italian musicians, Italian composers
Beauty and the Beast (2017 movie)	2017 movies, Beauty and the Beast (Disney), Musicals, Disney movie remakes
Qian Qichen	1928 births, 2017 deaths, Chinese politicians, Ambassadors of China, People from Shanghai
Edward Lunn Young	1920 births, 2017 deaths, American aviators, American military personnel of World War II, Majors, United States representatives from South Carolina, US Republican Party politicians, South Carolina Republicans
Nelson Xavier	1941 births, 2017 deaths, Deaths from lung disease, Disease-related deaths in Brazil, Brazilian movie actors, Brazilian movie directors, Brazilian television actors, People from São Paulo
Jasmine Directory	Databases, Websites
