Remo Sernagiotto	1955 births, 2020 deaths, Former MEPs, MEPs for Italy, Deaths from myocardial infarction
Arsphenamine	Antibiotics
Puerto Vallarta	Cities in Mexico, Jalisco
Hawk Junction	Settlements in Ontario
Wawa, Ontario	Settlements in Ontario
FIFA Puskás Award	FIFA, Sports trophies and awards, 2009 establishments
Territory (animal)	Ethology
Similar frog	Animals of Asia, Frogs
S.L. Benfica B	20th century establishments in Portugal, 1999 establishments in Europe, Portuguese football clubs, Reserve football teams
Eustace IV , Count of Boulogne	1153 deaths
Hypergamy	Marriage, Human sexuality
2020 United States Senate elections	2020 United States Senate elections
Eltham	Areas of London, London Borough of Greenwich
You, the Living	2007 drama movies, Swedish movies, German drama movies, French drama movies, Danish movies, Norwegian movies, Japanese movies, Movies directed by Roy Andersson
Margaret Mead	1901 births, 1978 deaths, American anthropologists, Writers from Philadelphia, Pennsylvania, Deaths from pancreatic cancer
One Night of Love	1934 movies, 1930s romance movies, 1930s musical movies, American romance movies, American musical movies, Movies based on books, Movies directed by Victor Schertzinger
Beloved (1934 movie)	1934 movies, 1930s drama movies, American drama movies, Movies directed by Victor Schertzinger
Ralph K. Winter Jr.	1935 births, 2020 deaths, American judges, American lawyers, Politicians from Connecticut, People from Waterbury, Connecticut, US Republican Party politicians, American conservatives
Greg Burdine	1959 births, 2020 deaths, State legislators of the United States, Politicians from Alabama, People from Florence, Alabama, US Democratic Party politicians
Collie	Dogs
Michael F. Land	1942 births, 2020 deaths, British biologists, Neurologists, People from Sussex
Frank Christopherson Jr.	1927 births, 2020 deaths, State legislators of the United States, Politicians from Wisconsin, US Democratic Party politicians
Jeff Clayton	1954 births, 2020 deaths, Deaths from kidney cancer, Cancer deaths in Los Angeles, American saxophonists, American jazz musicians, Musicians from Los Angeles, California
Hybristophilia	Paraphilias
Mekere Morauta	1946 births, 2020 deaths, Prime Ministers of Papua New Guinea, Economists
Welsh Sheepdog	Dog breeds
Xavier Espot Zamora	1979 births, Living people, Prime Ministers of Andorra, Current national leaders
Han Grijzenhout	1932 births, 2020 deaths, Dutch football managers, Sportspeople from Amsterdam
Peter Lamont	1929 births, 2020 deaths, Academy Award winners, Satellite Award winners, British artists, Businesspeople from London
Michał Marusik	1951 births, 2020 deaths, MEPs for Poland, Former MEPs
Bearded Collie	Dog breeds
Jerry Relph	1944 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, State legislators of the United States, Politicians from Boston, Massachusetts, Politicians from Minnesota, US Republican Party politicians
Ray Rogers (politician)	1931 births, 2020 deaths, State legislators of the United States, Politicians from Mississippi, US Republican Party politicians, Businesspeople from Mississippi
Pearl, Mississippi	Cities in Mississippi
Tim Severin	1940 births, 2020 deaths, British explorers, British historians
Valentin Shurchanov	1947 births, 2020 deaths, Russian politicians, Russian journalists, Deaths from the COVID-19 pandemic in Russia
Yazid Zerhouni	1937 births, 2020 deaths, Tunisian politicians, Algerian politicians, People from Tunis, Recipients of the Order of the Rising Sun
Bram van der Vlugt	1934 births, 2020 deaths, Deaths from the COVID-19 pandemic in the Netherlands, Dutch movie actors, Dutch stage actors, Dutch television actors, Dutch voice actors, People from The Hague
Peter Yariyok Jatau	1931 births, 2020 deaths, Nigerian people, Roman Catholic priests, Roman Catholic archbishops
Joseph Kyeong Kap-ryong	1930 births, 2020 deaths, Roman Catholic bishops, Roman Catholic priests, People from Seoul
Andean mountain cat	Felines, Mammals of South America
Planisphere	Astronomy
Androsphere	Internet memes, Sexuality
Chechen Americans	Ethnic groups in the United States
Sami Americans	Ethnic groups in the United States
Group 9 element	Transition metals, Periodic table
Group 11 element	Periodic table, Transition metals
The Winter of Our Monetized Content	2019 television episodes, The Simpsons (season 31) episodes
Turkish Americans	Ethnic groups in the United States
500 Keys	2011 television episodes, The Simpsons episodes
Polydipsia	Symptoms
List of United Kingdom Parliament constituencies (1997 to present) by region	Politics of the United Kingdom
Gogi Gvakharia	1957 births, Journalists from Georgia (country), Publicists from Georgia (country), Living people
Bird's Opening	Chess openings
Amber Valley (UK Parliament constituency)	Constituencies in the United Kingdom, Derbyshire
Nigel Mills	1974 births, Living people, Conservative MPs (UK), Politicians from Nottinghamshire
Montenegrin Americans	Ethnic groups in the United States
Christopher Corey Smith	1962 births, Living people, American voice actors, American video game actors
Gruffudd ap Llywelyn ap Iorwerth	Welsh people
Elias I, Count of Maine	1110s deaths, 11th century births, French nobility
The Long Night (1947 movie)	1947 movies, 1940s crime movies, 1940s drama movies, American crime drama movies, Movies directed by Anatole Litvak
Bolsover (UK Parliament constituency)	Constituencies in the United Kingdom
Mark Fletcher (politician)	1985 births, Living people, Conservative MPs (UK), People from South Yorkshire, Gay men, English LGBT people
Tarık Solak	Living people, 1964 births, 2020 deaths, People from Ankara
Myoclonus	Medicine stubs, Medical signs
Ferdinand (movie)	2017 animated movies, 2017 comedy-drama movies, 2010s adventure movies, American animated movies, American comedy-drama movies, American adventure movies, 20th Century Fox movies, Movies composed by John Powell
Imitation of Life (1934 movie)	1934 movies, 1930s romance movies, 1930s drama movies, American romantic drama movies, Movies based on books, Movies directed by John M. Stahl
Media Nusantara Citra	1997 establishments in Asia
Viva Villa	1934 movies, 1930s western movies, American western movies, Movies based on books, MGM movies, Movies directed by Jack Conway, Movies directed by Howard Hawks, Movies directed by William A. Wellman
Battleship Potemkin	1925 movies, Russian movies, Silent movies, Movies directed by Sergei Eisenstein
The Long Voyage Home	1940 movies, 1940s drama movies, American drama movies, Movies based on plays, Movies directed by John Ford
A Stolen Life (movie)	1946 movies, 1940s drama movies, American drama movies, Movies directed by Curtis Bernhardt
Peripheral nerve block	Medicine
Clonus	Medical signs, Muscle tissue
Tarcisius Gervazio Ziyaye	1949 births, 2020 deaths, Roman Catholic archbishops, Malawian people
Bill Bullard Jr.	1943 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Cancer deaths in Michigan, State legislators of the United States, Politicians from Detroit, Michigan, US Republican Party politicians
Kirunda Kivejinja	1935 births, 2020 deaths, Ugandan politicians, Deaths from the COVID-19 pandemic in Uganda
Märta Norberg	1922 births, 2020 deaths, Swedish Olympians, Skiers
Maria Piątkowska	1931 births, 2020 deaths
Samsuddin Ahmed	1945 births, 2020 deaths, Deaths from the COVID-19 pandemic in Bangladesh, Bangladeshi politicians, Bangladeshi Muslims
Óscar Jaenada	1975 births, Living people, Spanish movie actors, Spanish television actors, Spanish voice actors, Spanish stage actors
The Hustle (movie)	2019 comedy movies, American comedy movies
Dinosaur Park Formation	Geological formations, Alberta, Badlands, Lagerstätten
Redeemed Christian Church of God	Establishments in Nigeria, 1950s establishments in Africa, 1952 establishments, Buildings and structures in Africa, Churches, Evangelicalism, Pentecostalism
Black Widower	1992 television episodes, The Simpsons (season 3) episodes
Scouse	Languages of Europe, Merseyside
Svatopluk Karásek	1942 births, 2020 deaths, Czech politicians, Political activists, Priests, People from Prague
Mile Bogović	1939 births, 2020 deaths, Deaths from the COVID-19 pandemic in Croatia, Croatian people, Roman Catholic bishops
Badlands National Park	Badlands, National parks in the United States, Geography of South Dakota, Archaeological sites in the United States
Helen Slayton-Hughes	1930 births, Living people, American television actors, American movie actors, People from Glen Ridge, New Jersey, Actors from New Jersey
Lynn Collins	1977 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Houston, Texas
Pat Smear	1959 births, Living people, American singer-songwriters, American punk musicians, American rock guitarists, American rock singers, Musicians from Los Angeles, California, Singers from Los Angeles, California, Writers from Los Angeles, California
Chesterfield (UK Parliament constituency)	Constituencies in the United Kingdom, Derbyshire
Lily-Rose Depp	1999 births, Living people, American models, American movie actors, American television actors, French models, French movie actors, French television actors, Naturalized citizens of the United States
Oleg Sentsov	1976 births, Living people, Ukrainian movie directors, Ukrainian screenwriters, Political activists
Roxanne Dunbar-Ortiz	1938 births, Living people, American feminist writers, American political activists, American political writers, American historians, Writers from San Antonio, Texas
Leo Panitch	1945 births, 2020 deaths, Deaths from the COVID-19 pandemic in Canada, Canadian educators, Marxism, Philosophers, Editors, Canadian political scientists, Writers from Toronto, People from Winnipeg, Political writers, Deaths from pneumonia, Deaths from multiple myeloma, Cancer deaths in Canada, Infectious disease deaths in Canada
Rosalind Knight	1933 births, 2020 deaths, English movie actors, English television actors, English stage actors, English voice actors, Actors from London
Ludvonga	Swazi people, Princes and princesses
Nasser Sabah Al-Ahmad Al-Sabah	1948 births, 2020 deaths, Kuwaiti people, Princes and princesses
Ngwenyama	Titles, Royalty and nobility, Eswatini
Mswati II	1868 deaths, 1820 births, History of Africa, Swazi people
Paul M. Cook	1924 births, 2020 deaths, Businesspeople from New Jersey
Toast, North Carolina	Census-designated places in North Carolina
Harpymimus	Cretaceous dinosaurs, Theropods, Dinosaurs of Asia
Celebes frog	Animals of Asia, Frogs
Red pill and blue pill	Metaphors
Deception (1946 movie)	1946 movies, 1940s crime movies, 1940s drama movies, American crime drama movies, Movies based on plays, Movies directed by Irving Rapper
Johan Cruyff Shield	Football competitions, Football in the Netherlands, 1949 in sports, 1940s establishments in the Netherlands, 1949 establishments in Europe
Haverfordwest	Towns in Wales
Manaka Iwami	1998 births, Japanese voice actors, Living people
Chitwan frog	Animals of Asia, Frogs
Bitdefender	2000s establishments in Romania, 2001 establishments in Europe, Technology companies of Europe, Bucharest
Nicholas Leo Hubbard	1895 births, 1983 deaths, American educators, Democratic Republican party (US) politicians, Businesspeople from Illinois, Military people from Illinois, United States representatives from Illinois
Canton, Missouri	Cities in Missouri
The Letter (1940 movie)	1940 movies, 1940s crime movies, 1940s drama movies, American crime drama movies, Movies based on plays, Movies directed by William Wyler
The Howards of Virginia	1940 movies, 1940s drama movies, American drama movies, Movies based on books, Movies directed by Frank Lloyd
Karin Lindberg	1929 births, 2020 deaths, Swedish Olympians, Olympic gold medalists, Olympic silver medalists, Gymnasts
Neil Robbins	1929 births, 2020 deaths, Australian Olympians, Australian athletes
Catie Lazarus	1976 births, 2020 deaths, Deaths from breast cancer, Cancer deaths in New York City, American radio personalities, Writers from Washington, D.C., Writers from New York City, Comedians from Washington, D.C., Comedians from New York City
Paul Nihill	1939 births, 2020 deaths, British Olympic silver medalists, British athletes, Sportspeople from Essex, Deaths from the COVID-19 pandemic in the United Kingdom
Eddie Lee Jackson	1949 births, 2020 deaths, State legislators of the United States, Politicians from Missouri, Politicians from Illinois, US Democratic Party politicians, Deaths from the COVID-19 pandemic in the United States, American educators
Canalou, Missouri	Cities in Missouri
Alberto Valdés Jr.	1950 births, 2020 deaths, Olympic bronze medalists, Equestrians, Sportspeople from Mexico City
Chad & Jeremy	1962 establishments in the United Kingdom, English rock bands, English pop music groups, Musical groups established in 1962
Blind-baking	Baking
Foreign Intelligence Service (Russia)	Russia, Intelligence agencies
Blanching (cooking)	Cooking methods
Sian Elias	1949 births, Living people, Chief justices, People from Auckland, People from London
Perseus (spy)	Cold War, Espionage
Haltlose personality disorder	Psychology, Psychiatry, Borderline personality disorder, Personality disorders, Criminal justice, Crime in Germany
Lauren Daigle	1991 births, Singers from Louisiana, Grammy Award winners, Christian music singers, American Christians, Living people, People from Lafayette, Louisiana
Chewy (company)	2010s establishments in Florida, 2011 establishments in the United States, Companies of the United States, Pets, Companies listed on the New York Stock Exchange
Nicette Bruno	1933 births, 2020 deaths, Deaths from the COVID-19 pandemic in Brazil, Brazilian movie actors, Brazilian television actors, Brazilian stage actors, People from Rio de Janeiro
Florencio Olvera Ochoa	Roman Catholic bishops, 1933 births, 2020 deaths, Mexican people
Dietrich Weise	1934 births, 2020 deaths, German football managers, German footballers, Sportspeople from Saxony
Ezra Vogel	1930 births, 2020 deaths, Deaths from surgical complications, American educators, American historians, Writers from Ohio
Gotthilf Fischer	1928 births, 2020 deaths, German conductors
Delfino López Aparicio	1960 births, 2020 deaths, Deaths from the COVID-19 pandemic in Mexico, Mexican politicians
Dark Ages Radio Explorer	Proposed NASA space probes, Cosmic background radiation, Big Bang, Physical cosmology
Santa Claus, Indiana	Towns in Indiana
Santa Claus, Georgia	Cities in Georgia (U.S. state)
Pornography addiction	Sex industry, Addiction
Pippa Scott	1935 births, Living people, Actors from Los Angeles, California, American movie actors, American television actors
When We All Fall Asleep, Where Do We Go?	2019 albums
Twilight Time (album)	1992 albums
St Mary's Stadium	Football stadiums in England, Southampton, 2001 establishments in England
Vicarage Road	1920s establishments in England, 1922 establishments in the United Kingdom, Football stadiums in England, Hertfordshire
Braising	Cooking methods
FIFA 21	2020 video games, FIFA, Sports video games, PlayStation 4 games, PlayStation 5 games, Xbox One games, Xbox Series X and Series S games, Nintendo Switch games, Windows games, FIFA video games
FIFA 20	2019 video games, FIFA, Sports video games, PlayStation 4 games, Xbox One games, Nintendo Switch games, Windows games, FIFA video games
FIFA 19	2018 video games, FIFA, Sports video games, PlayStation 3 games, PlayStation 4 games, Xbox 360 games, Xbox One games, Nintendo Switch games, Windows games, FIFA video games
FIFA 18	2017 video games, FIFA, Sports video games, PlayStation 3 games, PlayStation 4 games, Xbox 360 games, Xbox One games, Nintendo Switch games, Windows games, FIFA video games
FIFA 12	2011 video games, FIFA, Sports video games, PlayStation 2 games, PlayStation 3 games, Xbox 360 games, Wii games, Windows games, MacOS games, PlayStation Portable games, PlayStation Vita games, Nintendo 3DS games, Android (operating system) games, IOS games
FIFA 11	2010 video games, FIFA, Sports video games, PlayStation 2 games, PlayStation 3 games, PlayStation Portable games, Xbox 360 games, Wii games, Nintendo 3DS games, Android (operating system) games, IOS games, MacOS games, Windows games
FIFA 09	2008 video games, FIFA, Sports video games, PlayStation 2 games, PlayStation 3 games, PlayStation Portable games, Xbox 360 games, Wii games, Nintendo DS games, Windows games
FIFA 08	2007 video games, FIFA, Sports video games, PlayStation 2 games, PlayStation 3 games, PlayStation Portable games, Xbox 360 games, Wii games, Nintendo DS games, Windows games
FIFA 06	2005 video games, FIFA, Sports video games, PlayStation 2 games, PlayStation Portable games, Xbox games, Nintendo GameCube games, Game Boy Advance games, Nintendo DS games, Windows games
FIFA Football 2005	2004 video games, FIFA, Sports video games, PlayStation games, PlayStation 2 games, PlayStation Portable games, Xbox games, Nintendo GameCube games, Game Boy Advance games, Windows games
FIFA Football 2004	2003 video games, FIFA, Sports video games, PlayStation games, PlayStation 2 games, Xbox games, Nintendo GameCube games, Game Boy Advance games, Windows games
Ludwig Bründl	1946 births, Living people, German footballers, Association football forwards, Sportspeople from Munich
FIFA Football 2003	2002 video games, FIFA, Sports video games, PlayStation games, PlayStation 2 games, Xbox games, Nintendo GameCube games, Game Boy Advance games, Windows games
FIFA Football 2002	2001 video games, FIFA, Sports video games, PlayStation games, PlayStation 2 games, Nintendo GameCube games, Windows games
FIFA 2001	2000 video games, FIFA, Sports video games, PlayStation games, PlayStation 2 games, Windows games
FIFA 2000	1999 video games, FIFA, Sports video games, PlayStation games, Game Boy Color games, Windows games
FIFA 99	1998 video games, FIFA, Sports video games, PlayStation games, Nintendo 64 games, Windows games
FIFA 97	1996 video games, FIFA, Sports video games, PlayStation games, Sega Saturn games, Sega Genesis games, Super Nintendo Entertainment System games, Game Boy games, Windows games
FIFA Soccer 96	1995 video games, FIFA, Sports video games, PlayStation games, Sega Saturn games, Sega Genesis games, Sega 32X games, Game Gear games, Super Nintendo Entertainment System games, Game Boy games, Windows games
FIFA Soccer 95	1994 video games, FIFA, Sports video games, Sega Genesis games
FIFA International Soccer	1993 video games, FIFA, Sports video games, Sega Genesis games, Sega CD games, Game Gear games, Master System games, Super Nintendo Entertainment System games, Game Boy games, DOS games, Amiga games
Angel Numbers	Astrology
2020 United States House of Representatives elections	2020 elections, Elections in the United States, November 2020 events
QS World University Rankings	Academia
The Ollie & Moon Show	Fictional animals, American children's television series, Animated television series
Alternative lifestyle	Lifestyles
Élisabeth of Bourbon	1614 births, 1664 deaths, People from Paris, House of Bourbon, Dukes and duchesses, Princes and Princesses of Savoy, Disease-related deaths in France
1971–72 UEFA Cup	UEFA, 1971 in sports, 1971 in Europe, 1972 in sports, 1972 in Europe
Toby Perkins	1970 births, Living people, Labour MPs (UK), People from Reading, Berkshire
Amanda Burton	1956 births, Living people, Irish television actors, Irish movie actors, Actors from Northern Ireland
Peter New	1971 births, Living people, Canadian movie actors, Canadian television actors, Canadian voice actors, Canadian screenwriters, Writers from British Columbia, Actors from Vancouver
Derby North (UK Parliament constituency)	Constituencies in the United Kingdom, Derby
Shabana Bakhsh	1981 births, Living people, Scottish television actors
Ian Puleston-Davies	1958 births, Living people, British screenwriters, Welsh television actors, Welsh stage actors, Welsh voice actors, People from Flintshire
Amanda Solloway	1961 births, Living people, Conservative MPs (UK), Politicians from Nottinghamshire, People from Nottingham
Víðarr	Norse mythology
Garo Hills frog	Animals of Asia, Frogs
Mark Benton	1965 births, Living people, English television actors, English movie actors, Actors from Yorkshire
Diogo Jota	1996 births, Living people, Portuguese footballers, Association football midfielders, Liverpool F.C. players, Premier League players
Edinson Cavani	1987 births, Living people, Uruguayan footballers, Association football forwards, Manchester United F.C. players, Premier League players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, 2018 FIFA World Cup players
Kazimierz Deyna	1947 births, 1989 deaths, Association football midfielders, Manchester City F.C. players, Polish footballers, 1974 FIFA World Cup players, 1978 FIFA World Cup players, Olympic medalists in football, Medalists at the 1976 Summer Olympics, Road accident deaths in California
Bob Irwin	1939 births, Living people, Australian biologists, Inventors, People from Melbourne, Naturalists, Zoologists
Variant of Concern 202012/01	COVID-19 pandemic, October 2020 events, November 2020 events, December 2020 events
Miguel Cardona	1975 births, Living people, American educators, Politicians from Connecticut, US Democratic Party politicians, United States Secretaries of Education
The Addams Family (2019 movie)	2019 movies, Universal Pictures movies, American animated movies, American black comedy movies, American supernatural movies
Jeanne Robertson	1943 births, 2021 deaths, American educators, Models from North Carolina, Models from Massachusetts, Comedians from Massachusetts, People from Boston, Massachusetts
To the Victor	1948 movies, 1940s romance movies, 1940s drama movies, American romantic drama movies, Movies directed by Delmer Daves
Harlem After Midnight	1934 movies, 1930s drama movies, American drama movies, American silent movies, Movies directed by Oscar Micheaux
Cesare Emiliani	1922 births, 1995 deaths, American geologists, American paleontologists, Italian scientists, People from Bologna
K. T. Oslin	1942 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, American singer-songwriters, American country singers, People with Parkinson's disease, Singers from Arkansas, Writers from Arkansas, Grammy Award winners
Kevin Greene (American football)	1962 births, 2020 deaths, Los Angeles Rams players, Pittsburgh Steelers players, Carolina Panthers players, San Francisco 49ers players, American football coaches, American football linebackers, People from Schenectady, New York, Sportspeople from New York City, Sportspeople from Illinois
John Fitzpatrick (footballer, born 1946)	1946 births, 2020 deaths, Manchester United F.C. players, Scottish footballers, People from Aberdeen
Inés Moreno	1932 births, 2020 deaths, Argentine movie actors, Argentine television actors, Argentine stage actors, Actors from Buenos Aires
Femme fatale	Women
Anthony Banzi	1946 births, 2020 deaths, Roman Catholic bishops, Tanzanian people
David Giler	1943 births, 2020 deaths, Deaths from cancer, American television writers, American television directors, American television producers, American screenwriters
Anthony Birley	1937 births, 2020 deaths, British historians, British archaeologists, British academics, People from Northumberland, Deaths from lung cancer
Sun Weiben	1928 births, 2020 deaths, Chinese politicians
Armin Hofmann	1920 births, 2020 deaths, Swiss artists, Swiss writers, People from Geneva, Centenarians
William J. Castagna	1924 births, 2020 deaths, American judges, Politicians from Philadelphia, Pennsylvania, Politicians from Florida, US Democratic Party politicians
Ikenwoli Godfrey Emiko	1955 births, 2020 deaths, Nigerian businesspeople, African philanthropists, Deaths from the COVID-19 pandemic in Nigeria
Emil Cadkin	1920 births, 2020 deaths, American composers, Writers from Cleveland, Ohio, American centenarians
Demisexuality	Human sexuality
Gogi Kavtaradze	1940 births, 2020 deaths, Movie directors from Georgia (country), Movie producers from Georgia (country), Screenwriters from Georgia (country), Actors from Georgia (country), People from Tbilisi
Leif Mills	1936 births, 2020 deaths, Alumni of the University of Oxford, British politicians, Deaths from vascular dementia, Labour Party (UK) people, Trade unionists
Turkvision Song Contest	Music competitions, 2013 establishments in Europe, Turkish culture
Kokarit frog	Animals of Asia, Frogs
Anal gland	Animal anatomy, Glands
Macedonian Americans	Ethnic groups in the United States
Cypriot Americans	Ethnic groups in the United States
Bosnian Americans	Ethnic groups in the United States
Georgian Americans	Ethnic groups in the United States
The Authority (professional wrestling)	Professional wrestling
Royal Order of Crown of Rwanda	Orders, decorations, and medals, Rwanda
Argentina national under-20 football team	National under-20 football teams, Football in Argentina
Federico Valverde	1998 births, Living people, Uruguayan footballers, Association football midfielders, Sportspeople from Montevideo
2019 UEFA Nations League Finals	UEFA, Football competitions, 2019 in association football, 2010s in Portugal, 2019 in Europe, Sport in Portugal
Characters in the Super Smash Bros. series	Super Smash Bros., Articles containing Japanese-language text
Heather Peace	1975 births, Living people, English television actors, English movie actors, English pop singers, English LGBT people, Lesbians, LGBT actors, LGBT singers, LGBT rights activists, Actors from Bradford, Musicians from Bradford
Victoria Bush	1978 births, Living people, English television actors, English comedians, Actors from Norfolk
2057	2057, Years in the future
Robson Green	1964 births, Living people, English television actors, English pop singers, English singers, English singer-songwriters, English television presenters, People from Northumberland
Sammarinese Americans	Ethnic groups in the United States
Sarah Hadland	1971 births, Living people, English television actors, English movie actors, English stage actors, English voice actors, Actors from London
Russian Americans	Ethnic groups in the United States
Dual polyhedron	Polyhedra
Ocean Spray	20th-century establishments in Massachusetts, 1930 establishments in the United States, American food companies, Companies based in Massachusetts
DWSM	Radio stations in the Philippines, Metro Manila
Triangle center	Geometry
DWLS	Radio stations in the Philippines, Metro Manila
Dilation (geometry)	Geometry
Diana Hyland	1936 births, 1977 deaths, American television actors, American stage actors, American movie actors, Cancer deaths in California, Deaths from breast cancer, Actors from Ohio
Alec Newman	1974 births, Living people, Scottish television actors, Scottish movie actors, Scottish stage actors, Scottish voice actors, Actors from Glasgow
Elaine Symons	1974 births, Living people, Irish television actors, Irish movie actors, Irish stage actors, Alumni of the Royal Academy of Dramatic Art
Jaye Jacobs	1982 births, Living people, English television actors, English stage actors, Actors from Somerset
Daniela Denby-Ashe	1978 births, Living people, English child actors, English television actors, English movie actors, English stage actors, English radio actors, Actors from London
Karen David	1979 births, Living people, Indian television actors, Indian movie actors, Indian singers, Canadian television actors, Canadian movie actors, Canadian singers, English television actors, English movie actors, English singers
White House Climate Coordinator	United States Executive Cabinet
While You Were Sleeping (movie)	1995 romance movies, 1995 comedy movies, 1990s romantic comedy movies, American romantic comedy movies, Movies shot in Chicago, Illinois, Movies set in Chicago, Illinois
Holly Dunn	1957 births, 2016 deaths, Musicians from San Antonio, Texas, Singers from San Antonio, Texas, American country musicians, Cancer deaths in the United States, Deaths from ovarian cancer
Zöe Lucker	1974 births, Living people, English television actors, Actors from Yorkshire, People from Huddersfield
List of deaths related to the 2020 Belarusian protests	2020s deaths, Victims during protests in Belarus in 2020
Katsyaryna Barysevich	1984 births, Belarusian writers, Journalists, Political prisoners according to Viasna Human Rights Centre, Free Media Award winners, CPJ International Press Freedom Award winners
The Keys of the Kingdom (movie)	1944 drama movies, American drama movies, 20th Century Fox movies, Movies based on books, Movies directed by John M. Stahl
OnePlus 8	OnePlus mobile phones, Mobile phones released in 2020, Mobile phones with multiple rear cameras, Mobile phones with 4K video recording
Zofia Kielan-Jaworowska	1925 births, 2015 deaths, Female scientists, Paleontologists, Polish scientists
Treehouse of Horror IV	The Simpsons (season 5) episodes, 1993 television episodes, Treehouse of Horror
I Wish It Could Be Christmas Everyday	Christmas music, 1973 songs
Kuatun frog	Animals of Asia, Frogs
Skinner's Sense of Snow	The Simpsons episodes, 2000 television episodes, Christmas television episodes
1950 British Grand Prix	Formula One Grands Prix
Human sexual activity	Human sexuality
Yann Sommer	1988 births, Living people, Swiss footballers, 2014 FIFA World Cup players, Association football goalkeepers, UEFA Euro 2016 players, 2018 FIFA World Cup players
FC Vaduz	1932 establishments in Europe, Football clubs, Sport in Liechtenstein
Translation (geometry)	Geometry
The Otto Show	1992 television episodes, The Simpsons (season 3) episodes
Xiaomi	2010s establishments in China, 2010 establishments in Asia, Electronics companies, Mobile phone companies, Companies based in Beijing
Xiaomi Mi Note 10	Xiaomi mobile phones
Alexander II of Russia	Russian nobility
Ivan V of Russia	Russian nobility
Business Insider	2000s establishments in New York (state), 2007 establishments in the United States, American websites, New York City
Marcel Mauss	1872 births, 1950 deaths, French sociologists
Leslie West	American rock guitarists, American rock singers, Jewish American musicians, American singer-songwriters, Deaths from myocardial infarction, Singer-songwriters from New York City, Musicians from New York City, 1945 births, 2020 deaths
Laccadive Sea	Seas of the Indian Ocean, Bodies of water of Asia, Geography of India, Sri Lanka, Geography of the Maldives
Leg cricket	Cricket
Ludvonga I	Swazi people, Kings and queens
Vibes (movie)	1988 comedy movies, 1988 romance movies, 1980s romantic comedy movies, American romantic comedy movies, American adventure movies, Movies directed by Ken Kwapis
David Kaye	1964 births, Living people, Canadian movie actors, Canadian television actors, Canadian radio actors, Canadian stage actors, American voice actors, American video game actors
Un flic	1972 crime movies, 1972 thriller movies, French crime movies, French thriller movies, Italian thriller movies, Movies directed by Jean-Pierre Melville
OxygenOS	Operating systems, Smartphones
Alex Padilla	1973 births, Living people, United States senators from California, State legislators of the United States, Politicians from Los Angeles, California, US Democratic Party politicians
Whodini	1980s establishments in New York (state), 1982 establishments in the United States, American hip hop musicians, Musical groups established in 1982, Musical groups from New York City
Kenya Moore	1971 births, American movie actors, American television actors, Living people, Participants in American reality television series
Rebecca Luker	1961 births, 2020 deaths, Actors from Alabama, American movie actors, American stage actors, American television actors, Deaths from motor neurone disease, Disease-related deaths in New York City, People from Birmingham, Alabama, Singers from Alabama, Sopranos
Mannan Hira	1956 births, 2020 deaths, Bangladeshi playwrights, Bangladeshi movie directors, Bangla Academy Literary Award winners, Muslims, Deaths from myocardial infarction
Poisson point process	Statistics
Gnome Alone	2017 animated movies, 2010s fantasy movies, 2010s musical movies, 2017 comedy movies, American animated movies, American fantasy-comedy movies, American musical comedy movies, Canadian animated movies, Canadian comedy movies
Breton Americans	Ethnic groups in the United States
OnePlus 5T	OnePlus mobile phones, Android smartphones
Oppo F17 Pro	Oppo mobile phones
Big Rip	Cosmology, Time
Hymn to Liberty	National anthems, Poems, Greece, Republic of Cyprus
Ivan VI of Russia	Russian nobility
Gagauzia Radio Television	2000s establishments in Europe, 2000 establishments, Moldova, Television networks
Igor Belanov	1960 births, Living people, Ukrainian footballers, Association football forwards, 1986 FIFA World Cup players, People from Odessa
Melina Kanakaredes	1967 births, American television actors, Soap opera actors, American video game actors, Actors from Akron, Ohio, Living people
Constance Moore	1920s births, 2005 deaths, American television actors, American movie actors, Actors from Texas, Actors from Iowa, People from Sioux City, Iowa
Carrie Ann Inaba	1968 births, American television personalities, American dancers, American choreographers, Singers from Hawaii, Actors from Honolulu, Living people
Rachael Harris	1968 births, American television actors, American movie actors, American comedians, Actors from Ohio, Living people
Judith Hoag	1968 births, American television actors, American movie actors, Soap opera actors, Actors from Massachusetts, Living people
European Radio for Belarus	Radio stations in Belarus, Websites, Censorship in Belarus
Stella Tennant	1970 births, 2020 deaths, Models from London
Komala Party of Iranian Kurdistan	Kurdistan, Social democratic parties
All This and Heaven Too	1940 movies, 1940s drama movies, 1940s romance movies, American romantic drama movies, Movies based on books, Movies directed by Anatole Litvak
Survival sex	Social issues, Poverty, Prostitution
Cynthia (movie)	1947 movies, 1940s comedy movies, 1940s drama movies, American comedy-drama movies, MGM movies, Movies based on plays, Movies directed by Robert Z. Leonard
Geology of Australia	Geology, Australia
Abdulla Mohtadi	Kurdistan, 1949 births, Living people, Iranian politicians
Basic needs	Poverty, Psychology
Soumaïla Cissé	1949 births, 2020 deaths, Deaths from the COVID-19 pandemic in France, Disease-related deaths in Paris, Kidnapped people, Malian politicians
