Mametz, Somme	Former communes in Somme
South Mansfield, Louisiana	Villages in Louisiana, Ark-La-Tex, Settlements in DeSoto Parish, Louisiana
Stanley, Louisiana	Villages in Louisiana, Ark-La-Tex, Settlements in DeSoto Parish, Louisiana
Irkutsk Oblast	Webarchive template wayback links, CS1 Russian-language sources (ru), Articles with Russian-language sources (ru), Articles containing Russian-language text, Coordinates on Wikidata, Oblasts of Russia, Federal subjects of Russia
Napa cabbage	Leaf vegetables, Brassicaceae
Sachsenkam	Bad Tölz-Wolfratshausen
Schlehdorf	Bad Tölz-Wolfratshausen
Wackersberg	Bad Tölz-Wolfratshausen
Éterpigny, Somme	Communes in Somme
Cernobbio	Settlements in Lombardy
Signa	Settlements in Tuscany
Vaglia	Settlements in Tuscany
Vicchio	Settlements in Tuscany
Vinci, Tuscany	Settlements in Tuscany
Careggine	Settlements in Tuscany
Special K	Breakfast cereals
Furikiwheels	English-language television programs
Kapil Sharma (comedian)	Indian comedians, Indian actors
Boursorama	1990s establishments in France, 1995 establishments in Europe, Companies of France, Banks
IP address blocking	Internet security
Madlax	Light novels, 2004 anime television series
Y Combinator	Companies based in California, 2005 establishments in the United States
Drezzo	Former municipalities of Lombardy
Gironico	Former municipalities of Lombardy
Parè	Former municipalities of Lombardy
Colverde	2014 establishments in Italy, Settlements in Lombardy
Histiocytosis	Blood cells, Blood disorders
Airbnb	2008 establishments in California, Companies based in San Francisco, American websites
Jim Jackson	Living people, 1970 births, American basketball players
Urbino	Cities in Marche, World Heritage Sites in Italy
Lutcher, Louisiana	Towns in Louisiana
Gramercy, Louisiana	Towns in Louisiana
Campo nell'Elba	Settlements in Tuscany
Dendropsophus cruzi	Frogs, Animals of South America
Capoliveri	Settlements in Tuscany
Capraia Isola	Settlements in Tuscany
Castagneto Carducci	Settlements in Tuscany
Collesalvetti	Settlements in Tuscany
Boccioleto	Settlements in Piedmont
Cravagliana	Settlements in Piedmont
Bernd Leno	1992 births, German association football goalkeepers, Arsenal F.C. players, Premier League players, UEFA Euro 2016 players, Sportspeople from Baden-Württemberg, Living people
Adygea	Republics of Russia, Articles containing Russian-language text, CS1 Russian-language sources (ru), CS1 uses Russian-language script (ru), Coordinates on Wikidata
Lorenzo Insigne	1991 births, Italian footballers, Association football forwards, 2014 FIFA World Cup players, UEFA Euro 2016 players, Living people
Frattamaggiore	Settlements in Campania
L'Étoile, Somme	Communes in Somme
Étréjust	Communes in Somme
Étricourt-Manancourt	Communes in Somme
La Faloise	Communes in Somme
Falvy	Communes in Somme
Faverolles, Somme	Communes in Somme
Anykščiai	Cities in Lithuania
Abaucourt-Hautecourt	Communes in Meuse
Favières, Somme	Communes in Somme
Beverly Hills Cop (2006 video game)	2006 video games, Shooter video games, PlayStation 2 games, PlayStation 2-only games
Phillip Glenister	Living people, 1963 births, English movie actors, Actors from London, English television actors
Gina Yashere	Living people, Year of birth missing (living people), English comedians, Black British people, English movie actors, British stand-up comedians, English television actors, Lesbians, LGBT comedians
Lisa Hammond (actress)	Living people, 1978 births, English television actors
Youngsville, Louisiana	Cities in Louisiana, Acadiana
List of Dave Spud & Friends episodes	2020s British spin-off series
Edward Foster	Human name disambiguation pages
Tim Bain	1978 births, Australian children's writers, Writers from Melbourne, Living people
Broussard, Louisiana	Cities in Louisiana, Acadiana
Montpelier, Louisiana	Villages in Louisiana
La Tuque, Quebec	Cities and towns in Quebec
Whole grain	Grains
Blind Ambition	Family Guy (season 4) episodes, 2005 television episodes
Dave Spud	2019 television series debuts, 2010s British television series, Animated television series, Comedy television series, Fantasy television series, ITV children's television shows
Ailly, Eure	Communes in Eure
First cholera pandemic	1810s, 1820s, 19th century in India, Disasters in India, Cholera pandemics
1826–1837 cholera pandemic	1830s, 1820s, Cholera pandemics
Ampus	Communes in Var
Premier of Anguilla	Premiers of Anguilla, Chief Ministers of Anguilla
Osbourne Fleming	1940 births, Living people, Chief Ministers of Anguilla
Hubert Hughes	1933 births, 2021 deaths, Chief Ministers of Anguilla
Victor Banks	1947 births, Chief Ministers of Anguilla, Premiers of Anguilla, Living people
Ellis Webster	Premiers of Anguilla, Living people, Year of birth missing (living people)
Dileeni Daniel-Selvaratnam	Living people, Governors of Anguilla, Year of birth missing (living people), British lawyers
Governor of Anguilla	Governors of Anguilla
Christina Scott	1974 births, Living people, Governors of Anguilla
Svante Thuresson	1937 births, 2021 deaths, Drummers, Jazz singers, Singers from Stockholm, Musicians from Stockholm, Eurovision Song Contest entrants
Spencer Silver	1941 births, 2021 deaths, Cardiovascular disease deaths in the United States, American inventors, American chemists, Scientists from San Antonio, Texas, Scientists from Minnesota, People from Saint Paul, Minnesota
Zhang Enhua	1973 births, 2021 deaths, Deaths from cardiac arrest, Chinese footballers
Hans van Baalen	1960 births, 2021 deaths, Cancer deaths in the Netherlands, Colonels, Dutch military people, Former members of the House of Representatives of the Netherlands, Former MEPs, MEPs for the Netherlands, People's Party for Freedom and Democracy politicians, Politicians from Rotterdam
Federico Salas	1950 births, 2021 deaths, Prime Ministers of Peru, Deaths from the COVID-19 pandemic in Peru
Vice President of Venezuela	Vice Presidents of Venezuela
Aristóbulo Istúriz	1946 births, 2021 deaths, Vice Presidents of Venezuela, Deaths from surgical complications
Delcy Rodríguez	1969 births, Living people, Vice Presidents of Venezuela
Nicholas Cheong Jin-suk	1931 births, 2021 deaths, Cardinals of the Roman Catholic Church, People from Seoul
Tamara Press	1937 births, 2021 deaths, Soviet sportspeople, Soviet Olympic gold medalists, Soviet Olympic silver medalists
Shunsuke Kikuchi	1931 births, 2021 deaths, Japanese composers, Deaths from pneumonia
Milva	1939 births, 2021 deaths, Italian singers, Italian movie actors, Italian television personalities, Italian television actors, People from Emilia-Romagna
Marc Ferro	1924 births, 2021 deaths, French historians, Writers from Paris
Håkon Brusveen	1927 births, 2021 deaths, Norwegian Olympians, Olympic gold medalists, Olympic silver medalists
Willy van der Kuijlen	1946 births, 2021 deaths, Deaths from Alzheimer's disease, Dutch football managers, Dutch footballers, People from Helmond, Sportspeople from North Brabant
Sebastian Koto Khoarai	1929 births, 2021 deaths, Cardinals of the Roman Catholic Church
Charles Geschke	1939 births, 2021 deaths, American computer scientists, Businesspeople from Cleveland, Ohio, Scientists from Cleveland, Ohio, Cancer deaths in California
Conn Findlay	1930 births, 2021 deaths, American Olympic bronze medalists, American Olympic gold medalists, Sportspeople from California, People from Stockton, California
Julen Madariaga	1932 births, 2021 deaths, Spanish politicians, Spanish lawyers
Marshall Sahlins	1930 births, 2021 deaths, American anthropologists, American academics, Writers from Chicago, Scientists from Chicago
Roland Thöni	1951 births, 2021 deaths, Italian Olympians, Olympic bronze medalists
Zygmunt Malanowicz	1938 births, 2021 deaths, Polish movie actors, Polish television actors, Polish stage actors
Sugako Hashida	1925 births, 2021 deaths, Japanese screenwriters, People from Seoul
Montferrat, Var	Communes in Var
Cottonport, Louisiana	Towns in Louisiana
Evergreen, Louisiana	Towns in Louisiana
Fay, Somme	Communes in Somme
Mansura, Louisiana	Towns in Louisiana
Estrées-Saint-Denis	Communes in Oise
Mesnil-sur-l'Estrée	Communes in Eure
Ponchatoula, Louisiana	Cities in Louisiana
Independence, Louisiana	Towns in Louisiana
Cankton, Louisiana	Villages in Louisiana
Palmetto, Louisiana	Villages in Louisiana
Clarks, Louisiana	Villages in Louisiana
Grayson, Louisiana	Villages in Louisiana
Basile, Louisiana	Towns in Louisiana
Duson, Louisiana	Towns in Louisiana
Estherwood, Louisiana	Villages in Louisiana
Walker, Louisiana	Cities in Louisiana
England national under-20 football team	National under-20 football teams, Football in England
Omega-6 fatty acid	Lipids, Health
Omega-3 fatty acid	Lipids, Health
Italy national under-20 football team	National under-20 football teams, Football in Italy
Nokia N900	Nokia mobile phones
Chicken as food	Poultry
Boston Market	American restaurants
United States men's national under-20 soccer team	National under-20 football teams, Soccer in the United States
TCBY	American restaurants, 1981 establishments in the United States
List of presidents of the People's Republic of China	Chinese politicians, History of China
The Athletic	2016 establishments in the United States, American websites, Sports media
Hard Rock Cafe	Companies of the United States, 1971 establishments
Golden Corral	American restaurants, 20th-century establishments in North Carolina, 1973 establishments in the United States
Hooters	1980s establishments in Florida, 1983 establishments in the United States, American restaurants
Nesquik	Drinks, Nestlé
Dzmitry Baskau	1978 births, Belarusian ice hockey players, People from Minsk, Living people
Perkele	Profanity
Arkhangai Province	Provinces, Mongolia
Duplex (movie)	2003 movies, American movies, American black comedy movies, English-language movies, Movies about writers, Movies set in Brooklyn, Movies set in New York City, Movies directed by Danny DeVito, Miramax movies, 2003 comedy movies
Sea of Japan naming dispute	Geography of South Korea, Geography of Japan, Articles containing Japanese-language text, Geography of Russia
Jennifer Crystal Foley	1973 births, Living people, Actors from Los Angeles, California, American movie actors, American television actors
Benhall	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Boulge	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Henry Priestman	1955 births, Living people, English rock singers, English songwriters, British record producers, British keyboardists, People from Kingston upon Hull
Moss Bluff, Louisiana	Census-designated places in Louisiana
Hackberry, Louisiana	Census-designated places in Louisiana
Mermentau, Louisiana	Villages in Louisiana
Morse, Louisiana	Villages in Louisiana
Directed graph	Graph theory
Branch, Louisiana	Census-designated places in Louisiana
Egan, Louisiana	Census-designated places in Louisiana
Longville, Louisiana	Census-designated places in Louisiana
Oretta, Louisiana	Census-designated places in Louisiana
Woodbury, Tennessee	Towns in Tennessee, County seats in Tennessee
Rutledge, Tennessee	Cities in Tennessee, County seats in Tennessee
Fescamps	Communes in Somme
Friville-Escarbotin	Communes in Somme
Fonches-Fonchette	Communes in Somme
Feuillères	Communes in Somme
2012–13 North American drought	Droughts, 2012 in North America, 2013 in the United States
Bijan	Given names
Feuquières-en-Vimeu	Communes in Somme
Fieffes-Montrelet	Communes in Somme
Fienvillers	Communes in Somme
Wybren van Haga	1967 births, Living people, Dutch businesspeople, Dutch councillors, Dutch engineers, Independent politicians in the Netherlands, Leaders of political parties in the Netherlands, Members of the House of Representatives of the Netherlands, People from Haarlem, People's Party for Freedom and Democracy politicians, Politicians from The Hague
Aibes	Communes in Nord
Eth, Nord	Communes in Nord
Bry, Nord	Communes in Nord
Waterford Township, Michigan	Townships in Michigan
Bloomfield Township, Oakland County, Michigan	Townships in Michigan
Georgetown Township, Michigan	Townships in Michigan
Lemannville, Louisiana	Census-designated places in Louisiana
Union, Louisiana	Unincorporated communities in Louisiana, Census-designated places in Louisiana
Fignières	Communes in Somme
Agde	Communes in Hérault
Electronics right to repair	Everyday life
Fins, Somme	Communes in Somme
Flaucourt	Communes in Somme
Grand Point, Louisiana	Unincorporated communities in Louisiana, Census-designated places in Louisiana
French Settlement, Louisiana	Villages in Louisiana
Killian, Louisiana	Villages in Louisiana
Port Vincent, Louisiana	Villages in Louisiana
Springfield, Louisiana	Towns in Louisiana
Nikkatsu	Companies of Japan
Adenocarcinoma of the lung	Cancer
Flers, Somme	Communes in Somme
Flers-sur-Noye	Communes in Somme
Flesselles	Communes in Somme
World's Largest Entertainment McDonald's	Restaurants, Fast food, McDonald's
Planned obsolescence	Economics
2015 UEFA European Under-21 Championship	2015 in Europe, 2015 in association football, Football in the Czech Republic, June 2015 events
The Truth Is	2018 albums, Alexandra Burke albums, Pop albums, Soul albums, R&B albums
Heartbreak on Hold	2012 albums, Alexandra Burke albums, Pop albums, Dance albums, R&B albums
2021 UEFA Champions League Final	Scheduled association football competitions, 21st century in Portugal, 2021 in Europe, 2021 in association football, Football in Portugal, May 2021 events
Omiécourt	Former communes in Somme
Fleury, Somme	Communes in Somme
Flixecourt	Communes in Somme
Fluy	Communes in Somme
Heucourt-Croquoison	Communes in Somme
Guyencourt-Saulcourt	Communes in Somme
Folies	Communes in Somme
Freilassing	Berchtesgadener Land
Laufen, Germany	Berchtesgadener Land
Bayerisch Gmain	Berchtesgadener Land
Megadrought	Droughts
Marktschellenberg	Berchtesgadener Land
Schönau am Königssee	Berchtesgadener Land
Bodman-Ludwigshafen	Konstanz (district)
Schneizlreuth	Berchtesgadener Land
Bischofswiesen	Berchtesgadener Land
Dendropsophus reichlei	Frogs, Animals of South America
Saaldorf-Surheim	Berchtesgadener Land
Ramsau bei Berchtesgaden	Berchtesgadener Land
Sopron District	Districts in Győr-Moson-Sopron County
Bethany Hall-Long	1963 births, US Democratic Party politicians, Lieutenant Governors of Delaware, Living people
Districts of Hungary	Districts of Hungary
Tét District	Districts in Győr-Moson-Sopron County
Győr District	Districts in Győr-Moson-Sopron County
Avneet Kaur	2001 births, Living people, Child actors, Dance
Griselda Blanco	1943 births, 2012 deaths, Colombian people, Drug traffickers, Murderers
Drug lord	Organized crime, Drug traffickers
Black (2006 video game)	2006 video games, PlayStation 2 games, Shooter video games, Xbox games, Xbox 360 games, Xbox One games
Stockach	Konstanz (district)
Allensbach	Konstanz (district)
Hot Shots Golf 3	2001 video games, Golf video games, Hot Shots Golf, PlayStation 2 games, PlayStation 2-only games, Sports video games, Video game sequels, Video games developed in Japan
Eigeltingen	Konstanz (district)
Gaienhofen	Konstanz (district)
Gailingen am Hochrhein	Konstanz (district)
Hilzingen	Konstanz (district)
Hohenfels, Konstanz	Konstanz (district)
Moos, Baden-Württemberg	Konstanz (district)
Öhningen	Konstanz (district)
Mühlhausen-Ehingen	Konstanz (district)
Mühlingen	Konstanz (district)
Tengen, Germany	Konstanz (district)
Rielasingen-Worblingen	Konstanz (district)
Kingston, Norfolk Island	Norfolk Island, Towns in Australia, Capital cities in Oceania
Burnt Pine	Norfolk Island, Towns in Australia
Intifada	Arabic words and phrases, Rebellions
Sơn Tùng M-TP	1994 births, Living people
Stephen Gately	1976 births, 2009 deaths, Children's writers, Deaths from pulmonary edema, Disease-related deaths in Spain, Gay men, Irish LGBT people, Irish pop singers, Irish singer-songwriters, Irish stage actors, LGBT dancers, LGBT singers, LGBT songwriters, Tenors
Attack Force Z	1982 drama movies, 1980s war movies, Australian drama movies, Taiwanese movies, World War II movies, Movies directed by Tim Burstall
Volkertshausen	Konstanz (district)
Reichenau, Baden-Württemberg	Konstanz (district)
Orsingen-Nenzingen	Konstanz (district)
Darter	Seabirds
Godzilla, King of the Monsters!	1956 movies, 1950s science fiction movies, Godzilla, American monster movies, American horror movies, Movies about dinosaurs, American science fiction movies, Japanese movies, Movies set in Japan
Wikipedia App	Wikipedia
Folleville, Somme	Communes in Somme
Fontaine-le-Sec	Communes in Somme
Sara Sidner	CNN people, American television news anchors, Living people, 1972 births
Ralph A. Gamble	20th-century American politicians, United States representatives from New York, Princeton University alumni, 1959 deaths, 1885 births
Saint Michaels, Maryland	Towns in Maryland, Pages using infobox settlement with possible area code list, Coordinates on Wikidata, Pages using infobox settlement with possible motto list, Pages with unreviewed translations
Economies of scale	Economics
Chemung, New York	Towns in New York
Bruno Covas	1980 births, 2021 deaths, Brazilian economists, Brazilian politicians, Cancer deaths in Brazil, Brazilian lawyers, Mayors, People from São Paulo, Deaths from gastrointestinal cancer
Steißlingen	Konstanz (district)
Prakash Karat	1948 births, Living people, Communist politicians, Indian politicians
Reducing (movie)	1931 movies, 1930s comedy movies, American comedy movies, MGM movies, Movies directed by Charles Reisner
Jaz Sinclair	1994 births, Living people, Actors from Dallas, Texas, American child actors, American movie actors, American television actors
Real Girl	2007 albums, Debut albums, R&B albums
National-anarchism	Anarchism
Székesfehérvár District	Districts in Fejér County
Dunaújváros District	Districts in Fejér County
Bicske District	Districts in Fejér County
Sab Jholmaal Hai	2017 Indian television series debuts, Indian children's animated comedy television series, Indian children's animated fantasy television series, Sony Yay original programming
Dombóvár District	Districts in Tolna County
Bonyhád District	Districts in Tolna County
Tamási District	Districts in Tolna County
M2 motorway (Northern Ireland)	Motorways in Northern Ireland
Fontaine-lès-Cappy	Communes in Somme
M3 motorway (Northern Ireland)	Motorways in Northern Ireland
Victoria Beckham (album)	2001 albums, Debut albums, Pop albums, R&B albums, Virgin Records albums
Fontaine-sous-Montdidier	Communes in Somme
Fontaine-sur-Maye	Communes in Somme
Fontaine-sur-Somme	Communes in Somme
Forceville	Communes in Somme
Forceville-en-Vimeu	Communes in Somme
Ploemeur	Communes in Morbihan
Teisendorf	Berchtesgadener Land
Break Up with Your Girlfriend, I'm Bored	2019 songs, Ariana Grande songs, Trap songs, Pop songs, R&B songs
Fort-Mahon-Plage	Communes in Somme
Piding	Berchtesgadener Land
A48(M) motorway	Motorways in Wales
Fossemanant	Communes in Somme
Sarayacu tree frog	Frogs, Animals of South America
Foucaucourt-en-Santerre	Communes in Somme
Foucaucourt-Hors-Nesle	Communes in Somme
Fouencamps	Communes in Somme
Fouilloy, Somme	Communes in Somme
Fouquescourt	Communes in Somme
Villebon-sur-Yvette	Communes in Essonne
Reuven Fahn	1878 births, Year of death missing, Polish writers
Lesbophobia	LGBT, Hatred
Đorđe Marjanović	1931 births, 2021 deaths, Serbian musicians, Serbian singers, Deaths from the COVID-19 pandemic in Serbia
Eva Wilma	1933 births, 2021 deaths, Deaths from ovarian cancer, Brazilian movie actors, Brazilian television actors, Brazilian stage actors, Dancers, People from São Paulo
William Roth	1921 births, 2003 deaths, Deaths from heart failure, United States representatives from Delaware, United States senators from Delaware, American lawyers, Politicians from Montana, Businesspeople from Montana, Businesspeople from Wilmington, Delaware, People from Great Falls, Montana, Politicians from Wilmington, Delaware, US Republican Party politicians
2021 Texas power crisis	February 2021 events, 21st century in Houston, Texas
Food bank	Charities
Serve America Movement	2017 establishments in the United States, Political parties in the United States
Governor (United States)	State governors of the United States, State government in the United States
Sam Sloan	1944 births, Living people, American chess players, American lawyers, Businesspeople from New York City, Politicians from New York City, US Democratic Party politicians, 2016 United States presidential candidates, 2020 United States presidential candidates
Lise Bourdin	1925 births, Living people, French movie actors, French stage actors
Jacqueline White	1922 births, Living people, American movie actors, American stage actors, Actors from Beverly Hills, California
Jimmy Lydon	1923 births, Living people, American television producers, American movie actors, American stage actors, American child actors, American television actors, Actors from New Jersey, Businesspeople from New Jersey
Noreen Nash	1924 births, Living people, American movie actors, American television actors, American stage actors, Actors from Washington
Helen Grayco	1924 births, Living people, American pop singers, American movie actors, American television actors, People from Tacoma, Washington, Singers from Washington, Actors from Washington
Spike Jones	1911 births, 1965 deaths, Deaths from emphysema, American bandleaders, Musicians from California, Actors from Long Beach, California, Comedians from California, American movie actors
Joyce Reynolds (actress)	1924 births, Living people, American movie actors, Actors from Detroit, Michigan
Maria Riva	1924 births, Living people, Naturalized citizens of the United States, German movie actors, German television actors, German stage actors, American movie actors, American television actors, American stage actors, American radio actors, American activists, German activists, American autobiographers, German autobiographers, Writers from Berlin, Actors from Berlin, Writers from Los Angeles, California, Actors from Los Angeles, California
Marilyn Knowlden	1926 births, Living people, American movie actors, American stage actors, Actors from Oakland, California
Hyouka	Anime series, Manga series, Novels
Carleton Carpenter	1926 births, Living people, American movie actors, American television actors, American stage actors, American magicians, American dancers, American television writers, American songwriters, American screenwriters, American novelists, Writers from Vermont, Actors from Vermont, Bisexual people, LGBT dancers, LGBT actors, LGBT novelists, LGBT screenwriters, LGBT songwriters
Hermione Gingold	1897 births, 1987 deaths, Deaths from pneumonia, Deaths from heart failure, Naturalized citizens of the United States, English movie actors, English television actors, English stage actors, American movie actors, American television actors, American stage actors, Actors from London, Actors from New York City
Betty Lynn	1926 births, Living people, American movie actors, American stage actors, American voice actors, American television actors, Actors from Kansas City, Missouri
Robert Brown (American actor)	American stage actors, American television actors, American movie actors, 1926 births, Living people, Actors from New Jersey, People from Trenton, New Jersey
Terry Kilburn	1926 births, Living people, Naturalized citizens of the United States, English movie actors, English television actors, English stage actors, American television actors, American stage actors, American movie actors, Actors from London, LGBT actors, English LGBT people, Gay men
Cora Sue Collins	1927 births, Living people, American child actors, American movie actors, Actors from West Virginia
Donna Martell	1927 births, Living people, American movie actors, American television actors, American stage actors, Actors from Los Angeles, California
Sara Shane	1928 births, Living people, American movie actors, American television actors, American stage actors, Actors from St. Louis, Missouri, Writers from St. Louis, Missouri
Kathleen Hughes	1928 births, Living people, American stage actors, American movie actors, American television actors, Actors from Hollywood
Colleen Townsend	1928 births, Living people, American movie actors, American television actors, American stage actors, Humanitarians, Actors from Glendale, California, Writers from California
Margaret Kerry	1929 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American radio personalities, Actors from Los Angeles, California, Models from Los Angeles, California, Disney actors
Ana Luisa Peluffo	1929 births, Living people, Mexican movie actors, Mexican television actors, Mexican stage actors
Joyce MacKenzie	1925 births, Living people, Actors from California, American movie actors, American television actors, American stage actors
Claudia Barrett	1929 births, 2021 deaths, American movie actors, American television actors, American stage actors, Actors from Los Angeles, California
Betta St. John	1929 births, Living people, American movie actors, American television actors, American stage actors, American dancers, Actors from Los Angeles, California, Singers from Los Angeles, California
Harrington Park, New Jersey	Boroughs in New Jersey
Gwen Graham	1963 births, Living people, United States representatives from Florida, US Democratic Party politicians
Namib Desert	Deserts, Geography of Namibia, Geography of South Africa, Geography of Angola
Take a Chance on Me	ABBA songs, 1978 songs
Mamma Mia (ABBA song)	Pop songs, ABBA songs, 1975 songs
Fernando (song)	Pop songs, ABBA songs, 1976 songs
Shell (computing)	Computing
Pink Chanel suit of Jacqueline Bouvier Kennedy	John F. Kennedy
Pillbox hat	Fashion
John Vernou Bouvier III	1891 births, 1957 deaths, John F. Kennedy, Businesspeople from New York City, Deaths from liver cancer
Janet Lee Bouvier	1907 births, 1989 deaths, American socialites, John F. Kennedy, Deaths from Alzheimer's disease
Washington Times-Herald	Newspapers in the United States
Gallop Racer	1996 video games, Video game series, Video games developed in Japan
State funeral of John F. Kennedy	1963 in the United States, State funerals, John F. Kennedy
Viking Press	1925 establishments in the United States
Doubleday (publisher)	1897 establishments in the United States
Maurice Tempelsman	1929 births, Living people, Naturalized citizens of the United States, Belgian businesspeople, Democrats (United States), Businesspeople from New York City
Vassar College	1860s establishments in New York (state), 1861 establishments in the United States, Colleges and universities in New York
Dizzy (Guilty Gear)	Guilty Gear, Video game characters
Chapin School	Schools in New York, Buildings and structures in Manhattan
Hugh D. Auchincloss	1897 births, 1976 deaths, American lawyers, Businesspeople from Rhode Island, Businesspeople from New York City, People from Newport, Rhode Island
Thank U, Next Perfume	Perfumery
RNA-Seq	RNA
Charles L. Bartlett (journalist)	1921 births, 2017 deaths, Journalists from Chicago, Pulitzer Prize winners, Deaths from heart failure
Richard Cushing	1895 births, 1970 deaths, Cardinals of the Roman Catholic Church, People from Boston, Massachusetts
Kennedy Compound	Houses in the United States, Buildings and structures in Massachusetts, Kennedy family
Hyannis Port, Massachusetts	Villages in Massachusetts
Maitreya	Buddhism
1960 Democratic National Convention	1960s in Los Angeles, California, 1960 in the United States, United States presidential nominating conventions, United States Democratic Party, July events
Jacqueline Kennedy Garden	1965 establishments in the United States
President's Park	Parks in the United States, Washington, D.C.
Pamela Turnure	1937 births, Living people, People from New York City, Democrats (United States), John F. Kennedy
White House Historical Association	1961 establishments in the United States
Committee for the Preservation of the White House	1964 establishments in the United States
White House Office of the Curator	1961 establishments in the United States
Leva del Biberón	History of Spain
A Tour of the White House with Mrs. John F. Kennedy	John F. Kennedy, 1960s television series
John Kenneth Galbraith	1908 births, 2006 deaths, Ambassadors of the United States, American economists, Deaths from natural causes in the United States, Canadian economists, Canadian academics, US Democratic Party politicians, Naturalized citizens of the United States, Politicians from Ontario, Politicians from Massachusetts, People from Cambridge, Massachusetts
Otis Air National Guard Base	Buildings and structures in Massachusetts
Infant respiratory distress syndrome	Medical emergencies
Anger, Bavaria	Berchtesgadener Land
Green dotted tree frog	Frogs, Animals of South America
Uniunea Independenta Pentru Sighisoara (Romania)	Political parties in Romania
Affair	Sexual acts
Virginia strawberry	Strawberries
List of postcode districts in the United Kingdom	United Kingdom-related lists, Postal codes
Ainring	Berchtesgadener Land
Altomünster	Dachau (district)
Bergkirchen	Dachau (district)
Erdweg	Dachau (district)
DZAB-AM	Radio stations in the Philippines
The Hopeless Case (Rotta)	19th century paintings, Paintings by Antonio Rotta
The Devoted Child (Antonio Rotta)	19th century paintings, Paintings by Antonio Rotta
The little girl found in Venice (Rotta)	19th century paintings, Paintings by Antonio Rotta
Raimund Hoghe	1949 births, 2021 deaths
The death of the chick (Rotta)	19th century paintings, Paintings by Antonio Rotta
NHS Test and Trace	2020 establishments in Europe, Health care
My Street (video game)	2003 video games, Party video games, PlayStation 2 games, PlayStation 2-only games
2021 FA Cup Final	May 2021 events
Island Xtreme Stunts	2003 video games, Lego video games, Windows games, PlayStation 2 games, Game Boy Advance games
Gallop Racer 2001	2001 video games, PlayStation 2 games, PlayStation 2-only games, Tecmo games, Video games developed in Japan
Ken Leung	1970 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City
Anandhi (TV series)	2008 Indian television series, Indian television
VC-137C SAM 26000	Individual aircraft, United States Air Force
Naval Air Station Joint Reserve Base Fort Worth	Buildings and structures in Texas
Dallas Love Field	1910s establishments in Texas, 1917 establishments in the United States, Airports in the United States, Buildings and structures in Texas, Dallas, Texas
ThunderCats	ThunderCats, 1985 TV series, 2011 TV series
Nellie Connally	1919 births, 2006 deaths, People from Austin, Texas
Dallas Market Center	Buildings and structures in Texas, Dallas, Texas
Back-fire	Motors
Clint Hill (Secret Service)	1932 births, Living people, People from North Dakota, John F. Kennedy
Cathedral of St. Matthew the Apostle (Washington, D.C.)	Roman Catholic Cathedrals, Buildings and structures in Washington, D.C.
Evening Standard	Newspapers published in the United Kingdom, English-language newspapers
Theodore H. White	1915 births, 1986 deaths, American historians, Deaths from stroke, Pulitzer Prize winners, American journalists, Writers from Boston, Massachusetts
Randolph Churchill	1911 births, 1968 births, Former Conservative MPs (UK), UK MPs 1935–1945, Politicians from London, Deaths from myocardial infarction
Cartoon Network (Australian and New Zealand TV channel)	Cartoon Network, 1992 establishments in the Australia
Space Chickens In Space	English-language television programs
Humor based on the September 11 attacks	Humor, September 11 attacks
W. Averell Harriman	1891 births, 1986 deaths, Ambassadors of the United States, Governors of New York, Businesspeople from New York City, US Democratic Party politicians
1040 Fifth Avenue	Skyscrapers in New York City, Buildings and structures in Manhattan
David Ormsby-Gore, 5th Baron Harlech	1918 births, 1985 deaths, Politicians from London, Road accident deaths in the United Kingdom, Ambassadors of the United Kingdom
USS John F. Kennedy (CV-67)	John F. Kennedy
Skorpios	Islands of Greece
Christina O	Ships
Alexander Onassis	1948 births, 1973 deaths, Aviation deaths, Greek businesspeople, Businesspeople from New York City
Black Southerners	African-American people
John Leonard (critic)	1939 births, 2008 deaths, Deaths from lung cancer, American movie critics, Journalists from New York City, Writers from Washington, D.C.
Suicide among African Americans	Suicide
Shall We Tell the President?	1977 books
Larry Gonick	1946 births, Living people, American cartoonists, Writers from San Francisco
B. L. Patil	Indian politicians, 1924 births, 2002 deaths
The Cartoon History of the Universe	1990 books
Cairo Trilogy	Novels
COVID-19 pandemic in Eritrea	COVID-19 pandemic by country, Eritrea
Gelsey Kirkland	1952 births, Living people, American dancers, Entertainers from Pennsylvania
Diana Vreeland	1903 births, 1989 deaths, Deaths from myocardial infarction, American editors, Natural disasters in the United States, American columnists, Writers from Paris, Writers from New York City
Olana State Historic Site	Buildings and structures in New York
COVID-19 pandemic in Georgia (U.S. state)	COVID-19 pandemic in the United States, 21st century in Georgia (U.S. state)
Frederic Edwin Church	1826 births, 1900 deaths, American painters, People from Hartford, Connecticut, Artists from New York City
Ron Galella	1931 births, Living people, American photographers, Artists from New York City
Fox hunting	Hunting
NewYork-Presbyterian Hospital	Hospitals in the United States, Buildings and structures in New York City
Municipal Art Society	Non-profit organizations of New York
Jacqueline Kennedy Onassis High School for International Careers	Schools in New York, Buildings and structures in Manhattan
Jacqueline Kennedy Onassis Reservoir	Parks in the United States
Gallup (company)	Companies of the United States
