Wall plug	Hardware (mechanical)
Kenilworth	Towns in Warwickshire, Civil parishes in England
Leek, Staffordshire	Towns in Staffordshire, Market towns in England, Civil parishes in Staffordshire
Droitwich Spa	Towns in Worcestershire, Civil parishes in England
Corby	Towns in Northamptonshire
Natchez, Mississippi	Cities in Mississippi, 1716 establishments in the Thirteen Colonies, Former United States state capitals, County seats in Mississippi
Heath	Habitats
Edward Herrera	1986 births, Living people, Maltese footballers
Justin Haber	1981 births, Living people, Maltese footballers
Loughborough	Towns in Leicestershire, Market towns in England
Kidderminster	Towns in Worcestershire
Barnard Castle	Towns in County Durham, Civil parishes in County Durham
Northallerton	Towns in North Yorkshire, Civil parishes in North Yorkshire
Mildenhall	Towns in Suffolk, Civil parishes in Suffolk
St Neots	Towns in Cambridgeshire, Civil parishes in Cambridgeshire
Iken	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Kettleburgh	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Knodishall	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Letheringham	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Levington	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Little Bealings	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Little Glemham	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Middleton, Suffolk	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Monewden	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Brandon, Suffolk	Towns in Suffolk, Civil parishes in Suffolk
Stoke Ash	Villages in Suffolk, Civil parishes in Suffolk
Count of Flanders	Counts and countesses of Flanders, History of France
Yvain	Arthurian legend, Characters in written fiction, Fictional knights
Michael Jackson's This Is It	2009 movies, Michael Jackson, American movies, Documentaries, Movies directed by Kenny Ortega
Mud (movie)	2012 drama movies, 2010s coming-of-age movies, American coming-of-age movies, American drama movies, Arkansas, English-language movies, American independent movies, Lionsgate movies
The Illinois	Skyscrapers in Chicago, Frank Lloyd Wright buildings
Mount Pearl	Cities in Newfoundland and Labrador
Corner Brook	1956 establishments in North America, Cities in Newfoundland and Labrador, 1950s establishments in Canada
Lelydorp	Cities in Suriname, Capital cities in South America
Parham	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Ramsholt	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Reform School Girl	Movies directed by Edward Bernds, English-language movies, 1957 drama movies, 1950s crime movies, Movies produced by American International Pictures
High School Hellcats	1958 movies, English-language movies, 1950s crime movies, American crime movies, Movies directed by Edward Bernds, Movies produced by American International Pictures
Fantastic Voyage	1966 movies, English-language movies, 1960s science fiction movies, Movies directed by Richard Fleischer, Adventure movies, 1960s drama movies
Beach Party	1960s musical movies, 1963 comedy movies, English-language movies, Movies produced by American International Pictures, American musical comedy movies, Movies directed by William Asher
Havelock Ellis	1859 births, 1939 deaths, English physicians, British psychologists, Sexologists, Sexual revolution, Writers from London
Oliver Twist (movie)	Movies based on books by Charles Dickens, English-language movies, Crime drama movies, 1948 movies, Movies directed by David Lean
Rendham	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Saxtead	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Ixelles Ponds	Ponds, Geography of Belgium, Brussels-Capital Region
Shottisham	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Snape, Suffolk	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Sternfield	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Sudbourne	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Sutton, Suffolk	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Theberton	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Thorington	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Tuddenham St. Martin	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Walberswick	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Walpole	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Westleton	Villages in Suffolk, Civil parishes in Suffolk, Suffolk Coastal
Santiago de Cuba	Cities in Cuba, 1515 establishments, Establishments in Cuba
Adlington	Towns in Lancashire, Civil parishes in England
Poltimore	Villages in Devon, Civil parishes in Devon, East Devon
Godmanchester	Towns in Cambridgeshire, Civil parishes in Cambridgeshire
PewDiePie	1989 births, People from Gothenburg, Swedish people, Swedish YouTubers, Living people
Gordon Kahn	American screenwriters, 1902 births, 1962 deaths
The Piano Guys	Musical groups from Utah, Classical music, 2010s American music groups
Holland, Michigan	Cities in Michigan
New City, New York	Hamlets in New York, County seats in New York
Curtido	Condiments, Salads
Old Chicago Main Post Office Redevelopment	Skyscrapers in Chicago, Proposed skyscrapers in the United States
Gerard Murphy (Irish actor)	1955 births, 2013 deaths, Actors from Northern Ireland, Cancer deaths in England, Deaths from prostate cancer, Irish movie actors, Irish stage actors, Irish television actors, Irish voice actors
Dauberval	1742 births, 1802 deaths, French ballet dancers, French choreographers
Cri-Cri	Fictional animals
Baldwin I, Count of Flanders	879 deaths, Counts and countesses of Flanders, 9th century births
List of mayors of Gotham City	DC Comics characters, Lists of fictional characters
The Windy Hill	1921 books, Newbery Honor books, Children's books
Cornelia Meigs	1884 births, 1973 deaths, Children's writers, Writers from Illinois, Biographers, American novelists
Armenians in Switzerland	Armenian diaspora, Switzerland
Double dissolution	Politics of Australia
Gall wasp	Wasps
André Schembri	1986 births, Living people, Maltese footballers
Steatorrhea	Diseases and disorders of the digestive system
Meijer	Companies of the United States
Rockland County, New York	New York (state) counties
Baldwin II, Count of Flanders	860s births, 910s births, Counts and countesses of Flanders
IPv4 address shortage	Internet protocols
Flan	Pies
Timbale (food)	Desserts
Upside-down cake	Cakes
Game pie	Savoury pies
Tappan Zee Bridge	Bridges in New York, Cantilever bridges, Steel bridges
Antipope Benedict XIII	Spanish popes, 1328 births, 1423 deaths, People from Aragon
Charles-Louis-Étienne Nuitter	1828 births, 1899 deaths, French people, Librettists
Arthur Saint-Léon	1821 births, 1870 deaths, French choreographers
Nephew and niece	Family
Rodan	Monsters, Godzilla, Fictional dinosaurs
Hungary in the Eurovision Song Contest 2009	2009 in Europe, Eurovision Song Contest, 21st century in Hungary
Arnulf I, Count of Flanders	890s births, 964 deaths, Counts and countesses of Flanders
Baldwin III, Count of Flanders	940s births, 960s deaths, Counts and countesses of Flanders
Emulsion	Physical chemistry
Aspall	Villages in Suffolk, Civil parishes in Suffolk, Mid Suffolk
Athelington	Villages in Suffolk, Civil parishes in Suffolk, Mid Suffolk
Badwell Ash	Villages in Suffolk, Civil parishes in Suffolk, Mid Suffolk
Baylham	Villages in Suffolk, Civil parishes in Suffolk, Mid Suffolk
Bedfield	Villages in Suffolk, Civil parishes in Suffolk, Mid Suffolk
Bedingfield	Villages in Suffolk, Civil parishes in Suffolk, Mid Suffolk
Firewood	Wood, Fuel
Steven Sharp Nelson	Living people, American cellists, American Latter Day Saints, Musicians from Salt Lake City, Utah, 1977 births
Goliath birdeater spider	Spiders
Elijah Muhammad	1897 births, 1975 deaths, African-American people, American civil rights activists, American Muslims, Converts to Islam, Deaths from congestive heart failure, Politicians from Georgia (U.S. state), Religious leaders
Malcolm X (1992 movie)	1992 movies, American biographical movies, American drama movies, United States National Film Registry movies, Movies set in Massachusetts, Movies set in New York City, Political movies
Judith, Countess of Flanders	840s births, 870s deaths, Counts and countesses of Flanders
Mechagodzilla	Monsters, Godzilla, Fictional robots, Fictional dinosaurs
Coupling constant	Quantum mechanics, Statistics
Latin dance	Latin dances
Arnulf II, Count of Flanders	960s births, 980s deaths, Counts and countesses of Flanders
Baldwin IV, Count of Flanders	980s births, 1035 deaths, Counts and countesses of Flanders
Ribozyme	RNA, Enzymes
Violin Concertos (Mozart)	Compositions by Wolfgang Amadeus Mozart, Violin concertos
Samurai Pizza Cats	Anime, Animated television series, 1990 television series debuts
Latte	Coffee
Adventure movie	Adventure movies, Movie genres
Fernand Léger	French painters, French sculptors, French filmmakers, 1881 births, 1955 deaths
Solomon R. Guggenheim Museum	Frank Lloyd Wright buildings, Museums in New York City, 1939 establishments in New York (state), Buildings and structures in Manhattan
Robie House	Frank Lloyd Wright buildings, Buildings and structures in Chicago, Illinois, Landmarks in Chicago, National Historic Landmarks of the United States, Houses in the United States, 1910 establishments in the United States, 1910s establishments in Illinois
Humberto Maturana	1928 births, Biologists, Systems scientists, 2021 deaths, Chilean scientists, Chilean writers, Philosophers, People from Santiago, Deaths from pneumonia
Spring Green, Wisconsin	Villages in Wisconsin, Sauk County, Wisconsin
Baldwin V, Count of Flanders	1012 births, 1067 deaths, Counts and countesses of Flanders
Weymouth, Massachusetts	Cities in Massachusetts, 1630 establishments in Massachusetts
Francisco Varela	1946 births, 2001 deaths, Biologists, Systems scientists, Chilean scientists
Angry Birds Toons	Animated television series, Finnish culture
Eustace I, Count of Boulogne	1049 deaths, Year of birth unknown
2012 Delhi gang rape	2012 in India, 2010s murders in Asia, December events, Delhi, Kidnapping, Murder in 2012, Murder in India, Rape
American Airlines Flight 587	2001 aviation disasters, 2001 in the United States, 2000s in New York City, Aviation disasters in the United States, November events, Queens (New York City)
La Cambre Abbey	1201 establishments, Abbeys, Buildings and structures in Belgium, Brussels-Capital Region, 1200s establishments in Europe
Altered state of consciousness	Consciousness
Tony! Toni! Toné!	American boy bands, American R&B bands, American pop music groups
Autopoiesis	Biology, Systems theory, Philosophy of science
Aloe	Asparagales
Baldwin VI, Count of Flanders	1030s births, 1070 deaths, Counts and countesses of Flanders
David Frost	1939 births, 2013 deaths, Comedians from Kent, Deaths from myocardial infarction, Deaths from cardiomyopathy, Emmy Award winners, English journalists, English television presenters, Officers of the Order of the British Empire, Television personalities from Kent, Writers from Kent
Battle of Cassel (1071)	1071, Battles involving France, Flanders, February events, Battles of the Middle Ages
Piano Concerto No. 20 (Mozart)	Compositions by Wolfgang Amadeus Mozart, Piano concertos
Words with Friends	2009 video games
Taliesin West	Frank Lloyd Wright, Buildings and structures in Arizona
Frank Lloyd Wright-Prairie School of Architecture Historic District	Frank Lloyd Wright buildings, Cook County, Illinois
Taliesin (studio)	Frank Lloyd Wright, Buildings and structures in Wisconsin
American Institute of Architects	Buildings and structures in Washington, D.C., Organizations in Washington, D.C., Architecture
Mort Walker	1923 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Connecticut, American comics artists, American cartoonists, People from Kansas, People from Kansas City, Missouri
Orson Bean	1928 births, 2020 deaths, American movie actors, American television actors, American stage actors, American voice actors, American television presenters, American television personalities, Actors from Vermont, People from Burlington, Vermont
Charlestown, Rhode Island	Towns in Rhode Island, 1738 establishments, 1730s establishments in the Thirteen Colonies, 18th-century establishments in Rhode Island
Shahid Afridi	Living people, Pakistani people, Pashtun people, Pakistani cricketers, 1975 births, People from Karachi
Southern Connecticut State University	Colleges and universities in Connecticut, 1893 establishments in the United States, New Haven, Connecticut, 19th-century establishments in Connecticut
So Long, Frank Lloyd Wright	1970 songs, Frank Lloyd Wright
Unity Chapel	Churches in the United States, Frank Lloyd Wright, 1886 establishments in the United States, 1880s establishments in Wisconsin
Johnson Wax Headquarters	Buildings and structures in Wisconsin, Frank Lloyd Wright buildings, 1930s establishments in the United States
Larkin Administration Building	Buildings and structures in New York, Buffalo, New York, Frank Lloyd Wright buildings, 1906 establishments in the United States, 1900s establishments in New York (state)
Encopresis	Disorders
Antony Costa	1981 births, Living people, English singer-songwriters, English television actors, Singers from London
Harry Ferrier	1987 births, Living people, Welsh actors
With Blood Comes Cleansing	2005 establishments in the United States, 2000s American music groups, 2010s American music groups, 2010 disestablishments in the United States, Albany, Georgia, American heavy metal bands, Deathcore bands, Musical groups disestablished in 2010, Musical groups established in 2005
Ableism	Discrimination, Disability
Soledad Mexia	1899 births, 2013 deaths, American supercentenarians, Deaths from natural causes, People from San Diego, California, People from Sinaloa
Murray Gershenz	1922 births, 2013 deaths, Deaths from myocardial infarction, American movie actors, American television actors, Actors from New York City
Nintendo 2DS	Nintendo 3DS, Nintendo video game consoles
Xhosa people	Ethnic groups in Africa, South African people
Giuseppina Bozzacchi	Ballerinas, 1853 births, 1870 deaths, People from Milan
Lance Storm	1969 births, Canadian professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from Ontario
Shoemaking	Footwear, Occupations
Dynamite Kid	1958 births, English professional wrestlers, Former WWE wrestlers, 2018 deaths
Motivation	Psychology
Gonadotropin-releasing hormone	Hormones
Southern hip hop	Hip hop genres
Ole Ernst	1940 births, 2013 deaths, Danish movie actors, Danish television actors, Danish stage actors, People from Copenhagen
Ronald Coase	1910 births, 2013 deaths, Alumni of the London School of Economics, British Nobel Prize winners, British educators, Deaths from natural causes, English centenarians, English historians, English scientists, Writers from Middlesex
Frederik Pohl	1919 births, 2013 deaths, Deaths from respiratory failure, Disease-related deaths in Illinois, American editors, Writers from New York City
Valérie Benguigui	1965 births, 2013 deaths, Actors from Paris, Cancer deaths in France, Deaths from breast cancer, French movie actors, French stage actors, French television actors
Soteriology	Theology
Developmental coordination disorder	Disability
Lance Bass	1979 births, Living people, Actors from Mississippi, American LGBT people, American pop musicians, American television producers, Gay men, LGBT singers, Musicians from Mississippi, NSYNC
Ian "H" Watkins	1976 births, Living people, Actors from Glamorgan, Celebrity Big Brother contestants, Gay men, LGBT actors, LGBT dancers, LGBT singers, Musicians from Glamorgan, Welsh pop singers
Mars Reconnaissance Orbiter	NASA spacecraft
Pippi Longstocking	Movie characters, Television characters, Characters in written fiction
Black Eye galaxy	Spiral galaxies
Centaurus A	Starburst galaxies
Marble Arch	Buildings and structures in London
Thou (unit)	Units of length, Imperial units
Knock Madness	2013 albums, Hip hop albums
Yard	Units of length, Imperial units
Shohreh Solati	1959 births, Living people, Iranian singers, People from Tehran
Godzilla (2014 movie)	2014 action movies, 2014 science fiction movies, 2010s adventure movies, American action movies, American adventure movies, American science fiction movies, English-language movies, Godzilla, MonsterVerse, Reboot movies, Warner Bros. movies, Movies about dinosaurs, Movies set in islands, Movies set in Japan, Movies set in Hawaii, Movies set in San Francisco, Apocalyptic movies
Anguirus	Monsters, Godzilla, Fictional dinosaurs
National Art Museum of Azerbaijan	Museums in Baku, Art museums, National museums in Asia, Buildings and structures in Baku, 1936 establishments in Asia, 20th century establishments in Azerbaijan
Antonino Rocca	1927 births, 1977 deaths, Infectious disease deaths in New York City, Professional wrestlers, Sportspeople from Veneto, WWE Hall of Fame
Brownian motion	1827, Albert Einstein, Basic physics ideas, Physics
University of New Haven	Colleges and universities in Connecticut, 1920 establishments in the United States, 20th-century establishments in Connecticut
Kylie (album)	Kylie Minogue albums, 1988 albums
Monster movie	Movie genres
The Beast from 20,000 Fathoms	1953 movies, Monster movies, 1950s science fiction movies, English-language movies, Warner Bros. movies
Transkei	History of South Africa
Xhosa language	Languages of South Africa, Niger-Congo languages
Thembu people	South African people, Ethnic groups in Africa
University of Fort Hare	Colleges and universities in South Africa
African National Congress Youth League	Nationalist organizations in South Africa, Nelson Mandela, Politics of South Africa, Youth organizations, 1944 establishments, 20th-century establishments in South Africa
Inkatha Freedom Party	Political parties in South Africa
Sit-ski	Skiing equipment
Mono-ski	Skiing equipment
Most distant things	Galaxies, Astronomy lists
Double play	Baseball
UDFj-39546284	Galaxies
Cypriniformes	Ray-finned fish
Googoosh	1950 births, Living people, Iranian singers, People from Tehran, Azerbaijani diaspora
Anthem of the Armenian Soviet Socialist Republic	History of Armenia, National anthems
University of Rhode Island	Colleges and universities in Rhode Island, 1892 establishments in the United States, 19th-century establishments in Rhode Island
Fluorescence	Light sources
Travesti	Theater, Gender
Greyfriars Bobby	Individual dogs, Edinburgh
Luminescence	Science, Light sources
Victim blaming	Psychology, Discrimination, Crime
Greyfriars Bobby (movie)	Disney movies, Movies about dogs, Movies based on books, 1961 movies, American family movies, English-language movies, Movies directed by Don Chaffey
Ambroise Vollard	1866 births, 1939 deaths, French businesspeople, French artists, Road accident deaths
Khomein	Cities in Iran, Capital cities in Asia, Markazi Province
Sorkheh	Cities in Iran, Semnan Province, Capital cities in Asia
Semnan Province	Semnan Province
Tommy Gunn	1967 births, Living people, Actors from New Jersey, American pornographic actors
Semnan, Iran	Cities in Iran, Semnan Province
Razavi Khorasan Province	Razavi Khorasan Province
List of monarchs of Wessex	Kings of Wessex, Lists of heads of state
South Khorasan Province	Provinces of Iran
North Khorasan Province	Provinces of Iran
Bojnord	Cities in Iran
Ardabil	Cities in Iran
Ardabil Province	Provinces of Iran
Sana'a Governorate	Governorates of Yemen
Al Hudaydah Governorate	Governorates of Yemen
Hajjah Governorate	Governorates of Yemen
Sa'dah Governorate	Governorates of Yemen
Greyfriars Kirkyard	Cemeteries, Edinburgh
Skye terrier	Terriers
B-25 Empire State Building crash	1945 in the United States, 1940s in New York (state), Aviation disasters in the United States, Disasters in the 1940s, History of Manhattan, 20th century in New York City, July events
Pulp fiction	Fiction books
Japanese occupation of Hong Kong	1941 establishments, 1945 disestablishments in Asia, 1940s in Japan, History of Hong Kong, World War II
2012 Lamma Island ferry collision	2012 disasters, Accidental deaths, 2010s in Hong Kong, Disasters in China, 2012 in Asia, 2010s in China
Anthony Di Pietro	1969 births, Living people, People from Melbourne, Australian businesspeople
Vitruvius	70s BC births, 1st century BC deaths, Roman people, Architects, Engineers
Red Lobster	American restaurants, 1969 establishments in the United States
Wankel engine	Machines, Propulsion
Parking lot	Road transport, Traffic
Voyage of Slaves	Fantasy books, 2006 books
Greek Orthodox Church	Eastern Orthodox Church, Greek culture
The Great Redwall Feast	Redwall, 1996 books
Lightsaber	Star Wars, Fictional weapons, Science fiction technology
Hartford Courant	Newspapers in the United States, Hartford, Connecticut, 1764 establishments in the Thirteen Colonies, 18th-century establishments in Connecticut
Biceps	Muscles, Limbs and extremities
Philanthropy	Society
Altenbrunslar	Villages in Hesse
Tatooine	Star Wars planets
Redhill, Surrey	Towns in Surrey
Redhill, Nottinghamshire	Villages in Nottinghamshire
Naboo	Star Wars planets
Redhill, Somerset	Villages in Somerset
Mercia	Anglo-Saxons, East Midlands, West Midlands (region)
Stormtrooper (Star Wars)	Fictional characters introduced in 1977, Star Wars characters
Cal Worthington	1920 births, 2013 deaths, American radio personalities, American television personalities, Deaths from natural causes, Businesspeople from Oklahoma
Concord, Massachusetts	Towns in Massachusetts, 1635 establishments, 1630s establishments in Massachusetts
Value judgement	Words, Psychology
Ski pole	Skiing equipment
Galapagos shark	Sharks
Abell 2029	Galaxy clusters
Ski bindings	Skiing equipment
Ski boots	Skiing equipment, Footwear
Slim Burna	1988 births, Living people, Hip hop musicians, Musicians from Essex, Nigerian singers, Pop musicians, Reggae musicians, Singers
Walking on Locusts	John Cale albums, 1996 albums
Paris 1919	John Cale albums, 1973 albums
Vintage Violence	John Cale albums, 1970 albums
Black Panties (R. Kelly album)	2013 albums, R&B albums
Vladimír Guma Kulhánek	1944 births, Living people, Czech musicians, Bass guitarists
Roman Dragoun	1956 births, Living people, Czech musicians, Keyboardists, Czech singers
Words for the Dying	John Cale albums, 1989 albums
Honi Soit	John Cale albums, 1981 albums
Slow Dazzle	John Cale albums, 1975 albums
Helen of Troy (album)	John Cale albums, 1975 albums
BlackAcetate	John Cale albums, 2005 albums
BCS National Championship Game	College football
Matt Harvey	1989 births, Living people, New York Mets players
Padmé Amidala	Fictional characters introduced in 1999, Star Wars characters
Chicharrón	Meat dishes, American food, Bolivian culture, Chilean food, Colombian food, Costa Rica, Cuban culture, Dominican Republic, Ecuador, Filipino culture, Guam, Guatemala, Honduran culture, Mexican food, New Mexico, Nicaraguan culture, Panamanian culture, Peruvian culture, Portuguese food, Spanish food, Uruguayan culture, Venezuelan food
Lyndon LaRouche	1922 births, 2019 deaths, 1976 United States presidential candidates, 1980 United States presidential candidates, 1984 United States presidential candidates, 1988 United States presidential candidates, 1996 United States presidential candidates, 2004 United States presidential candidates, American political activists, American political writers, American economists, Scientists from New Hampshire, US Democratic Party politicians, Writers from New Hampshire, Politicians from New Hampshire
Brooklyn College	Colleges and universities in New York City, 1930 establishments in the United States, Brooklyn, 1930s establishments in New York (state)
Macduff (Shakespeare)	Characters in Shakespeare's plays
River system	Drainage basins, Rivers
Battle of Buxar	British India, Mughal Empire, Bihar, Battles, 1764, 18th century in Asia, October events
Suffragette	First-wave feminism, Democracy movements, Women's suffrage
Music for a New Society	John Cale albums, 1982 albums
Technical writing	Prose, Communication
John Cale discography	Discographies
Multi-instrumentalist	Multi-instrumentalists
Fear (album)	John Cale albums, 1974 albums
Artificial Intelligence (album)	John Cale albums, 1985 albums
The Academy in Peril	John Cale albums, 1972 albums, Andy Warhol
Songs for Drella	John Cale albums, Lou Reed albums, 1990 albums
Lou Reed (album)	Lou Reed albums, 1972 albums
Transformer (album)	Lou Reed albums, 1972 albums
Sabotage/Live	John Cale albums, 1979 albums
Jardin des Plantes	Botanical gardens in Europe, Paris, Zoos
Class ring	Academia, Traditions
Joint Intelligence Committee	Intelligence agencies, Government of the United Kingdom
Tony Dungy	American football coaches, 1955 births, Living people, Sportspeople from Michigan, People from Jackson, Michigan
Oakland Alameda Coliseum	Stadiums in the San Francisco Bay Area, Major League Baseball venues, Football stadiums in the United States, Oakland Athletics, Sports in Oakland, California, 1966 establishments in California
George A. Miller	1920 births, 2012 deaths, American psychologists, Scientists from West Virginia, Writers from West Virginia, People from Charleston, West Virginia, Phrases
Astrophytum	Cactaceae
GRU	Soviet Union, Russia, Intelligence agencies, 1918 establishments in the Soviet Union, 1991 disestablishments in the Soviet Union
Balaclava	Protective clothing
John Cale Comes Alive	John Cale albums, 1984 albums
Taking Tiger Mountain (By Strategy)	Brian Eno albums, 1974 albums
Wrong Way Up	John Cale albums, Brian Eno albums, 1990 albums
Protective gear in sports	Sports equipment
Mobility aid	Disability, Medical equipment
Ski lift	Ski lifts, Machines
Ski instructor	Skiing, Sports occupations, Education occupations
Kellogg–Briand Pact	War, 1920s treaties, League of Nations
Guide skier	Skiing
Ski goggles	Skiing equipment, Protective clothing, Headgear
Ski suit	Skiing equipment, Protective clothing
Whistler Creekside	Ski areas and resorts in Canada, Settlements in British Columbia
2002 Winter Paralympics	2002 in sports, Sports in the United States, 2002 Winter Paralympics, History of Utah
2010 Winter Paralympics	Sport in British Columbia, 2010 Winter Paralympics
2006 Winter Paralympics	2006 in sports, 2006 Winter Paralympics, 2000s in Italy, Sport in Italy, March events, History of Turin
Paraplegia	Diseases and disorders
International Ski Federation	Skiing, Sports organizations
Punial State	Pakistani princely states, Former subdivisions of Pakistan, 1974 disestablishments, 1970s disestablishments in Asia
Athelred of Wessex	845 births, 871 deaths, Kings of Wessex
Bernard of Clairvaux	French Roman Catholics, Christian saints, French theologians, 1090 births, 1153 deaths
Aesculus indica	Plants and animals of Kashmir, Sapindaceae
Mini-bar	Machines, Alcoholic drink
Rhododendron ponticum	Plants and animals of Kashmir, Rhododendron
Otto Sander	1941 births, 2013 deaths, Deaths from cancer, German movie actors, German television actors, German voice actors, German stage actors, People from Hanover
274301 Wikipedia	Asteroids
Maladolescenza	1977 drama movies, 1970s romantic drama movies, Italian romance movies, Italian drama movies, German romance movies, German drama movies, Obscenity controversies
Crystallinity	Physical quantity
Mint (candy)	Candy
Virgin Islands	Caribbean islands
Raab	Cities and towns in Upper Austria
Ray Dolby	1933 births, 2013 deaths, Businesspeople from Portland, Oregon, American inventors, People with Alzheimer's disease, Cancer deaths in the United States, Deaths from leukemia
Délfor Dicásolo	1920 births, 2013 deaths, Deaths from natural causes, Argentine actors, Argentine artists, Argentine comedians, Argentine screenwriters, Writers from Buenos Aires
Coming to America	1988 movies, 1988 comedy movies, American comedy movies, Movies directed by John Landis, Movies set in Africa, Movies set in New York City
Nekromantik	1987 horror movies, German horror movies
Granary	Agricultural buildings
Silo	Agricultural buildings
Flag of Kazakhstan	National flags, Kazakhstan
Flag of Kosovo	National flags, Kosovo
Power County, Idaho	Idaho counties, 1913 establishments in Idaho
Oil-paper umbrella	Chinese culture
Deontological ethics	Ethics
Snow skin mooncake	Chinese food, Cakes
Pragmatic ethics	Ethics
Jon Philp	Living people, 1960 births, Ambassadors of Australia, People from Bangkok
Centre for Conflict and Peace Studies	Research organizations in Asia, International relations, 2006 establishments in Asia, Politics of Afghanistan, Kabul
Susan Cox	Year of birth missing (living people), Living people, Ambassadors of Australia
South Jeolla Province	Provinces of South Korea
Cheka	Intelligence agencies, Soviet Union, 1917 establishments in Europe, 1910s establishments in the Soviet Union
Jorge Pedreros	1942 births, 2013 deaths, Deaths from pneumonia, Chilean movie actors, Chilean television actors, Musicians, Comedians, People from Santiago
Das Boot	1981 drama movies, 1980s war movies, Epic movies, German drama movies, Movies based on books, Movies directed by Wolfgang Petersen, Movies with underwater settings, Movies set in the 1940s, World War II movies
Kigurumi	Entertainment
Hiiu County	Hiiu County
Harju County	Harju County
Rapla County	Counties of Estonia
Jean Dunn	Year of birth missing (living people), Living people, Ambassadors of Australia
Heidi Bootle	Australian diplomats, Living people, Year of birth missing (living people)
Agnes Monica	1986 births, Living people, Pop musicians, R&B musicians, Indonesian singers
Patricia Holmes	Living people, Year of birth missing (living people), Ambassadors of Australia
Libation	Death customs, Worship
Quantum foam	Quantum mechanics
Virtual learning environment	Learning, Technology
Semper Fidelis	19th century American songs, American marches, Compositions by John Philip Sousa, United States Marine Corps
Barclays Center	Sports buildings in New York City, Brooklyn, 2012 establishments in the United States, 2010s establishments in New York (state)
Meerut	Cities and towns in Uttar Pradesh
John Philip Sousa	1854 births, 1932 deaths, 20th century composers, American composers, American conductors, Musicians from Washington, D.C., United States Marine Corps personnel
The Stars and Stripes Forever	19th century American songs, American marches, Compositions by John Philip Sousa
The Washington Post (march)	19th century American songs, American marches, Compositions by John Philip Sousa
Lesse	Rivers of Belgium, Wallonia, Luxembourg (Belgium), Namur (province)
Melanie Klein	1882 births, 1960 deaths, Psychoanalysts, British scientists
Hawaiian religion	Culture of Hawaii, Religions, Religion in the United States
Chaplin (movie)	1992 comedy-drama movies, 1990s biographical movies, American biographical movies, American comedy-drama movies, Movies composed by John Barry, Movies directed by Richard Attenborough, Movies set in London, Movies set in the 1900s, Movies set in the 1910s, Movies set in the 1920s, Movies set in the 1930s, Movies set in the 1940s, Movies set in the 1950s, Movies set in the 1960s, Movies set in the 1970s, Swiss culture
Taps	19th century American songs
Orinoco	Rivers of Colombia, Rivers of Venezuela
Stock footage	Movie terminology
Children's Corner	Compositions by Claude Debussy, Solo piano pieces
The Afternoon of a Faun	Compositions by Claude Debussy, Orchestral works
Sylvia (ballet)	Ballets, Compositions by Léo Delibes
La Source	Ballets, Compositions by Léo Delibes
Eureka, California	Settlements in Humboldt County, California, Cities in California, County seats in California
A German Requiem	Compositions by Johannes Brahms
The Pearl Fishers	Compositions by Georges Bizet, Operas
Jeux d'enfants	Solo piano pieces, Compositions by Georges Bizet
Les Troyens	Compositions by Hector Berlioz, Operas
Bluebeard's Castle	1910s operas, Compositions by Béla Bartók, 1911 works
Twerking	Dances
Mamungkukumpurangkuntjunya Hill	Geography of South Australia, Hills, Pitjantjatjara
Church of Anthrax	John Cale albums, 1971 albums
Bayraklı	2008 establishments in Asia, Districts of Turkey
Chub (gay)	Gay slang
Agror	Valleys of Pakistan, Khyber Pakhtunkhwa
Henry Lau	1989 births, Living people, Singers from Toronto, K-pop singers
Flight of the Bumble Bee	Compositions by Nikolai Rimsky-Korsakov, Orchestral works
Scheherazade (Rimsky-Korsakov)	Compositions by Nikolai Rimsky-Korsakov, Orchestral works
Salome (opera)	Compositions by Richard Strauss, 1905 works, 1900s operas
Viqueque Municipality	Municipalities of East Timor
